,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
19,ABNB,"Airbnb, Inc.",2025-12-31,10-K,2026-02-12,6560000000.0,,2511000000.0,2544000000.0,12241000000.0,8199000000.0,22208000000.0,14009000000.0
17,ABNB,"Airbnb, Inc.",2024-12-31,10-K,2025-02-13,6864000000.0,,2648000000.0,2553000000.0,11102000000.0,8412000000.0,20959000000.0,12547000000.0
18,ABNB,"Airbnb, Inc.",2024-12-31,10-K,2026-02-12,6864000000.0,,2648000000.0,2553000000.0,11102000000.0,8412000000.0,20959000000.0,12547000000.0
14,ABNB,"Airbnb, Inc.",2023-12-31,10-K,2024-02-16,6874000000.0,,4792000000.0,1518000000.0,9917000000.0,8165000000.0,20645000000.0,12480000000.0
15,ABNB,"Airbnb, Inc.",2023-12-31,10-K,2025-02-13,6874000000.0,,4792000000.0,1518000000.0,9917000000.0,8165000000.0,20645000000.0,12480000000.0
16,ABNB,"Airbnb, Inc.",2023-12-31,10-K,2026-02-12,,,4792000000.0,1518000000.0,9917000000.0,8165000000.0,,
10,ABNB,"Airbnb, Inc.",2022-12-31,10-K,2023-02-17,7378000000.0,,1893000000.0,1802000000.0,8399000000.0,5560000000.0,16038000000.0,10478000000.0
11,ABNB,"Airbnb, Inc.",2022-12-31,10-K,2024-02-16,7378000000.0,,1893000000.0,1802000000.0,8399000000.0,5560000000.0,16038000000.0,10478000000.0
12,ABNB,"Airbnb, Inc.",2022-12-31,10-K,2025-02-13,,,1893000000.0,1802000000.0,8399000000.0,5560000000.0,,
13,ABNB,"Airbnb, Inc.",2022-12-31,10-K,2026-02-12,,,,,,5560000000.0,,
6,ABNB,"Airbnb, Inc.",2021-12-31,10-K,2022-02-25,6067438000.0,2000000000.0,-352034000.0,429317000.0,5991760000.0,4775713000.0,13708474000.0,8932761000.0
7,ABNB,"Airbnb, Inc.",2021-12-31,10-K,2023-02-17,6067000000.0,,-352000000.0,429000000.0,5992000000.0,4775000000.0,13708000000.0,8933000000.0
8,ABNB,"Airbnb, Inc.",2021-12-31,10-K,2024-02-16,,,-352000000.0,429000000.0,5992000000.0,4775000000.0,,
9,ABNB,"Airbnb, Inc.",2021-12-31,10-K,2025-02-13,,,,,,4775000000.0,,
3,ABNB,"Airbnb, Inc.",2020-12-31,10-K,2022-02-25,5480557000.0,,-4584716000.0,-3590147000.0,3378199000.0,2901783000.0,10491499000.0,7589716000.0
4,ABNB,"Airbnb, Inc.",2020-12-31,10-K,2023-02-17,,,-4585000000.0,-3590000000.0,3378000000.0,2901000000.0,,
5,ABNB,"Airbnb, Inc.",2020-12-31,10-K,2024-02-16,,,,,,2901000000.0,,
1,ABNB,"Airbnb, Inc.",2019-12-31,10-K,2022-02-25,2013547000.0,,-674339000.0,-501543000.0,4805239000.0,-807685000.0,,
2,ABNB,"Airbnb, Inc.",2019-12-31,10-K,2023-02-17,,,,,,-808000000.0,,
0,ABNB,"Airbnb, Inc.",2018-12-31,10-K,2022-02-25,,,,,,-517308000.0,,
