,ticker,company,concept,value,end_date,filed,form
0,ACGL,Arch Capital Group Ltd.,revenue,2966813000,2008-12-31,2011-02-28,10-K
1,ACGL,Arch Capital Group Ltd.,revenue,3501622000,2009-12-31,2011-02-28,10-K
2,ACGL,Arch Capital Group Ltd.,revenue,3501622000,2009-12-31,2012-02-29,10-K
3,ACGL,Arch Capital Group Ltd.,revenue,3244067000,2010-12-31,2011-02-28,10-K
4,ACGL,Arch Capital Group Ltd.,revenue,3244067000,2010-12-31,2012-02-29,10-K
5,ACGL,Arch Capital Group Ltd.,revenue,3244067000,2010-12-31,2013-03-01,10-K
6,ACGL,Arch Capital Group Ltd.,revenue,3063307000,2011-12-31,2012-02-29,10-K
7,ACGL,Arch Capital Group Ltd.,revenue,3063307000,2011-12-31,2013-03-01,10-K
8,ACGL,Arch Capital Group Ltd.,revenue,3063307000,2011-12-31,2014-03-03,10-K
9,ACGL,Arch Capital Group Ltd.,revenue,3482381000,2012-12-31,2013-03-01,10-K
10,ACGL,Arch Capital Group Ltd.,revenue,3482381000,2012-12-31,2014-03-03,10-K
11,ACGL,Arch Capital Group Ltd.,revenue,3482381000,2012-12-31,2015-02-27,10-K
12,ACGL,Arch Capital Group Ltd.,revenue,3526157000,2013-12-31,2014-03-03,10-K
13,ACGL,Arch Capital Group Ltd.,revenue,3526157000,2013-12-31,2015-02-27,10-K
14,ACGL,Arch Capital Group Ltd.,revenue,3526157000,2013-12-31,2016-02-26,10-K
15,ACGL,Arch Capital Group Ltd.,revenue,3988873000,2014-12-31,2015-02-27,10-K
16,ACGL,Arch Capital Group Ltd.,revenue,3988873000,2014-12-31,2016-02-26,10-K
17,ACGL,Arch Capital Group Ltd.,revenue,3988873000,2014-12-31,2017-03-01,10-K
18,ACGL,Arch Capital Group Ltd.,revenue,3936590000,2015-12-31,2016-02-26,10-K
19,ACGL,Arch Capital Group Ltd.,revenue,3936590000,2015-12-31,2017-03-01,10-K
20,ACGL,Arch Capital Group Ltd.,revenue,3936590000,2015-12-31,2018-02-28,10-K
21,ACGL,Arch Capital Group Ltd.,revenue,4463556000,2016-12-31,2017-03-01,10-K
22,ACGL,Arch Capital Group Ltd.,revenue,4463556000,2016-12-31,2018-02-28,10-K
23,ACGL,Arch Capital Group Ltd.,revenue,4463556000,2016-12-31,2019-02-28,10-K
24,ACGL,Arch Capital Group Ltd.,revenue,5627375000,2017-12-31,2018-02-28,10-K
25,ACGL,Arch Capital Group Ltd.,revenue,5627375000,2017-12-31,2019-02-28,10-K
26,ACGL,Arch Capital Group Ltd.,revenue,5627375000,2017-12-31,2020-02-28,10-K
27,ACGL,Arch Capital Group Ltd.,revenue,5450568000,2018-12-31,2019-02-28,10-K
28,ACGL,Arch Capital Group Ltd.,revenue,5450568000,2018-12-31,2020-02-28,10-K
29,ACGL,Arch Capital Group Ltd.,revenue,5450568000,2018-12-31,2021-02-26,10-K
30,ACGL,Arch Capital Group Ltd.,revenue,6928200000,2019-12-31,2020-02-28,10-K
31,ACGL,Arch Capital Group Ltd.,revenue,6928200000,2019-12-31,2021-02-26,10-K
32,ACGL,Arch Capital Group Ltd.,revenue,6925967000,2019-12-31,2022-02-25,10-K
33,ACGL,Arch Capital Group Ltd.,revenue,8525275000,2020-12-31,2021-02-26,10-K
34,ACGL,Arch Capital Group Ltd.,revenue,8508509000,2020-12-31,2022-02-25,10-K
35,ACGL,Arch Capital Group Ltd.,revenue,8508509000,2020-12-31,2023-02-24,10-K
36,ACGL,Arch Capital Group Ltd.,revenue,9249980000,2021-12-31,2022-02-25,10-K
37,ACGL,Arch Capital Group Ltd.,revenue,9249980000,2021-12-31,2023-02-24,10-K
38,ACGL,Arch Capital Group Ltd.,revenue,9248000000,2021-12-31,2024-02-23,10-K
39,ACGL,Arch Capital Group Ltd.,revenue,9614808000,2022-12-31,2023-02-24,10-K
40,ACGL,Arch Capital Group Ltd.,revenue,9613000000,2022-12-31,2024-02-23,10-K
41,ACGL,Arch Capital Group Ltd.,revenue,9613000000,2022-12-31,2025-02-27,10-K
42,ACGL,Arch Capital Group Ltd.,revenue,13634000000,2023-12-31,2024-02-23,10-K
43,ACGL,Arch Capital Group Ltd.,revenue,13634000000,2023-12-31,2025-02-27,10-K
44,ACGL,Arch Capital Group Ltd.,revenue,13634000000,2023-12-31,2026-02-26,10-K
45,ACGL,Arch Capital Group Ltd.,revenue,17440000000,2024-12-31,2025-02-27,10-K
46,ACGL,Arch Capital Group Ltd.,revenue,17440000000,2024-12-31,2026-02-26,10-K
47,ACGL,Arch Capital Group Ltd.,revenue,19929000000,2025-12-31,2026-02-26,10-K
48,ACGL,Arch Capital Group Ltd.,net_income,876945000,2009-12-31,2012-02-29,10-K
49,ACGL,Arch Capital Group Ltd.,net_income,216994000,2010-03-31,2012-02-29,10-K
50,ACGL,Arch Capital Group Ltd.,net_income,243451000,2010-06-30,2012-02-29,10-K
51,ACGL,Arch Capital Group Ltd.,net_income,148031000,2010-09-30,2012-02-29,10-K
52,ACGL,Arch Capital Group Ltd.,net_income,842588000,2010-12-31,2012-02-29,10-K
53,ACGL,Arch Capital Group Ltd.,net_income,842672000,2010-12-31,2013-03-01,10-K
54,ACGL,Arch Capital Group Ltd.,net_income,234112000,2010-12-31,2012-02-29,10-K
55,ACGL,Arch Capital Group Ltd.,net_income,25756000,2011-03-31,2012-02-29,10-K
56,ACGL,Arch Capital Group Ltd.,net_income,25473000,2011-03-31,2013-03-01,10-K
57,ACGL,Arch Capital Group Ltd.,net_income,98342000,2011-06-30,2012-02-29,10-K
58,ACGL,Arch Capital Group Ltd.,net_income,96603000,2011-06-30,2013-03-01,10-K
59,ACGL,Arch Capital Group Ltd.,net_income,168988000,2011-09-30,2012-02-29,10-K
60,ACGL,Arch Capital Group Ltd.,net_income,168755000,2011-09-30,2013-03-01,10-K
61,ACGL,Arch Capital Group Ltd.,net_income,436358000,2011-12-31,2012-02-29,10-K
62,ACGL,Arch Capital Group Ltd.,net_income,436163000,2011-12-31,2013-03-01,10-K
63,ACGL,Arch Capital Group Ltd.,net_income,436163000,2011-12-31,2014-03-03,10-K
64,ACGL,Arch Capital Group Ltd.,net_income,143272000,2011-12-31,2012-02-29,10-K
65,ACGL,Arch Capital Group Ltd.,net_income,145332000,2011-12-31,2013-03-01,10-K
66,ACGL,Arch Capital Group Ltd.,net_income,164256000,2012-03-31,2013-03-01,10-K
67,ACGL,Arch Capital Group Ltd.,net_income,164256000,2012-03-31,2014-03-03,10-K
68,ACGL,Arch Capital Group Ltd.,net_income,220268000,2012-06-30,2013-03-01,10-K
69,ACGL,Arch Capital Group Ltd.,net_income,220268000,2012-06-30,2014-03-03,10-K
70,ACGL,Arch Capital Group Ltd.,net_income,189656000,2012-09-30,2013-03-01,10-K
71,ACGL,Arch Capital Group Ltd.,net_income,189656000,2012-09-30,2014-03-03,10-K
72,ACGL,Arch Capital Group Ltd.,net_income,593397000,2012-12-31,2013-03-01,10-K
73,ACGL,Arch Capital Group Ltd.,net_income,593397000,2012-12-31,2014-03-03,10-K
74,ACGL,Arch Capital Group Ltd.,net_income,593397000,2012-12-31,2015-02-27,10-K
75,ACGL,Arch Capital Group Ltd.,net_income,19217000,2012-12-31,2013-03-01,10-K
76,ACGL,Arch Capital Group Ltd.,net_income,19217000,2012-12-31,2014-03-03,10-K
77,ACGL,Arch Capital Group Ltd.,net_income,256476000,2013-03-31,2014-03-03,10-K
78,ACGL,Arch Capital Group Ltd.,net_income,176940000,2013-06-30,2014-03-03,10-K
79,ACGL,Arch Capital Group Ltd.,net_income,114825000,2013-09-30,2014-03-03,10-K
80,ACGL,Arch Capital Group Ltd.,net_income,709731000,2013-12-31,2014-03-03,10-K
81,ACGL,Arch Capital Group Ltd.,net_income,709731000,2013-12-31,2015-02-27,10-K
82,ACGL,Arch Capital Group Ltd.,net_income,709731000,2013-12-31,2016-02-26,10-K
83,ACGL,Arch Capital Group Ltd.,net_income,161490000,2013-12-31,2014-03-03,10-K
84,ACGL,Arch Capital Group Ltd.,net_income,834355000,2014-12-31,2015-02-27,10-K
85,ACGL,Arch Capital Group Ltd.,net_income,834355000,2014-12-31,2016-02-26,10-K
86,ACGL,Arch Capital Group Ltd.,net_income,834355000,2014-12-31,2017-03-01,10-K
87,ACGL,Arch Capital Group Ltd.,net_income,537738000,2015-12-31,2016-02-26,10-K
88,ACGL,Arch Capital Group Ltd.,net_income,537738000,2015-12-31,2017-03-01,10-K
89,ACGL,Arch Capital Group Ltd.,net_income,537738000,2015-12-31,2018-02-28,10-K
90,ACGL,Arch Capital Group Ltd.,net_income,692738000,2016-12-31,2017-03-01,10-K
91,ACGL,Arch Capital Group Ltd.,net_income,692738000,2016-12-31,2018-02-28,10-K
92,ACGL,Arch Capital Group Ltd.,net_income,692738000,2016-12-31,2019-02-28,10-K
93,ACGL,Arch Capital Group Ltd.,net_income,619278000,2017-12-31,2018-02-28,10-K
94,ACGL,Arch Capital Group Ltd.,net_income,619278000,2017-12-31,2019-02-28,10-K
95,ACGL,Arch Capital Group Ltd.,net_income,619278000,2017-12-31,2020-02-28,10-K
96,ACGL,Arch Capital Group Ltd.,net_income,757971000,2018-12-31,2019-02-28,10-K
97,ACGL,Arch Capital Group Ltd.,net_income,757971000,2018-12-31,2020-02-28,10-K
98,ACGL,Arch Capital Group Ltd.,net_income,757971000,2018-12-31,2021-02-26,10-K
99,ACGL,Arch Capital Group Ltd.,net_income,448528000,2019-03-31,2021-02-26,10-K
100,ACGL,Arch Capital Group Ltd.,net_income,468954000,2019-06-30,2021-02-26,10-K
101,ACGL,Arch Capital Group Ltd.,net_income,392453000,2019-09-30,2021-02-26,10-K
102,ACGL,Arch Capital Group Ltd.,net_income,1636319000,2019-12-31,2020-02-28,10-K
103,ACGL,Arch Capital Group Ltd.,net_income,1636319000,2019-12-31,2021-02-26,10-K
104,ACGL,Arch Capital Group Ltd.,net_income,1636319000,2019-12-31,2022-02-25,10-K
105,ACGL,Arch Capital Group Ltd.,net_income,326384000,2019-12-31,2021-02-26,10-K
106,ACGL,Arch Capital Group Ltd.,net_income,144117000,2020-03-31,2021-02-26,10-K
107,ACGL,Arch Capital Group Ltd.,net_income,298821000,2020-06-30,2021-02-26,10-K
108,ACGL,Arch Capital Group Ltd.,net_income,419039000,2020-09-30,2021-02-26,10-K
109,ACGL,Arch Capital Group Ltd.,net_income,1405521000,2020-12-31,2021-02-26,10-K
110,ACGL,Arch Capital Group Ltd.,net_income,1405521000,2020-12-31,2022-02-25,10-K
111,ACGL,Arch Capital Group Ltd.,net_income,1405521000,2020-12-31,2023-02-24,10-K
112,ACGL,Arch Capital Group Ltd.,net_income,543544000,2020-12-31,2021-02-26,10-K
113,ACGL,Arch Capital Group Ltd.,net_income,2156849000,2021-12-31,2022-02-25,10-K
114,ACGL,Arch Capital Group Ltd.,net_income,2156849000,2021-12-31,2023-02-24,10-K
115,ACGL,Arch Capital Group Ltd.,net_income,2157000000,2021-12-31,2024-02-23,10-K
116,ACGL,Arch Capital Group Ltd.,net_income,1476933000,2022-12-31,2023-02-24,10-K
117,ACGL,Arch Capital Group Ltd.,net_income,1476000000,2022-12-31,2024-02-23,10-K
118,ACGL,Arch Capital Group Ltd.,net_income,1476000000,2022-12-31,2025-02-27,10-K
119,ACGL,Arch Capital Group Ltd.,net_income,4443000000,2023-12-31,2024-02-23,10-K
120,ACGL,Arch Capital Group Ltd.,net_income,4443000000,2023-12-31,2025-02-27,10-K
121,ACGL,Arch Capital Group Ltd.,net_income,4443000000,2023-12-31,2026-02-26,10-K
122,ACGL,Arch Capital Group Ltd.,net_income,4312000000,2024-12-31,2025-02-27,10-K
123,ACGL,Arch Capital Group Ltd.,net_income,4312000000,2024-12-31,2026-02-26,10-K
124,ACGL,Arch Capital Group Ltd.,net_income,4399000000,2025-12-31,2026-02-26,10-K
125,ACGL,Arch Capital Group Ltd.,total_assets,15375790000,2009-12-31,2011-02-28,10-K
126,ACGL,Arch Capital Group Ltd.,total_assets,15770792000,2010-12-31,2011-02-28,10-K
127,ACGL,Arch Capital Group Ltd.,total_assets,16279228000,2010-12-31,2012-02-29,10-K
128,ACGL,Arch Capital Group Ltd.,total_assets,17141769000,2011-12-31,2012-02-29,10-K
129,ACGL,Arch Capital Group Ltd.,total_assets,17105357000,2011-12-31,2013-03-01,10-K
130,ACGL,Arch Capital Group Ltd.,total_assets,17816762000,2012-12-31,2013-03-01,10-K
131,ACGL,Arch Capital Group Ltd.,total_assets,17816762000,2012-12-31,2014-03-03,10-K
132,ACGL,Arch Capital Group Ltd.,total_assets,17816762000,2012-12-31,2015-02-27,10-K
133,ACGL,Arch Capital Group Ltd.,total_assets,19566094000,2013-12-31,2014-03-03,10-K
134,ACGL,Arch Capital Group Ltd.,total_assets,19566094000,2013-12-31,2015-02-27,10-K
135,ACGL,Arch Capital Group Ltd.,total_assets,19557054000,2013-12-31,2016-02-26,10-K
136,ACGL,Arch Capital Group Ltd.,total_assets,22009543000,2014-12-31,2015-02-27,10-K
137,ACGL,Arch Capital Group Ltd.,total_assets,22006081000,2014-12-31,2016-02-26,10-K
138,ACGL,Arch Capital Group Ltd.,total_assets,21967742000,2014-12-31,2017-03-01,10-K
139,ACGL,Arch Capital Group Ltd.,total_assets,23177270000,2015-12-31,2016-02-26,10-K
140,ACGL,Arch Capital Group Ltd.,total_assets,23138931000,2015-12-31,2017-03-01,10-K
141,ACGL,Arch Capital Group Ltd.,total_assets,23138931000,2015-12-31,2018-02-28,10-K
