,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,stockholders_equity,total_assets
154,ACN,Accenture plc,2025-08-31,10-K,2025-10-10,11478729000.0,1413963000.0,2049691000.0,17596260000.0,31195446000.0,65394897000.0
153,ACN,Accenture plc,2025-05-31,10-K,2025-10-10,,2197501000.0,2982782000.0,17727871000.0,,
152,ACN,Accenture plc,2025-02-28,10-K,2025-10-10,,1788075000.0,2244714000.0,16659301000.0,,
151,ACN,Accenture plc,2024-11-30,10-K,2025-10-10,,2278894000.0,2948477000.0,17689545000.0,,
149,ACN,Accenture plc,2024-08-31,10-K,2024-10-10,5004469000.0,1684301000.0,2353668000.0,16405819000.0,28288646000.0,55932363000.0
150,ACN,Accenture plc,2024-08-31,10-K,2025-10-10,5004469000.0,1684301000.0,2353668000.0,16405819000.0,28288646000.0,55932363000.0
147,ACN,Accenture plc,2024-05-31,10-K,2024-10-10,,1932183000.0,2630865000.0,16466828000.0,,
148,ACN,Accenture plc,2024-05-31,10-K,2025-10-10,,1932183000.0,2630865000.0,16466828000.0,,
145,ACN,Accenture plc,2024-02-29,10-K,2024-10-10,,1674859000.0,2046427000.0,15799514000.0,,
146,ACN,Accenture plc,2024-02-29,10-K,2025-10-10,,1674859000.0,2046427000.0,15799514000.0,,
143,ACN,Accenture plc,2023-11-30,10-K,2024-10-10,,1973444000.0,2564887000.0,16224303000.0,,
144,ACN,Accenture plc,2023-11-30,10-K,2025-10-10,,1973444000.0,2564887000.0,16224303000.0,,
140,ACN,Accenture plc,2023-08-31,10-K,2023-10-12,9045032000.0,1372963000.0,1912920000.0,15985200000.0,25692839000.0,51245305000.0
141,ACN,Accenture plc,2023-08-31,10-K,2024-10-10,9045032000.0,1372963000.0,1912920000.0,15985200000.0,25692839000.0,51245305000.0
142,ACN,Accenture plc,2023-08-31,10-K,2025-10-10,,6871557000.0,8809889000.0,64111745000.0,,
138,ACN,Accenture plc,2023-05-31,10-K,2023-10-12,,2009996000.0,2359288000.0,16564585000.0,,
139,ACN,Accenture plc,2023-05-31,10-K,2024-10-10,,2009996000.0,2359288000.0,16564585000.0,,
136,ACN,Accenture plc,2023-02-28,10-K,2023-10-12,,1523648000.0,1944581000.0,15814158000.0,,
137,ACN,Accenture plc,2023-02-28,10-K,2024-10-10,,1523648000.0,1944581000.0,15814158000.0,,
134,ACN,Accenture plc,2022-11-30,10-K,2023-10-12,,1964950000.0,2593100000.0,15747802000.0,,
135,ACN,Accenture plc,2022-11-30,10-K,2024-10-10,,1964950000.0,2593100000.0,15747802000.0,,
131,ACN,Accenture plc,2022-08-31,10-K,2022-10-12,7889833000.0,1665128000.0,2268189000.0,15423656000.0,22106097000.0,47263390000.0
132,ACN,Accenture plc,2022-08-31,10-K,2023-10-12,7889833000.0,1665128000.0,2268189000.0,15423656000.0,22106097000.0,47263390000.0
133,ACN,Accenture plc,2022-08-31,10-K,2024-10-10,,6877169000.0,9367181000.0,61594305000.0,,
129,ACN,Accenture plc,2022-05-31,10-K,2022-10-12,,1786075000.0,2603118000.0,16158803000.0,,
130,ACN,Accenture plc,2022-05-31,10-K,2023-10-12,,1786075000.0,2603118000.0,16158803000.0,,
