,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
121,ADI,"Analog Devices, Inc.",2025-11-01,10-K,2025-11-25,2499406000.0,2267342000.0,2932496000.0,,11019707000.0,489654097.0,33815755000.0,47992712000.0
119,ADI,"Analog Devices, Inc.",2024-11-02,10-K,2024-11-26,1991342000.0,1635273000.0,2032798000.0,,9427157000.0,496296854.0,35176317000.0,48228277000.0
120,ADI,"Analog Devices, Inc.",2024-11-02,10-K,2025-11-25,1991342000.0,1635273000.0,2032798000.0,,9427157000.0,496296854.0,35176317000.0,48228277000.0
116,ADI,"Analog Devices, Inc.",2023-10-28,10-K,2023-11-21,958061000.0,3314579000.0,3823112000.0,,12305539000.0,496261678.0,35565122000.0,48794478000.0
117,ADI,"Analog Devices, Inc.",2023-10-28,10-K,2024-11-26,958061000.0,3314579000.0,3823112000.0,,12305539000.0,496261678.0,35565122000.0,48794478000.0
118,ADI,"Analog Devices, Inc.",2023-10-28,10-K,2025-11-25,,3314579000.0,3823112000.0,,12305539000.0,,,
113,ADI,"Analog Devices, Inc.",2022-10-29,10-K,2022-11-22,1470572000.0,2748561000.0,3278700000.0,,12013953000.0,509295941.0,36465323000.0,50302350000.0
114,ADI,"Analog Devices, Inc.",2022-10-29,10-K,2023-11-21,1470572000.0,2748561000.0,3278700000.0,,12013953000.0,509295941.0,36465323000.0,50302350000.0
115,ADI,"Analog Devices, Inc.",2022-10-29,10-K,2024-11-26,,2748561000.0,3278700000.0,,12013953000.0,,,
110,ADI,"Analog Devices, Inc.",2021-10-30,10-K,2021-12-03,1977964000.0,1390422000.0,1692201000.0,,7318286000.0,525330672.0,37992542000.0,52322071000.0
111,ADI,"Analog Devices, Inc.",2021-10-30,10-K,2022-11-22,1977964000.0,1390422000.0,1692201000.0,,7318286000.0,525330672.0,37992542000.0,52322071000.0
112,ADI,"Analog Devices, Inc.",2021-10-30,10-K,2023-11-21,,1390422000.0,1692201000.0,,7318286000.0,,,
107,ADI,"Analog Devices, Inc.",2020-10-31,10-K,2020-11-24,1055860000.0,1220761000.0,1498244000.0,,5603056000.0,369484899.0,11997945000.0,21468603000.0
108,ADI,"Analog Devices, Inc.",2020-10-31,10-K,2021-12-03,1055860000.0,1220761000.0,1498244000.0,,5603056000.0,369484899.0,11997945000.0,21468603000.0
109,ADI,"Analog Devices, Inc.",2020-10-31,10-K,2022-11-22,,1220761000.0,1498244000.0,,5603056000.0,,,
104,ADI,"Analog Devices, Inc.",2019-11-02,10-K,2019-11-26,648322000.0,1363011000.0,338361000.0,,1443219000.0,368302369.0,11709188000.0,21392641000.0
105,ADI,"Analog Devices, Inc.",2019-11-02,10-K,2020-11-24,648322000.0,1363011000.0,1710608000.0,,5991065000.0,368302369.0,11709188000.0,21392641000.0
106,ADI,"Analog Devices, Inc.",2019-11-02,10-K,2021-12-03,,1363011000.0,1710608000.0,,5991065000.0,,,
103,ADI,"Analog Devices, Inc.",2019-08-03,10-K,2019-11-26,,,446726000.0,,1480143000.0,,,
102,ADI,"Analog Devices, Inc.",2019-05-04,10-K,2019-11-26,,,469695000.0,,1526602000.0,,,
101,ADI,"Analog Devices, Inc.",2019-02-02,10-K,2019-11-26,,,455826000.0,,1541101000.0,,,
98,ADI,"Analog Devices, Inc.",2018-11-03,10-K,2018-11-27,816591000.0,1495432000.0,513372000.0,1596586000.0,,370159553.0,10988540000.0,20449779000.0
99,ADI,"Analog Devices, Inc.",2018-11-03,10-K,2019-11-26,816591000.0,1506980000.0,465451000.0,,1536128000.0,370159553.0,11268173000.0,20438366000.0
100,ADI,"Analog Devices, Inc.",2018-11-03,10-K,2020-11-24,,1506980000.0,1899589000.0,,6224689000.0,,,
96,ADI,"Analog Devices, Inc.",2018-08-04,10-K,2018-11-27,,,499039000.0,1572679000.0,,,,
97,ADI,"Analog Devices, Inc.",2018-08-04,10-K,2019-11-26,,,489215000.0,,1558189000.0,,,
94,ADI,"Analog Devices, Inc.",2018-05-05,10-K,2018-11-27,,,463976000.0,1513053000.0,,,,
95,ADI,"Analog Devices, Inc.",2018-05-05,10-K,2019-11-26,,,502818000.0,,1563502000.0,,,
92,ADI,"Analog Devices, Inc.",2018-02-03,10-K,2018-11-27,,,405348000.0,1518624000.0,,,,
93,ADI,"Analog Devices, Inc.",2018-02-03,10-K,2019-11-26,,,442105000.0,,1566870000.0,,,
89,ADI,"Analog Devices, Inc.",2017-10-28,10-K,2017-11-22,1047838000.0,727259000.0,448210000.0,,,368635788.0,10161540000.0,21141294000.0
90,ADI,"Analog Devices, Inc.",2017-10-28,10-K,2018-11-27,1047838000.0,727259000.0,448210000.0,1541170000.0,,,10161540000.0,21141294000.0
91,ADI,"Analog Devices, Inc.",2017-10-28,10-K,2019-11-26,,805379000.0,1162761000.0,,5246354000.0,,,
87,ADI,"Analog Devices, Inc.",2017-07-29,10-K,2017-11-22,,,194821000.0,,,,,
88,ADI,"Analog Devices, Inc.",2017-07-29,10-K,2018-11-27,,,194821000.0,1433902000.0,,,,
85,ADI,"Analog Devices, Inc.",2017-04-29,10-K,2017-11-22,,,145835000.0,,,,,
