,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,total_assets
130,ADM,ARCHER-DANIELS-MIDLAND CO,2025-12-31,10-K,2026-02-17,1015000000.0,7612000000.0,1078000000.0,80269000000.0,24956000000.0,52389000000.0
128,ADM,ARCHER-DANIELS-MIDLAND CO,2024-12-31,10-K,2025-02-20,611000000.0,8254000000.0,1800000000.0,85530000000.0,24373000000.0,53271000000.0
129,ADM,ARCHER-DANIELS-MIDLAND CO,2024-12-31,10-K,2026-02-17,611000000.0,8254000000.0,1800000000.0,85530000000.0,24373000000.0,53271000000.0
125,ADM,ARCHER-DANIELS-MIDLAND CO,2023-12-31,10-K,2024-03-12,1368000000.0,8260000000.0,565000000.0,22978000000.0,,54631000000.0
126,ADM,ARCHER-DANIELS-MIDLAND CO,2023-12-31,10-K,2025-02-20,1368000000.0,8260000000.0,3483000000.0,93935000000.0,25691000000.0,54631000000.0
127,ADM,ARCHER-DANIELS-MIDLAND CO,2023-12-31,10-K,2026-02-17,1368000000.0,,3483000000.0,93935000000.0,25691000000.0,
124,ADM,ARCHER-DANIELS-MIDLAND CO,2023-09-30,10-K,2024-03-12,,,821000000.0,21695000000.0,,
123,ADM,ARCHER-DANIELS-MIDLAND CO,2023-06-30,10-K,2024-03-12,,,927000000.0,25190000000.0,,
122,ADM,ARCHER-DANIELS-MIDLAND CO,2023-03-31,10-K,2024-03-12,,,1170000000.0,24072000000.0,,
119,ADM,ARCHER-DANIELS-MIDLAND CO,2022-12-31,10-K,2023-02-14,1037000000.0,8677000000.0,4340000000.0,101556000000.0,,59774000000.0
120,ADM,ARCHER-DANIELS-MIDLAND CO,2022-12-31,10-K,2024-03-12,1037000000.0,8677000000.0,1019000000.0,25939000000.0,,59774000000.0
121,ADM,ARCHER-DANIELS-MIDLAND CO,2022-12-31,10-K,2025-02-20,1037000000.0,,4340000000.0,101556000000.0,27606000000.0,
118,ADM,ARCHER-DANIELS-MIDLAND CO,2022-09-30,10-K,2024-03-12,,,1031000000.0,24683000000.0,,
117,ADM,ARCHER-DANIELS-MIDLAND CO,2022-06-30,10-K,2024-03-12,,,1236000000.0,27284000000.0,,
116,ADM,ARCHER-DANIELS-MIDLAND CO,2022-03-31,10-K,2024-03-12,,,1054000000.0,23650000000.0,,
113,ADM,ARCHER-DANIELS-MIDLAND CO,2021-12-31,10-K,2022-02-17,943000000.0,8581000000.0,2709000000.0,85249000000.0,,56136000000.0
114,ADM,ARCHER-DANIELS-MIDLAND CO,2021-12-31,10-K,2023-02-14,943000000.0,8581000000.0,2709000000.0,85249000000.0,,56136000000.0
115,ADM,ARCHER-DANIELS-MIDLAND CO,2021-12-31,10-K,2024-03-12,943000000.0,,2709000000.0,85249000000.0,,
110,ADM,ARCHER-DANIELS-MIDLAND CO,2020-12-31,10-K,2021-02-18,666000000.0,7887000000.0,687000000.0,17978000000.0,,49719000000.0
111,ADM,ARCHER-DANIELS-MIDLAND CO,2020-12-31,10-K,2022-02-17,666000000.0,7887000000.0,1772000000.0,64355000000.0,,49719000000.0
112,ADM,ARCHER-DANIELS-MIDLAND CO,2020-12-31,10-K,2023-02-14,666000000.0,,1772000000.0,64355000000.0,,
109,ADM,ARCHER-DANIELS-MIDLAND CO,2020-09-30,10-K,2021-02-18,,,225000000.0,15126000000.0,,
108,ADM,ARCHER-DANIELS-MIDLAND CO,2020-06-30,10-K,2021-02-18,,,469000000.0,16281000000.0,,
