,ticker,company,concept,value,end_date,filed,form
0,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,69816000000,2008-06-30,2010-08-30,10-K
1,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,21160000000,2008-09-30,2010-08-30,10-K
2,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,16673000000,2008-12-31,2010-08-30,10-K
3,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,14842000000,2009-03-31,2010-08-30,10-K
4,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,69207000000,2009-06-30,2010-08-30,10-K
5,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,69207000000,2009-06-30,2011-08-25,10-K
6,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,16532000000,2009-06-30,2010-08-30,10-K
7,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,14921000000,2009-09-30,2010-08-30,10-K
8,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,14921000000,2009-09-30,2011-08-25,10-K
9,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,15913000000,2009-12-31,2010-08-30,10-K
10,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,15913000000,2009-12-31,2011-08-25,10-K
11,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,15145000000,2010-03-31,2010-08-30,10-K
12,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,15145000000,2010-03-31,2011-08-25,10-K
13,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,61682000000,2010-06-30,2010-08-30,10-K
14,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,61682000000,2010-06-30,2011-08-25,10-K
15,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,61682000000,2010-06-30,2012-08-27,10-K
16,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,15703000000,2010-06-30,2010-08-30,10-K
17,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,15703000000,2010-06-30,2011-08-25,10-K
18,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,16799000000,2010-09-30,2011-08-25,10-K
19,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,16799000000,2010-09-30,2012-08-27,10-K
20,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,20930000000,2010-12-31,2011-08-25,10-K
21,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,20930000000,2010-12-31,2012-08-27,10-K
22,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,20077000000,2011-03-31,2011-08-25,10-K
23,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,20077000000,2011-03-31,2012-08-27,10-K
24,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,80676000000,2011-06-30,2011-08-25,10-K
25,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,80676000000,2011-06-30,2012-08-27,10-K
26,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,80676000000,2011-06-30,2014-02-26,10-K
27,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,22870000000,2011-06-30,2011-08-25,10-K
28,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,22870000000,2011-06-30,2012-08-27,10-K
29,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,21902000000,2011-09-30,2012-08-27,10-K
30,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,21902000000,2011-09-30,2014-02-26,10-K
31,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,45208000000,2011-12-31,2014-02-26,10-K
32,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,45208000000,2011-12-31,2015-02-20,10-K
33,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,23306000000,2011-12-31,2012-08-27,10-K
34,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,23306000000,2011-12-31,2014-02-26,10-K
35,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,21155000000,2012-03-31,2012-08-27,10-K
36,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,21155000000,2012-03-31,2014-02-26,10-K
37,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,89038000000,2012-06-30,2012-08-27,10-K
38,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,89038000000,2012-06-30,2014-02-26,10-K
39,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,89038000000,2012-06-30,2015-02-20,10-K
40,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,22675000000,2012-06-30,2012-08-27,10-K
41,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,22675000000,2012-06-30,2014-02-26,10-K
42,ADM,ARCHER-DANIELS-MIDLAND CO,revenue,21808000000,2012-09-30,2014-02-26,10-K
