,ticker,company,concept,value,end_date,filed,form
0,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,8733700000,2008-06-30,2010-08-25,10-K
1,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2173100000,2008-09-30,2010-08-25,10-K
2,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2195800000,2008-12-31,2010-08-25,10-K
3,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2368700000,2009-03-31,2010-08-25,10-K
4,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,8838400000,2009-06-30,2010-08-25,10-K
5,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,8838400000,2009-06-30,2011-08-24,10-K
6,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2100800000,2009-06-30,2010-08-25,10-K
7,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2096100000,2009-09-30,2010-08-25,10-K
8,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2096100000,2009-09-30,2011-08-24,10-K
9,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2198000000,2009-12-31,2010-08-25,10-K
10,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2198000000,2009-12-31,2011-08-24,10-K
11,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2443200000,2010-03-31,2010-08-25,10-K
12,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2443200000,2010-03-31,2011-08-24,10-K
13,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,8927700000,2010-06-30,2010-08-25,10-K
14,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,8927700000,2010-06-30,2011-08-24,10-K
15,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,8927700000,2010-06-30,2012-08-20,10-K
16,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2190300000,2010-06-30,2010-08-25,10-K
17,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2190300000,2010-06-30,2011-08-24,10-K
18,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2229400000,2010-09-30,2011-08-24,10-K
19,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2229400000,2010-09-30,2012-08-20,10-K
20,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2405700000,2010-12-31,2011-08-24,10-K
21,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2405700000,2010-12-31,2012-08-20,10-K
22,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2737300000,2011-03-31,2011-08-24,10-K
23,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2737300000,2011-03-31,2012-08-20,10-K
24,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,9879500000,2011-06-30,2011-08-24,10-K
25,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,9879500000,2011-06-30,2012-08-20,10-K
26,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,9833000000,2011-06-30,2013-08-19,10-K
27,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2507100000,2011-06-30,2011-08-24,10-K
28,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2507100000,2011-06-30,2012-08-20,10-K
29,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2522500000,2011-09-30,2012-08-20,10-K
30,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2510900000,2011-09-30,2013-08-19,10-K
31,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2583000000,2011-12-31,2012-08-20,10-K
32,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2570700000,2011-12-31,2013-08-19,10-K
33,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2923100000,2012-03-31,2012-08-20,10-K
34,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2910900000,2012-03-31,2013-08-19,10-K
35,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,10665200000,2012-06-30,2012-08-20,10-K
36,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,10616000000,2012-06-30,2013-08-19,10-K
37,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,10595400000,2012-06-30,2014-08-08,10-K
38,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2636600000,2012-06-30,2012-08-20,10-K
39,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2623600000,2012-06-30,2013-08-19,10-K
40,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2637500000,2012-09-30,2013-08-19,10-K
41,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2632700000,2012-09-30,2014-08-08,10-K
42,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2747800000,2012-12-31,2013-08-19,10-K
43,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2742800000,2012-12-31,2014-08-08,10-K
44,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,3114300000,2013-03-31,2013-08-19,10-K
45,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,3109300000,2013-03-31,2014-08-08,10-K
46,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,11310100000,2013-06-30,2013-08-19,10-K
47,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,11287600000,2013-06-30,2014-08-08,10-K
48,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,9442000000,2013-06-30,2015-08-07,10-K
49,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2810500000,2013-06-30,2013-08-19,10-K
50,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2802800000,2013-06-30,2014-08-08,10-K
51,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2834800000,2013-09-30,2014-08-08,10-K
52,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2355400000,2013-09-30,2015-08-07,10-K
53,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2977900000,2013-12-31,2014-08-08,10-K
54,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2486600000,2013-12-31,2015-08-07,10-K
55,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,3320000000,2014-03-31,2014-08-08,10-K
56,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2817800000,2014-03-31,2015-08-07,10-K
57,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,12206500000,2014-06-30,2014-08-08,10-K
58,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,10226400000,2014-06-30,2015-08-07,10-K
59,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,10226400000,2014-06-30,2016-08-05,10-K
60,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,3073700000,2014-06-30,2014-08-08,10-K
61,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2566600000,2014-06-30,2015-08-07,10-K
62,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2566100000,2014-09-30,2015-08-07,10-K
63,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2566100000,2014-09-30,2016-08-05,10-K
64,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2653600000,2014-12-31,2015-08-07,10-K
65,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2653600000,2014-12-31,2016-08-05,10-K
66,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,3024300000,2015-03-31,2015-08-07,10-K
67,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,3024300000,2015-03-31,2016-08-05,10-K
68,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,10938500000,2015-06-30,2015-08-07,10-K
69,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,10938500000,2015-06-30,2016-08-05,10-K
70,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,10938500000,2015-06-30,2017-08-04,10-K
71,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2694500000,2015-06-30,2015-08-07,10-K
72,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2694500000,2015-06-30,2016-08-05,10-K
73,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2714000000,2015-09-30,2016-08-05,10-K
74,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2714000000,2015-09-30,2017-08-04,10-K
75,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2807000000,2015-12-31,2016-08-05,10-K
76,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,2807000000,2015-12-31,2017-08-04,10-K
77,ADP,"AUTOMATIC DATA PROCESSING, INC.",revenue,3248600000,2016-03-31,2016-08-05,10-K
