,ticker,company,concept,value,end_date,filed,form
0,AEE,AMEREN CORPORATION,revenue,7562000000,2007-12-31,2010-02-26,10-K
1,AEE,AMEREN CORPORATION,revenue,7839000000,2008-12-31,2010-02-26,10-K
2,AEE,AMEREN CORPORATION,revenue,7869000000,2008-12-31,2011-02-24,10-K
3,AEE,AMEREN CORPORATION,revenue,1931000000,2009-03-31,2011-02-24,10-K
4,AEE,AMEREN CORPORATION,revenue,1696000000,2009-06-30,2011-02-24,10-K
5,AEE,AMEREN CORPORATION,revenue,1824000000,2009-09-30,2011-02-24,10-K
6,AEE,AMEREN CORPORATION,revenue,7135000000,2009-12-31,2012-02-28,10-K
7,AEE,AMEREN CORPORATION,revenue,7090000000,2009-12-31,2010-02-26,10-K
8,AEE,AMEREN CORPORATION,revenue,7135000000,2009-12-31,2011-02-24,10-K
9,AEE,AMEREN CORPORATION,revenue,1684000000,2009-12-31,2011-02-24,10-K
10,AEE,AMEREN CORPORATION,revenue,1940000000,2010-03-31,2012-02-28,10-K
11,AEE,AMEREN CORPORATION,revenue,1940000000,2010-03-31,2011-02-24,10-K
12,AEE,AMEREN CORPORATION,revenue,1725000000,2010-06-30,2012-02-28,10-K
13,AEE,AMEREN CORPORATION,revenue,1725000000,2010-06-30,2011-02-24,10-K
14,AEE,AMEREN CORPORATION,revenue,2267000000,2010-09-30,2011-02-24,10-K
15,AEE,AMEREN CORPORATION,revenue,2267000000,2010-09-30,2012-02-28,10-K
16,AEE,AMEREN CORPORATION,revenue,7638000000,2010-12-31,2012-02-28,10-K
17,AEE,AMEREN CORPORATION,revenue,7638000000,2010-12-31,2011-02-24,10-K
18,AEE,AMEREN CORPORATION,revenue,7638000000,2010-12-31,2013-03-01,10-K
19,AEE,AMEREN CORPORATION,revenue,1706000000,2010-12-31,2011-02-24,10-K
20,AEE,AMEREN CORPORATION,revenue,1706000000,2010-12-31,2012-02-28,10-K
21,AEE,AMEREN CORPORATION,revenue,1904000000,2011-03-31,2012-02-28,10-K
22,AEE,AMEREN CORPORATION,revenue,1904000000,2011-03-31,2013-03-01,10-K
23,AEE,AMEREN CORPORATION,revenue,1781000000,2011-06-30,2012-02-28,10-K
24,AEE,AMEREN CORPORATION,revenue,1781000000,2011-06-30,2013-03-01,10-K
25,AEE,AMEREN CORPORATION,revenue,2268000000,2011-09-30,2012-02-28,10-K
26,AEE,AMEREN CORPORATION,revenue,2268000000,2011-09-30,2013-03-01,10-K
27,AEE,AMEREN CORPORATION,revenue,7531000000,2011-12-31,2012-02-28,10-K
28,AEE,AMEREN CORPORATION,revenue,7531000000,2011-12-31,2013-03-01,10-K
29,AEE,AMEREN CORPORATION,revenue,6148000000,2011-12-31,2014-03-03,10-K
30,AEE,AMEREN CORPORATION,revenue,1578000000,2011-12-31,2012-02-28,10-K
31,AEE,AMEREN CORPORATION,revenue,1578000000,2011-12-31,2013-03-01,10-K
32,AEE,AMEREN CORPORATION,revenue,1658000000,2012-03-31,2013-03-01,10-K
33,AEE,AMEREN CORPORATION,revenue,1412000000,2012-03-31,2014-03-03,10-K
34,AEE,AMEREN CORPORATION,revenue,1660000000,2012-06-30,2013-03-01,10-K
35,AEE,AMEREN CORPORATION,revenue,1402000000,2012-06-30,2014-03-03,10-K
36,AEE,AMEREN CORPORATION,revenue,2001000000,2012-09-30,2013-03-01,10-K
37,AEE,AMEREN CORPORATION,revenue,1709000000,2012-09-30,2014-03-03,10-K
