,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
118,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2025-12-31,10-K,2026-02-12,197000000.0,47322000000.0,,5319000000.0,21876000000.0,21702000000.0,31138000000.0,114460000000.0,82204000000.0
116,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2024-12-31,10-K,2025-02-13,202900000.0,42642800000.0,,4303600000.0,19721300000.0,19969700000.0,26943800000.0,103078000000.0,76054100000.0
117,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2024-12-31,10-K,2026-02-12,203000000.0,42643000000.0,,4304000000.0,19721000000.0,19970000000.0,26944000000.0,103078000000.0,76054000000.0
113,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2023-12-31,10-K,2024-02-26,330100000.0,40143200000.0,,3556200000.0,18982300000.0,,25246700000.0,96684000000.0,71355600000.0
114,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2023-12-31,10-K,2025-02-13,330100000.0,40143200000.0,,3556200000.0,18982300000.0,19454800000.0,25246700000.0,96684000000.0,71355600000.0
115,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2023-12-31,10-K,2026-02-12,,,,3556000000.0,18982000000.0,19456000000.0,,,
110,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2022-12-31,10-K,2023-02-23,509400000.0,35622600000.0,,3482700000.0,19639500000.0,,23893400000.0,93469400000.0,69301100000.0
111,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2022-12-31,10-K,2024-02-26,509400000.0,36801000000.0,,3482700000.0,19639500000.0,,23893400000.0,93403300000.0,69235000000.0
112,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2022-12-31,10-K,2025-02-13,,,,3482700000.0,19639500000.0,19391700000.0,,,
107,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2021-12-31,10-K,2022-02-24,403400000.0,33454500000.0,,3411300000.0,16792000000.0,,22433200000.0,87668700000.0,64945200000.0
