,ticker,company,concept,value,end_date,filed,form
0,AES,AES CORP,revenue,13110000000,2009-12-31,2012-02-27,10-K
1,AES,AES CORP,revenue,15828000000,2010-12-31,2012-02-27,10-K
2,AES,AES CORP,revenue,15443000000,2010-12-31,2013-02-27,10-K
3,AES,AES CORP,revenue,17274000000,2011-12-31,2012-02-27,10-K
4,AES,AES CORP,revenue,16923000000,2011-12-31,2013-02-27,10-K
5,AES,AES CORP,revenue,16098000000,2011-12-31,2014-02-26,10-K
6,AES,AES CORP,revenue,18141000000,2012-12-31,2013-02-27,10-K
7,AES,AES CORP,revenue,17164000000,2012-12-31,2014-02-26,10-K
8,AES,AES CORP,revenue,17164000000,2012-12-31,2015-02-26,10-K
9,AES,AES CORP,revenue,15891000000,2013-12-31,2014-02-26,10-K
10,AES,AES CORP,revenue,15891000000,2013-12-31,2015-02-26,10-K
11,AES,AES CORP,revenue,15891000000,2013-12-31,2016-02-24,10-K
12,AES,AES CORP,revenue,17146000000,2014-12-31,2015-02-26,10-K
13,AES,AES CORP,revenue,17146000000,2014-12-31,2016-02-24,10-K
14,AES,AES CORP,revenue,16124000000,2014-12-31,2017-02-27,10-K
15,AES,AES CORP,revenue,3758000000,2015-03-31,2017-02-27,10-K
16,AES,AES CORP,revenue,3656000000,2015-06-30,2017-02-27,10-K
17,AES,AES CORP,revenue,3522000000,2015-09-30,2017-02-27,10-K
18,AES,AES CORP,revenue,14963000000,2015-12-31,2016-02-24,10-K
19,AES,AES CORP,revenue,14155000000,2015-12-31,2017-02-27,10-K
20,AES,AES CORP,revenue,11260000000,2015-12-31,2018-02-27,10-K
21,AES,AES CORP,revenue,3219000000,2015-12-31,2017-02-27,10-K
22,AES,AES CORP,revenue,3271000000,2016-03-31,2017-02-27,10-K
23,AES,AES CORP,revenue,2530000000,2016-03-31,2018-02-27,10-K
24,AES,AES CORP,revenue,3229000000,2016-06-30,2017-02-27,10-K
25,AES,AES CORP,revenue,2452000000,2016-06-30,2018-02-27,10-K
26,AES,AES CORP,revenue,3542000000,2016-09-30,2017-02-27,10-K
27,AES,AES CORP,revenue,2639000000,2016-09-30,2018-02-27,10-K
28,AES,AES CORP,revenue,13586000000,2016-12-31,2017-02-27,10-K
29,AES,AES CORP,revenue,10281000000,2016-12-31,2018-02-27,10-K
30,AES,AES CORP,revenue,10281000000,2016-12-31,2019-02-27,10-K
31,AES,AES CORP,revenue,3544000000,2016-12-31,2017-02-27,10-K
32,AES,AES CORP,revenue,2660000000,2016-12-31,2018-02-27,10-K
33,AES,AES CORP,revenue,2581000000,2017-03-31,2018-02-27,10-K
34,AES,AES CORP,revenue,2581000000,2017-03-31,2019-02-27,10-K
35,AES,AES CORP,revenue,2613000000,2017-06-30,2018-02-27,10-K
36,AES,AES CORP,revenue,2613000000,2017-06-30,2019-02-27,10-K
37,AES,AES CORP,revenue,2693000000,2017-09-30,2018-02-27,10-K
38,AES,AES CORP,revenue,2693000000,2017-09-30,2019-02-27,10-K
39,AES,AES CORP,revenue,10530000000,2017-12-31,2018-02-27,10-K
40,AES,AES CORP,revenue,10530000000,2017-12-31,2019-02-27,10-K
41,AES,AES CORP,revenue,10530000000,2017-12-31,2020-02-28,10-K
42,AES,AES CORP,revenue,2643000000,2017-12-31,2018-02-27,10-K
43,AES,AES CORP,revenue,2643000000,2017-12-31,2019-02-27,10-K
44,AES,AES CORP,revenue,2740000000,2018-03-31,2019-02-27,10-K
45,AES,AES CORP,revenue,2740000000,2018-03-31,2020-02-28,10-K
46,AES,AES CORP,revenue,2537000000,2018-06-30,2019-02-27,10-K
47,AES,AES CORP,revenue,2537000000,2018-06-30,2020-02-28,10-K
48,AES,AES CORP,revenue,2837000000,2018-09-30,2019-02-27,10-K
49,AES,AES CORP,revenue,2837000000,2018-09-30,2020-02-28,10-K
50,AES,AES CORP,revenue,10736000000,2018-12-31,2019-02-27,10-K
51,AES,AES CORP,revenue,10736000000,2018-12-31,2020-02-28,10-K
52,AES,AES CORP,revenue,10736000000,2018-12-31,2021-02-25,10-K
53,AES,AES CORP,revenue,2622000000,2018-12-31,2019-02-27,10-K
54,AES,AES CORP,revenue,2622000000,2018-12-31,2020-02-28,10-K
55,AES,AES CORP,revenue,2650000000,2019-03-31,2020-02-28,10-K
56,AES,AES CORP,revenue,2650000000,2019-03-31,2021-02-25,10-K
57,AES,AES CORP,revenue,2483000000,2019-06-30,2020-02-28,10-K
58,AES,AES CORP,revenue,2483000000,2019-06-30,2021-02-25,10-K
59,AES,AES CORP,revenue,2625000000,2019-09-30,2020-02-28,10-K
60,AES,AES CORP,revenue,2625000000,2019-09-30,2021-02-25,10-K
61,AES,AES CORP,revenue,10189000000,2019-12-31,2020-02-28,10-K
62,AES,AES CORP,revenue,10189000000,2019-12-31,2021-02-25,10-K
63,AES,AES CORP,revenue,10189000000,2019-12-31,2022-02-28,10-K
64,AES,AES CORP,revenue,2431000000,2019-12-31,2020-02-28,10-K
65,AES,AES CORP,revenue,2431000000,2019-12-31,2021-02-25,10-K
66,AES,AES CORP,revenue,2338000000,2020-03-31,2021-02-25,10-K
67,AES,AES CORP,revenue,2338000000,2020-03-31,2022-02-28,10-K
68,AES,AES CORP,revenue,2217000000,2020-06-30,2021-02-25,10-K
69,AES,AES CORP,revenue,2217000000,2020-06-30,2022-02-28,10-K
70,AES,AES CORP,revenue,2545000000,2020-09-30,2021-02-25,10-K
71,AES,AES CORP,revenue,2545000000,2020-09-30,2022-02-28,10-K
72,AES,AES CORP,revenue,9660000000,2020-12-31,2021-02-25,10-K
73,AES,AES CORP,revenue,9660000000,2020-12-31,2022-02-28,10-K
74,AES,AES CORP,revenue,9660000000,2020-12-31,2023-03-01,10-K
75,AES,AES CORP,revenue,2560000000,2020-12-31,2021-02-25,10-K
76,AES,AES CORP,revenue,2560000000,2020-12-31,2022-02-28,10-K
77,AES,AES CORP,revenue,2635000000,2021-03-31,2022-02-28,10-K
78,AES,AES CORP,revenue,2635000000,2021-03-31,2023-03-01,10-K
79,AES,AES CORP,revenue,2700000000,2021-06-30,2022-02-28,10-K
80,AES,AES CORP,revenue,2700000000,2021-06-30,2023-03-01,10-K
81,AES,AES CORP,revenue,3036000000,2021-09-30,2022-02-28,10-K
82,AES,AES CORP,revenue,3036000000,2021-09-30,2023-03-01,10-K
83,AES,AES CORP,revenue,11141000000,2021-12-31,2022-02-28,10-K
84,AES,AES CORP,revenue,11141000000,2021-12-31,2023-03-01,10-K
85,AES,AES CORP,revenue,11141000000,2021-12-31,2024-02-26,10-K
86,AES,AES CORP,revenue,2770000000,2021-12-31,2022-02-28,10-K
87,AES,AES CORP,revenue,2770000000,2021-12-31,2023-03-01,10-K
88,AES,AES CORP,revenue,2852000000,2022-03-31,2023-03-01,10-K
89,AES,AES CORP,revenue,3078000000,2022-06-30,2023-03-01,10-K
90,AES,AES CORP,revenue,3627000000,2022-09-30,2023-03-01,10-K
91,AES,AES CORP,revenue,12617000000,2022-12-31,2023-03-01,10-K
92,AES,AES CORP,revenue,12617000000,2022-12-31,2024-02-26,10-K
93,AES,AES CORP,revenue,12617000000,2022-12-31,2025-03-11,10-K
94,AES,AES CORP,revenue,3060000000,2022-12-31,2023-03-01,10-K
95,AES,AES CORP,revenue,12668000000,2023-12-31,2024-02-26,10-K
96,AES,AES CORP,revenue,12668000000,2023-12-31,2025-03-11,10-K
97,AES,AES CORP,revenue,12668000000,2023-12-31,2026-03-02,10-K
98,AES,AES CORP,revenue,6027000000,2024-06-30,2025-03-11,10-K
99,AES,AES CORP,revenue,2942000000,2024-06-30,2025-03-11,10-K
100,AES,AES CORP,revenue,9316000000,2024-09-30,2025-03-11,10-K
101,AES,AES CORP,revenue,3289000000,2024-09-30,2025-03-11,10-K
102,AES,AES CORP,revenue,12278000000,2024-12-31,2025-03-11,10-K
103,AES,AES CORP,revenue,12278000000,2024-12-31,2026-03-02,10-K
104,AES,AES CORP,revenue,12233000000,2025-12-31,2026-03-02,10-K
105,AES,AES CORP,net_income,-95000000,2007-12-31,2010-02-26,10-K
106,AES,AES CORP,net_income,1234000000,2008-12-31,2010-02-26,10-K
107,AES,AES CORP,net_income,1234000000,2008-12-31,2011-02-28,10-K
108,AES,AES CORP,net_income,218000000,2009-03-31,2011-02-28,10-K
109,AES,AES CORP,net_income,303000000,2009-06-30,2011-02-28,10-K
110,AES,AES CORP,net_income,185000000,2009-09-30,2011-02-28,10-K
111,AES,AES CORP,net_income,658000000,2009-12-31,2011-02-28,10-K
112,AES,AES CORP,net_income,658000000,2009-12-31,2010-02-26,10-K
113,AES,AES CORP,net_income,658000000,2009-12-31,2012-02-27,10-K
114,AES,AES CORP,net_income,-48000000,2009-12-31,2011-02-28,10-K
115,AES,AES CORP,net_income,187000000,2010-03-31,2011-02-28,10-K
116,AES,AES CORP,net_income,187000000,2010-03-31,2012-02-27,10-K
117,AES,AES CORP,net_income,144000000,2010-06-30,2011-02-28,10-K
118,AES,AES CORP,net_income,144000000,2010-06-30,2012-02-27,10-K
119,AES,AES CORP,net_income,114000000,2010-09-30,2011-02-28,10-K
120,AES,AES CORP,net_income,114000000,2010-09-30,2012-02-27,10-K
121,AES,AES CORP,net_income,9000000,2010-12-31,2011-02-28,10-K
122,AES,AES CORP,net_income,9000000,2010-12-31,2012-02-27,10-K
123,AES,AES CORP,net_income,9000000,2010-12-31,2013-02-27,10-K
124,AES,AES CORP,net_income,-436000000,2010-12-31,2011-02-28,10-K
125,AES,AES CORP,net_income,-436000000,2010-12-31,2012-02-27,10-K
126,AES,AES CORP,net_income,224000000,2011-03-31,2012-02-27,10-K
127,AES,AES CORP,net_income,224000000,2011-03-31,2013-02-27,10-K
128,AES,AES CORP,net_income,174000000,2011-06-30,2012-02-27,10-K
129,AES,AES CORP,net_income,174000000,2011-06-30,2013-02-27,10-K
130,AES,AES CORP,net_income,-131000000,2011-09-30,2012-02-27,10-K
131,AES,AES CORP,net_income,-131000000,2011-09-30,2013-02-27,10-K
132,AES,AES CORP,net_income,58000000,2011-12-31,2012-02-27,10-K
133,AES,AES CORP,net_income,58000000,2011-12-31,2013-02-27,10-K
134,AES,AES CORP,net_income,58000000,2011-12-31,2014-02-26,10-K
135,AES,AES CORP,net_income,-209000000,2011-12-31,2012-02-27,10-K
136,AES,AES CORP,net_income,-209000000,2011-12-31,2013-02-27,10-K
137,AES,AES CORP,net_income,341000000,2012-03-31,2013-02-27,10-K
138,AES,AES CORP,net_income,341000000,2012-03-31,2014-02-26,10-K
139,AES,AES CORP,net_income,140000000,2012-06-30,2013-02-27,10-K
140,AES,AES CORP,net_income,140000000,2012-06-30,2014-02-26,10-K
141,AES,AES CORP,net_income,-1568000000,2012-09-30,2013-02-27,10-K
142,AES,AES CORP,net_income,-1568000000,2012-09-30,2014-02-26,10-K
143,AES,AES CORP,net_income,-912000000,2012-12-31,2013-02-27,10-K
144,AES,AES CORP,net_income,-912000000,2012-12-31,2014-02-26,10-K
145,AES,AES CORP,net_income,-912000000,2012-12-31,2015-02-26,10-K
146,AES,AES CORP,net_income,175000000,2012-12-31,2013-02-27,10-K
147,AES,AES CORP,net_income,175000000,2012-12-31,2014-02-26,10-K
148,AES,AES CORP,net_income,82000000,2013-03-31,2014-02-26,10-K
149,AES,AES CORP,net_income,82000000,2013-03-31,2015-02-26,10-K
150,AES,AES CORP,net_income,167000000,2013-06-30,2014-02-26,10-K
151,AES,AES CORP,net_income,167000000,2013-06-30,2015-02-26,10-K
152,AES,AES CORP,net_income,71000000,2013-09-30,2014-02-26,10-K
153,AES,AES CORP,net_income,71000000,2013-09-30,2015-02-26,10-K
154,AES,AES CORP,net_income,114000000,2013-12-31,2014-02-26,10-K
155,AES,AES CORP,net_income,114000000,2013-12-31,2015-02-26,10-K
156,AES,AES CORP,net_income,114000000,2013-12-31,2016-02-24,10-K
157,AES,AES CORP,net_income,-206000000,2013-12-31,2014-02-26,10-K
158,AES,AES CORP,net_income,-206000000,2013-12-31,2015-02-26,10-K
159,AES,AES CORP,net_income,-58000000,2014-03-31,2015-02-26,10-K
