,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
139,AFL,Aflac Incorporated,2025-12-31,10-K,2026-02-25,6245000000.0,3646000000.0,,17164000000.0,518690000.0,29490000000.0,116470000000.0,86980000000.0
137,AFL,Aflac Incorporated,2024-12-31,10-K,2025-02-26,6229000000.0,5443000000.0,,18927000000.0,549964000.0,26098000000.0,117566000000.0,91468000000.0
138,AFL,Aflac Incorporated,2024-12-31,10-K,2026-02-25,6229000000.0,5443000000.0,,18927000000.0,549964000.0,26098000000.0,117566000000.0,91468000000.0
134,AFL,Aflac Incorporated,2023-12-31,10-K,2024-02-22,4306000000.0,4659000000.0,,3777000000.0,578479000.0,21985000000.0,126724000000.0,104739000000.0
135,AFL,Aflac Incorporated,2023-12-31,10-K,2025-02-26,4306000000.0,4659000000.0,,18701000000.0,578479000.0,21985000000.0,126724000000.0,104739000000.0
136,AFL,Aflac Incorporated,2023-12-31,10-K,2026-02-25,,4659000000.0,,18701000000.0,578479000.0,21985000000.0,,
133,AFL,Aflac Incorporated,2023-09-30,10-K,2024-02-22,,,,4950000000.0,,,,
132,AFL,Aflac Incorporated,2023-06-30,10-K,2024-02-22,,,,5172000000.0,,,,
131,AFL,Aflac Incorporated,2023-03-31,10-K,2024-02-22,,,,4800000000.0,,,,
127,AFL,Aflac Incorporated,2022-12-31,10-K,2023-02-24,3943000000.0,4201000000.0,4157000000.0,19502000000.0,615256000.0,22365000000.0,131017000000.0,108652000000.0
128,AFL,Aflac Incorporated,2022-12-31,10-K,2024-02-22,3943000000.0,4418000000.0,,3948000000.0,615256000.0,20140000000.0,131738000000.0,111598000000.0
129,AFL,Aflac Incorporated,2022-12-31,10-K,2025-02-26,,4418000000.0,,19140000000.0,615256000.0,20140000000.0,,
130,AFL,Aflac Incorporated,2022-12-31,10-K,2026-02-25,,,,,,20140000000.0,,
126,AFL,Aflac Incorporated,2022-09-30,10-K,2024-02-22,,,,4704000000.0,,,,
125,AFL,Aflac Incorporated,2022-06-30,10-K,2024-02-22,,,,5315000000.0,,,,
124,AFL,Aflac Incorporated,2022-03-31,10-K,2024-02-22,,,,5173000000.0,,,,
120,AFL,Aflac Incorporated,2021-12-31,10-K,2022-02-23,5051000000.0,4325000000.0,4934000000.0,22106000000.0,652132000.0,33253000000.0,157542000000.0,124289000000.0
121,AFL,Aflac Incorporated,2021-12-31,10-K,2023-02-24,5051000000.0,4325000000.0,4934000000.0,22106000000.0,652132000.0,33253000000.0,157542000000.0,124289000000.0
122,AFL,Aflac Incorporated,2021-12-31,10-K,2024-02-22,,4231000000.0,,21554000000.0,652132000.0,17031000000.0,,
123,AFL,Aflac Incorporated,2021-12-31,10-K,2025-02-26,,,,,,17031000000.0,,
116,AFL,Aflac Incorporated,2020-12-31,10-K,2021-02-23,5141000000.0,4778000000.0,4416000000.0,5913000000.0,692454000.0,33559000000.0,165086000000.0,131527000000.0
117,AFL,Aflac Incorporated,2020-12-31,10-K,2022-02-23,5141000000.0,4778000000.0,4416000000.0,22147000000.0,692454000.0,33559000000.0,165086000000.0,131527000000.0
118,AFL,Aflac Incorporated,2020-12-31,10-K,2023-02-24,,4778000000.0,4416000000.0,22147000000.0,692454000.0,33559000000.0,,
119,AFL,Aflac Incorporated,2020-12-31,10-K,2024-02-22,,,,,,33559000000.0,,
115,AFL,Aflac Incorporated,2020-09-30,10-K,2021-02-23,,,,5665000000.0,,,,
114,AFL,Aflac Incorporated,2020-06-30,10-K,2021-02-23,,,,5407000000.0,,,,
113,AFL,Aflac Incorporated,2020-03-31,10-K,2021-02-23,,,,5162000000.0,,,,
109,AFL,Aflac Incorporated,2019-12-31,10-K,2020-02-21,4896000000.0,3304000000.0,4461000000.0,5603000000.0,726793000.0,28959000000.0,152768000000.0,123809000000.0
110,AFL,Aflac Incorporated,2019-12-31,10-K,2021-02-23,4896000000.0,3304000000.0,4461000000.0,5603000000.0,726793000.0,28959000000.0,152768000000.0,123809000000.0
111,AFL,Aflac Incorporated,2019-12-31,10-K,2022-02-23,,3304000000.0,4461000000.0,22307000000.0,726793000.0,28959000000.0,,
112,AFL,Aflac Incorporated,2019-12-31,10-K,2023-02-24,,,,,,28959000000.0,,
107,AFL,Aflac Incorporated,2019-09-30,10-K,2020-02-21,,,,5536000000.0,,,,
108,AFL,Aflac Incorporated,2019-09-30,10-K,2021-02-23,,,,5536000000.0,,,,
105,AFL,Aflac Incorporated,2019-06-30,10-K,2020-02-21,,,,5511000000.0,,,,
106,AFL,Aflac Incorporated,2019-06-30,10-K,2021-02-23,,,,5511000000.0,,,,
103,AFL,Aflac Incorporated,2019-03-31,10-K,2020-02-21,,,,5657000000.0,,,,
104,AFL,Aflac Incorporated,2019-03-31,10-K,2021-02-23,,,,5657000000.0,,,,
99,AFL,Aflac Incorporated,2018-12-31,10-K,2019-02-25,4337000000.0,2920000000.0,4354000000.0,5126000000.0,755286000.0,23462000000.0,140406000000.0,116944000000.0
100,AFL,Aflac Incorporated,2018-12-31,10-K,2020-02-21,4337000000.0,2920000000.0,4354000000.0,5126000000.0,755286000.0,23462000000.0,140406000000.0,116944000000.0
101,AFL,Aflac Incorporated,2018-12-31,10-K,2021-02-23,,2920000000.0,4354000000.0,21758000000.0,755286000.0,23462000000.0,,
102,AFL,Aflac Incorporated,2018-12-31,10-K,2022-02-23,,,,,,23462000000.0,,
97,AFL,Aflac Incorporated,2018-09-30,10-K,2019-02-25,,,,5577000000.0,,,,
98,AFL,Aflac Incorporated,2018-09-30,10-K,2020-02-21,,,,5577000000.0,,,,
95,AFL,Aflac Incorporated,2018-06-30,10-K,2019-02-25,,,,5589000000.0,,,,
96,AFL,Aflac Incorporated,2018-06-30,10-K,2020-02-21,,,,5589000000.0,,,,
93,AFL,Aflac Incorporated,2018-03-31,10-K,2019-02-25,,,,5464000000.0,,,,
94,AFL,Aflac Incorporated,2018-03-31,10-K,2020-02-21,,,,5464000000.0,,,,
89,AFL,Aflac Incorporated,2017-12-31,10-K,2018-02-23,3491000000.0,4604000000.0,4087000000.0,5424000000.0,390455000.0,24598000000.0,137217000000.0,112619000000.0
90,AFL,Aflac Incorporated,2017-12-31,10-K,2019-02-25,3491000000.0,4604000000.0,4087000000.0,5424000000.0,780910000.0,24598000000.0,137217000000.0,112619000000.0
91,AFL,Aflac Incorporated,2017-12-31,10-K,2020-02-21,3491000000.0,4604000000.0,4087000000.0,21667000000.0,780910000.0,24598000000.0,,
92,AFL,Aflac Incorporated,2017-12-31,10-K,2021-02-23,,,,,,24598000000.0,,
87,AFL,Aflac Incorporated,2017-09-30,10-K,2018-02-23,,,,5506000000.0,,,,
88,AFL,Aflac Incorporated,2017-09-30,10-K,2019-02-25,,,,5506000000.0,,,,
85,AFL,Aflac Incorporated,2017-06-30,10-K,2018-02-23,,,,5428000000.0,,,,
86,AFL,Aflac Incorporated,2017-06-30,10-K,2019-02-25,,,,5428000000.0,,,,
83,AFL,Aflac Incorporated,2017-03-31,10-K,2018-02-23,,,,5309000000.0,,,,
84,AFL,Aflac Incorporated,2017-03-31,10-K,2019-02-25,,,,5309000000.0,,,,
79,AFL,Aflac Incorporated,2016-12-31,10-K,2017-02-24,4859000000.0,2659000000.0,4303000000.0,5955000000.0,405810000.0,20482000000.0,129819000000.0,109337000000.0
80,AFL,Aflac Incorporated,2016-12-31,10-K,2018-02-23,4859000000.0,2659000000.0,4117000000.0,5955000000.0,405810000.0,20482000000.0,129819000000.0,109337000000.0
81,AFL,Aflac Incorporated,2016-12-31,10-K,2019-02-25,4859000000.0,2659000000.0,4117000000.0,22559000000.0,811621000.0,20482000000.0,,
82,AFL,Aflac Incorporated,2016-12-31,10-K,2020-02-21,4859000000.0,,,,,20482000000.0,,
77,AFL,Aflac Incorporated,2016-09-30,10-K,2017-02-24,,,,5716000000.0,,,,
78,AFL,Aflac Incorporated,2016-09-30,10-K,2018-02-23,,,,5716000000.0,,,,
75,AFL,Aflac Incorporated,2016-06-30,10-K,2017-02-24,,,,5437000000.0,,,,
76,AFL,Aflac Incorporated,2016-06-30,10-K,2018-02-23,,,,5437000000.0,,,,
73,AFL,Aflac Incorporated,2016-03-31,10-K,2017-02-24,,,,5451000000.0,,,,
74,AFL,Aflac Incorporated,2016-03-31,10-K,2018-02-23,,,,5451000000.0,,,,
69,AFL,Aflac Incorporated,2015-12-31,10-K,2016-02-25,4350000000.0,2533000000.0,4073000000.0,5319000000.0,424380000.0,17708000000.0,118296000000.0,100588000000.0
70,AFL,Aflac Incorporated,2015-12-31,10-K,2017-02-24,4350000000.0,2533000000.0,4073000000.0,5319000000.0,424380000.0,17708000000.0,118256000000.0,100548000000.0
71,AFL,Aflac Incorporated,2015-12-31,10-K,2018-02-23,4350000000.0,2533000000.0,4001000000.0,20872000000.0,424380000.0,17708000000.0,118256000000.0,
72,AFL,Aflac Incorporated,2015-12-31,10-K,2019-02-25,4350000000.0,,,,,,,
67,AFL,Aflac Incorporated,2015-09-30,10-K,2016-02-25,,,,5040000000.0,,,,
68,AFL,Aflac Incorporated,2015-09-30,10-K,2017-02-24,,,,5040000000.0,,,,
65,AFL,Aflac Incorporated,2015-06-30,10-K,2016-02-25,,,,5287000000.0,,,,
66,AFL,Aflac Incorporated,2015-06-30,10-K,2017-02-24,,,,5287000000.0,,,,
63,AFL,Aflac Incorporated,2015-03-31,10-K,2016-02-25,,,,5226000000.0,,,,
64,AFL,Aflac Incorporated,2015-03-31,10-K,2017-02-24,,,,5226000000.0,,,,
