,ticker,company,concept,value,end_date,filed,form
0,AFL,Aflac Incorporated,revenue,15393000000,2007-12-31,2010-02-26,10-K
1,AFL,Aflac Incorporated,revenue,16554000000,2008-12-31,2010-02-26,10-K
2,AFL,Aflac Incorporated,revenue,16554000000,2008-12-31,2011-02-25,10-K
3,AFL,Aflac Incorporated,revenue,4818000000,2009-03-31,2011-02-25,10-K
4,AFL,Aflac Incorporated,revenue,4313000000,2009-06-30,2011-02-25,10-K
5,AFL,Aflac Incorporated,revenue,4526000000,2009-09-30,2011-02-25,10-K
6,AFL,Aflac Incorporated,revenue,18254000000,2009-12-31,2011-02-25,10-K
7,AFL,Aflac Incorporated,revenue,18254000000,2009-12-31,2012-02-27,10-K
8,AFL,Aflac Incorporated,revenue,18254000000,2009-12-31,2010-02-26,10-K
9,AFL,Aflac Incorporated,revenue,4597000000,2009-12-31,2011-02-25,10-K
10,AFL,Aflac Incorporated,revenue,5065000000,2010-03-31,2011-02-25,10-K
11,AFL,Aflac Incorporated,revenue,5065000000,2010-03-31,2012-02-27,10-K
12,AFL,Aflac Incorporated,revenue,4980000000,2010-06-30,2011-02-25,10-K
13,AFL,Aflac Incorporated,revenue,4980000000,2010-06-30,2012-02-27,10-K
14,AFL,Aflac Incorporated,revenue,5394000000,2010-09-30,2011-02-25,10-K
15,AFL,Aflac Incorporated,revenue,5394000000,2010-09-30,2012-02-27,10-K
16,AFL,Aflac Incorporated,revenue,20732000000,2010-12-31,2011-02-25,10-K
17,AFL,Aflac Incorporated,revenue,20732000000,2010-12-31,2012-02-27,10-K
18,AFL,Aflac Incorporated,revenue,20732000000,2010-12-31,2013-02-27,10-K
19,AFL,Aflac Incorporated,revenue,5294000000,2010-12-31,2011-02-25,10-K
20,AFL,Aflac Incorporated,revenue,5294000000,2010-12-31,2012-02-27,10-K
21,AFL,Aflac Incorporated,revenue,5117000000,2011-03-31,2012-02-27,10-K
22,AFL,Aflac Incorporated,revenue,5117000000,2011-03-31,2013-02-27,10-K
23,AFL,Aflac Incorporated,revenue,5088000000,2011-06-30,2012-02-27,10-K
24,AFL,Aflac Incorporated,revenue,5088000000,2011-06-30,2013-02-27,10-K
25,AFL,Aflac Incorporated,revenue,5987000000,2011-09-30,2012-02-27,10-K
26,AFL,Aflac Incorporated,revenue,5987000000,2011-09-30,2013-02-27,10-K
27,AFL,Aflac Incorporated,revenue,22171000000,2011-12-31,2012-02-27,10-K
28,AFL,Aflac Incorporated,revenue,22171000000,2011-12-31,2013-02-27,10-K
29,AFL,Aflac Incorporated,revenue,22171000000,2011-12-31,2014-02-27,10-K
30,AFL,Aflac Incorporated,revenue,5979000000,2011-12-31,2012-02-27,10-K
31,AFL,Aflac Incorporated,revenue,5979000000,2011-12-31,2013-02-27,10-K
32,AFL,Aflac Incorporated,revenue,6240000000,2012-03-31,2013-02-27,10-K
33,AFL,Aflac Incorporated,revenue,6240000000,2012-03-31,2014-02-27,10-K
34,AFL,Aflac Incorporated,revenue,5902000000,2012-06-30,2013-02-27,10-K
35,AFL,Aflac Incorporated,revenue,5902000000,2012-06-30,2014-02-27,10-K
36,AFL,Aflac Incorporated,revenue,6847000000,2012-09-30,2013-02-27,10-K
