,ticker,company,concept,value,end_date,filed,form
0,AIG,"American International Group, Inc.",revenue,103632000000,2007-12-31,2010-02-26,10-K
1,AIG,"American International Group, Inc.",revenue,6896000000,2008-12-31,2010-02-26,10-K
2,AIG,"American International Group, Inc.",revenue,-6840000000,2008-12-31,2011-02-24,10-K
3,AIG,"American International Group, Inc.",revenue,96004000000,2009-12-31,2010-02-26,10-K
4,AIG,"American International Group, Inc.",revenue,75352000000,2009-12-31,2011-02-24,10-K
5,AIG,"American International Group, Inc.",revenue,75447000000,2009-12-31,2012-02-23,10-K
6,AIG,"American International Group, Inc.",revenue,18555000000,2010-03-31,2012-02-23,10-K
7,AIG,"American International Group, Inc.",revenue,18314000000,2010-06-30,2012-02-23,10-K
8,AIG,"American International Group, Inc.",revenue,19455000000,2010-09-30,2012-02-23,10-K
9,AIG,"American International Group, Inc.",revenue,77301000000,2010-12-31,2011-02-24,10-K
10,AIG,"American International Group, Inc.",revenue,77526000000,2010-12-31,2012-02-23,10-K
11,AIG,"American International Group, Inc.",revenue,72829000000,2010-12-31,2013-02-21,10-K
12,AIG,"American International Group, Inc.",revenue,21202000000,2010-12-31,2012-02-23,10-K
13,AIG,"American International Group, Inc.",revenue,17436000000,2011-03-31,2012-02-23,10-K
14,AIG,"American International Group, Inc.",revenue,16283000000,2011-03-31,2013-02-21,10-K
15,AIG,"American International Group, Inc.",revenue,16676000000,2011-06-30,2012-02-23,10-K
16,AIG,"American International Group, Inc.",revenue,15547000000,2011-06-30,2013-02-21,10-K
17,AIG,"American International Group, Inc.",revenue,12716000000,2011-09-30,2012-02-23,10-K
18,AIG,"American International Group, Inc.",revenue,11606000000,2011-09-30,2013-02-21,10-K
19,AIG,"American International Group, Inc.",revenue,64237000000,2011-12-31,2012-02-23,10-K
20,AIG,"American International Group, Inc.",revenue,59812000000,2011-12-31,2013-02-21,10-K
21,AIG,"American International Group, Inc.",revenue,65105000000,2011-12-31,2014-02-20,10-K
22,AIG,"American International Group, Inc.",revenue,17409000000,2011-12-31,2012-02-23,10-K
23,AIG,"American International Group, Inc.",revenue,16376000000,2011-12-31,2013-02-21,10-K
24,AIG,"American International Group, Inc.",revenue,17291000000,2012-03-31,2013-02-21,10-K
25,AIG,"American International Group, Inc.",revenue,18649000000,2012-03-31,2014-02-20,10-K
26,AIG,"American International Group, Inc.",revenue,16006000000,2012-06-30,2013-02-21,10-K
27,AIG,"American International Group, Inc.",revenue,17338000000,2012-06-30,2014-02-20,10-K
28,AIG,"American International Group, Inc.",revenue,16505000000,2012-09-30,2013-02-21,10-K
29,AIG,"American International Group, Inc.",revenue,17865000000,2012-09-30,2014-02-20,10-K
30,AIG,"American International Group, Inc.",revenue,65656000000,2012-12-31,2013-02-21,10-K
31,AIG,"American International Group, Inc.",revenue,71021000000,2012-12-31,2014-02-20,10-K
32,AIG,"American International Group, Inc.",revenue,71214000000,2012-12-31,2015-02-20,10-K
33,AIG,"American International Group, Inc.",revenue,15854000000,2012-12-31,2013-02-21,10-K
34,AIG,"American International Group, Inc.",revenue,17169000000,2012-12-31,2014-02-20,10-K
35,AIG,"American International Group, Inc.",revenue,16962000000,2013-03-31,2014-02-20,10-K
36,AIG,"American International Group, Inc.",revenue,18426000000,2013-06-30,2014-02-20,10-K
37,AIG,"American International Group, Inc.",revenue,15944000000,2013-09-30,2014-02-20,10-K
38,AIG,"American International Group, Inc.",revenue,68678000000,2013-12-31,2014-02-20,10-K
39,AIG,"American International Group, Inc.",revenue,68874000000,2013-12-31,2015-02-20,10-K
40,AIG,"American International Group, Inc.",revenue,68874000000,2013-12-31,2016-02-19,10-K
41,AIG,"American International Group, Inc.",revenue,17346000000,2013-12-31,2014-02-20,10-K
42,AIG,"American International Group, Inc.",revenue,16163000000,2014-03-31,2016-02-19,10-K
43,AIG,"American International Group, Inc.",revenue,16136000000,2014-06-30,2016-02-19,10-K
44,AIG,"American International Group, Inc.",revenue,16697000000,2014-09-30,2016-02-19,10-K
45,AIG,"American International Group, Inc.",revenue,64406000000,2014-12-31,2015-02-20,10-K
46,AIG,"American International Group, Inc.",revenue,64406000000,2014-12-31,2016-02-19,10-K
47,AIG,"American International Group, Inc.",revenue,64406000000,2014-12-31,2017-02-23,10-K
48,AIG,"American International Group, Inc.",revenue,15410000000,2014-12-31,2016-02-19,10-K
49,AIG,"American International Group, Inc.",revenue,15975000000,2015-03-31,2016-02-19,10-K
50,AIG,"American International Group, Inc.",revenue,15975000000,2015-03-31,2017-02-23,10-K
51,AIG,"American International Group, Inc.",revenue,15699000000,2015-06-30,2016-02-19,10-K
52,AIG,"American International Group, Inc.",revenue,15699000000,2015-06-30,2017-02-23,10-K
53,AIG,"American International Group, Inc.",revenue,12822000000,2015-09-30,2016-02-19,10-K
54,AIG,"American International Group, Inc.",revenue,12822000000,2015-09-30,2017-02-23,10-K
55,AIG,"American International Group, Inc.",revenue,58327000000,2015-12-31,2016-02-19,10-K
56,AIG,"American International Group, Inc.",revenue,58327000000,2015-12-31,2017-02-23,10-K
57,AIG,"American International Group, Inc.",revenue,58327000000,2015-12-31,2018-02-16,10-K
58,AIG,"American International Group, Inc.",revenue,13831000000,2015-12-31,2016-02-19,10-K
59,AIG,"American International Group, Inc.",revenue,13831000000,2015-12-31,2017-02-23,10-K
60,AIG,"American International Group, Inc.",revenue,11779000000,2016-03-31,2017-02-23,10-K
61,AIG,"American International Group, Inc.",revenue,11779000000,2016-03-31,2018-02-16,10-K
62,AIG,"American International Group, Inc.",revenue,14724000000,2016-06-30,2017-02-23,10-K
63,AIG,"American International Group, Inc.",revenue,14724000000,2016-06-30,2018-02-16,10-K
64,AIG,"American International Group, Inc.",revenue,12854000000,2016-09-30,2017-02-23,10-K
65,AIG,"American International Group, Inc.",revenue,12854000000,2016-09-30,2018-02-16,10-K
66,AIG,"American International Group, Inc.",revenue,52367000000,2016-12-31,2017-02-23,10-K
67,AIG,"American International Group, Inc.",revenue,52367000000,2016-12-31,2018-02-16,10-K
68,AIG,"American International Group, Inc.",revenue,52367000000,2016-12-31,2019-02-15,10-K
69,AIG,"American International Group, Inc.",revenue,13010000000,2016-12-31,2017-02-23,10-K
70,AIG,"American International Group, Inc.",revenue,13010000000,2016-12-31,2018-02-16,10-K
71,AIG,"American International Group, Inc.",revenue,12632000000,2017-03-31,2018-02-16,10-K
72,AIG,"American International Group, Inc.",revenue,12632000000,2017-03-31,2019-02-15,10-K
73,AIG,"American International Group, Inc.",revenue,12502000000,2017-06-30,2018-02-16,10-K
74,AIG,"American International Group, Inc.",revenue,12502000000,2017-06-30,2019-02-15,10-K
75,AIG,"American International Group, Inc.",revenue,11751000000,2017-09-30,2018-02-16,10-K
76,AIG,"American International Group, Inc.",revenue,11751000000,2017-09-30,2019-02-15,10-K
77,AIG,"American International Group, Inc.",revenue,49520000000,2017-12-31,2018-02-16,10-K
78,AIG,"American International Group, Inc.",revenue,49520000000,2017-12-31,2019-02-15,10-K
79,AIG,"American International Group, Inc.",revenue,49520000000,2017-12-31,2020-02-21,10-K
80,AIG,"American International Group, Inc.",revenue,12635000000,2017-12-31,2018-02-16,10-K
81,AIG,"American International Group, Inc.",revenue,12635000000,2017-12-31,2019-02-15,10-K
82,AIG,"American International Group, Inc.",revenue,11712000000,2018-03-31,2019-02-15,10-K
83,AIG,"American International Group, Inc.",revenue,11712000000,2018-03-31,2020-02-21,10-K
84,AIG,"American International Group, Inc.",revenue,11631000000,2018-06-30,2019-02-15,10-K
85,AIG,"American International Group, Inc.",revenue,11631000000,2018-06-30,2020-02-21,10-K
86,AIG,"American International Group, Inc.",revenue,11486000000,2018-09-30,2019-02-15,10-K
87,AIG,"American International Group, Inc.",revenue,11486000000,2018-09-30,2020-02-21,10-K
88,AIG,"American International Group, Inc.",revenue,47389000000,2018-12-31,2019-02-15,10-K
89,AIG,"American International Group, Inc.",revenue,47389000000,2018-12-31,2020-02-21,10-K
90,AIG,"American International Group, Inc.",revenue,47389000000,2018-12-31,2021-02-19,10-K
91,AIG,"American International Group, Inc.",revenue,12560000000,2018-12-31,2019-02-15,10-K
92,AIG,"American International Group, Inc.",revenue,12560000000,2018-12-31,2020-02-21,10-K
93,AIG,"American International Group, Inc.",revenue,12456000000,2019-03-31,2020-02-21,10-K
94,AIG,"American International Group, Inc.",revenue,12561000000,2019-06-30,2020-02-21,10-K
95,AIG,"American International Group, Inc.",revenue,12914000000,2019-09-30,2020-02-21,10-K
96,AIG,"American International Group, Inc.",revenue,49746000000,2019-12-31,2020-02-21,10-K
97,AIG,"American International Group, Inc.",revenue,49746000000,2019-12-31,2021-02-19,10-K
98,AIG,"American International Group, Inc.",revenue,49746000000,2019-12-31,2022-02-17,10-K
99,AIG,"American International Group, Inc.",revenue,11815000000,2019-12-31,2020-02-21,10-K
100,AIG,"American International Group, Inc.",revenue,43736000000,2020-12-31,2021-02-19,10-K
101,AIG,"American International Group, Inc.",revenue,43736000000,2020-12-31,2022-02-17,10-K
102,AIG,"American International Group, Inc.",revenue,43736000000,2020-12-31,2023-02-17,10-K
103,AIG,"American International Group, Inc.",revenue,52057000000,2021-12-31,2022-02-17,10-K
104,AIG,"American International Group, Inc.",revenue,52057000000,2021-12-31,2023-02-17,10-K
105,AIG,"American International Group, Inc.",revenue,52157000000,2021-12-31,2024-02-14,10-K
106,AIG,"American International Group, Inc.",revenue,56437000000,2022-12-31,2023-02-17,10-K
107,AIG,"American International Group, Inc.",revenue,54450000000,2022-12-31,2024-02-14,10-K
108,AIG,"American International Group, Inc.",revenue,29996000000,2022-12-31,2025-02-13,10-K
109,AIG,"American International Group, Inc.",revenue,6709000000,2023-03-31,2025-02-13,10-K
110,AIG,"American International Group, Inc.",revenue,7436000000,2023-06-30,2025-02-13,10-K
111,AIG,"American International Group, Inc.",revenue,7267000000,2023-09-30,2025-02-13,10-K
112,AIG,"American International Group, Inc.",revenue,46802000000,2023-12-31,2024-02-14,10-K
113,AIG,"American International Group, Inc.",revenue,27938000000,2023-12-31,2025-02-13,10-K
114,AIG,"American International Group, Inc.",revenue,27938000000,2023-12-31,2026-02-12,10-K
115,AIG,"American International Group, Inc.",revenue,6526000000,2023-12-31,2025-02-13,10-K
116,AIG,"American International Group, Inc.",revenue,6763000000,2024-03-31,2025-02-13,10-K
117,AIG,"American International Group, Inc.",revenue,6560000000,2024-06-30,2025-02-13,10-K
118,AIG,"American International Group, Inc.",revenue,6751000000,2024-09-30,2025-02-13,10-K
119,AIG,"American International Group, Inc.",revenue,27251000000,2024-12-31,2025-02-13,10-K
120,AIG,"American International Group, Inc.",revenue,27251000000,2024-12-31,2026-02-12,10-K
121,AIG,"American International Group, Inc.",revenue,7177000000,2024-12-31,2025-02-13,10-K
122,AIG,"American International Group, Inc.",revenue,26775000000,2025-12-31,2026-02-12,10-K
123,AIG,"American International Group, Inc.",net_income,6200000000,2007-12-31,2010-02-26,10-K
124,AIG,"American International Group, Inc.",net_income,-99289000000,2008-12-31,2010-02-26,10-K
125,AIG,"American International Group, Inc.",net_income,-99289000000,2008-12-31,2011-02-24,10-K
126,AIG,"American International Group, Inc.",net_income,-10949000000,2009-12-31,2010-02-26,10-K
127,AIG,"American International Group, Inc.",net_income,-10949000000,2009-12-31,2011-02-24,10-K
128,AIG,"American International Group, Inc.",net_income,-10949000000,2009-12-31,2012-02-23,10-K
129,AIG,"American International Group, Inc.",net_income,1783000000,2010-03-31,2012-02-23,10-K
130,AIG,"American International Group, Inc.",net_income,-2656000000,2010-06-30,2012-02-23,10-K
131,AIG,"American International Group, Inc.",net_income,-2517000000,2010-09-30,2012-02-23,10-K
132,AIG,"American International Group, Inc.",net_income,7786000000,2010-12-31,2011-02-24,10-K
133,AIG,"American International Group, Inc.",net_income,7786000000,2010-12-31,2012-02-23,10-K
134,AIG,"American International Group, Inc.",net_income,10058000000,2010-12-31,2013-02-21,10-K
135,AIG,"American International Group, Inc.",net_income,11176000000,2010-12-31,2012-02-23,10-K
136,AIG,"American International Group, Inc.",net_income,269000000,2011-03-31,2012-02-23,10-K
137,AIG,"American International Group, Inc.",net_income,1297000000,2011-03-31,2013-02-21,10-K
138,AIG,"American International Group, Inc.",net_income,1840000000,2011-06-30,2012-02-23,10-K
139,AIG,"American International Group, Inc.",net_income,1836000000,2011-06-30,2013-02-21,10-K
140,AIG,"American International Group, Inc.",net_income,-4109000000,2011-09-30,2012-02-23,10-K
141,AIG,"American International Group, Inc.",net_income,-3990000000,2011-09-30,2013-02-21,10-K
142,AIG,"American International Group, Inc.",net_income,17798000000,2011-12-31,2012-02-23,10-K
143,AIG,"American International Group, Inc.",net_income,20622000000,2011-12-31,2013-02-21,10-K
144,AIG,"American International Group, Inc.",net_income,20622000000,2011-12-31,2014-02-20,10-K
145,AIG,"American International Group, Inc.",net_income,19798000000,2011-12-31,2012-02-23,10-K
146,AIG,"American International Group, Inc.",net_income,21479000000,2011-12-31,2013-02-21,10-K
147,AIG,"American International Group, Inc.",net_income,3208000000,2012-03-31,2013-02-21,10-K
148,AIG,"American International Group, Inc.",net_income,3208000000,2012-03-31,2014-02-20,10-K
149,AIG,"American International Group, Inc.",net_income,2332000000,2012-06-30,2013-02-21,10-K
150,AIG,"American International Group, Inc.",net_income,2332000000,2012-06-30,2014-02-20,10-K
151,AIG,"American International Group, Inc.",net_income,1856000000,2012-09-30,2013-02-21,10-K
152,AIG,"American International Group, Inc.",net_income,1856000000,2012-09-30,2014-02-20,10-K
