,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
114,AJG,ARTHUR J. GALLAGHER & CO.,2025-12-31,10-K,2026-02-17,,12873000000.0,1494000000.0,,13942000000.0,257000000.0,23321000000.0,70665000000.0,47318000000.0
112,AJG,ARTHUR J. GALLAGHER & CO.,2024-12-31,10-K,2025-02-18,,23000000.0,1462700000.0,,11554900000.0,250000000.0,20153500000.0,64255200000.0,44075600000.0
113,AJG,ARTHUR J. GALLAGHER & CO.,2024-12-31,10-K,2026-02-17,,,1463000000.0,,11555000000.0,250000000.0,20154000000.0,64255000000.0,44075000000.0
109,AJG,ARTHUR J. GALLAGHER & CO.,2023-12-31,10-K,2024-02-09,,23600000.0,969500000.0,,10071900000.0,216700000.0,10775300000.0,51615800000.0,40800500000.0
110,AJG,ARTHUR J. GALLAGHER & CO.,2023-12-31,10-K,2025-02-18,,,969500000.0,,10071900000.0,216700000.0,10775300000.0,51615800000.0,40800500000.0
111,AJG,ARTHUR J. GALLAGHER & CO.,2023-12-31,10-K,2026-02-17,,,970000000.0,,10072000000.0,,,51616000000.0,
106,AJG,ARTHUR J. GALLAGHER & CO.,2022-12-31,10-K,2023-02-10,342300000.0,16800000.0,1114200000.0,,8550600000.0,211900000.0,9143600000.0,38907800000.0,29717600000.0
107,AJG,ARTHUR J. GALLAGHER & CO.,2022-12-31,10-K,2024-02-09,738400000.0,,1114200000.0,,8550600000.0,211900000.0,9143600000.0,38358400000.0,29168200000.0
108,AJG,ARTHUR J. GALLAGHER & CO.,2022-12-31,10-K,2025-02-18,,,1114200000.0,,8550600000.0,,,38358400000.0,
103,AJG,ARTHUR J. GALLAGHER & CO.,2021-12-31,10-K,2022-02-18,402600000.0,22600000.0,906800000.0,,8209400000.0,208500000.0,8508400000.0,33345000000.0,24784900000.0
104,AJG,ARTHUR J. GALLAGHER & CO.,2021-12-31,10-K,2023-02-10,402600000.0,,906800000.0,,8209400000.0,208500000.0,8508400000.0,33345000000.0,24784900000.0
105,AJG,ARTHUR J. GALLAGHER & CO.,2021-12-31,10-K,2024-02-09,,,906800000.0,,8209400000.0,,,33236100000.0,
100,AJG,ARTHUR J. GALLAGHER & CO.,2020-12-31,10-K,2021-02-08,664600000.0,19600000.0,142200000.0,,1703600000.0,193700000.0,6186200000.0,22331400000.0,16098700000.0
101,AJG,ARTHUR J. GALLAGHER & CO.,2020-12-31,10-K,2022-02-18,664600000.0,,818800000.0,,7003600000.0,193700000.0,6186200000.0,22331400000.0,16098700000.0
102,AJG,ARTHUR J. GALLAGHER & CO.,2020-12-31,10-K,2023-02-10,664600000.0,,818800000.0,,7003600000.0,,,22331400000.0,
99,AJG,ARTHUR J. GALLAGHER & CO.,2020-09-30,10-K,2021-02-08,,,176600000.0,,1849100000.0,,,,
98,AJG,ARTHUR J. GALLAGHER & CO.,2020-06-30,10-K,2021-02-08,,,153700000.0,,1584000000.0,,,,
97,AJG,ARTHUR J. GALLAGHER & CO.,2020-03-31,10-K,2021-02-08,,,346300000.0,,1866900000.0,,,,
