,ticker,company,concept,value,end_date,filed,form
0,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1645000000,2008-12-31,2011-02-07,10-K
1,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1729300000,2009-12-31,2011-02-07,10-K
2,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1729300000,2009-12-31,2012-02-14,10-K
3,AJG,ARTHUR J. GALLAGHER & CO.,revenue,482400000,2010-03-31,2012-02-14,10-K
4,AJG,ARTHUR J. GALLAGHER & CO.,revenue,459500000,2010-06-30,2012-02-14,10-K
5,AJG,ARTHUR J. GALLAGHER & CO.,revenue,463200000,2010-09-30,2012-02-14,10-K
6,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1864200000,2010-12-31,2011-02-07,10-K
7,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1864200000,2010-12-31,2012-02-14,10-K
8,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1864200000,2010-12-31,2013-02-08,10-K
9,AJG,ARTHUR J. GALLAGHER & CO.,revenue,459100000,2010-12-31,2012-02-14,10-K
10,AJG,ARTHUR J. GALLAGHER & CO.,revenue,447400000,2011-03-31,2012-02-14,10-K
11,AJG,ARTHUR J. GALLAGHER & CO.,revenue,447400000,2011-03-31,2013-02-08,10-K
12,AJG,ARTHUR J. GALLAGHER & CO.,revenue,546100000,2011-06-30,2012-02-14,10-K
13,AJG,ARTHUR J. GALLAGHER & CO.,revenue,546100000,2011-06-30,2013-02-08,10-K
14,AJG,ARTHUR J. GALLAGHER & CO.,revenue,562800000,2011-09-30,2012-02-14,10-K
15,AJG,ARTHUR J. GALLAGHER & CO.,revenue,562800000,2011-09-30,2013-02-08,10-K
16,AJG,ARTHUR J. GALLAGHER & CO.,revenue,2134700000,2011-12-31,2012-02-14,10-K
17,AJG,ARTHUR J. GALLAGHER & CO.,revenue,2134700000,2011-12-31,2013-02-08,10-K
18,AJG,ARTHUR J. GALLAGHER & CO.,revenue,2134700000,2011-12-31,2014-02-07,10-K
19,AJG,ARTHUR J. GALLAGHER & CO.,revenue,578400000,2011-12-31,2012-02-14,10-K
20,AJG,ARTHUR J. GALLAGHER & CO.,revenue,578400000,2011-12-31,2013-02-08,10-K
21,AJG,ARTHUR J. GALLAGHER & CO.,revenue,546800000,2012-03-31,2013-02-08,10-K
22,AJG,ARTHUR J. GALLAGHER & CO.,revenue,546800000,2012-03-31,2014-02-07,10-K
23,AJG,ARTHUR J. GALLAGHER & CO.,revenue,649900000,2012-06-30,2013-02-08,10-K
24,AJG,ARTHUR J. GALLAGHER & CO.,revenue,649900000,2012-06-30,2014-02-07,10-K
25,AJG,ARTHUR J. GALLAGHER & CO.,revenue,650400000,2012-09-30,2013-02-08,10-K
26,AJG,ARTHUR J. GALLAGHER & CO.,revenue,650400000,2012-09-30,2014-02-07,10-K
27,AJG,ARTHUR J. GALLAGHER & CO.,revenue,2520300000,2012-12-31,2013-02-08,10-K
28,AJG,ARTHUR J. GALLAGHER & CO.,revenue,2520300000,2012-12-31,2014-02-07,10-K
29,AJG,ARTHUR J. GALLAGHER & CO.,revenue,2520300000,2012-12-31,2015-02-13,10-K
30,AJG,ARTHUR J. GALLAGHER & CO.,revenue,673200000,2012-12-31,2013-02-08,10-K
31,AJG,ARTHUR J. GALLAGHER & CO.,revenue,673200000,2012-12-31,2014-02-07,10-K
32,AJG,ARTHUR J. GALLAGHER & CO.,revenue,674100000,2013-03-31,2014-02-07,10-K
33,AJG,ARTHUR J. GALLAGHER & CO.,revenue,674100000,2013-03-31,2015-02-13,10-K
34,AJG,ARTHUR J. GALLAGHER & CO.,revenue,779500000,2013-06-30,2014-02-07,10-K
35,AJG,ARTHUR J. GALLAGHER & CO.,revenue,779500000,2013-06-30,2015-02-13,10-K
36,AJG,ARTHUR J. GALLAGHER & CO.,revenue,835800000,2013-09-30,2014-02-07,10-K
37,AJG,ARTHUR J. GALLAGHER & CO.,revenue,835800000,2013-09-30,2015-02-13,10-K
38,AJG,ARTHUR J. GALLAGHER & CO.,revenue,3179600000,2013-12-31,2014-02-07,10-K
39,AJG,ARTHUR J. GALLAGHER & CO.,revenue,3179600000,2013-12-31,2015-02-13,10-K
40,AJG,ARTHUR J. GALLAGHER & CO.,revenue,3179600000,2013-12-31,2016-02-10,10-K
41,AJG,ARTHUR J. GALLAGHER & CO.,revenue,890200000,2013-12-31,2014-02-07,10-K
42,AJG,ARTHUR J. GALLAGHER & CO.,revenue,890200000,2013-12-31,2015-02-13,10-K
43,AJG,ARTHUR J. GALLAGHER & CO.,revenue,915000000,2014-03-31,2015-02-13,10-K
44,AJG,ARTHUR J. GALLAGHER & CO.,revenue,915000000,2014-03-31,2016-02-10,10-K
45,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1179300000,2014-06-30,2015-02-13,10-K
46,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1179300000,2014-06-30,2016-02-10,10-K
47,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1286800000,2014-09-30,2015-02-13,10-K
48,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1286800000,2014-09-30,2016-02-10,10-K
49,AJG,ARTHUR J. GALLAGHER & CO.,revenue,4626500000,2014-12-31,2015-02-13,10-K
50,AJG,ARTHUR J. GALLAGHER & CO.,revenue,4626500000,2014-12-31,2016-02-10,10-K
51,AJG,ARTHUR J. GALLAGHER & CO.,revenue,4626500000,2014-12-31,2017-02-13,10-K
52,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1245400000,2014-12-31,2015-02-13,10-K
53,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1245400000,2014-12-31,2016-02-10,10-K
54,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1231300000,2015-03-31,2016-02-10,10-K
55,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1231300000,2015-03-31,2017-02-13,10-K
56,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1371400000,2015-06-30,2016-02-10,10-K
57,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1371400000,2015-06-30,2017-02-13,10-K
58,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1454800000,2015-09-30,2016-02-10,10-K
59,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1454800000,2015-09-30,2017-02-13,10-K
60,AJG,ARTHUR J. GALLAGHER & CO.,revenue,5392400000,2015-12-31,2016-02-10,10-K
61,AJG,ARTHUR J. GALLAGHER & CO.,revenue,5392400000,2015-12-31,2017-02-13,10-K
62,AJG,ARTHUR J. GALLAGHER & CO.,revenue,5392400000,2015-12-31,2018-02-12,10-K
63,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1334900000,2015-12-31,2016-02-10,10-K
64,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1334900000,2015-12-31,2017-02-13,10-K
65,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1300400000,2016-03-31,2017-02-13,10-K
66,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1300400000,2016-03-31,2018-02-12,10-K
67,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1427100000,2016-06-30,2017-02-13,10-K
68,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1427100000,2016-06-30,2018-02-12,10-K
69,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1482300000,2016-09-30,2017-02-13,10-K
70,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1482300000,2016-09-30,2018-02-12,10-K
71,AJG,ARTHUR J. GALLAGHER & CO.,revenue,5594800000,2016-12-31,2017-02-13,10-K
72,AJG,ARTHUR J. GALLAGHER & CO.,revenue,5594800000,2016-12-31,2018-02-12,10-K
73,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1385000000,2016-12-31,2017-02-13,10-K
74,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1385000000,2016-12-31,2018-02-12,10-K
75,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1412700000,2017-03-31,2018-02-12,10-K
76,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1646400000,2017-03-31,2019-02-08,10-K
77,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1563400000,2017-06-30,2018-02-12,10-K
78,AJG,ARTHUR J. GALLAGHER & CO.,revenue,1489500000,2017-06-30,2019-02-08,10-K
