,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
139,AKAM,"Akamai Technologies, Inc.",2025-12-31,10-K,2026-02-20,930231000.0,452031000.0,566944000.0,,144711094.0,4977371000.0,11479643000.0,6502272000.0
137,AKAM,"Akamai Technologies, Inc.",2024-12-31,10-K,2025-02-24,517707000.0,504918000.0,533411000.0,,150025096.0,4878357000.0,10368785000.0,5490428000.0
138,AKAM,"Akamai Technologies, Inc.",2024-12-31,10-K,2026-02-20,517707000.0,504918000.0,533411000.0,,150025096.0,4878357000.0,10368785000.0,5490428000.0
134,AKAM,"Akamai Technologies, Inc.",2023-12-31,10-K,2024-02-28,489468000.0,547629000.0,637338000.0,,151232908.0,4597155000.0,9900037000.0,5302882000.0
135,AKAM,"Akamai Technologies, Inc.",2023-12-31,10-K,2025-02-24,489468000.0,547629000.0,637338000.0,,151232908.0,4597155000.0,9900037000.0,5302882000.0
136,AKAM,"Akamai Technologies, Inc.",2023-12-31,10-K,2026-02-20,489468000.0,547629000.0,637338000.0,,,4597155000.0,,
130,AKAM,"Akamai Technologies, Inc.",2022-12-31,10-K,2023-02-28,542337000.0,128762000.0,676274000.0,,156494816.0,4360187000.0,8303400000.0,3943213000.0
131,AKAM,"Akamai Technologies, Inc.",2022-12-31,10-K,2024-02-28,542337000.0,523672000.0,676274000.0,,156494816.0,4360187000.0,8303400000.0,3943213000.0
132,AKAM,"Akamai Technologies, Inc.",2022-12-31,10-K,2025-02-24,542337000.0,523672000.0,676274000.0,,,4360187000.0,,
133,AKAM,"Akamai Technologies, Inc.",2022-12-31,10-K,2026-02-20,,,,,,4360187000.0,,
129,AKAM,"Akamai Technologies, Inc.",2022-09-30,10-K,2023-02-28,,123694000.0,,,,4281240000.0,8136481000.0,3855241000.0
128,AKAM,"Akamai Technologies, Inc.",2022-06-30,10-K,2023-02-28,,137840000.0,,,,4312994000.0,8230752000.0,3917758000.0
127,AKAM,"Akamai Technologies, Inc.",2022-03-31,10-K,2023-02-28,,133376000.0,,,,4314735000.0,8312389000.0,3997654000.0
123,AKAM,"Akamai Technologies, Inc.",2021-12-31,10-K,2022-02-28,536725000.0,651642000.0,783148000.0,,160512111.0,4530014000.0,8138673000.0,3608659000.0
124,AKAM,"Akamai Technologies, Inc.",2021-12-31,10-K,2023-02-28,536725000.0,160534000.0,783148000.0,,160512111.0,4530014000.0,8138673000.0,3608659000.0
125,AKAM,"Akamai Technologies, Inc.",2021-12-31,10-K,2024-02-28,536725000.0,651642000.0,783148000.0,,,4530014000.0,,
126,AKAM,"Akamai Technologies, Inc.",2021-12-31,10-K,2025-02-24,,,,,,4530014000.0,,
