,ticker,company,concept,value,end_date,filed,form
0,AKAM,"Akamai Technologies, Inc.",revenue,636406000,2007-12-31,2010-03-01,10-K
1,AKAM,"Akamai Technologies, Inc.",revenue,790924000,2008-12-31,2010-03-01,10-K
2,AKAM,"Akamai Technologies, Inc.",revenue,790924000,2008-12-31,2011-03-01,10-K
3,AKAM,"Akamai Technologies, Inc.",revenue,210368000,2009-03-31,2011-03-01,10-K
4,AKAM,"Akamai Technologies, Inc.",revenue,204600000,2009-06-30,2011-03-01,10-K
5,AKAM,"Akamai Technologies, Inc.",revenue,206500000,2009-09-30,2011-03-01,10-K
6,AKAM,"Akamai Technologies, Inc.",revenue,859773000,2009-12-31,2010-03-01,10-K
7,AKAM,"Akamai Technologies, Inc.",revenue,859773000,2009-12-31,2011-03-01,10-K
8,AKAM,"Akamai Technologies, Inc.",revenue,859773000,2009-12-31,2012-02-29,10-K
9,AKAM,"Akamai Technologies, Inc.",revenue,238305000,2009-12-31,2011-03-01,10-K
10,AKAM,"Akamai Technologies, Inc.",revenue,240029000,2010-03-31,2011-03-01,10-K
11,AKAM,"Akamai Technologies, Inc.",revenue,240029000,2010-03-31,2012-02-29,10-K
12,AKAM,"Akamai Technologies, Inc.",revenue,245318000,2010-06-30,2011-03-01,10-K
13,AKAM,"Akamai Technologies, Inc.",revenue,245318000,2010-06-30,2012-02-29,10-K
14,AKAM,"Akamai Technologies, Inc.",revenue,253551000,2010-09-30,2011-03-01,10-K
15,AKAM,"Akamai Technologies, Inc.",revenue,253551000,2010-09-30,2012-02-29,10-K
16,AKAM,"Akamai Technologies, Inc.",revenue,1023586000,2010-12-31,2011-03-01,10-K
17,AKAM,"Akamai Technologies, Inc.",revenue,1023586000,2010-12-31,2012-02-29,10-K
18,AKAM,"Akamai Technologies, Inc.",revenue,1023586000,2010-12-31,2013-03-01,10-K
19,AKAM,"Akamai Technologies, Inc.",revenue,284688000,2010-12-31,2011-03-01,10-K
20,AKAM,"Akamai Technologies, Inc.",revenue,284688000,2010-12-31,2012-02-29,10-K
21,AKAM,"Akamai Technologies, Inc.",revenue,275953000,2011-03-31,2012-02-29,10-K
22,AKAM,"Akamai Technologies, Inc.",revenue,275953000,2011-03-31,2013-03-01,10-K
23,AKAM,"Akamai Technologies, Inc.",revenue,276989000,2011-06-30,2012-02-29,10-K
24,AKAM,"Akamai Technologies, Inc.",revenue,276989000,2011-06-30,2013-03-01,10-K
25,AKAM,"Akamai Technologies, Inc.",revenue,281856000,2011-09-30,2012-02-29,10-K
26,AKAM,"Akamai Technologies, Inc.",revenue,281856000,2011-09-30,2013-03-01,10-K
27,AKAM,"Akamai Technologies, Inc.",revenue,1158538000,2011-12-31,2012-02-29,10-K
28,AKAM,"Akamai Technologies, Inc.",revenue,1158538000,2011-12-31,2013-03-01,10-K
29,AKAM,"Akamai Technologies, Inc.",revenue,1158538000,2011-12-31,2014-03-03,10-K
30,AKAM,"Akamai Technologies, Inc.",revenue,323740000,2011-12-31,2012-02-29,10-K
31,AKAM,"Akamai Technologies, Inc.",revenue,323740000,2011-12-31,2013-03-01,10-K
32,AKAM,"Akamai Technologies, Inc.",revenue,319448000,2012-03-31,2013-03-01,10-K
33,AKAM,"Akamai Technologies, Inc.",revenue,319448000,2012-03-31,2014-03-03,10-K
