,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
111,ALB,ALBEMARLE CORPORATION,2025-12-31,10-K,2026-02-11,,3193541000.0,-510628000.0,-367084000.0,5142733000.0,117716000.0,9533365000.0,16374211000.0
109,ALB,ALBEMARLE CORPORATION,2024-12-31,10-K,2025-02-12,,3516165000.0,-1179449000.0,-1776545000.0,5377526000.0,117560000.0,9961517000.0,16609649000.0
110,ALB,ALBEMARLE CORPORATION,2024-12-31,10-K,2026-02-11,,3516165000.0,-1179449000.0,-1776545000.0,5377526000.0,117560000.0,9961517000.0,16609649000.0
106,ALB,ALBEMARLE CORPORATION,2023-12-31,10-K,2024-02-15,,4166763000.0,1573476000.0,251881000.0,9617203000.0,117356000.0,9412180000.0,18270652000.0
107,ALB,ALBEMARLE CORPORATION,2023-12-31,10-K,2025-02-12,,4166763000.0,1573476000.0,251881000.0,9617203000.0,117356000.0,9412180000.0,18270652000.0
108,ALB,ALBEMARLE CORPORATION,2023-12-31,10-K,2026-02-11,,,1573476000.0,251881000.0,9617203000.0,,,18270652000.0
103,ALB,ALBEMARLE CORPORATION,2022-12-31,10-K,2023-02-15,,3217100000.0,2689816000.0,2470061000.0,7320104000.0,117168000.0,7982627000.0,15456522000.0
104,ALB,ALBEMARLE CORPORATION,2022-12-31,10-K,2024-02-15,,3217100000.0,2689816000.0,2470061000.0,7320104000.0,117168000.0,7982627000.0,15456522000.0
105,ALB,ALBEMARLE CORPORATION,2022-12-31,10-K,2025-02-12,,,2689816000.0,2470061000.0,7320104000.0,,,15456522000.0
100,ALB,ALBEMARLE CORPORATION,2021-12-31,10-K,2022-02-22,,2394239000.0,123672000.0,798434000.0,3327957000.0,117015000.0,5625266000.0,10974118000.0
101,ALB,ALBEMARLE CORPORATION,2021-12-31,10-K,2023-02-15,,2394239000.0,123672000.0,798434000.0,3327957000.0,117015000.0,5625266000.0,10974118000.0
102,ALB,ALBEMARLE CORPORATION,2021-12-31,10-K,2024-02-15,,,123672000.0,798434000.0,3327957000.0,,,10974118000.0
97,ALB,ALBEMARLE CORPORATION,2020-12-31,10-K,2021-02-19,,3572058000.0,375764000.0,505812000.0,3128909000.0,106842000.0,4268227000.0,10450946000.0
98,ALB,ALBEMARLE CORPORATION,2020-12-31,10-K,2022-02-22,,3572058000.0,375764000.0,505812000.0,3128909000.0,106842000.0,4268227000.0,10450946000.0
99,ALB,ALBEMARLE CORPORATION,2020-12-31,10-K,2023-02-15,,,375764000.0,505812000.0,3128909000.0,,,10450946000.0
94,ALB,ALBEMARLE CORPORATION,2019-12-31,10-K,2020-02-26,613110000.0,3050257000.0,90391000.0,666123000.0,992564000.0,106040000.0,3932250000.0,9860863000.0
95,ALB,ALBEMARLE CORPORATION,2019-12-31,10-K,2021-02-19,,3050257000.0,533228000.0,666123000.0,3589427000.0,106040000.0,3932250000.0,9860863000.0
96,ALB,ALBEMARLE CORPORATION,2019-12-31,10-K,2022-02-22,,,533228000.0,666123000.0,3589427000.0,,,9860863000.0
93,ALB,ALBEMARLE CORPORATION,2019-09-30,10-K,2020-02-26,,,155070000.0,,879747000.0,,,
92,ALB,ALBEMARLE CORPORATION,2019-06-30,10-K,2020-02-26,,,154198000.0,,885052000.0,,,
91,ALB,ALBEMARLE CORPORATION,2019-03-31,10-K,2020-02-26,,,133569000.0,,832064000.0,,,
88,ALB,ALBEMARLE CORPORATION,2018-12-31,10-K,2019-02-27,555320000.0,1705210000.0,129596000.0,911540000.0,921699000.0,105616000.0,3585321000.0,7581674000.0
89,ALB,ALBEMARLE CORPORATION,2018-12-31,10-K,2020-02-26,555320000.0,1705210000.0,129596000.0,911540000.0,921699000.0,105616000.0,3585321000.0,7581674000.0
90,ALB,ALBEMARLE CORPORATION,2018-12-31,10-K,2021-02-19,,,693562000.0,911540000.0,3374950000.0,,,7581674000.0
86,ALB,ALBEMARLE CORPORATION,2018-09-30,10-K,2019-02-27,,,129745000.0,,777748000.0,,,
87,ALB,ALBEMARLE CORPORATION,2018-09-30,10-K,2020-02-26,,,129745000.0,,777748000.0,,,
84,ALB,ALBEMARLE CORPORATION,2018-06-30,10-K,2019-02-27,,,302461000.0,,853874000.0,,,
85,ALB,ALBEMARLE CORPORATION,2018-06-30,10-K,2020-02-26,,,302461000.0,,853874000.0,,,
82,ALB,ALBEMARLE CORPORATION,2018-03-31,10-K,2019-02-27,,,131760000.0,,821629000.0,,,
83,ALB,ALBEMARLE CORPORATION,2018-03-31,10-K,2020-02-26,,,131760000.0,,821629000.0,,,
79,ALB,ALBEMARLE CORPORATION,2017-12-31,10-K,2018-02-28,1137303000.0,1837372000.0,-218366000.0,587749000.0,,110547000.0,3674549000.0,7750772000.0
80,ALB,ALBEMARLE CORPORATION,2017-12-31,10-K,2019-02-27,1137303000.0,1837372000.0,-218366000.0,571660000.0,857789000.0,110547000.0,3674549000.0,7750772000.0
81,ALB,ALBEMARLE CORPORATION,2017-12-31,10-K,2020-02-26,1137303000.0,,54850000.0,571660000.0,3071976000.0,,,7750772000.0
77,ALB,ALBEMARLE CORPORATION,2017-09-30,10-K,2018-02-28,,,118670000.0,,,,,
78,ALB,ALBEMARLE CORPORATION,2017-09-30,10-K,2019-02-27,,,118670000.0,,754866000.0,,,
