,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
65,ALGN,"ALIGN TECHNOLOGY, INC.",2025-12-31,10-K,2026-02-27,1094908000.0,410351000.0,545755000.0,,4034964000.0,71364000.0,4049147000.0,6233693000.0,2184546000.0
63,ALGN,"ALIGN TECHNOLOGY, INC.",2024-12-31,10-K,2025-02-28,1043887000.0,421362000.0,607628000.0,,3999012000.0,73849000.0,3851985000.0,6214600000.0,2362615000.0
64,ALGN,"ALIGN TECHNOLOGY, INC.",2024-12-31,10-K,2026-02-27,1043887000.0,421362000.0,607628000.0,,3999012000.0,73849000.0,3851985000.0,6214600000.0,2362615000.0
60,ALGN,"ALIGN TECHNOLOGY, INC.",2023-12-31,10-K,2024-02-28,937438000.0,445053000.0,643338000.0,,3862260000.0,75075000.0,3630489000.0,6083877000.0,2453388000.0
61,ALGN,"ALIGN TECHNOLOGY, INC.",2023-12-31,10-K,2025-02-28,937438000.0,445053000.0,643338000.0,,3862260000.0,75075000.0,3630489000.0,6083877000.0,2453388000.0
62,ALGN,"ALIGN TECHNOLOGY, INC.",2023-12-31,10-K,2026-02-27,,445053000.0,643338000.0,,3862260000.0,,3630489000.0,,
56,ALGN,"ALIGN TECHNOLOGY, INC.",2022-12-31,10-K,2023-02-27,942050000.0,361573000.0,642595000.0,,3734635000.0,77267000.0,3601358000.0,5947947000.0,2346589000.0
57,ALGN,"ALIGN TECHNOLOGY, INC.",2022-12-31,10-K,2024-02-28,942050000.0,361573000.0,642595000.0,,3734635000.0,77267000.0,3601358000.0,5947947000.0,2346589000.0
58,ALGN,"ALIGN TECHNOLOGY, INC.",2022-12-31,10-K,2025-02-28,,361573000.0,642595000.0,,3734635000.0,,3601358000.0,,
59,ALGN,"ALIGN TECHNOLOGY, INC.",2022-12-31,10-K,2026-02-27,,,,,,,3601358000.0,,
52,ALGN,"ALIGN TECHNOLOGY, INC.",2021-12-31,10-K,2022-02-25,1099370000.0,772020000.0,976400000.0,,3952584000.0,78710000.0,3622714000.0,5942110000.0,2319396000.0
53,ALGN,"ALIGN TECHNOLOGY, INC.",2021-12-31,10-K,2023-02-27,1099370000.0,772020000.0,976400000.0,,3952584000.0,78710000.0,3622714000.0,5942110000.0,2319396000.0
54,ALGN,"ALIGN TECHNOLOGY, INC.",2021-12-31,10-K,2024-02-28,,772020000.0,976400000.0,,3952584000.0,,3622714000.0,,
55,ALGN,"ALIGN TECHNOLOGY, INC.",2021-12-31,10-K,2025-02-28,,,,,,,3622714000.0,,
48,ALGN,"ALIGN TECHNOLOGY, INC.",2020-12-31,10-K,2021-02-26,960843000.0,1775888000.0,387171000.0,,2471941000.0,78860000.0,3233865000.0,4829683000.0,1595818000.0
49,ALGN,"ALIGN TECHNOLOGY, INC.",2020-12-31,10-K,2022-02-25,960843000.0,1775888000.0,387171000.0,,2471941000.0,78860000.0,3233865000.0,4829683000.0,1595818000.0
50,ALGN,"ALIGN TECHNOLOGY, INC.",2020-12-31,10-K,2023-02-27,,1775888000.0,387171000.0,,2471941000.0,,3233865000.0,,
51,ALGN,"ALIGN TECHNOLOGY, INC.",2020-12-31,10-K,2024-02-28,,,,,,,3233865000.0,,
44,ALGN,"ALIGN TECHNOLOGY, INC.",2019-12-31,10-K,2020-02-28,550425000.0,442776000.0,542493000.0,,2406796000.0,78433000.0,1346169000.0,2500702000.0,1154533000.0
45,ALGN,"ALIGN TECHNOLOGY, INC.",2019-12-31,10-K,2021-02-26,550425000.0,442776000.0,542493000.0,,2406796000.0,78433000.0,1346169000.0,2500702000.0,1154533000.0
46,ALGN,"ALIGN TECHNOLOGY, INC.",2019-12-31,10-K,2022-02-25,,442776000.0,542493000.0,,2406796000.0,,1346169000.0,,
