,ticker,company,concept,value,end_date,filed,form
0,ALGN,"ALIGN TECHNOLOGY, INC.",revenue,303976000,2008-12-31,2011-02-24,10-K
1,ALGN,"ALIGN TECHNOLOGY, INC.",revenue,312333000,2009-12-31,2011-02-24,10-K
2,ALGN,"ALIGN TECHNOLOGY, INC.",revenue,387126000,2010-12-31,2011-02-24,10-K
3,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,1079874000,2016-12-31,2019-02-28,10-K
4,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,1473413000,2017-12-31,2019-02-28,10-K
5,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,1473413000,2017-12-31,2020-02-28,10-K
6,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,1966492000,2018-12-31,2019-02-28,10-K
7,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,1966492000,2018-12-31,2020-02-28,10-K
8,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,1966492000,2018-12-31,2021-02-26,10-K
9,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,2406796000,2019-12-31,2020-02-28,10-K
10,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,2406796000,2019-12-31,2021-02-26,10-K
11,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,2406796000,2019-12-31,2022-02-25,10-K
12,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,2471941000,2020-12-31,2021-02-26,10-K
13,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,2471941000,2020-12-31,2022-02-25,10-K
14,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,2471941000,2020-12-31,2023-02-27,10-K
15,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3952584000,2021-12-31,2022-02-25,10-K
16,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3952584000,2021-12-31,2023-02-27,10-K
17,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3952584000,2021-12-31,2024-02-28,10-K
18,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3734635000,2022-12-31,2023-02-27,10-K
19,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3734635000,2022-12-31,2024-02-28,10-K
20,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3734635000,2022-12-31,2025-02-28,10-K
21,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3862260000,2023-12-31,2024-02-28,10-K
22,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3862260000,2023-12-31,2025-02-28,10-K
23,ALGN,"ALIGN TECHNOLOGY, INC.",revenue_alt,3862260000,2023-12-31,2026-02-27,10-K
