,ticker,company,concept,value,end_date,filed,form
0,AMCR,AMCOR PLC,revenue,9101000000,2017-06-30,2019-09-03,10-K
1,AMCR,AMCOR PLC,revenue,2251100000,2017-09-30,2019-09-03,10-K
2,AMCR,AMCOR PLC,revenue,2251100000,2017-12-31,2019-09-03,10-K
3,AMCR,AMCOR PLC,revenue,2364100000,2018-03-31,2019-09-03,10-K
4,AMCR,AMCOR PLC,revenue,9319100000,2018-06-30,2019-09-03,10-K
5,AMCR,AMCOR PLC,revenue,2452800000,2018-06-30,2019-09-03,10-K
6,AMCR,AMCOR PLC,revenue,2262400000,2018-09-30,2019-09-03,10-K
7,AMCR,AMCOR PLC,revenue,2262400000,2018-09-30,2020-08-27,10-K
8,AMCR,AMCOR PLC,revenue,2287200000,2018-12-31,2019-09-03,10-K
9,AMCR,AMCOR PLC,revenue,2285400000,2018-12-31,2020-08-27,10-K
10,AMCR,AMCOR PLC,revenue,2312300000,2019-03-31,2019-09-03,10-K
11,AMCR,AMCOR PLC,revenue,2309900000,2019-03-31,2020-08-27,10-K
12,AMCR,AMCOR PLC,revenue,9458200000,2019-06-30,2019-09-03,10-K
13,AMCR,AMCOR PLC,revenue,9458200000,2019-06-30,2020-08-27,10-K
14,AMCR,AMCOR PLC,revenue,2596300000,2019-06-30,2019-09-03,10-K
15,AMCR,AMCOR PLC,revenue,2600500000,2019-06-30,2020-08-27,10-K
16,AMCR,AMCOR PLC,revenue,3140700000,2019-09-30,2020-08-27,10-K
17,AMCR,AMCOR PLC,revenue,3043100000,2019-12-31,2020-08-27,10-K
18,AMCR,AMCOR PLC,revenue,3141000000,2020-03-31,2020-08-27,10-K
19,AMCR,AMCOR PLC,revenue,12467500000,2020-06-30,2020-08-27,10-K
20,AMCR,AMCOR PLC,revenue,3142700000,2020-06-30,2020-08-27,10-K
21,AMCR,AMCOR PLC,revenue,3443000000,2023-09-30,2025-08-15,10-K
22,AMCR,AMCOR PLC,revenue,3251000000,2023-12-31,2025-08-15,10-K
23,AMCR,AMCOR PLC,revenue,3411000000,2024-03-31,2025-08-15,10-K
24,AMCR,AMCOR PLC,revenue,13640000000,2024-06-30,2025-08-15,10-K
25,AMCR,AMCOR PLC,revenue,3535000000,2024-06-30,2025-08-15,10-K
26,AMCR,AMCOR PLC,revenue,3353000000,2024-09-30,2025-08-15,10-K
27,AMCR,AMCOR PLC,revenue,3241000000,2024-12-31,2025-08-15,10-K
28,AMCR,AMCOR PLC,revenue,3333000000,2025-03-31,2025-08-15,10-K
29,AMCR,AMCOR PLC,revenue,5082000000,2025-06-30,2025-08-15,10-K
30,AMCR,AMCOR PLC,revenue_alt,9319100000,2018-06-30,2020-08-27,10-K
31,AMCR,AMCOR PLC,revenue_alt,9458200000,2019-06-30,2020-08-27,10-K
32,AMCR,AMCOR PLC,revenue_alt,9458000000,2019-06-30,2021-08-24,10-K
33,AMCR,AMCOR PLC,revenue_alt,12467500000,2020-06-30,2020-08-27,10-K
34,AMCR,AMCOR PLC,revenue_alt,12468000000,2020-06-30,2021-08-24,10-K
35,AMCR,AMCOR PLC,revenue_alt,12468000000,2020-06-30,2022-08-18,10-K
36,AMCR,AMCOR PLC,revenue_alt,12861000000,2021-06-30,2021-08-24,10-K
37,AMCR,AMCOR PLC,revenue_alt,12861000000,2021-06-30,2022-08-18,10-K
38,AMCR,AMCOR PLC,revenue_alt,12861000000,2021-06-30,2023-08-17,10-K
39,AMCR,AMCOR PLC,revenue_alt,14544000000,2022-06-30,2022-08-18,10-K
40,AMCR,AMCOR PLC,revenue_alt,14544000000,2022-06-30,2023-08-17,10-K
41,AMCR,AMCOR PLC,revenue_alt,14544000000,2022-06-30,2024-08-16,10-K
42,AMCR,AMCOR PLC,revenue_alt,14694000000,2023-06-30,2023-08-17,10-K
43,AMCR,AMCOR PLC,revenue_alt,14694000000,2023-06-30,2024-08-16,10-K
44,AMCR,AMCOR PLC,revenue_alt,14694000000,2023-06-30,2025-08-15,10-K
45,AMCR,AMCOR PLC,revenue_alt,13640000000,2024-06-30,2024-08-16,10-K
46,AMCR,AMCOR PLC,revenue_alt,13640000000,2024-06-30,2025-08-15,10-K
47,AMCR,AMCOR PLC,revenue_alt,15009000000,2025-06-30,2025-08-15,10-K
48,AMCR,AMCOR PLC,net_income,564000000,2017-06-30,2019-09-03,10-K
49,AMCR,AMCOR PLC,net_income,130500000,2017-09-30,2019-09-03,10-K
50,AMCR,AMCOR PLC,net_income,145600000,2017-12-31,2019-09-03,10-K
51,AMCR,AMCOR PLC,net_income,69100000,2018-03-31,2019-09-03,10-K
52,AMCR,AMCOR PLC,net_income,575200000,2018-06-30,2019-09-03,10-K
