,ticker,company,end_date,form,filed,cash,eps_basic,eps_diluted,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
122,AME,"AMETEK, Inc.",2025-12-31,10-K,2026-02-17,457951000.0,,,2283309000.0,1480142000.0,1910317000.0,7401116000.0,229000000.0,10628786000.0,16067543000.0,5438757000.0
120,AME,"AMETEK, Inc.",2024-12-31,10-K,2025-02-20,373999000.0,,,2079721000.0,1376124000.0,1779562000.0,6941180000.0,230700000.0,9655304000.0,14631169000.0,4975865000.0
121,AME,"AMETEK, Inc.",2024-12-31,10-K,2026-02-17,373999000.0,,,2079721000.0,1376124000.0,1779562000.0,6941180000.0,230700000.0,9655304000.0,14631169000.0,4975865000.0
117,AME,"AMETEK, Inc.",2023-12-31,10-K,2024-02-22,409804000.0,,,3313347000.0,1313188000.0,1707459000.0,,230900000.0,8730191000.0,15023533000.0,6293342000.0
118,AME,"AMETEK, Inc.",2023-12-31,10-K,2025-02-20,409804000.0,,,3313347000.0,1313188000.0,1707459000.0,6596950000.0,230900000.0,8730191000.0,15023533000.0,6293342000.0
119,AME,"AMETEK, Inc.",2023-12-31,10-K,2026-02-17,,,,,1313188000.0,1707459000.0,6596950000.0,,8730191000.0,15023533000.0,
114,AME,"AMETEK, Inc.",2022-12-31,10-K,2023-02-21,345386000.0,,,2385007000.0,1159542000.0,1500692000.0,,230100000.0,7476512000.0,12431120000.0,4954608000.0
115,AME,"AMETEK, Inc.",2022-12-31,10-K,2024-02-22,345386000.0,,,2385007000.0,1159542000.0,1500692000.0,,230100000.0,7476512000.0,12431120000.0,4954608000.0
116,AME,"AMETEK, Inc.",2022-12-31,10-K,2025-02-20,,,,,1159542000.0,1500692000.0,6150530000.0,,7476512000.0,12431120000.0,
111,AME,"AMETEK, Inc.",2021-12-31,10-K,2022-02-22,346772000.0,,,2544241000.0,990053000.0,1308670000.0,,231700000.0,6871884000.0,11898187000.0,5026303000.0
112,AME,"AMETEK, Inc.",2021-12-31,10-K,2023-02-21,346772000.0,,,2544241000.0,990053000.0,1308670000.0,,231700000.0,6871884000.0,11898187000.0,5026303000.0
113,AME,"AMETEK, Inc.",2021-12-31,10-K,2024-02-22,,,,,990053000.0,1308670000.0,,,6871884000.0,,
108,AME,"AMETEK, Inc.",2020-12-31,10-K,2021-02-18,1212822000.0,,,2413725000.0,872439000.0,1027884000.0,,230500000.0,5949346000.0,10357483000.0,4408137000.0
109,AME,"AMETEK, Inc.",2020-12-31,10-K,2022-02-22,1212822000.0,,,2413725000.0,872439000.0,1027884000.0,,230500000.0,5949346000.0,10357483000.0,4408137000.0
110,AME,"AMETEK, Inc.",2020-12-31,10-K,2023-02-21,,,,,872439000.0,1027884000.0,,,5949346000.0,,
