,ticker,company,concept,value,end_date,filed,form
0,AMT,AMERICAN TOWER CORP /MA/,revenue,5785700000,2016-12-31,2019-02-27,10-K
1,AMT,AMERICAN TOWER CORP /MA/,revenue,1616200000,2017-03-31,2019-02-27,10-K
2,AMT,AMERICAN TOWER CORP /MA/,revenue,1662500000,2017-06-30,2019-02-27,10-K
3,AMT,AMERICAN TOWER CORP /MA/,revenue,1680700000,2017-09-30,2019-02-27,10-K
4,AMT,AMERICAN TOWER CORP /MA/,revenue,6663900000,2017-12-31,2019-02-27,10-K
5,AMT,AMERICAN TOWER CORP /MA/,revenue,6663900000,2017-12-31,2020-02-25,10-K
6,AMT,AMERICAN TOWER CORP /MA/,revenue,1704500000,2017-12-31,2019-02-27,10-K
7,AMT,AMERICAN TOWER CORP /MA/,revenue,1741800000,2018-03-31,2019-02-27,10-K
8,AMT,AMERICAN TOWER CORP /MA/,revenue,1741800000,2018-03-31,2020-02-25,10-K
9,AMT,AMERICAN TOWER CORP /MA/,revenue,1780900000,2018-06-30,2019-02-27,10-K
10,AMT,AMERICAN TOWER CORP /MA/,revenue,1780900000,2018-06-30,2020-02-25,10-K
11,AMT,AMERICAN TOWER CORP /MA/,revenue,1785500000,2018-09-30,2019-02-27,10-K
12,AMT,AMERICAN TOWER CORP /MA/,revenue,1785500000,2018-09-30,2020-02-25,10-K
13,AMT,AMERICAN TOWER CORP /MA/,revenue,7440100000,2018-12-31,2019-02-27,10-K
14,AMT,AMERICAN TOWER CORP /MA/,revenue,7440100000,2018-12-31,2020-02-25,10-K
15,AMT,AMERICAN TOWER CORP /MA/,revenue,7440100000,2018-12-31,2021-02-25,10-K
16,AMT,AMERICAN TOWER CORP /MA/,revenue,2131900000,2018-12-31,2019-02-27,10-K
17,AMT,AMERICAN TOWER CORP /MA/,revenue,2131900000,2018-12-31,2020-02-25,10-K
18,AMT,AMERICAN TOWER CORP /MA/,revenue,1813400000,2019-03-31,2020-02-25,10-K
19,AMT,AMERICAN TOWER CORP /MA/,revenue,1889600000,2019-06-30,2020-02-25,10-K
20,AMT,AMERICAN TOWER CORP /MA/,revenue,1953600000,2019-09-30,2020-02-25,10-K
21,AMT,AMERICAN TOWER CORP /MA/,revenue,7580300000,2019-12-31,2020-02-25,10-K
22,AMT,AMERICAN TOWER CORP /MA/,revenue,7580300000,2019-12-31,2021-02-25,10-K
23,AMT,AMERICAN TOWER CORP /MA/,revenue,7580300000,2019-12-31,2022-02-25,10-K
24,AMT,AMERICAN TOWER CORP /MA/,revenue,1923700000,2019-12-31,2020-02-25,10-K
25,AMT,AMERICAN TOWER CORP /MA/,revenue,8041500000,2020-12-31,2021-02-25,10-K
26,AMT,AMERICAN TOWER CORP /MA/,revenue,8041500000,2020-12-31,2022-02-25,10-K
27,AMT,AMERICAN TOWER CORP /MA/,revenue,8041500000,2020-12-31,2023-02-23,10-K
28,AMT,AMERICAN TOWER CORP /MA/,revenue,9356900000,2021-12-31,2022-02-25,10-K
