,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
87,ANET,"ARISTA NETWORKS, INC.",2025-12-31,10-K,2026-02-17,1963900000.0,3511400000.0,3856100000.0,9005700000.0,1256500000.0,12370500000.0,19448600000.0,7078100000.0
85,ANET,"ARISTA NETWORKS, INC.",2024-12-31,10-K,2025-02-19,2762357000.0,2852054000.0,2944616000.0,7003146000.0,1261334000.0,9994807000.0,14043921000.0,4049114000.0
86,ANET,"ARISTA NETWORKS, INC.",2024-12-31,10-K,2026-02-17,2762400000.0,2852100000.0,2944600000.0,7003100000.0,1261300000.0,9994800000.0,14043900000.0,4049100000.0
82,ANET,"ARISTA NETWORKS, INC.",2023-12-31,10-K,2024-02-13,1938606000.0,2087321000.0,2257249000.0,5860168000.0,312245000.0,7219059000.0,9946806000.0,2727747000.0
83,ANET,"ARISTA NETWORKS, INC.",2023-12-31,10-K,2025-02-19,1938606000.0,2087321000.0,2257249000.0,5860168000.0,1248982000.0,7219059000.0,9956635000.0,2737576000.0
84,ANET,"ARISTA NETWORKS, INC.",2023-12-31,10-K,2026-02-17,,2087300000.0,2257300000.0,5860200000.0,,7219000000.0,,
78,ANET,"ARISTA NETWORKS, INC.",2022-12-31,10-K,2023-02-14,671707000.0,1352446000.0,1527106000.0,4381310000.0,306890000.0,4885820000.0,6775410000.0,1889590000.0
79,ANET,"ARISTA NETWORKS, INC.",2022-12-31,10-K,2024-02-13,671707000.0,1352446000.0,1527106000.0,4381310000.0,306890000.0,4885820000.0,6775410000.0,1889590000.0
80,ANET,"ARISTA NETWORKS, INC.",2022-12-31,10-K,2025-02-19,,1352446000.0,1527106000.0,4381310000.0,,4885820000.0,,
81,ANET,"ARISTA NETWORKS, INC.",2022-12-31,10-K,2026-02-17,,,,,,4885800000.0,,
74,ANET,"ARISTA NETWORKS, INC.",2021-12-31,10-K,2022-02-15,620813000.0,840854000.0,924739000.0,2948037000.0,307681000.0,3978600000.0,5734429000.0,1755829000.0
75,ANET,"ARISTA NETWORKS, INC.",2021-12-31,10-K,2023-02-14,620813000.0,840854000.0,924739000.0,2948037000.0,307681000.0,3978600000.0,5734429000.0,1755829000.0
76,ANET,"ARISTA NETWORKS, INC.",2021-12-31,10-K,2024-02-13,,840854000.0,924739000.0,2948037000.0,,3978600000.0,,
77,ANET,"ARISTA NETWORKS, INC.",2021-12-31,10-K,2025-02-19,,,,,,3978600000.0,,
70,ANET,"ARISTA NETWORKS, INC.",2020-12-31,10-K,2021-02-19,893219000.0,182958000.0,194638000.0,648482000.0,76174000.0,3320291000.0,4738919000.0,1418628000.0
71,ANET,"ARISTA NETWORKS, INC.",2020-12-31,10-K,2022-02-15,893219000.0,634557000.0,699684000.0,2317512000.0,304696000.0,3320291000.0,4738919000.0,1418628000.0
72,ANET,"ARISTA NETWORKS, INC.",2020-12-31,10-K,2023-02-14,,634557000.0,699684000.0,2317512000.0,,3320291000.0,,
73,ANET,"ARISTA NETWORKS, INC.",2020-12-31,10-K,2024-02-13,,,,,,3320291000.0,,
69,ANET,"ARISTA NETWORKS, INC.",2020-09-30,10-K,2021-02-19,,168375000.0,188395000.0,605431000.0,,,,
68,ANET,"ARISTA NETWORKS, INC.",2020-06-30,10-K,2021-02-19,,144793000.0,166989000.0,540570000.0,,,,
67,ANET,"ARISTA NETWORKS, INC.",2020-03-31,10-K,2021-02-19,,138431000.0,149662000.0,523029000.0,,,,
63,ANET,"ARISTA NETWORKS, INC.",2019-12-31,10-K,2020-02-14,1111286000.0,260692000.0,175989000.0,552546000.0,76389000.0,2894686000.0,4185290000.0,1290604000.0
