,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
134,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2025-09-30,10-K,2025-11-20,1856000000.0,,-394500000.0,-877000000.0,12037300000.0,222588256.0,15024900000.0,41059500000.0,23709700000.0
132,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2024-09-30,10-K,2024-11-21,2979700000.0,,3828200000.0,4466100000.0,12100600000.0,222372418.0,17036500000.0,39574600000.0,20900900000.0
133,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2024-09-30,10-K,2025-11-20,2979700000.0,,3828200000.0,4466100000.0,12100600000.0,222372418.0,17036500000.0,39574600000.0,20900900000.0
129,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2023-09-30,10-K,2023-11-16,1617000000.0,,2300200000.0,2494600000.0,12600000000.0,222199845.0,14312900000.0,32002500000.0,16342200000.0
130,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2023-09-30,10-K,2024-11-21,1617000000.0,,2300200000.0,2494600000.0,12600000000.0,222199845.0,14312900000.0,32002500000.0,16342200000.0
131,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2023-09-30,10-K,2025-11-20,,,2300200000.0,2494600000.0,12600000000.0,222199845.0,,,
125,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2022-09-30,10-K,2022-11-22,2711000000.0,,2256100000.0,2338800000.0,12698600000.0,221838696.0,13144000000.0,27192600000.0,13490200000.0
126,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2022-09-30,10-K,2023-11-16,2711000000.0,,2256100000.0,2338800000.0,12698600000.0,221838696.0,13144000000.0,27192600000.0,13490200000.0
127,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2022-09-30,10-K,2024-11-21,,,2256100000.0,2338800000.0,12698600000.0,221838696.0,,,
128,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2022-09-30,10-K,2025-11-20,,,,,,221838696.0,,,
121,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2021-09-30,10-K,2021-11-18,4468900000.0,,2099100000.0,2281400000.0,10323000000.0,221396755.0,13539700000.0,26859200000.0,12771200000.0
122,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2021-09-30,10-K,2022-11-22,4468900000.0,,2099100000.0,2281400000.0,10323000000.0,221396755.0,13539700000.0,26859200000.0,12771200000.0
123,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2021-09-30,10-K,2023-11-16,,,2099100000.0,2281400000.0,10323000000.0,221396755.0,,,
124,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2021-09-30,10-K,2024-11-21,,,,,,221396755.0,,,
117,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2020-09-30,10-K,2020-11-19,5253000000.0,,486800000.0,560200000.0,2320100000.0,221017459.0,12079800000.0,25168500000.0,12725400000.0
118,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2020-09-30,10-K,2021-11-18,5253000000.0,,1886700000.0,2237600000.0,8856300000.0,221017459.0,12079800000.0,25168500000.0,12725400000.0
119,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2020-09-30,10-K,2022-11-22,,,1886700000.0,2237600000.0,8856300000.0,221017459.0,,,
