,ticker,company,concept,value,end_date,filed,form
0,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,7503700000,2016-09-30,2018-11-20,10-K
1,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,1882500000,2016-12-31,2018-11-20,10-K
2,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,1980100000,2017-03-31,2018-11-20,10-K
3,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2121900000,2017-06-30,2018-11-20,10-K
4,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8187600000,2017-09-30,2018-11-20,10-K
5,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8187600000,2017-09-30,2019-11-26,10-K
6,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2203100000,2017-09-30,2018-11-20,10-K
7,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2216600000,2017-12-31,2018-11-20,10-K
8,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2216600000,2017-12-31,2019-11-26,10-K
9,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2155700000,2018-03-31,2018-11-20,10-K
10,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2155700000,2018-03-31,2019-11-26,10-K
11,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2259000000,2018-06-30,2018-11-20,10-K
12,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2259000000,2018-06-30,2019-11-26,10-K
13,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8930200000,2018-09-30,2018-11-20,10-K
14,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8930200000,2018-09-30,2019-11-26,10-K
15,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8930200000,2018-09-30,2020-11-19,10-K
16,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2298900000,2018-09-30,2018-11-20,10-K
17,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2298900000,2018-09-30,2019-11-26,10-K
18,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2224000000,2018-12-31,2019-11-26,10-K
19,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2224000000,2018-12-31,2020-11-19,10-K
20,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2187700000,2019-03-31,2019-11-26,10-K
21,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2187700000,2019-03-31,2020-11-19,10-K
22,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2224000000,2019-06-30,2019-11-26,10-K
23,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2224000000,2019-06-30,2020-11-19,10-K
24,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8918900000,2019-09-30,2019-11-26,10-K
25,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8918900000,2019-09-30,2020-11-19,10-K
26,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8918900000,2019-09-30,2021-11-18,10-K
27,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2283200000,2019-09-30,2019-11-26,10-K
28,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2283200000,2019-09-30,2020-11-19,10-K
29,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2254700000,2019-12-31,2020-11-19,10-K
30,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2216300000,2020-03-31,2020-11-19,10-K
31,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2065200000,2020-06-30,2020-11-19,10-K
32,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8856300000,2020-09-30,2020-11-19,10-K
33,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8856300000,2020-09-30,2021-11-18,10-K
34,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,8856300000,2020-09-30,2022-11-22,10-K
35,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,2320100000,2020-09-30,2020-11-19,10-K
36,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,10323000000,2021-09-30,2021-11-18,10-K
37,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,10323000000,2021-09-30,2022-11-22,10-K
38,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,10323000000,2021-09-30,2023-11-16,10-K
39,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,12698600000,2022-09-30,2022-11-22,10-K
40,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,12698600000,2022-09-30,2023-11-16,10-K
41,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,12698600000,2022-09-30,2024-11-21,10-K
42,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,12600000000,2023-09-30,2023-11-16,10-K
43,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,12600000000,2023-09-30,2024-11-21,10-K
44,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,12600000000,2023-09-30,2025-11-20,10-K
45,APD,"AIR PRODUCTS AND CHEMICALS, INC.",revenue,12100600000,2024-09-30,2024-11-21,10-K
