,ticker,company,concept,value,end_date,filed,form
0,APH,AMPHENOL CORPORATION,revenue_alt,6286400000,2016-12-31,2019-02-13,10-K
1,APH,AMPHENOL CORPORATION,revenue_alt,1560100000,2017-03-31,2019-02-13,10-K
2,APH,AMPHENOL CORPORATION,revenue_alt,1666500000,2017-06-30,2019-02-13,10-K
3,APH,AMPHENOL CORPORATION,revenue_alt,1840800000,2017-09-30,2019-02-13,10-K
4,APH,AMPHENOL CORPORATION,revenue_alt,7011300000,2017-12-31,2019-02-13,10-K
5,APH,AMPHENOL CORPORATION,revenue_alt,7011300000,2017-12-31,2020-02-12,10-K
6,APH,AMPHENOL CORPORATION,revenue_alt,1943900000,2017-12-31,2019-02-13,10-K
7,APH,AMPHENOL CORPORATION,revenue_alt,1866900000,2018-03-31,2019-02-13,10-K
8,APH,AMPHENOL CORPORATION,revenue_alt,1866900000,2018-03-31,2020-02-12,10-K
9,APH,AMPHENOL CORPORATION,revenue_alt,1981400000,2018-06-30,2019-02-13,10-K
10,APH,AMPHENOL CORPORATION,revenue_alt,1981400000,2018-06-30,2020-02-12,10-K
11,APH,AMPHENOL CORPORATION,revenue_alt,2129000000,2018-09-30,2019-02-13,10-K
12,APH,AMPHENOL CORPORATION,revenue_alt,2129000000,2018-09-30,2020-02-12,10-K
13,APH,AMPHENOL CORPORATION,revenue_alt,8202000000,2018-12-31,2019-02-13,10-K
14,APH,AMPHENOL CORPORATION,revenue_alt,8202000000,2018-12-31,2020-02-12,10-K
15,APH,AMPHENOL CORPORATION,revenue_alt,8202000000,2018-12-31,2021-02-10,10-K
16,APH,AMPHENOL CORPORATION,revenue_alt,2224700000,2018-12-31,2019-02-13,10-K
17,APH,AMPHENOL CORPORATION,revenue_alt,2224700000,2018-12-31,2020-02-12,10-K
18,APH,AMPHENOL CORPORATION,revenue_alt,1958500000,2019-03-31,2020-02-12,10-K
19,APH,AMPHENOL CORPORATION,revenue_alt,1958500000,2019-03-31,2021-02-10,10-K
20,APH,AMPHENOL CORPORATION,revenue_alt,2015300000,2019-06-30,2020-02-12,10-K
21,APH,AMPHENOL CORPORATION,revenue_alt,2015300000,2019-06-30,2021-02-10,10-K
22,APH,AMPHENOL CORPORATION,revenue_alt,2100600000,2019-09-30,2020-02-12,10-K
23,APH,AMPHENOL CORPORATION,revenue_alt,2100600000,2019-09-30,2021-02-10,10-K
24,APH,AMPHENOL CORPORATION,revenue_alt,8225400000,2019-12-31,2020-02-12,10-K
25,APH,AMPHENOL CORPORATION,revenue_alt,8225400000,2019-12-31,2021-02-10,10-K
26,APH,AMPHENOL CORPORATION,revenue_alt,8225400000,2019-12-31,2022-02-09,10-K
27,APH,AMPHENOL CORPORATION,revenue_alt,2151000000,2019-12-31,2020-02-12,10-K
28,APH,AMPHENOL CORPORATION,revenue_alt,2151000000,2019-12-31,2021-02-10,10-K
29,APH,AMPHENOL CORPORATION,revenue_alt,1862000000,2020-03-31,2021-02-10,10-K
30,APH,AMPHENOL CORPORATION,revenue_alt,1987500000,2020-06-30,2021-02-10,10-K
31,APH,AMPHENOL CORPORATION,revenue_alt,2323400000,2020-09-30,2021-02-10,10-K
32,APH,AMPHENOL CORPORATION,revenue_alt,8598900000,2020-12-31,2021-02-10,10-K
33,APH,AMPHENOL CORPORATION,revenue_alt,8598900000,2020-12-31,2022-02-09,10-K
34,APH,AMPHENOL CORPORATION,revenue_alt,8598900000,2020-12-31,2023-02-08,10-K
35,APH,AMPHENOL CORPORATION,revenue_alt,2426000000,2020-12-31,2021-02-10,10-K
36,APH,AMPHENOL CORPORATION,revenue_alt,10876300000,2021-12-31,2022-02-09,10-K
37,APH,AMPHENOL CORPORATION,revenue_alt,10876300000,2021-12-31,2023-02-08,10-K
38,APH,AMPHENOL CORPORATION,revenue_alt,10876300000,2021-12-31,2024-02-07,10-K
39,APH,AMPHENOL CORPORATION,revenue_alt,12623000000,2022-12-31,2023-02-08,10-K
40,APH,AMPHENOL CORPORATION,revenue_alt,12623000000,2022-12-31,2024-02-07,10-K
41,APH,AMPHENOL CORPORATION,revenue_alt,12623000000,2022-12-31,2025-02-07,10-K
42,APH,AMPHENOL CORPORATION,revenue_alt,12554700000,2023-12-31,2024-02-07,10-K
43,APH,AMPHENOL CORPORATION,revenue_alt,12554700000,2023-12-31,2025-02-07,10-K
44,APH,AMPHENOL CORPORATION,revenue_alt,12554700000,2023-12-31,2026-02-11,10-K
45,APH,AMPHENOL CORPORATION,revenue_alt,15222700000,2024-12-31,2025-02-07,10-K
46,APH,AMPHENOL CORPORATION,revenue_alt,15222700000,2024-12-31,2026-02-11,10-K
47,APH,AMPHENOL CORPORATION,revenue_alt,23094700000,2025-12-31,2026-02-11,10-K
48,APH,AMPHENOL CORPORATION,net_income,353194000,2007-12-31,2010-02-23,10-K
49,APH,AMPHENOL CORPORATION,net_income,419151000,2008-12-31,2010-02-23,10-K
50,APH,AMPHENOL CORPORATION,net_income,419151000,2008-12-31,2011-02-28,10-K
51,APH,AMPHENOL CORPORATION,net_income,74410000,2009-03-31,2011-02-28,10-K
52,APH,AMPHENOL CORPORATION,net_income,74870000,2009-06-30,2011-02-28,10-K
53,APH,AMPHENOL CORPORATION,net_income,80915000,2009-09-30,2011-02-28,10-K
54,APH,AMPHENOL CORPORATION,net_income,317834000,2009-12-31,2010-02-23,10-K
55,APH,AMPHENOL CORPORATION,net_income,317834000,2009-12-31,2011-02-28,10-K
56,APH,AMPHENOL CORPORATION,net_income,87639000,2009-12-31,2011-02-28,10-K
57,APH,AMPHENOL CORPORATION,net_income,98353000,2010-03-31,2011-02-28,10-K
58,APH,AMPHENOL CORPORATION,net_income,129671000,2010-06-30,2011-02-28,10-K
59,APH,AMPHENOL CORPORATION,net_income,137268000,2010-09-30,2011-02-28,10-K
60,APH,AMPHENOL CORPORATION,net_income,496405000,2010-12-31,2011-02-28,10-K
61,APH,AMPHENOL CORPORATION,net_income,131113000,2010-12-31,2011-02-28,10-K
62,APH,AMPHENOL CORPORATION,net_income,709100000,2014-12-31,2017-02-17,10-K
63,APH,AMPHENOL CORPORATION,net_income,179800000,2015-03-31,2017-02-17,10-K
64,APH,AMPHENOL CORPORATION,net_income,179000000,2015-06-30,2017-02-17,10-K
65,APH,AMPHENOL CORPORATION,net_income,204500000,2015-09-30,2017-02-17,10-K
66,APH,AMPHENOL CORPORATION,net_income,763500000,2015-12-31,2017-02-17,10-K
67,APH,AMPHENOL CORPORATION,net_income,763500000,2015-12-31,2018-02-21,10-K
68,APH,AMPHENOL CORPORATION,net_income,200100000,2015-12-31,2017-02-17,10-K
69,APH,AMPHENOL CORPORATION,net_income,156600000,2016-03-31,2017-02-17,10-K
70,APH,AMPHENOL CORPORATION,net_income,156600000,2016-03-31,2018-02-21,10-K
71,APH,AMPHENOL CORPORATION,net_income,206500000,2016-06-30,2017-02-17,10-K
72,APH,AMPHENOL CORPORATION,net_income,206500000,2016-06-30,2018-02-21,10-K
73,APH,AMPHENOL CORPORATION,net_income,224300000,2016-09-30,2017-02-17,10-K
74,APH,AMPHENOL CORPORATION,net_income,224300000,2016-09-30,2018-02-21,10-K
75,APH,AMPHENOL CORPORATION,net_income,822900000,2016-12-31,2017-02-17,10-K
76,APH,AMPHENOL CORPORATION,net_income,822900000,2016-12-31,2018-02-21,10-K
77,APH,AMPHENOL CORPORATION,net_income,822900000,2016-12-31,2019-02-13,10-K
78,APH,AMPHENOL CORPORATION,net_income,235400000,2016-12-31,2017-02-17,10-K
79,APH,AMPHENOL CORPORATION,net_income,235400000,2016-12-31,2018-02-21,10-K
80,APH,AMPHENOL CORPORATION,net_income,224900000,2017-03-31,2018-02-21,10-K
81,APH,AMPHENOL CORPORATION,net_income,224900000,2017-03-31,2019-02-13,10-K
82,APH,AMPHENOL CORPORATION,net_income,251500000,2017-06-30,2018-02-21,10-K
83,APH,AMPHENOL CORPORATION,net_income,251500000,2017-06-30,2019-02-13,10-K
84,APH,AMPHENOL CORPORATION,net_income,277500000,2017-09-30,2018-02-21,10-K
85,APH,AMPHENOL CORPORATION,net_income,277500000,2017-09-30,2019-02-13,10-K
86,APH,AMPHENOL CORPORATION,net_income,650500000,2017-12-31,2018-02-21,10-K
87,APH,AMPHENOL CORPORATION,net_income,650500000,2017-12-31,2019-02-13,10-K
88,APH,AMPHENOL CORPORATION,net_income,650500000,2017-12-31,2020-02-12,10-K
89,APH,AMPHENOL CORPORATION,net_income,-103400000,2017-12-31,2018-02-21,10-K
90,APH,AMPHENOL CORPORATION,net_income,-103400000,2017-12-31,2019-02-13,10-K
91,APH,AMPHENOL CORPORATION,net_income,265600000,2018-03-31,2019-02-13,10-K
92,APH,AMPHENOL CORPORATION,net_income,265600000,2018-03-31,2020-02-12,10-K
93,APH,AMPHENOL CORPORATION,net_income,284800000,2018-06-30,2019-02-13,10-K
94,APH,AMPHENOL CORPORATION,net_income,284800000,2018-06-30,2020-02-12,10-K
95,APH,AMPHENOL CORPORATION,net_income,316600000,2018-09-30,2019-02-13,10-K
96,APH,AMPHENOL CORPORATION,net_income,316600000,2018-09-30,2020-02-12,10-K
97,APH,AMPHENOL CORPORATION,net_income,1205000000,2018-12-31,2019-02-13,10-K
98,APH,AMPHENOL CORPORATION,net_income,1205000000,2018-12-31,2020-02-12,10-K
99,APH,AMPHENOL CORPORATION,net_income,1205000000,2018-12-31,2021-02-10,10-K
100,APH,AMPHENOL CORPORATION,net_income,338100000,2018-12-31,2019-02-13,10-K
101,APH,AMPHENOL CORPORATION,net_income,338100000,2018-12-31,2020-02-12,10-K
102,APH,AMPHENOL CORPORATION,net_income,267500000,2019-03-31,2020-02-12,10-K
103,APH,AMPHENOL CORPORATION,net_income,267500000,2019-03-31,2021-02-10,10-K
104,APH,AMPHENOL CORPORATION,net_income,288400000,2019-06-30,2020-02-12,10-K
105,APH,AMPHENOL CORPORATION,net_income,288400000,2019-06-30,2021-02-10,10-K
106,APH,AMPHENOL CORPORATION,net_income,280300000,2019-09-30,2020-02-12,10-K
107,APH,AMPHENOL CORPORATION,net_income,280300000,2019-09-30,2021-02-10,10-K
108,APH,AMPHENOL CORPORATION,net_income,1155000000,2019-12-31,2020-02-12,10-K
109,APH,AMPHENOL CORPORATION,net_income,1155000000,2019-12-31,2021-02-10,10-K
110,APH,AMPHENOL CORPORATION,net_income,1155000000,2019-12-31,2022-02-09,10-K
111,APH,AMPHENOL CORPORATION,net_income,318700000,2019-12-31,2020-02-12,10-K
112,APH,AMPHENOL CORPORATION,net_income,318700000,2019-12-31,2021-02-10,10-K
113,APH,AMPHENOL CORPORATION,net_income,242100000,2020-03-31,2021-02-10,10-K
114,APH,AMPHENOL CORPORATION,net_income,257700000,2020-06-30,2021-02-10,10-K
115,APH,AMPHENOL CORPORATION,net_income,346600000,2020-09-30,2021-02-10,10-K
116,APH,AMPHENOL CORPORATION,net_income,1203400000,2020-12-31,2021-02-10,10-K
117,APH,AMPHENOL CORPORATION,net_income,1203400000,2020-12-31,2022-02-09,10-K
118,APH,AMPHENOL CORPORATION,net_income,1203400000,2020-12-31,2023-02-08,10-K
119,APH,AMPHENOL CORPORATION,net_income,357000000,2020-12-31,2021-02-10,10-K
120,APH,AMPHENOL CORPORATION,net_income,1590800000,2021-12-31,2022-02-09,10-K
121,APH,AMPHENOL CORPORATION,net_income,1590800000,2021-12-31,2023-02-08,10-K
122,APH,AMPHENOL CORPORATION,net_income,1590800000,2021-12-31,2024-02-07,10-K
123,APH,AMPHENOL CORPORATION,net_income,1902300000,2022-12-31,2023-02-08,10-K
124,APH,AMPHENOL CORPORATION,net_income,1902300000,2022-12-31,2024-02-07,10-K
125,APH,AMPHENOL CORPORATION,net_income,1902300000,2022-12-31,2025-02-07,10-K
126,APH,AMPHENOL CORPORATION,net_income,1928000000,2023-12-31,2024-02-07,10-K
127,APH,AMPHENOL CORPORATION,net_income,1928000000,2023-12-31,2025-02-07,10-K
128,APH,AMPHENOL CORPORATION,net_income,1928000000,2023-12-31,2026-02-11,10-K
129,APH,AMPHENOL CORPORATION,net_income,2424000000,2024-12-31,2025-02-07,10-K
130,APH,AMPHENOL CORPORATION,net_income,2424000000,2024-12-31,2026-02-11,10-K
131,APH,AMPHENOL CORPORATION,net_income,4270300000,2025-12-31,2026-02-11,10-K
132,APH,AMPHENOL CORPORATION,total_assets,2994159000,2008-12-31,2010-02-23,10-K
133,APH,AMPHENOL CORPORATION,total_assets,2994159000,2008-12-31,2011-02-28,10-K
134,APH,AMPHENOL CORPORATION,total_assets,3219184000,2009-12-31,2010-02-23,10-K
135,APH,AMPHENOL CORPORATION,total_assets,3219184000,2009-12-31,2011-02-28,10-K
136,APH,AMPHENOL CORPORATION,total_assets,4015857000,2009-12-31,2012-02-24,10-K
137,APH,AMPHENOL CORPORATION,total_assets,4015857000,2010-12-31,2011-02-28,10-K
138,APH,AMPHENOL CORPORATION,total_assets,4015857000,2010-12-31,2012-02-24,10-K
139,APH,AMPHENOL CORPORATION,total_assets,4445225000,2011-12-31,2012-02-24,10-K
140,APH,AMPHENOL CORPORATION,total_assets,4445225000,2011-12-31,2013-02-22,10-K
141,APH,AMPHENOL CORPORATION,total_assets,5215463000,2012-12-31,2013-02-22,10-K
142,APH,AMPHENOL CORPORATION,total_assets,5215463000,2012-12-31,2014-02-21,10-K
143,APH,AMPHENOL CORPORATION,total_assets,6168028000,2013-12-31,2014-02-21,10-K
144,APH,AMPHENOL CORPORATION,total_assets,6168000000,2013-12-31,2015-02-20,10-K
145,APH,AMPHENOL CORPORATION,total_assets,7027000000,2014-12-31,2015-02-20,10-K
146,APH,AMPHENOL CORPORATION,total_assets,6985900000,2014-12-31,2016-02-19,10-K
147,APH,AMPHENOL CORPORATION,total_assets,7458400000,2015-12-31,2016-02-19,10-K
148,APH,AMPHENOL CORPORATION,total_assets,7458400000,2015-12-31,2017-02-17,10-K
149,APH,AMPHENOL CORPORATION,total_assets,8498700000,2016-12-31,2017-02-17,10-K
150,APH,AMPHENOL CORPORATION,total_assets,8498700000,2016-12-31,2018-02-21,10-K
151,APH,AMPHENOL CORPORATION,total_assets,10003900000,2017-12-31,2018-02-21,10-K
152,APH,AMPHENOL CORPORATION,total_assets,10003900000,2017-12-31,2019-02-13,10-K
153,APH,AMPHENOL CORPORATION,total_assets,10044900000,2018-12-31,2019-02-13,10-K
154,APH,AMPHENOL CORPORATION,total_assets,10044900000,2018-12-31,2020-02-12,10-K
155,APH,AMPHENOL CORPORATION,total_assets,10815500000,2019-12-31,2020-02-12,10-K
156,APH,AMPHENOL CORPORATION,total_assets,10815500000,2019-12-31,2021-02-10,10-K
157,APH,AMPHENOL CORPORATION,total_assets,12327300000,2020-12-31,2021-02-10,10-K
158,APH,AMPHENOL CORPORATION,total_assets,12327300000,2020-12-31,2022-02-09,10-K
159,APH,AMPHENOL CORPORATION,total_assets,14678400000,2021-12-31,2022-02-09,10-K
160,APH,AMPHENOL CORPORATION,total_assets,14678400000,2021-12-31,2023-02-08,10-K
161,APH,AMPHENOL CORPORATION,total_assets,15326200000,2022-12-31,2023-02-08,10-K
162,APH,AMPHENOL CORPORATION,total_assets,15326200000,2022-12-31,2024-02-07,10-K
163,APH,AMPHENOL CORPORATION,total_assets,16526400000,2023-12-31,2024-02-07,10-K
164,APH,AMPHENOL CORPORATION,total_assets,16526400000,2023-12-31,2025-02-07,10-K
165,APH,AMPHENOL CORPORATION,total_assets,21440200000,2024-12-31,2025-02-07,10-K
166,APH,AMPHENOL CORPORATION,total_assets,21440200000,2024-12-31,2026-02-11,10-K
167,APH,AMPHENOL CORPORATION,total_assets,36236900000,2025-12-31,2026-02-11,10-K
168,APH,AMPHENOL CORPORATION,total_liabilities,6875400000,2020-12-31,2022-02-09,10-K
169,APH,AMPHENOL CORPORATION,total_liabilities,8299300000,2021-12-31,2022-02-09,10-K
170,APH,AMPHENOL CORPORATION,total_liabilities,8299300000,2021-12-31,2023-02-08,10-K
171,APH,AMPHENOL CORPORATION,total_liabilities,8232100000,2022-12-31,2023-02-08,10-K
172,APH,AMPHENOL CORPORATION,total_liabilities,8232100000,2022-12-31,2024-02-07,10-K
173,APH,AMPHENOL CORPORATION,total_liabilities,8099900000,2023-12-31,2024-02-07,10-K
174,APH,AMPHENOL CORPORATION,total_liabilities,8099900000,2023-12-31,2025-02-07,10-K
175,APH,AMPHENOL CORPORATION,total_liabilities,11584100000,2024-12-31,2025-02-07,10-K
176,APH,AMPHENOL CORPORATION,total_liabilities,11584100000,2024-12-31,2026-02-11,10-K
177,APH,AMPHENOL CORPORATION,total_liabilities,22727200000,2025-12-31,2026-02-11,10-K
178,APH,AMPHENOL CORPORATION,stockholders_equity,1349425000,2008-12-31,2010-02-23,10-K
179,APH,AMPHENOL CORPORATION,stockholders_equity,1746077000,2009-12-31,2010-02-23,10-K
180,APH,AMPHENOL CORPORATION,stockholders_equity,1746077000,2009-12-31,2011-02-28,10-K
181,APH,AMPHENOL CORPORATION,stockholders_equity,2320855000,2010-12-31,2011-02-28,10-K
182,APH,AMPHENOL CORPORATION,stockholders_equity,2320855000,2010-12-31,2012-02-24,10-K
183,APH,AMPHENOL CORPORATION,stockholders_equity,2171769000,2011-12-31,2012-02-24,10-K
184,APH,AMPHENOL CORPORATION,stockholders_equity,2171769000,2011-12-31,2013-02-22,10-K
185,APH,AMPHENOL CORPORATION,stockholders_equity,2429959000,2012-12-31,2013-02-22,10-K
186,APH,AMPHENOL CORPORATION,stockholders_equity,2429959000,2012-12-31,2014-02-21,10-K
187,APH,AMPHENOL CORPORATION,stockholders_equity,2859509000,2013-12-31,2014-02-21,10-K
188,APH,AMPHENOL CORPORATION,stockholders_equity,2859500000,2013-12-31,2015-02-20,10-K
189,APH,AMPHENOL CORPORATION,stockholders_equity,2907400000,2014-12-31,2015-02-20,10-K
190,APH,AMPHENOL CORPORATION,stockholders_equity,2907400000,2014-12-31,2016-02-19,10-K
191,APH,AMPHENOL CORPORATION,stockholders_equity,3238500000,2015-12-31,2016-02-19,10-K
192,APH,AMPHENOL CORPORATION,stockholders_equity,3238500000,2015-12-31,2017-02-17,10-K
193,APH,AMPHENOL CORPORATION,stockholders_equity,3674900000,2016-12-31,2017-02-17,10-K
194,APH,AMPHENOL CORPORATION,stockholders_equity,3674900000,2016-12-31,2018-02-21,10-K
195,APH,AMPHENOL CORPORATION,stockholders_equity,3989800000,2017-12-31,2018-02-21,10-K
196,APH,AMPHENOL CORPORATION,stockholders_equity,3989800000,2017-12-31,2019-02-13,10-K
197,APH,AMPHENOL CORPORATION,stockholders_equity,4017000000,2018-12-31,2019-02-13,10-K
198,APH,AMPHENOL CORPORATION,stockholders_equity,4017000000,2018-12-31,2020-02-12,10-K
199,APH,AMPHENOL CORPORATION,stockholders_equity,4530300000,2019-12-31,2020-02-12,10-K
200,APH,AMPHENOL CORPORATION,stockholders_equity,4530300000,2019-12-31,2021-02-10,10-K
201,APH,AMPHENOL CORPORATION,stockholders_equity,5384900000,2020-12-31,2021-02-10,10-K
202,APH,AMPHENOL CORPORATION,stockholders_equity,5384900000,2020-12-31,2022-02-09,10-K
203,APH,AMPHENOL CORPORATION,stockholders_equity,6302000000,2021-12-31,2022-02-09,10-K
204,APH,AMPHENOL CORPORATION,stockholders_equity,6302000000,2021-12-31,2023-02-08,10-K
205,APH,AMPHENOL CORPORATION,stockholders_equity,7015600000,2022-12-31,2023-02-08,10-K
206,APH,AMPHENOL CORPORATION,stockholders_equity,7015600000,2022-12-31,2024-02-07,10-K
207,APH,AMPHENOL CORPORATION,stockholders_equity,8346500000,2023-12-31,2024-02-07,10-K
208,APH,AMPHENOL CORPORATION,stockholders_equity,8346500000,2023-12-31,2025-02-07,10-K
