,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
14,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2025-12-31,10-K,2026-02-25,,13364000000.0,3492000000.0,32049000000.0,578981398.0,23341000000.0,460949000000.0,418434000000.0
12,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2024-12-31,10-K,2025-02-24,,10588000000.0,4577000000.0,26114000000.0,565738933.0,17253000000.0,377895000000.0,346915000000.0
13,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2024-12-31,10-K,2026-02-25,,10588000000.0,4577000000.0,26114000000.0,565738933.0,17253000000.0,377895000000.0,346915000000.0
9,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2023-12-31,10-K,2024-02-27,,8092000000.0,5047000000.0,32644000000.0,567762932.0,14044000000.0,313488000000.0,288243000000.0
10,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2023-12-31,10-K,2025-02-24,,8092000000.0,5047000000.0,32644000000.0,567762932.0,14044000000.0,313488000000.0,288243000000.0
11,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2023-12-31,10-K,2026-02-25,,,5047000000.0,32644000000.0,,,,
6,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2022-12-31,10-K,2023-03-01,8980000000.0,6472000000.0,-3213000000.0,10968000000.0,570276188.0,397000000.0,259333000000.0,252104000000.0
7,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2022-12-31,10-K,2024-02-27,,6472000000.0,640000000.0,4841000000.0,570276188.0,6640000000.0,257217000000.0,241819000000.0
8,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2022-12-31,10-K,2025-02-24,,,-1961000000.0,10968000000.0,,,,
5,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2022-09-30,10-K,2024-02-27,,,-563000000.0,2979000000.0,,,,
4,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2022-06-30,10-K,2024-02-27,,,-1637000000.0,2286000000.0,,,,
3,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2022-03-31,10-K,2024-02-27,,,-401000000.0,862000000.0,,,,
1,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2021-12-31,10-K,2023-03-01,917000000.0,3134000000.0,1839000000.0,5951000000.0,,3789000000.0,30502000000.0,18538000000.0
2,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2021-12-31,10-K,2024-02-27,,,1839000000.0,5951000000.0,,,,
0,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2020-12-31,10-K,2023-03-01,1556000000.0,,157000000.0,2354000000.0,,,,
