,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
98,APTV,Aptiv PLC,2025-12-31,10-K,2026-02-06,1851000000.0,7653000000.0,138000000.0,425000000.0,5153000000.0,20398000000.0,212746899.0,9207000000.0,23413000000.0,13914000000.0
96,APTV,Aptiv PLC,2024-12-31,10-K,2025-02-07,1573000000.0,8465000000.0,268000000.0,479000000.0,4907000000.0,19713000000.0,235035739.0,8796000000.0,23458000000.0,14373000000.0
97,APTV,Aptiv PLC,2024-12-31,10-K,2026-02-06,1573000000.0,,268000000.0,479000000.0,4907000000.0,19713000000.0,235035739.0,8796000000.0,23458000000.0,14373000000.0
93,APTV,Aptiv PLC,2023-12-31,10-K,2024-02-06,1640000000.0,6296000000.0,905000000.0,355000000.0,4919000000.0,,279033365.0,11548000000.0,24427000000.0,12583000000.0
94,APTV,Aptiv PLC,2023-12-31,10-K,2025-02-07,1640000000.0,,905000000.0,355000000.0,4919000000.0,20051000000.0,279033365.0,11548000000.0,24427000000.0,12583000000.0
95,APTV,Aptiv PLC,2023-12-31,10-K,2026-02-06,,,2938000000.0,1559000000.0,20051000000.0,20051000000.0,,,,
90,APTV,Aptiv PLC,2022-12-31,10-K,2023-02-08,1531000000.0,6581000000.0,249000000.0,440000000.0,4640000000.0,,270949579.0,8809000000.0,21884000000.0,12790000000.0
91,APTV,Aptiv PLC,2022-12-31,10-K,2024-02-06,1531000000.0,,249000000.0,440000000.0,4640000000.0,,270949579.0,8809000000.0,21884000000.0,12790000000.0
92,APTV,Aptiv PLC,2022-12-31,10-K,2025-02-07,,,594000000.0,1263000000.0,17489000000.0,17489000000.0,,,,
87,APTV,Aptiv PLC,2021-12-31,10-K,2022-02-07,3139000000.0,,31000000.0,260000000.0,4134000000.0,,270514140.0,8347000000.0,18007000000.0,9446000000.0
88,APTV,Aptiv PLC,2021-12-31,10-K,2023-02-08,3139000000.0,,31000000.0,260000000.0,4134000000.0,,270514140.0,8347000000.0,18007000000.0,9446000000.0
89,APTV,Aptiv PLC,2021-12-31,10-K,2024-02-06,,,590000000.0,1189000000.0,15618000000.0,,,,,
84,APTV,Aptiv PLC,2020-12-31,10-K,2021-02-08,2821000000.0,,299000000.0,446000000.0,4212000000.0,,270025375.0,7905000000.0,17522000000.0,9422000000.0
85,APTV,Aptiv PLC,2020-12-31,10-K,2022-02-07,2821000000.0,,299000000.0,446000000.0,4212000000.0,,270025374.0,7905000000.0,17522000000.0,9422000000.0
86,APTV,Aptiv PLC,2020-12-31,10-K,2023-02-08,,,1804000000.0,2118000000.0,13066000000.0,,,,,
