,ticker,company,concept,value,end_date,filed,form
0,APTV,Aptiv PLC,revenue,12274000000,2016-12-31,2019-02-04,10-K
1,APTV,Aptiv PLC,revenue,3143000000,2017-03-31,2019-02-04,10-K
2,APTV,Aptiv PLC,revenue,3153000000,2017-06-30,2019-02-04,10-K
3,APTV,Aptiv PLC,revenue,3148000000,2017-09-30,2019-02-04,10-K
4,APTV,Aptiv PLC,revenue,12884000000,2017-12-31,2019-02-04,10-K
5,APTV,Aptiv PLC,revenue,12884000000,2017-12-31,2020-02-03,10-K
6,APTV,Aptiv PLC,revenue,3440000000,2017-12-31,2019-02-04,10-K
7,APTV,Aptiv PLC,revenue,3630000000,2018-03-31,2019-02-04,10-K
8,APTV,Aptiv PLC,revenue,3630000000,2018-03-31,2020-02-03,10-K
9,APTV,Aptiv PLC,revenue,3684000000,2018-06-30,2019-02-04,10-K
10,APTV,Aptiv PLC,revenue,3684000000,2018-06-30,2020-02-03,10-K
11,APTV,Aptiv PLC,revenue,3485000000,2018-09-30,2019-02-04,10-K
12,APTV,Aptiv PLC,revenue,3485000000,2018-09-30,2020-02-03,10-K
13,APTV,Aptiv PLC,revenue,14435000000,2018-12-31,2019-02-04,10-K
14,APTV,Aptiv PLC,revenue,14435000000,2018-12-31,2020-02-03,10-K
15,APTV,Aptiv PLC,revenue,14435000000,2018-12-31,2021-02-08,10-K
16,APTV,Aptiv PLC,revenue,3636000000,2018-12-31,2019-02-04,10-K
17,APTV,Aptiv PLC,revenue,3636000000,2018-12-31,2020-02-03,10-K
18,APTV,Aptiv PLC,revenue,3575000000,2019-03-31,2020-02-03,10-K
19,APTV,Aptiv PLC,revenue,3575000000,2019-03-31,2021-02-08,10-K
20,APTV,Aptiv PLC,revenue,3627000000,2019-06-30,2020-02-03,10-K
21,APTV,Aptiv PLC,revenue,3627000000,2019-06-30,2021-02-08,10-K
22,APTV,Aptiv PLC,revenue,3559000000,2019-09-30,2020-02-03,10-K
23,APTV,Aptiv PLC,revenue,3559000000,2019-09-30,2021-02-08,10-K
24,APTV,Aptiv PLC,revenue,14357000000,2019-12-31,2020-02-03,10-K
25,APTV,Aptiv PLC,revenue,14357000000,2019-12-31,2021-02-08,10-K
26,APTV,Aptiv PLC,revenue,14357000000,2019-12-31,2022-02-07,10-K
27,APTV,Aptiv PLC,revenue,3596000000,2019-12-31,2020-02-03,10-K
28,APTV,Aptiv PLC,revenue,3596000000,2019-12-31,2021-02-08,10-K
29,APTV,Aptiv PLC,revenue,3226000000,2020-03-31,2021-02-08,10-K
30,APTV,Aptiv PLC,revenue,1960000000,2020-06-30,2021-02-08,10-K
31,APTV,Aptiv PLC,revenue,3668000000,2020-09-30,2021-02-08,10-K
32,APTV,Aptiv PLC,revenue,13066000000,2020-12-31,2021-02-08,10-K
33,APTV,Aptiv PLC,revenue,13066000000,2020-12-31,2022-02-07,10-K
34,APTV,Aptiv PLC,revenue,13066000000,2020-12-31,2023-02-08,10-K
35,APTV,Aptiv PLC,revenue,4212000000,2020-12-31,2021-02-08,10-K
36,APTV,Aptiv PLC,revenue,4212000000,2020-12-31,2022-02-07,10-K
37,APTV,Aptiv PLC,revenue,15618000000,2021-12-31,2022-02-07,10-K
38,APTV,Aptiv PLC,revenue,15618000000,2021-12-31,2023-02-08,10-K
39,APTV,Aptiv PLC,revenue,15618000000,2021-12-31,2024-02-06,10-K
40,APTV,Aptiv PLC,revenue,4134000000,2021-12-31,2022-02-07,10-K
41,APTV,Aptiv PLC,revenue,4134000000,2021-12-31,2023-02-08,10-K
42,APTV,Aptiv PLC,revenue,17489000000,2022-12-31,2023-02-08,10-K
43,APTV,Aptiv PLC,revenue,17489000000,2022-12-31,2024-02-06,10-K
44,APTV,Aptiv PLC,revenue,17489000000,2022-12-31,2025-02-07,10-K
45,APTV,Aptiv PLC,revenue,4640000000,2022-12-31,2023-02-08,10-K
46,APTV,Aptiv PLC,revenue,4640000000,2022-12-31,2024-02-06,10-K
47,APTV,Aptiv PLC,revenue,20051000000,2023-12-31,2024-02-06,10-K
48,APTV,Aptiv PLC,revenue,20051000000,2023-12-31,2025-02-07,10-K
49,APTV,Aptiv PLC,revenue,20051000000,2023-12-31,2026-02-06,10-K
50,APTV,Aptiv PLC,revenue,4919000000,2023-12-31,2024-02-06,10-K
51,APTV,Aptiv PLC,revenue,4919000000,2023-12-31,2025-02-07,10-K
52,APTV,Aptiv PLC,revenue,19713000000,2024-12-31,2025-02-07,10-K
53,APTV,Aptiv PLC,revenue,19713000000,2024-12-31,2026-02-06,10-K
54,APTV,Aptiv PLC,revenue,4907000000,2024-12-31,2025-02-07,10-K
55,APTV,Aptiv PLC,revenue,4907000000,2024-12-31,2026-02-06,10-K
56,APTV,Aptiv PLC,revenue,20398000000,2025-12-31,2026-02-06,10-K
57,APTV,Aptiv PLC,revenue,5153000000,2025-12-31,2026-02-06,10-K
58,APTV,Aptiv PLC,revenue_alt,17489000000,2022-12-31,2025-02-07,10-K
59,APTV,Aptiv PLC,revenue_alt,20051000000,2023-12-31,2025-02-07,10-K
60,APTV,Aptiv PLC,revenue_alt,20051000000,2023-12-31,2026-02-06,10-K
61,APTV,Aptiv PLC,revenue_alt,19713000000,2024-12-31,2025-02-07,10-K
62,APTV,Aptiv PLC,revenue_alt,19713000000,2024-12-31,2026-02-06,10-K
63,APTV,Aptiv PLC,revenue_alt,20398000000,2025-12-31,2026-02-06,10-K
64,APTV,Aptiv PLC,net_income,631000000,2010-12-31,2013-02-11,10-K
65,APTV,Aptiv PLC,net_income,291000000,2011-03-31,2013-02-11,10-K
66,APTV,Aptiv PLC,net_income,298000000,2011-06-30,2013-02-11,10-K
67,APTV,Aptiv PLC,net_income,266000000,2011-09-30,2013-02-11,10-K
68,APTV,Aptiv PLC,net_income,1145000000,2011-12-31,2013-02-11,10-K
69,APTV,Aptiv PLC,net_income,1145000000,2011-12-31,2014-02-10,10-K
70,APTV,Aptiv PLC,net_income,290000000,2011-12-31,2013-02-11,10-K
71,APTV,Aptiv PLC,net_income,342000000,2012-03-31,2013-02-11,10-K
72,APTV,Aptiv PLC,net_income,342000000,2012-03-31,2014-02-10,10-K
73,APTV,Aptiv PLC,net_income,330000000,2012-06-30,2013-02-11,10-K
74,APTV,Aptiv PLC,net_income,330000000,2012-06-30,2014-02-10,10-K
75,APTV,Aptiv PLC,net_income,269000000,2012-09-30,2013-02-11,10-K
76,APTV,Aptiv PLC,net_income,269000000,2012-09-30,2014-02-10,10-K
77,APTV,Aptiv PLC,net_income,1077000000,2012-12-31,2013-02-11,10-K
78,APTV,Aptiv PLC,net_income,1077000000,2012-12-31,2014-02-10,10-K
79,APTV,Aptiv PLC,net_income,1077000000,2012-12-31,2015-02-09,10-K
80,APTV,Aptiv PLC,net_income,136000000,2012-12-31,2013-02-11,10-K
81,APTV,Aptiv PLC,net_income,136000000,2012-12-31,2014-02-10,10-K
82,APTV,Aptiv PLC,net_income,276000000,2013-03-31,2014-02-10,10-K
83,APTV,Aptiv PLC,net_income,276000000,2013-03-31,2015-02-09,10-K
84,APTV,Aptiv PLC,net_income,367000000,2013-06-30,2014-02-10,10-K
85,APTV,Aptiv PLC,net_income,367000000,2013-06-30,2015-02-09,10-K
