,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,shares_outstanding,stockholders_equity,total_assets,total_liabilities
55,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2025-12-31,10-K,2026-01-26,549062000.0,12400555000.0,-1429570000.0,170537867.0,15470070000.0,34081835000.0,14925399000.0
53,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2024-12-31,10-K,2025-01-27,552146000.0,12244374000.0,322949000.0,172203443.0,17889042000.0,37527449000.0,15128988000.0
54,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2024-12-31,10-K,2026-01-26,552146000.0,,322949000.0,172203443.0,17889042000.0,37527449000.0,15128988000.0
50,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2023-12-31,10-K,2024-01-29,618190000.0,11315642000.0,103639000.0,171910599.0,18471175000.0,36771402000.0,14148409000.0
51,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2023-12-31,10-K,2025-01-27,618190000.0,,103639000.0,171910599.0,18471175000.0,36771402000.0,14148409000.0
52,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2023-12-31,10-K,2026-01-26,,,103639000.0,,,,
47,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2022-12-31,10-K,2023-01-30,825193000.0,10159762000.0,521660000.0,170748395.0,18972387000.0,35523399000.0,12840152000.0
48,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2022-12-31,10-K,2024-01-29,825193000.0,,521660000.0,170748395.0,18972387000.0,35523399000.0,12840152000.0
49,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2022-12-31,10-K,2025-01-27,,,521660000.0,,,,
44,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2021-12-31,10-K,2022-01-31,361348000.0,8791866000.0,571247000.0,158043880.0,16189542000.0,30219373000.0,11186123000.0
45,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2021-12-31,10-K,2023-01-30,361348000.0,,571247000.0,158043880.0,16189542000.0,30219373000.0,11186123000.0
46,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2021-12-31,10-K,2024-01-29,,,571247000.0,,,,
41,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2020-12-31,10-K,2021-02-01,568532000.0,7563286000.0,770959000.0,136690329.0,11725712000.0,22827878000.0,9384100000.0
42,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2020-12-31,10-K,2022-01-31,568532000.0,,770959000.0,136690329.0,11725712000.0,22827878000.0,9384100000.0
43,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2020-12-31,10-K,2023-01-30,,,770959000.0,,,,
38,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2019-12-31,10-K,2020-02-04,189681000.0,6777479000.0,363165000.0,120800315.0,8865826000.0,18390503000.0,8224025000.0
39,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2019-12-31,10-K,2021-02-01,189681000.0,,363165000.0,120800315.0,8865826000.0,18390503000.0,8224025000.0
40,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2019-12-31,10-K,2022-01-31,,,363165000.0,,,,
35,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2018-12-31,10-K,2019-02-05,234181000.0,5478255000.0,379312000.0,111011816.0,7341965000.0,14464956000.0,6570242000.0
36,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2018-12-31,10-K,2020-02-04,234181000.0,,379312000.0,111011816.0,7341965000.0,14464956000.0,6570242000.0
37,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2018-12-31,10-K,2021-02-01,,,379312000.0,,,,
32,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2017-12-31,10-K,2018-01-30,254381000.0,4764807000.0,169093000.0,99783686.0,5949666000.0,12103953000.0,5620784000.0
