,ticker,company,end_date,form,filed,shares_outstanding
36,ASML,ASML HOLDING NV,2025-12-31,20-F,2026-02-25,385417665
34,ASML,ASML HOLDING NV,2024-12-31,20-F,2025-03-05,393283720
35,ASML,ASML HOLDING NV,2024-12-31,20-F,2026-02-25,393283720
31,ASML,ASML HOLDING NV,2023-12-31,20-F,2024-02-14,393421721
32,ASML,ASML HOLDING NV,2023-12-31,20-F,2025-03-05,393421721
33,ASML,ASML HOLDING NV,2023-12-31,20-F,2026-02-25,393421721
28,ASML,ASML HOLDING NV,2022-12-31,20-F,2023-02-15,394589411
29,ASML,ASML HOLDING NV,2022-12-31,20-F,2024-02-14,394589411
30,ASML,ASML HOLDING NV,2022-12-31,20-F,2025-03-05,394589411
25,ASML,ASML HOLDING NV,2021-12-31,20-F,2022-02-09,402601613
26,ASML,ASML HOLDING NV,2021-12-31,20-F,2023-02-15,402601613
27,ASML,ASML HOLDING NV,2021-12-31,20-F,2024-02-14,402601613
22,ASML,ASML HOLDING NV,2020-12-31,20-F,2021-02-10,416514034
23,ASML,ASML HOLDING NV,2020-12-31,20-F,2022-02-09,416514034
24,ASML,ASML HOLDING NV,2020-12-31,20-F,2023-02-15,416514034
20,ASML,ASML HOLDING NV,2019-12-31,20-F,2021-02-10,419810706
21,ASML,ASML HOLDING NV,2019-12-31,20-F,2022-02-09,419810706
18,ASML,ASML HOLDING NV,2018-12-31,20-F,2020-02-12,421097729
19,ASML,ASML HOLDING NV,2018-12-31,20-F,2021-02-10,421097729
16,ASML,ASML HOLDING NV,2017-12-31,20-F,2019-02-06,427393592
17,ASML,ASML HOLDING NV,2017-12-31,20-F,2020-02-12,427393592
14,ASML,ASML HOLDING NV,2016-12-31,20-F,2018-02-07,429941232
15,ASML,ASML HOLDING NV,2016-12-31,20-F,2019-02-06,429941232
12,ASML,ASML HOLDING NV,2015-12-31,20-F,2017-02-08,427986682
13,ASML,ASML HOLDING NV,2015-12-31,20-F,2018-02-07,427986682
9,ASML,ASML HOLDING NV,2014-12-31,20-F,2015-02-11,432935288
10,ASML,ASML HOLDING NV,2014-12-31,20-F,2016-02-05,432935288
11,ASML,ASML HOLDING NV,2014-12-31,20-F,2017-02-08,432935288
6,ASML,ASML HOLDING NV,2013-12-31,20-F,2014-02-12,440852334
7,ASML,ASML HOLDING NV,2013-12-31,20-F,2015-02-11,440852334
8,ASML,ASML HOLDING NV,2013-12-31,20-F,2016-02-05,440852334
3,ASML,ASML HOLDING NV,2012-12-31,20-F,2013-02-13,407165221
4,ASML,ASML HOLDING NV,2012-12-31,20-F,2014-02-12,407165221
5,ASML,ASML HOLDING NV,2012-12-31,20-F,2015-02-11,407165221
1,ASML,ASML HOLDING NV,2011-12-31,20-F,2012-02-14,413669257
2,ASML,ASML HOLDING NV,2011-12-31,20-F,2013-02-13,413669257
0,ASML,ASML HOLDING NV,2010-12-31,20-F,2012-02-14,436592972
