,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
118,AVB,"AVALONBAY COMMUNITIES, INC.",2025-12-31,10-K,2026-02-27,187234000.0,9328552000.0,,2020949000.0,3040725000.0,7042000.0,140080657.0,11611340000.0,22192137000.0,10357820000.0
116,AVB,"AVALONBAY COMMUNITIES, INC.",2024-12-31,10-K,2025-02-27,108576000.0,8077249000.0,,1974431000.0,2913757000.0,7081000.0,142254022.0,,21000737000.0,9059645000.0
117,AVB,"AVALONBAY COMMUNITIES, INC.",2024-12-31,10-K,2026-02-27,108576000.0,8077249000.0,1081994000.0,1910080000.0,2913757000.0,7081000.0,142254022.0,11941092000.0,21000737000.0,9059645000.0
113,AVB,"AVALONBAY COMMUNITIES, INC.",2023-12-31,10-K,2024-02-23,397890000.0,7981822000.0,,1886748000.0,2767909000.0,7722000.0,142025456.0,11783241000.0,20678214000.0,8893423000.0
114,AVB,"AVALONBAY COMMUNITIES, INC.",2023-12-31,10-K,2025-02-27,397890000.0,7981822000.0,,1856443000.0,2767909000.0,7722000.0,142025456.0,,20678214000.0,8893423000.0
115,AVB,"AVALONBAY COMMUNITIES, INC.",2023-12-31,10-K,2026-02-27,397890000.0,,928825000.0,1790786000.0,2767909000.0,7722000.0,,,,
110,AVB,"AVALONBAY COMMUNITIES, INC.",2022-12-31,10-K,2023-02-24,613189000.0,8316045000.0,,1765786000.0,2593446000.0,6333000.0,,11253476000.0,20457764000.0,9201526000.0
111,AVB,"AVALONBAY COMMUNITIES, INC.",2022-12-31,10-K,2024-02-23,613189000.0,8316045000.0,,1741854000.0,2593446000.0,6333000.0,139916864.0,11253476000.0,20457764000.0,9201526000.0
112,AVB,"AVALONBAY COMMUNITIES, INC.",2022-12-31,10-K,2025-02-27,613189000.0,,,1701416000.0,2593446000.0,6333000.0,,,,
107,AVB,"AVALONBAY COMMUNITIES, INC.",2021-12-31,10-K,2022-02-25,420251000.0,8170431000.0,,1514678000.0,2294850000.0,3084000.0,,10932527000.0,19902016000.0,8965555000.0
108,AVB,"AVALONBAY COMMUNITIES, INC.",2021-12-31,10-K,2023-02-24,420251000.0,8103547000.0,,1478468000.0,2294850000.0,3084000.0,139751926.0,10932527000.0,19902016000.0,8965555000.0
109,AVB,"AVALONBAY COMMUNITIES, INC.",2021-12-31,10-K,2024-02-23,420251000.0,,,1456875000.0,2294850000.0,3084000.0,,,,
104,AVB,"AVALONBAY COMMUNITIES, INC.",2020-12-31,10-K,2021-02-25,216976000.0,7629814000.0,,1547190000.0,2301261000.0,3819000.0,139526671.0,10751583000.0,19199144000.0,8444293000.0
105,AVB,"AVALONBAY COMMUNITIES, INC.",2020-12-31,10-K,2022-02-25,216976000.0,7629814000.0,,1508184000.0,2301261000.0,3819000.0,139526671.0,10751583000.0,19199144000.0,8444293000.0
106,AVB,"AVALONBAY COMMUNITIES, INC.",2020-12-31,10-K,2023-02-24,216976000.0,,,1472421000.0,2301261000.0,3819000.0,,,,
101,AVB,"AVALONBAY COMMUNITIES, INC.",2019-12-31,10-K,2020-02-21,39687000.0,7355371000.0,,1627210000.0,593566000.0,4960000.0,140643962.0,10989549000.0,19121051000.0,8127601000.0
102,AVB,"AVALONBAY COMMUNITIES, INC.",2019-12-31,10-K,2021-02-25,39687000.0,7355371000.0,,1594174000.0,2324626000.0,4960000.0,140643962.0,10989549000.0,19121051000.0,8127601000.0
103,AVB,"AVALONBAY COMMUNITIES, INC.",2019-12-31,10-K,2022-02-25,39687000.0,,,1551891000.0,2324626000.0,4960000.0,,,,
100,AVB,"AVALONBAY COMMUNITIES, INC.",2019-09-30,10-K,2020-02-21,,,,,587613000.0,,,,,
99,AVB,"AVALONBAY COMMUNITIES, INC.",2019-06-30,10-K,2020-02-21,,,,,577263000.0,,,,,
98,AVB,"AVALONBAY COMMUNITIES, INC.",2019-03-31,10-K,2020-02-21,,,,,566184000.0,,,,,
95,AVB,"AVALONBAY COMMUNITIES, INC.",2018-12-31,10-K,2019-02-22,91659000.0,7102355000.0,974525000.0,1539586000.0,578522000.0,3572000.0,138508424.0,,18380200000.0,7744350000.0
96,AVB,"AVALONBAY COMMUNITIES, INC.",2018-12-31,10-K,2020-02-21,91659000.0,7102355000.0,,1518834000.0,578522000.0,3572000.0,139660299.0,10632606000.0,18380200000.0,7744350000.0
97,AVB,"AVALONBAY COMMUNITIES, INC.",2018-12-31,10-K,2021-02-25,91659000.0,,,1485132000.0,2284535000.0,3572000.0,,,,
93,AVB,"AVALONBAY COMMUNITIES, INC.",2018-09-30,10-K,2019-02-22,,,,,575982000.0,,,,,
94,AVB,"AVALONBAY COMMUNITIES, INC.",2018-09-30,10-K,2020-02-21,,,,,575982000.0,,,,,
91,AVB,"AVALONBAY COMMUNITIES, INC.",2018-06-30,10-K,2019-02-22,,,,,569239000.0,,,,,
92,AVB,"AVALONBAY COMMUNITIES, INC.",2018-06-30,10-K,2020-02-21,,,,,569239000.0,,,,,
89,AVB,"AVALONBAY COMMUNITIES, INC.",2018-03-31,10-K,2019-02-22,,,,,560792000.0,,,,,
90,AVB,"AVALONBAY COMMUNITIES, INC.",2018-03-31,10-K,2020-02-21,,,,,560792000.0,,,,,
86,AVB,"AVALONBAY COMMUNITIES, INC.",2017-12-31,10-K,2018-02-23,67088000.0,7404313000.0,876921000.0,1490068000.0,555292000.0,,138094154.0,,18414821000.0,8020719000.0
87,AVB,"AVALONBAY COMMUNITIES, INC.",2017-12-31,10-K,2019-02-22,67088000.0,7404313000.0,876921000.0,1419991000.0,555292000.0,4147000.0,138094154.0,,18414821000.0,8020719000.0
88,AVB,"AVALONBAY COMMUNITIES, INC.",2017-12-31,10-K,2020-02-21,67088000.0,,,1398978000.0,2158628000.0,4147000.0,,,,
84,AVB,"AVALONBAY COMMUNITIES, INC.",2017-09-30,10-K,2018-02-23,,,,,550500000.0,,,,,
85,AVB,"AVALONBAY COMMUNITIES, INC.",2017-09-30,10-K,2019-02-22,,,,,550500000.0,,,,,
82,AVB,"AVALONBAY COMMUNITIES, INC.",2017-06-30,10-K,2018-02-23,,,,,530512000.0,,,,,
83,AVB,"AVALONBAY COMMUNITIES, INC.",2017-06-30,10-K,2019-02-22,,,,,530512000.0,,,,,
80,AVB,"AVALONBAY COMMUNITIES, INC.",2017-03-31,10-K,2018-02-23,,,,,522326000.0,,,,,
81,AVB,"AVALONBAY COMMUNITIES, INC.",2017-03-31,10-K,2019-02-22,,,,,522326000.0,,,,,
77,AVB,"AVALONBAY COMMUNITIES, INC.",2016-12-31,10-K,2017-02-24,214994000.0,7076758000.0,1034002000.0,1410697000.0,518240000.0,,137330904.0,,17867271000.0,7688089000.0
78,AVB,"AVALONBAY COMMUNITIES, INC.",2016-12-31,10-K,2018-02-23,214994000.0,7076758000.0,1034002000.0,1383943000.0,518240000.0,,137330904.0,,17867271000.0,7688089000.0
79,AVB,"AVALONBAY COMMUNITIES, INC.",2016-12-31,10-K,2019-02-22,214994000.0,,1034002000.0,1313987000.0,2045255000.0,5599000.0,,,,
75,AVB,"AVALONBAY COMMUNITIES, INC.",2016-09-30,10-K,2017-02-24,,,,,516211000.0,,,,,
76,AVB,"AVALONBAY COMMUNITIES, INC.",2016-09-30,10-K,2018-02-23,,,,,516211000.0,,,,,
73,AVB,"AVALONBAY COMMUNITIES, INC.",2016-06-30,10-K,2017-02-24,,,,,502307000.0,,,,,
74,AVB,"AVALONBAY COMMUNITIES, INC.",2016-06-30,10-K,2018-02-23,,,,,502307000.0,,,,,
71,AVB,"AVALONBAY COMMUNITIES, INC.",2016-03-31,10-K,2017-02-24,,,,,508498000.0,,,,,
72,AVB,"AVALONBAY COMMUNITIES, INC.",2016-03-31,10-K,2018-02-23,,,,,508498000.0,,,,,
68,AVB,"AVALONBAY COMMUNITIES, INC.",2015-12-31,10-K,2016-02-26,400507000.0,6481291000.0,742038000.0,1264205000.0,480840000.0,,137002031.0,,16931305000.0,7080782000.0
69,AVB,"AVALONBAY COMMUNITIES, INC.",2015-12-31,10-K,2017-02-24,400507000.0,6481291000.0,742038000.0,1240992000.0,480840000.0,,137002031.0,,16931305000.0,7080782000.0
70,AVB,"AVALONBAY COMMUNITIES, INC.",2015-12-31,10-K,2018-02-23,400507000.0,,742038000.0,1215742000.0,1856028000.0,,,,,
66,AVB,"AVALONBAY COMMUNITIES, INC.",2015-09-30,10-K,2016-02-26,,,,,475360000.0,,,,,
67,AVB,"AVALONBAY COMMUNITIES, INC.",2015-09-30,10-K,2017-02-24,,,,,475360000.0,,,,,
64,AVB,"AVALONBAY COMMUNITIES, INC.",2015-06-30,10-K,2016-02-26,,,,,457459000.0,,,,,
65,AVB,"AVALONBAY COMMUNITIES, INC.",2015-06-30,10-K,2017-02-24,,,,,457459000.0,,,,,
62,AVB,"AVALONBAY COMMUNITIES, INC.",2015-03-31,10-K,2016-02-26,,,,,442367000.0,,,,,
63,AVB,"AVALONBAY COMMUNITIES, INC.",2015-03-31,10-K,2017-02-24,,,,,442367000.0,,,,,
59,AVB,"AVALONBAY COMMUNITIES, INC.",2014-12-31,10-K,2015-02-19,509460000.0,6448138000.0,683567000.0,1134096000.0,440656000.0,,132050382.0,9046405000.0,16176723000.0,7117553000.0
60,AVB,"AVALONBAY COMMUNITIES, INC.",2014-12-31,10-K,2016-02-26,509460000.0,6448138000.0,683567000.0,1121938000.0,440656000.0,,132050382.0,,16140578000.0,7081408000.0
61,AVB,"AVALONBAY COMMUNITIES, INC.",2014-12-31,10-K,2017-02-24,509460000.0,,683567000.0,1099587000.0,1685061000.0,,,,,
57,AVB,"AVALONBAY COMMUNITIES, INC.",2014-09-30,10-K,2015-02-19,,,,,430525000.0,,,,,
58,AVB,"AVALONBAY COMMUNITIES, INC.",2014-09-30,10-K,2016-02-26,,,,,430525000.0,,,,,
55,AVB,"AVALONBAY COMMUNITIES, INC.",2014-06-30,10-K,2015-02-19,,,,,413806000.0,,,,,
56,AVB,"AVALONBAY COMMUNITIES, INC.",2014-06-30,10-K,2016-02-26,,,,,413806000.0,,,,,
53,AVB,"AVALONBAY COMMUNITIES, INC.",2014-03-31,10-K,2015-02-19,,,,,400075000.0,,,,,
54,AVB,"AVALONBAY COMMUNITIES, INC.",2014-03-31,10-K,2016-02-26,,,,,400075000.0,,,,,
49,AVB,"AVALONBAY COMMUNITIES, INC.",2013-12-31,10-K,2014-03-03,281541000.0,6029998000.0,353141000.0,997446000.0,394169000.0,,129416695.0,8596132000.0,15328143000.0,6711096000.0
50,AVB,"AVALONBAY COMMUNITIES, INC.",2013-12-31,10-K,2015-02-19,281355000.0,6019571000.0,353141000.0,977998000.0,394169000.0,,129416695.0,8596132000.0,15328143000.0,6711096000.0
51,AVB,"AVALONBAY COMMUNITIES, INC.",2013-12-31,10-K,2016-02-26,281355000.0,,353141000.0,966058000.0,1462921000.0,,,,,
52,AVB,"AVALONBAY COMMUNITIES, INC.",2013-12-31,10-K,2017-02-24,281355000.0,,,,,,,,,
47,AVB,"AVALONBAY COMMUNITIES, INC.",2013-09-30,10-K,2014-03-03,,,,,389189000.0,,,,,
48,AVB,"AVALONBAY COMMUNITIES, INC.",2013-09-30,10-K,2015-02-19,,,,,389189000.0,,,,,
