,ticker,company,concept,value,end_date,filed,form
0,AWK,"American Water Works Company, Inc.",revenue,2336928000,2008-12-31,2011-02-28,10-K
1,AWK,"American Water Works Company, Inc.",revenue,2440703000,2009-12-31,2011-02-28,10-K
2,AWK,"American Water Works Company, Inc.",revenue,2290446000,2009-12-31,2012-02-28,10-K
3,AWK,"American Water Works Company, Inc.",revenue,554205000,2010-03-31,2012-02-28,10-K
4,AWK,"American Water Works Company, Inc.",revenue,630761000,2010-06-30,2012-02-28,10-K
5,AWK,"American Water Works Company, Inc.",revenue,744296000,2010-09-30,2012-02-28,10-K
6,AWK,"American Water Works Company, Inc.",revenue,2710677000,2010-12-31,2011-02-28,10-K
7,AWK,"American Water Works Company, Inc.",revenue,2555035000,2010-12-31,2012-02-28,10-K
8,AWK,"American Water Works Company, Inc.",revenue,2555035000,2010-12-31,2013-03-01,10-K
9,AWK,"American Water Works Company, Inc.",revenue,625773000,2010-12-31,2012-02-28,10-K
10,AWK,"American Water Works Company, Inc.",revenue,596715000,2011-03-31,2012-02-28,10-K
11,AWK,"American Water Works Company, Inc.",revenue,596715000,2011-03-31,2013-03-01,10-K
12,AWK,"American Water Works Company, Inc.",revenue,668873000,2011-06-30,2012-02-28,10-K
13,AWK,"American Water Works Company, Inc.",revenue,668873000,2011-06-30,2013-03-01,10-K
14,AWK,"American Water Works Company, Inc.",revenue,760869000,2011-09-30,2012-02-28,10-K
15,AWK,"American Water Works Company, Inc.",revenue,760869000,2011-09-30,2013-03-01,10-K
16,AWK,"American Water Works Company, Inc.",revenue,2666236000,2011-12-31,2012-02-28,10-K
17,AWK,"American Water Works Company, Inc.",revenue,2666236000,2011-12-31,2013-03-01,10-K
18,AWK,"American Water Works Company, Inc.",revenue,2666236000,2011-12-31,2014-02-27,10-K
19,AWK,"American Water Works Company, Inc.",revenue,639779000,2011-12-31,2012-02-28,10-K
20,AWK,"American Water Works Company, Inc.",revenue,639779000,2011-12-31,2013-03-01,10-K
21,AWK,"American Water Works Company, Inc.",revenue,618554000,2012-03-31,2013-03-01,10-K
22,AWK,"American Water Works Company, Inc.",revenue,618554000,2012-03-31,2014-02-27,10-K
23,AWK,"American Water Works Company, Inc.",revenue,745607000,2012-06-30,2013-03-01,10-K
24,AWK,"American Water Works Company, Inc.",revenue,745607000,2012-06-30,2014-02-27,10-K
25,AWK,"American Water Works Company, Inc.",revenue,831815000,2012-09-30,2013-03-01,10-K
26,AWK,"American Water Works Company, Inc.",revenue,831815000,2012-09-30,2014-02-27,10-K
27,AWK,"American Water Works Company, Inc.",revenue,2876889000,2012-12-31,2013-03-01,10-K
28,AWK,"American Water Works Company, Inc.",revenue,2876889000,2012-12-31,2014-02-27,10-K
29,AWK,"American Water Works Company, Inc.",revenue,2853926000,2012-12-31,2015-02-25,10-K
30,AWK,"American Water Works Company, Inc.",revenue,680913000,2012-12-31,2013-03-01,10-K
31,AWK,"American Water Works Company, Inc.",revenue,680913000,2012-12-31,2014-02-27,10-K
32,AWK,"American Water Works Company, Inc.",revenue,636137000,2013-03-31,2014-02-27,10-K
33,AWK,"American Water Works Company, Inc.",revenue,631939000,2013-03-31,2015-02-25,10-K
34,AWK,"American Water Works Company, Inc.",revenue,724265000,2013-06-30,2014-02-27,10-K
35,AWK,"American Water Works Company, Inc.",revenue,718565000,2013-06-30,2015-02-25,10-K
36,AWK,"American Water Works Company, Inc.",revenue,829196000,2013-09-30,2014-02-27,10-K
37,AWK,"American Water Works Company, Inc.",revenue,822190000,2013-09-30,2015-02-25,10-K
38,AWK,"American Water Works Company, Inc.",revenue,2901858000,2013-12-31,2014-02-27,10-K
39,AWK,"American Water Works Company, Inc.",revenue,2878936000,2013-12-31,2015-02-25,10-K
40,AWK,"American Water Works Company, Inc.",revenue,712260000,2013-12-31,2014-02-27,10-K
41,AWK,"American Water Works Company, Inc.",revenue,706242000,2013-12-31,2015-02-25,10-K
42,AWK,"American Water Works Company, Inc.",revenue,679003000,2014-03-31,2015-02-25,10-K
43,AWK,"American Water Works Company, Inc.",revenue,754778000,2014-06-30,2015-02-25,10-K
44,AWK,"American Water Works Company, Inc.",revenue,846169000,2014-09-30,2015-02-25,10-K
45,AWK,"American Water Works Company, Inc.",revenue,3011328000,2014-12-31,2015-02-25,10-K
46,AWK,"American Water Works Company, Inc.",revenue,731378000,2014-12-31,2015-02-25,10-K
47,AWK,"American Water Works Company, Inc.",revenue_alt,3417000000,2018-12-31,2019-02-19,10-K
48,AWK,"American Water Works Company, Inc.",revenue_alt,3587000000,2019-12-31,2020-02-18,10-K
49,AWK,"American Water Works Company, Inc.",revenue_alt,3587000000,2019-12-31,2022-02-16,10-K
50,AWK,"American Water Works Company, Inc.",revenue_alt,3743000000,2020-12-31,2021-02-24,10-K
51,AWK,"American Water Works Company, Inc.",revenue_alt,3743000000,2020-12-31,2022-02-16,10-K
52,AWK,"American Water Works Company, Inc.",revenue_alt,3743000000,2020-12-31,2023-02-15,10-K
53,AWK,"American Water Works Company, Inc.",revenue_alt,3914000000,2021-12-31,2022-02-16,10-K
54,AWK,"American Water Works Company, Inc.",revenue_alt,3914000000,2021-12-31,2023-02-15,10-K
55,AWK,"American Water Works Company, Inc.",revenue_alt,3914000000,2021-12-31,2024-02-14,10-K
56,AWK,"American Water Works Company, Inc.",revenue_alt,3763000000,2022-12-31,2023-02-15,10-K
57,AWK,"American Water Works Company, Inc.",revenue_alt,3763000000,2022-12-31,2024-02-14,10-K
58,AWK,"American Water Works Company, Inc.",revenue_alt,3763000000,2022-12-31,2025-02-19,10-K
59,AWK,"American Water Works Company, Inc.",revenue_alt,4217000000,2023-12-31,2024-02-14,10-K
60,AWK,"American Water Works Company, Inc.",revenue_alt,4217000000,2023-12-31,2025-02-19,10-K
61,AWK,"American Water Works Company, Inc.",revenue_alt,4217000000,2023-12-31,2026-02-18,10-K
62,AWK,"American Water Works Company, Inc.",revenue_alt,4653000000,2024-12-31,2025-02-19,10-K
63,AWK,"American Water Works Company, Inc.",revenue_alt,4653000000,2024-12-31,2026-02-18,10-K
64,AWK,"American Water Works Company, Inc.",revenue_alt,5121000000,2025-12-31,2026-02-18,10-K
65,AWK,"American Water Works Company, Inc.",net_income,-562421000,2008-12-31,2011-02-28,10-K
66,AWK,"American Water Works Company, Inc.",net_income,-233083000,2009-12-31,2011-02-28,10-K
67,AWK,"American Water Works Company, Inc.",net_income,-233083000,2009-12-31,2012-02-28,10-K
68,AWK,"American Water Works Company, Inc.",net_income,30808000,2010-03-31,2012-02-28,10-K
69,AWK,"American Water Works Company, Inc.",net_income,72751000,2010-06-30,2012-02-28,10-K
70,AWK,"American Water Works Company, Inc.",net_income,124114000,2010-09-30,2012-02-28,10-K
