,ticker,company,concept,value,end_date,filed,form
0,AXON,"Axon Enterprise, Inc.",revenue_alt,268245000,2016-12-31,2019-02-27,10-K
1,AXON,"Axon Enterprise, Inc.",revenue_alt,79242000,2017-03-31,2019-02-27,10-K
2,AXON,"Axon Enterprise, Inc.",revenue_alt,79643000,2017-06-30,2019-02-27,10-K
3,AXON,"Axon Enterprise, Inc.",revenue_alt,90262000,2017-09-30,2019-02-27,10-K
4,AXON,"Axon Enterprise, Inc.",revenue_alt,343798000,2017-12-31,2019-02-27,10-K
5,AXON,"Axon Enterprise, Inc.",revenue_alt,343798000,2017-12-31,2020-02-28,10-K
6,AXON,"Axon Enterprise, Inc.",revenue_alt,94651000,2017-12-31,2019-02-27,10-K
7,AXON,"Axon Enterprise, Inc.",revenue_alt,101215000,2018-03-31,2019-02-27,10-K
8,AXON,"Axon Enterprise, Inc.",revenue_alt,101215000,2018-03-31,2020-02-28,10-K
9,AXON,"Axon Enterprise, Inc.",revenue_alt,99226000,2018-06-30,2019-02-27,10-K
10,AXON,"Axon Enterprise, Inc.",revenue_alt,99226000,2018-06-30,2020-02-28,10-K
11,AXON,"Axon Enterprise, Inc.",revenue_alt,104836000,2018-09-30,2019-02-27,10-K
12,AXON,"Axon Enterprise, Inc.",revenue_alt,104836000,2018-09-30,2020-02-28,10-K
13,AXON,"Axon Enterprise, Inc.",revenue_alt,420068000,2018-12-31,2019-02-27,10-K
14,AXON,"Axon Enterprise, Inc.",revenue_alt,420068000,2018-12-31,2020-02-28,10-K
15,AXON,"Axon Enterprise, Inc.",revenue_alt,420068000,2018-12-31,2021-02-26,10-K
16,AXON,"Axon Enterprise, Inc.",revenue_alt,114791000,2018-12-31,2019-02-27,10-K
17,AXON,"Axon Enterprise, Inc.",revenue_alt,114791000,2018-12-31,2020-02-28,10-K
18,AXON,"Axon Enterprise, Inc.",revenue_alt,115810000,2019-03-31,2020-02-28,10-K
19,AXON,"Axon Enterprise, Inc.",revenue_alt,112362000,2019-06-30,2020-02-28,10-K
20,AXON,"Axon Enterprise, Inc.",revenue_alt,130837000,2019-09-30,2020-02-28,10-K
21,AXON,"Axon Enterprise, Inc.",revenue_alt,530860000,2019-12-31,2020-02-28,10-K
22,AXON,"Axon Enterprise, Inc.",revenue_alt,530860000,2019-12-31,2021-02-26,10-K
23,AXON,"Axon Enterprise, Inc.",revenue_alt,530860000,2019-12-31,2022-02-25,10-K
24,AXON,"Axon Enterprise, Inc.",revenue_alt,171851000,2019-12-31,2020-02-28,10-K
25,AXON,"Axon Enterprise, Inc.",revenue_alt,681003000,2020-12-31,2021-02-26,10-K
26,AXON,"Axon Enterprise, Inc.",revenue_alt,681003000,2020-12-31,2022-02-25,10-K
27,AXON,"Axon Enterprise, Inc.",revenue_alt,681003000,2020-12-31,2023-02-28,10-K
28,AXON,"Axon Enterprise, Inc.",revenue_alt,863381000,2021-12-31,2022-02-25,10-K
29,AXON,"Axon Enterprise, Inc.",revenue_alt,863381000,2021-12-31,2023-02-28,10-K
30,AXON,"Axon Enterprise, Inc.",revenue_alt,863381000,2021-12-31,2024-02-27,10-K
31,AXON,"Axon Enterprise, Inc.",revenue_alt,1189935000,2022-12-31,2023-02-28,10-K
32,AXON,"Axon Enterprise, Inc.",revenue_alt,1189935000,2022-12-31,2024-02-27,10-K
33,AXON,"Axon Enterprise, Inc.",revenue_alt,1187143000,2022-12-31,2025-02-28,10-K
34,AXON,"Axon Enterprise, Inc.",revenue_alt,344341000,2023-03-31,2025-02-28,10-K
35,AXON,"Axon Enterprise, Inc.",revenue_alt,372704000,2023-06-30,2025-02-28,10-K
36,AXON,"Axon Enterprise, Inc.",revenue_alt,413278000,2023-09-30,2025-02-28,10-K
37,AXON,"Axon Enterprise, Inc.",revenue_alt,1563391000,2023-12-31,2024-02-27,10-K
38,AXON,"Axon Enterprise, Inc.",revenue_alt,1560699000,2023-12-31,2025-02-28,10-K
39,AXON,"Axon Enterprise, Inc.",revenue_alt,1560699000,2023-12-31,2026-02-25,10-K
40,AXON,"Axon Enterprise, Inc.",revenue_alt,430376000,2023-12-31,2025-02-28,10-K
41,AXON,"Axon Enterprise, Inc.",revenue_alt,459871000,2024-03-31,2025-02-28,10-K
42,AXON,"Axon Enterprise, Inc.",revenue_alt,503236000,2024-06-30,2025-02-28,10-K
43,AXON,"Axon Enterprise, Inc.",revenue_alt,2082526000,2024-12-31,2025-02-28,10-K
44,AXON,"Axon Enterprise, Inc.",revenue_alt,2082526000,2024-12-31,2026-02-25,10-K
45,AXON,"Axon Enterprise, Inc.",revenue_alt,2779536000,2025-12-31,2026-02-25,10-K
46,AXON,"Axon Enterprise, Inc.",net_income,-1106,2009-12-31,2012-03-13,10-K
47,AXON,"Axon Enterprise, Inc.",net_income,-4384435,2010-12-31,2012-03-13,10-K
48,AXON,"Axon Enterprise, Inc.",net_income,-4384435,2010-12-31,2013-03-08,10-K
49,AXON,"Axon Enterprise, Inc.",net_income,19732,2011-03-31,2013-03-08,10-K
50,AXON,"Axon Enterprise, Inc.",net_income,-2294832,2011-06-30,2013-03-08,10-K
51,AXON,"Axon Enterprise, Inc.",net_income,1136285,2011-09-30,2013-03-08,10-K
52,AXON,"Axon Enterprise, Inc.",net_income,-7039866,2011-12-31,2012-03-13,10-K
53,AXON,"Axon Enterprise, Inc.",net_income,-7039866,2011-12-31,2013-03-08,10-K
54,AXON,"Axon Enterprise, Inc.",net_income,-7040000,2011-12-31,2014-03-10,10-K
55,AXON,"Axon Enterprise, Inc.",net_income,-5901051,2011-12-31,2013-03-08,10-K
56,AXON,"Axon Enterprise, Inc.",net_income,3803818,2012-03-31,2013-03-08,10-K
57,AXON,"Axon Enterprise, Inc.",net_income,3804000,2012-03-31,2014-03-10,10-K
58,AXON,"Axon Enterprise, Inc.",net_income,3442247,2012-06-30,2013-03-08,10-K
59,AXON,"Axon Enterprise, Inc.",net_income,3442000,2012-06-30,2014-03-10,10-K
60,AXON,"Axon Enterprise, Inc.",net_income,3676871,2012-09-30,2013-03-08,10-K
61,AXON,"Axon Enterprise, Inc.",net_income,3677000,2012-09-30,2014-03-10,10-K
62,AXON,"Axon Enterprise, Inc.",net_income,14737742,2012-12-31,2013-03-08,10-K
63,AXON,"Axon Enterprise, Inc.",net_income,14738000,2012-12-31,2014-03-10,10-K
64,AXON,"Axon Enterprise, Inc.",net_income,14738000,2012-12-31,2015-03-12,10-K
65,AXON,"Axon Enterprise, Inc.",net_income,3814806,2012-12-31,2013-03-08,10-K
66,AXON,"Axon Enterprise, Inc.",net_income,3815000,2012-12-31,2014-03-10,10-K
67,AXON,"Axon Enterprise, Inc.",net_income,3298000,2013-03-31,2014-03-10,10-K
68,AXON,"Axon Enterprise, Inc.",net_income,3298000,2013-03-31,2015-03-12,10-K
69,AXON,"Axon Enterprise, Inc.",net_income,4457000,2013-06-30,2014-03-10,10-K
70,AXON,"Axon Enterprise, Inc.",net_income,4457000,2013-06-30,2015-03-12,10-K
71,AXON,"Axon Enterprise, Inc.",net_income,5114000,2013-09-30,2014-03-10,10-K
72,AXON,"Axon Enterprise, Inc.",net_income,5114000,2013-09-30,2015-03-12,10-K
73,AXON,"Axon Enterprise, Inc.",net_income,18244000,2013-12-31,2014-03-10,10-K
74,AXON,"Axon Enterprise, Inc.",net_income,18244000,2013-12-31,2015-03-12,10-K
