,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
134,AXP,AMERICAN EXPRESS CO,2025-12-31,10-K,2026-02-06,,56387000000.0,10833000000.0,,,41304000000.0,686000000.0,33474000000.0,300052000000.0,266578000000.0
132,AXP,AMERICAN EXPRESS CO,2024-12-31,10-K,2025-02-07,,49715000000.0,10129000000.0,,,38825000000.0,702000000.0,30264000000.0,271461000000.0,241197000000.0
133,AXP,AMERICAN EXPRESS CO,2024-12-31,10-K,2026-02-06,,49715000000.0,10129000000.0,,,38825000000.0,702000000.0,30264000000.0,271461000000.0,241197000000.0
129,AXP,AMERICAN EXPRESS CO,2023-12-31,10-K,2024-02-09,,47866000000.0,8374000000.0,,,37218000000.0,723000000.0,28057000000.0,261108000000.0,233051000000.0
130,AXP,AMERICAN EXPRESS CO,2023-12-31,10-K,2025-02-07,,47866000000.0,8374000000.0,,,37218000000.0,723000000.0,28057000000.0,261108000000.0,233051000000.0
131,AXP,AMERICAN EXPRESS CO,2023-12-31,10-K,2026-02-06,,,8374000000.0,,,37218000000.0,,28057000000.0,261108000000.0,
125,AXP,AMERICAN EXPRESS CO,2022-12-31,10-K,2023-02-10,,42573000000.0,7514000000.0,,,34219000000.0,743000000.0,24711000000.0,228354000000.0,203643000000.0
126,AXP,AMERICAN EXPRESS CO,2022-12-31,10-K,2024-02-09,,42573000000.0,7514000000.0,,,34219000000.0,743000000.0,24711000000.0,228354000000.0,203643000000.0
127,AXP,AMERICAN EXPRESS CO,2022-12-31,10-K,2025-02-07,,,7514000000.0,,,34219000000.0,,24711000000.0,228354000000.0,
128,AXP,AMERICAN EXPRESS CO,2022-12-31,10-K,2026-02-06,,,,,,,,24711000000.0,,
121,AXP,AMERICAN EXPRESS CO,2021-12-31,10-K,2022-02-11,,38675000000.0,8060000000.0,,,27716000000.0,761000000.0,22177000000.0,188548000000.0,166371000000.0
122,AXP,AMERICAN EXPRESS CO,2021-12-31,10-K,2023-02-10,,38675000000.0,8060000000.0,,,27716000000.0,761000000.0,22177000000.0,188548000000.0,166371000000.0
123,AXP,AMERICAN EXPRESS CO,2021-12-31,10-K,2024-02-09,,,8060000000.0,,,27716000000.0,,22177000000.0,189000000000.0,
124,AXP,AMERICAN EXPRESS CO,2021-12-31,10-K,2025-02-07,,,,,,,,22177000000.0,,
117,AXP,AMERICAN EXPRESS CO,2020-12-31,10-K,2021-02-12,,42952000000.0,1438000000.0,,,21974000000.0,805000000.0,22984000000.0,191367000000.0,168383000000.0
118,AXP,AMERICAN EXPRESS CO,2020-12-31,10-K,2022-02-11,,42952000000.0,3135000000.0,,,21974000000.0,805000000.0,22984000000.0,191367000000.0,168383000000.0
119,AXP,AMERICAN EXPRESS CO,2020-12-31,10-K,2023-02-10,,,3135000000.0,,,21974000000.0,,22984000000.0,191000000000.0,
120,AXP,AMERICAN EXPRESS CO,2020-12-31,10-K,2024-02-09,,,,,,,,22984000000.0,,
116,AXP,AMERICAN EXPRESS CO,2020-09-30,10-K,2021-02-12,,,1073000000.0,,,,,,,
115,AXP,AMERICAN EXPRESS CO,2020-06-30,10-K,2021-02-12,,,257000000.0,,,,,,,
114,AXP,AMERICAN EXPRESS CO,2020-03-31,10-K,2021-02-12,,,367000000.0,,,,,,,
110,AXP,AMERICAN EXPRESS CO,2019-12-31,10-K,2020-02-13,,57835000000.0,1693000000.0,,,28159000000.0,810000000.0,23071000000.0,198321000000.0,175250000000.0
111,AXP,AMERICAN EXPRESS CO,2019-12-31,10-K,2021-02-12,,57835000000.0,1693000000.0,,,28159000000.0,810000000.0,23071000000.0,198321000000.0,175250000000.0
112,AXP,AMERICAN EXPRESS CO,2019-12-31,10-K,2022-02-11,,,6759000000.0,,,28159000000.0,,23071000000.0,198000000000.0,
113,AXP,AMERICAN EXPRESS CO,2019-12-31,10-K,2023-02-10,,,,,,,,23071000000.0,,
108,AXP,AMERICAN EXPRESS CO,2019-09-30,10-K,2020-02-13,,,1755000000.0,,,,,,,
109,AXP,AMERICAN EXPRESS CO,2019-09-30,10-K,2021-02-12,,,1755000000.0,,,,,,,
106,AXP,AMERICAN EXPRESS CO,2019-06-30,10-K,2020-02-13,,,1761000000.0,,,,,,,
107,AXP,AMERICAN EXPRESS CO,2019-06-30,10-K,2021-02-12,,,1761000000.0,,,,,,,
104,AXP,AMERICAN EXPRESS CO,2019-03-31,10-K,2020-02-13,,,1550000000.0,,,,,,,
105,AXP,AMERICAN EXPRESS CO,2019-03-31,10-K,2021-02-12,,,1550000000.0,,,,,,,
100,AXP,AMERICAN EXPRESS CO,2018-12-31,10-K,2019-02-13,,58423000000.0,2010000000.0,,,,847000000.0,22290000000.0,188602000000.0,166312000000.0
101,AXP,AMERICAN EXPRESS CO,2018-12-31,10-K,2020-02-13,,58423000000.0,2010000000.0,,,26607000000.0,847000000.0,22290000000.0,188602000000.0,166312000000.0
102,AXP,AMERICAN EXPRESS CO,2018-12-31,10-K,2021-02-12,,,6921000000.0,,,26607000000.0,,22290000000.0,189000000000.0,
103,AXP,AMERICAN EXPRESS CO,2018-12-31,10-K,2022-02-11,,,,,,,,22290000000.0,,
98,AXP,AMERICAN EXPRESS CO,2018-09-30,10-K,2019-02-13,,,1654000000.0,,,,,,,
99,AXP,AMERICAN EXPRESS CO,2018-09-30,10-K,2020-02-13,,,1654000000.0,,,,,,,
96,AXP,AMERICAN EXPRESS CO,2018-06-30,10-K,2019-02-13,,,1623000000.0,,,,,,,
97,AXP,AMERICAN EXPRESS CO,2018-06-30,10-K,2020-02-13,,,1623000000.0,,,,,,,
94,AXP,AMERICAN EXPRESS CO,2018-03-31,10-K,2019-02-13,,,1634000000.0,,,,,,,
95,AXP,AMERICAN EXPRESS CO,2018-03-31,10-K,2020-02-13,,,1634000000.0,,,,,,,
90,AXP,AMERICAN EXPRESS CO,2017-12-31,10-K,2018-02-16,,55804000000.0,-1197000000.0,,,,859000000.0,18227000000.0,181159000000.0,162932000000.0
91,AXP,AMERICAN EXPRESS CO,2017-12-31,10-K,2019-02-13,,55804000000.0,-1206000000.0,,,,859000000.0,18261000000.0,181196000000.0,162935000000.0
92,AXP,AMERICAN EXPRESS CO,2017-12-31,10-K,2020-02-13,,,2748000000.0,,,24780000000.0,,18261000000.0,181000000000.0,
93,AXP,AMERICAN EXPRESS CO,2017-12-31,10-K,2021-02-12,,,,,,,,18261000000.0,,
88,AXP,AMERICAN EXPRESS CO,2017-09-30,10-K,2018-02-16,,,1356000000.0,,,,,,,
89,AXP,AMERICAN EXPRESS CO,2017-09-30,10-K,2019-02-13,,,1359000000.0,,,,,,,
86,AXP,AMERICAN EXPRESS CO,2017-06-30,10-K,2018-02-16,,,1340000000.0,,,,,,,
87,AXP,AMERICAN EXPRESS CO,2017-06-30,10-K,2019-02-13,,,1344000000.0,,,,,,,
84,AXP,AMERICAN EXPRESS CO,2017-03-31,10-K,2018-02-16,,,1237000000.0,,,,,,,
85,AXP,AMERICAN EXPRESS CO,2017-03-31,10-K,2019-02-13,,,1251000000.0,,,,,,,
80,AXP,AMERICAN EXPRESS CO,2016-12-31,10-K,2017-02-17,,46990000000.0,825000000.0,,,,904000000.0,20501000000.0,158893000000.0,138392000000.0
81,AXP,AMERICAN EXPRESS CO,2016-12-31,10-K,2018-02-16,,46990000000.0,825000000.0,,,,904000000.0,20501000000.0,158893000000.0,138392000000.0
82,AXP,AMERICAN EXPRESS CO,2016-12-31,10-K,2019-02-13,,,5375000000.0,,,,,20523000000.0,159000000000.0,
83,AXP,AMERICAN EXPRESS CO,2016-12-31,10-K,2020-02-13,,,,,,,,20523000000.0,,
78,AXP,AMERICAN EXPRESS CO,2016-09-30,10-K,2017-02-17,,,1142000000.0,,,,,,,
79,AXP,AMERICAN EXPRESS CO,2016-09-30,10-K,2018-02-16,,,1142000000.0,,,,,,,
76,AXP,AMERICAN EXPRESS CO,2016-06-30,10-K,2017-02-17,,,2015000000.0,,,,,,,
77,AXP,AMERICAN EXPRESS CO,2016-06-30,10-K,2018-02-16,,,2015000000.0,,,,,,,
74,AXP,AMERICAN EXPRESS CO,2016-03-31,10-K,2017-02-17,,,1426000000.0,,,,,,,
75,AXP,AMERICAN EXPRESS CO,2016-03-31,10-K,2018-02-16,,,1426000000.0,,,,,,,
70,AXP,AMERICAN EXPRESS CO,2015-12-31,10-K,2016-02-19,,48061000000.0,899000000.0,,,,969000000.0,20673000000.0,161184000000.0,140511000000.0
71,AXP,AMERICAN EXPRESS CO,2015-12-31,10-K,2017-02-17,,48061000000.0,899000000.0,,,,969000000.0,20673000000.0,161184000000.0,140511000000.0
72,AXP,AMERICAN EXPRESS CO,2015-12-31,10-K,2018-02-16,,,5163000000.0,,,,,20673000000.0,161000000000.0,
73,AXP,AMERICAN EXPRESS CO,2015-12-31,10-K,2019-02-13,,,,,,,,20673000000.0,,
68,AXP,AMERICAN EXPRESS CO,2015-09-30,10-K,2016-02-19,,,1266000000.0,,,,,,,
69,AXP,AMERICAN EXPRESS CO,2015-09-30,10-K,2017-02-17,,,1266000000.0,,,,,,,
66,AXP,AMERICAN EXPRESS CO,2015-06-30,10-K,2016-02-19,,,1473000000.0,,,,,,,
67,AXP,AMERICAN EXPRESS CO,2015-06-30,10-K,2017-02-17,,,1473000000.0,,,,,,,
64,AXP,AMERICAN EXPRESS CO,2015-03-31,10-K,2016-02-19,,,1525000000.0,,,,,,,
65,AXP,AMERICAN EXPRESS CO,2015-03-31,10-K,2017-02-17,,,1525000000.0,,,,,,,
60,AXP,AMERICAN EXPRESS CO,2014-12-31,10-K,2015-02-24,,57955000000.0,1447000000.0,,,,1023000000.0,20673000000.0,159103000000.0,138430000000.0
61,AXP,AMERICAN EXPRESS CO,2014-12-31,10-K,2016-02-19,,57955000000.0,1447000000.0,,,,1023000000.0,20673000000.0,159103000000.0,138430000000.0
62,AXP,AMERICAN EXPRESS CO,2014-12-31,10-K,2017-02-17,,,5885000000.0,,,,,20673000000.0,159000000000.0,
63,AXP,AMERICAN EXPRESS CO,2014-12-31,10-K,2018-02-16,,,,,,,,20673000000.0,,
58,AXP,AMERICAN EXPRESS CO,2014-09-30,10-K,2015-02-24,,,1477000000.0,,,,,,,
59,AXP,AMERICAN EXPRESS CO,2014-09-30,10-K,2016-02-19,,,1477000000.0,,,,,,,
56,AXP,AMERICAN EXPRESS CO,2014-06-30,10-K,2015-02-24,,,1529000000.0,,,,,,,
57,AXP,AMERICAN EXPRESS CO,2014-06-30,10-K,2016-02-19,,,1529000000.0,,,,,,,
54,AXP,AMERICAN EXPRESS CO,2014-03-31,10-K,2015-02-24,,,1432000000.0,,,,,,,
55,AXP,AMERICAN EXPRESS CO,2014-03-31,10-K,2016-02-19,,,1432000000.0,,,,,,,
50,AXP,AMERICAN EXPRESS CO,2013-12-31,10-K,2014-02-25,,55330000000.0,1308000000.0,,,,1064000000.0,19496000000.0,153375000000.0,133879000000.0
51,AXP,AMERICAN EXPRESS CO,2013-12-31,10-K,2015-02-24,,55330000000.0,1308000000.0,,,,1064000000.0,19496000000.0,153375000000.0,133879000000.0
52,AXP,AMERICAN EXPRESS CO,2013-12-31,10-K,2016-02-19,,,5359000000.0,,,,,19496000000.0,153000000000.0,
53,AXP,AMERICAN EXPRESS CO,2013-12-31,10-K,2017-02-17,,,,,,,,19496000000.0,,
48,AXP,AMERICAN EXPRESS CO,2013-09-30,10-K,2014-02-25,,,1366000000.0,,,,,,,
49,AXP,AMERICAN EXPRESS CO,2013-09-30,10-K,2015-02-24,,,1366000000.0,,,,,,,
46,AXP,AMERICAN EXPRESS CO,2013-06-30,10-K,2014-02-25,,,1405000000.0,,,,,,,
47,AXP,AMERICAN EXPRESS CO,2013-06-30,10-K,2015-02-24,,,1405000000.0,,,,,,,
44,AXP,AMERICAN EXPRESS CO,2013-03-31,10-K,2014-02-25,,,1280000000.0,,,,,,,
45,AXP,AMERICAN EXPRESS CO,2013-03-31,10-K,2015-02-24,,,1280000000.0,,,,,,,
40,AXP,AMERICAN EXPRESS CO,2012-12-31,10-K,2013-02-22,,58973000000.0,637000000.0,,,,1105000000.0,18886000000.0,153140000000.0,134254000000.0
41,AXP,AMERICAN EXPRESS CO,2012-12-31,10-K,2014-02-25,,58973000000.0,637000000.0,,,,1105000000.0,18886000000.0,153140000000.0,134254000000.0
42,AXP,AMERICAN EXPRESS CO,2012-12-31,10-K,2015-02-24,,,4482000000.0,,,,,18886000000.0,,
43,AXP,AMERICAN EXPRESS CO,2012-12-31,10-K,2016-02-19,,,,,,,,18886000000.0,,
38,AXP,AMERICAN EXPRESS CO,2012-09-30,10-K,2013-02-22,,,1250000000.0,,,,,,,
39,AXP,AMERICAN EXPRESS CO,2012-09-30,10-K,2014-02-25,,,1250000000.0,,,,,,,
36,AXP,AMERICAN EXPRESS CO,2012-06-30,10-K,2013-02-22,,,1339000000.0,,,,,,,
37,AXP,AMERICAN EXPRESS CO,2012-06-30,10-K,2014-02-25,,,1339000000.0,,,,,,,
34,AXP,AMERICAN EXPRESS CO,2012-03-31,10-K,2013-02-22,,,1256000000.0,,,,,,,
35,AXP,AMERICAN EXPRESS CO,2012-03-31,10-K,2014-02-25,,,1256000000.0,,,,,,,
30,AXP,AMERICAN EXPRESS CO,2011-12-31,10-K,2012-02-24,,59570000000.0,1192000000.0,,,,1164000000.0,18794000000.0,153337000000.0,134543000000.0
31,AXP,AMERICAN EXPRESS CO,2011-12-31,10-K,2013-02-22,,59570000000.0,1192000000.0,,,,1164000000.0,18794000000.0,153337000000.0,134543000000.0
32,AXP,AMERICAN EXPRESS CO,2011-12-31,10-K,2014-02-25,,,4935000000.0,,,,,18794000000.0,,
33,AXP,AMERICAN EXPRESS CO,2011-12-31,10-K,2015-02-24,,,,,,,,18794000000.0,,
28,AXP,AMERICAN EXPRESS CO,2011-09-30,10-K,2012-02-24,,,1235000000.0,,,,,,,
29,AXP,AMERICAN EXPRESS CO,2011-09-30,10-K,2013-02-22,,,1235000000.0,,,,,,,
26,AXP,AMERICAN EXPRESS CO,2011-06-30,10-K,2012-02-24,,,1331000000.0,,,,,,,
27,AXP,AMERICAN EXPRESS CO,2011-06-30,10-K,2013-02-22,,,1331000000.0,,,,,,,
24,AXP,AMERICAN EXPRESS CO,2011-03-31,10-K,2012-02-24,,,1177000000.0,,,,,,,
25,AXP,AMERICAN EXPRESS CO,2011-03-31,10-K,2013-02-22,,,1177000000.0,,,,,,,
19,AXP,AMERICAN EXPRESS CO,2010-12-31,10-K,2011-02-28,654000000.0,66416000000.0,1062000000.0,,27819000000.0,,1197000000.0,16230000000.0,147042000000.0,130812000000.0
20,AXP,AMERICAN EXPRESS CO,2010-12-31,10-K,2012-02-24,,66416000000.0,1062000000.0,,,,1197000000.0,16230000000.0,146689000000.0,130459000000.0
21,AXP,AMERICAN EXPRESS CO,2010-12-31,10-K,2013-02-22,,,4057000000.0,,,,,16230000000.0,,
22,AXP,AMERICAN EXPRESS CO,2010-12-31,10-K,2014-02-25,,,,,,,,16230000000.0,,
23,AXP,AMERICAN EXPRESS CO,2010-12-31,10-K,2015-02-24,,,,,,,,18794000000.0,,
17,AXP,AMERICAN EXPRESS CO,2010-09-30,10-K,2011-02-28,,,1093000000.0,,,,,,,
18,AXP,AMERICAN EXPRESS CO,2010-09-30,10-K,2012-02-24,,,1093000000.0,,,,,,,
15,AXP,AMERICAN EXPRESS CO,2010-06-30,10-K,2011-02-28,,,1017000000.0,,,,,,,
16,AXP,AMERICAN EXPRESS CO,2010-06-30,10-K,2012-02-24,,,1017000000.0,,,,,,,
13,AXP,AMERICAN EXPRESS CO,2010-03-31,10-K,2011-02-28,,,885000000.0,,,,,,,
14,AXP,AMERICAN EXPRESS CO,2010-03-31,10-K,2012-02-24,,,885000000.0,,,,,,,
9,AXP,AMERICAN EXPRESS CO,2009-12-31,10-K,2010-02-26,15542000000.0,52338000000.0,2130000000.0,2841000000.0,,,1192000000.0,14406000000.0,124088000000.0,109682000000.0
10,AXP,AMERICAN EXPRESS CO,2009-12-31,10-K,2011-02-28,4064000000.0,77300000000.0,716000000.0,,24523000000.0,,1192000000.0,12637000000.0,125145000000.0,110739000000.0
11,AXP,AMERICAN EXPRESS CO,2009-12-31,10-K,2012-02-24,,,2130000000.0,,,,,12637000000.0,,
12,AXP,AMERICAN EXPRESS CO,2009-12-31,10-K,2013-02-22,,,,,,,,12637000000.0,,
8,AXP,AMERICAN EXPRESS CO,2009-09-30,10-K,2011-02-28,,,640000000.0,,,,,,,
7,AXP,AMERICAN EXPRESS CO,2009-06-30,10-K,2011-02-28,,,337000000.0,,,,,,,
6,AXP,AMERICAN EXPRESS CO,2009-03-31,10-K,2011-02-28,,,437000000.0,,,,,,,
3,AXP,AMERICAN EXPRESS CO,2008-12-31,10-K,2010-02-26,20550000000.0,60041000000.0,2699000000.0,3581000000.0,,,1160000000.0,11841000000.0,126074000000.0,114233000000.0
4,AXP,AMERICAN EXPRESS CO,2008-12-31,10-K,2011-02-28,,,2699000000.0,,28365000000.0,,,11841000000.0,,
5,AXP,AMERICAN EXPRESS CO,2008-12-31,10-K,2012-02-24,,,,,,,,11841000000.0,,
1,AXP,AMERICAN EXPRESS CO,2007-12-31,10-K,2010-02-26,15268000000.0,,4012000000.0,5694000000.0,,,,11029000000.0,,
2,AXP,AMERICAN EXPRESS CO,2007-12-31,10-K,2011-02-28,,,,,,,,11029000000.0,,
0,AXP,AMERICAN EXPRESS CO,2006-12-31,10-K,2010-02-26,8246000000.0,,,,,,,10511000000.0,,
