,ticker,company,concept,value,end_date,filed,form
0,AZO,"AUTOZONE, INC.",revenue,10635676000,2016-08-27,2018-10-24,10-K
1,AZO,"AUTOZONE, INC.",revenue,2467845000,2016-11-19,2018-10-24,10-K
2,AZO,"AUTOZONE, INC.",revenue,2289219000,2017-02-11,2018-10-24,10-K
3,AZO,"AUTOZONE, INC.",revenue,2619007000,2017-05-06,2018-10-24,10-K
4,AZO,"AUTOZONE, INC.",revenue,10888676000,2017-08-26,2018-10-24,10-K
5,AZO,"AUTOZONE, INC.",revenue,10888676000,2017-08-26,2019-10-28,10-K
6,AZO,"AUTOZONE, INC.",revenue,3512605000,2017-08-26,2018-10-24,10-K
7,AZO,"AUTOZONE, INC.",revenue,2589131000,2017-11-18,2018-10-24,10-K
8,AZO,"AUTOZONE, INC.",revenue,2589131000,2017-11-18,2019-10-28,10-K
9,AZO,"AUTOZONE, INC.",revenue,2413026000,2018-02-10,2018-10-24,10-K
10,AZO,"AUTOZONE, INC.",revenue,2413026000,2018-02-10,2019-10-28,10-K
11,AZO,"AUTOZONE, INC.",revenue,2660152000,2018-05-05,2018-10-24,10-K
12,AZO,"AUTOZONE, INC.",revenue,2660152000,2018-05-05,2019-10-28,10-K
13,AZO,"AUTOZONE, INC.",revenue,11221077000,2018-08-25,2018-10-24,10-K
14,AZO,"AUTOZONE, INC.",revenue,11221077000,2018-08-25,2019-10-28,10-K
15,AZO,"AUTOZONE, INC.",revenue,11221077000,2018-08-25,2020-10-26,10-K
16,AZO,"AUTOZONE, INC.",revenue,3558769000,2018-08-25,2018-10-24,10-K
17,AZO,"AUTOZONE, INC.",revenue,3558769000,2018-08-25,2019-10-28,10-K
18,AZO,"AUTOZONE, INC.",revenue,2641733000,2018-11-17,2019-10-28,10-K
19,AZO,"AUTOZONE, INC.",revenue,2641733000,2018-11-17,2020-10-26,10-K
20,AZO,"AUTOZONE, INC.",revenue,2450568000,2019-02-09,2019-10-28,10-K
21,AZO,"AUTOZONE, INC.",revenue,2450568000,2019-02-09,2020-10-26,10-K
22,AZO,"AUTOZONE, INC.",revenue,2783006000,2019-05-04,2019-10-28,10-K
23,AZO,"AUTOZONE, INC.",revenue,2783006000,2019-05-04,2020-10-26,10-K
24,AZO,"AUTOZONE, INC.",revenue,11863743000,2019-08-31,2019-10-28,10-K
25,AZO,"AUTOZONE, INC.",revenue,11863743000,2019-08-31,2020-10-26,10-K
26,AZO,"AUTOZONE, INC.",revenue,11863743000,2019-08-31,2021-10-25,10-K
27,AZO,"AUTOZONE, INC.",revenue,3988435000,2019-08-31,2019-10-28,10-K
28,AZO,"AUTOZONE, INC.",revenue,3988435000,2019-08-31,2020-10-26,10-K
29,AZO,"AUTOZONE, INC.",revenue,2793038000,2019-11-23,2020-10-26,10-K
30,AZO,"AUTOZONE, INC.",revenue,2513663000,2020-02-15,2020-10-26,10-K
31,AZO,"AUTOZONE, INC.",revenue,2779299000,2020-05-09,2020-10-26,10-K
32,AZO,"AUTOZONE, INC.",revenue,12631967000,2020-08-29,2020-10-26,10-K
33,AZO,"AUTOZONE, INC.",revenue,12631967000,2020-08-29,2021-10-25,10-K
34,AZO,"AUTOZONE, INC.",revenue,12631967000,2020-08-29,2022-10-24,10-K
35,AZO,"AUTOZONE, INC.",revenue,4545968000,2020-08-29,2020-10-26,10-K
36,AZO,"AUTOZONE, INC.",revenue,14629585000,2021-08-28,2021-10-25,10-K
37,AZO,"AUTOZONE, INC.",revenue,14629585000,2021-08-28,2022-10-24,10-K
38,AZO,"AUTOZONE, INC.",revenue,14629585000,2021-08-28,2023-10-24,10-K
39,AZO,"AUTOZONE, INC.",revenue,16252230000,2022-08-27,2022-10-24,10-K
40,AZO,"AUTOZONE, INC.",revenue,16252230000,2022-08-27,2023-10-24,10-K
41,AZO,"AUTOZONE, INC.",revenue,16252230000,2022-08-27,2024-10-28,10-K
42,AZO,"AUTOZONE, INC.",revenue,17457209000,2023-08-26,2023-10-24,10-K
43,AZO,"AUTOZONE, INC.",revenue,17457209000,2023-08-26,2024-10-28,10-K
44,AZO,"AUTOZONE, INC.",revenue,17457209000,2023-08-26,2025-10-27,10-K
45,AZO,"AUTOZONE, INC.",revenue,18490268000,2024-08-31,2024-10-28,10-K
46,AZO,"AUTOZONE, INC.",revenue,18490268000,2024-08-31,2025-10-27,10-K
47,AZO,"AUTOZONE, INC.",revenue,18938717000,2025-08-30,2025-10-27,10-K
48,AZO,"AUTOZONE, INC.",net_income,641606000,2008-08-30,2010-10-25,10-K
49,AZO,"AUTOZONE, INC.",net_income,131371000,2008-11-22,2010-10-25,10-K
50,AZO,"AUTOZONE, INC.",net_income,115864000,2009-02-14,2010-10-25,10-K
51,AZO,"AUTOZONE, INC.",net_income,173689000,2009-05-09,2010-10-25,10-K
52,AZO,"AUTOZONE, INC.",net_income,657049000,2009-08-29,2010-10-25,10-K
53,AZO,"AUTOZONE, INC.",net_income,657049000,2009-08-29,2011-10-24,10-K
54,AZO,"AUTOZONE, INC.",net_income,236126000,2009-08-29,2010-10-25,10-K
55,AZO,"AUTOZONE, INC.",net_income,143300000,2009-11-21,2010-10-25,10-K
56,AZO,"AUTOZONE, INC.",net_income,143300000,2009-11-21,2011-10-24,10-K
57,AZO,"AUTOZONE, INC.",net_income,123333000,2010-02-13,2010-10-25,10-K
58,AZO,"AUTOZONE, INC.",net_income,123333000,2010-02-13,2011-10-24,10-K
59,AZO,"AUTOZONE, INC.",net_income,202745000,2010-05-08,2010-10-25,10-K
60,AZO,"AUTOZONE, INC.",net_income,202745000,2010-05-08,2011-10-24,10-K
61,AZO,"AUTOZONE, INC.",net_income,738311000,2010-08-28,2010-10-25,10-K
62,AZO,"AUTOZONE, INC.",net_income,738311000,2010-08-28,2011-10-24,10-K
63,AZO,"AUTOZONE, INC.",net_income,738311000,2010-08-28,2012-10-22,10-K
64,AZO,"AUTOZONE, INC.",net_income,268933000,2010-08-28,2010-10-25,10-K
65,AZO,"AUTOZONE, INC.",net_income,268933000,2010-08-28,2011-10-24,10-K
66,AZO,"AUTOZONE, INC.",net_income,172076000,2010-11-20,2011-10-24,10-K
67,AZO,"AUTOZONE, INC.",net_income,172076000,2010-11-20,2012-10-22,10-K
68,AZO,"AUTOZONE, INC.",net_income,148056000,2011-02-12,2011-10-24,10-K
69,AZO,"AUTOZONE, INC.",net_income,148056000,2011-02-12,2012-10-22,10-K
70,AZO,"AUTOZONE, INC.",net_income,227373000,2011-05-07,2011-10-24,10-K
71,AZO,"AUTOZONE, INC.",net_income,227373000,2011-05-07,2012-10-22,10-K
72,AZO,"AUTOZONE, INC.",net_income,848974000,2011-08-27,2011-10-24,10-K
73,AZO,"AUTOZONE, INC.",net_income,848974000,2011-08-27,2012-10-22,10-K
74,AZO,"AUTOZONE, INC.",net_income,848974000,2011-08-27,2013-10-28,10-K
75,AZO,"AUTOZONE, INC.",net_income,301469000,2011-08-27,2011-10-24,10-K
76,AZO,"AUTOZONE, INC.",net_income,301469000,2011-08-27,2012-10-22,10-K
77,AZO,"AUTOZONE, INC.",net_income,191125000,2011-11-19,2012-10-22,10-K
78,AZO,"AUTOZONE, INC.",net_income,191125000,2011-11-19,2013-10-28,10-K
79,AZO,"AUTOZONE, INC.",net_income,166930000,2012-02-11,2012-10-22,10-K
80,AZO,"AUTOZONE, INC.",net_income,166930000,2012-02-11,2013-10-28,10-K
81,AZO,"AUTOZONE, INC.",net_income,248586000,2012-05-05,2012-10-22,10-K
82,AZO,"AUTOZONE, INC.",net_income,248586000,2012-05-05,2013-10-28,10-K
83,AZO,"AUTOZONE, INC.",net_income,930373000,2012-08-25,2012-10-22,10-K
84,AZO,"AUTOZONE, INC.",net_income,930373000,2012-08-25,2013-10-28,10-K
85,AZO,"AUTOZONE, INC.",net_income,930373000,2012-08-25,2014-10-27,10-K
86,AZO,"AUTOZONE, INC.",net_income,323733000,2012-08-25,2012-10-22,10-K
87,AZO,"AUTOZONE, INC.",net_income,323733000,2012-08-25,2013-10-28,10-K
88,AZO,"AUTOZONE, INC.",net_income,203452000,2012-11-17,2013-10-28,10-K
89,AZO,"AUTOZONE, INC.",net_income,203452000,2012-11-17,2014-10-27,10-K
90,AZO,"AUTOZONE, INC.",net_income,176247000,2013-02-09,2013-10-28,10-K
91,AZO,"AUTOZONE, INC.",net_income,176247000,2013-02-09,2014-10-27,10-K
92,AZO,"AUTOZONE, INC.",net_income,265583000,2013-05-04,2013-10-28,10-K
93,AZO,"AUTOZONE, INC.",net_income,265583000,2013-05-04,2014-10-27,10-K
94,AZO,"AUTOZONE, INC.",net_income,1016480000,2013-08-31,2013-10-28,10-K
95,AZO,"AUTOZONE, INC.",net_income,1016480000,2013-08-31,2014-10-27,10-K
96,AZO,"AUTOZONE, INC.",net_income,1016480000,2013-08-31,2015-10-26,10-K
97,AZO,"AUTOZONE, INC.",net_income,371199000,2013-08-31,2013-10-28,10-K
98,AZO,"AUTOZONE, INC.",net_income,371199000,2013-08-31,2014-10-27,10-K
99,AZO,"AUTOZONE, INC.",net_income,218087000,2013-11-23,2014-10-27,10-K
100,AZO,"AUTOZONE, INC.",net_income,218087000,2013-11-23,2015-10-26,10-K
101,AZO,"AUTOZONE, INC.",net_income,192830000,2014-02-15,2014-10-27,10-K
102,AZO,"AUTOZONE, INC.",net_income,192830000,2014-02-15,2015-10-26,10-K
103,AZO,"AUTOZONE, INC.",net_income,285157000,2014-05-10,2014-10-27,10-K
104,AZO,"AUTOZONE, INC.",net_income,285157000,2014-05-10,2015-10-26,10-K
105,AZO,"AUTOZONE, INC.",net_income,1069744000,2014-08-30,2014-10-27,10-K
106,AZO,"AUTOZONE, INC.",net_income,1069744000,2014-08-30,2015-10-26,10-K
107,AZO,"AUTOZONE, INC.",net_income,1069744000,2014-08-30,2016-10-24,10-K
108,AZO,"AUTOZONE, INC.",net_income,373671000,2014-08-30,2014-10-27,10-K
109,AZO,"AUTOZONE, INC.",net_income,373671000,2014-08-30,2015-10-26,10-K
110,AZO,"AUTOZONE, INC.",net_income,238310000,2014-11-22,2015-10-26,10-K
111,AZO,"AUTOZONE, INC.",net_income,238310000,2014-11-22,2016-10-24,10-K
112,AZO,"AUTOZONE, INC.",net_income,211723000,2015-02-14,2015-10-26,10-K
113,AZO,"AUTOZONE, INC.",net_income,211723000,2015-02-14,2016-10-24,10-K
114,AZO,"AUTOZONE, INC.",net_income,309071000,2015-05-09,2015-10-26,10-K
115,AZO,"AUTOZONE, INC.",net_income,309071000,2015-05-09,2016-10-24,10-K
116,AZO,"AUTOZONE, INC.",net_income,1160241000,2015-08-29,2015-10-26,10-K
117,AZO,"AUTOZONE, INC.",net_income,1160241000,2015-08-29,2016-10-24,10-K
118,AZO,"AUTOZONE, INC.",net_income,1160241000,2015-08-29,2017-10-25,10-K
119,AZO,"AUTOZONE, INC.",net_income,401137000,2015-08-29,2015-10-26,10-K
120,AZO,"AUTOZONE, INC.",net_income,401137000,2015-08-29,2016-10-24,10-K
121,AZO,"AUTOZONE, INC.",net_income,258112000,2015-11-21,2016-10-24,10-K
122,AZO,"AUTOZONE, INC.",net_income,258112000,2015-11-21,2017-10-25,10-K
123,AZO,"AUTOZONE, INC.",net_income,228613000,2016-02-13,2016-10-24,10-K
124,AZO,"AUTOZONE, INC.",net_income,228613000,2016-02-13,2017-10-25,10-K
125,AZO,"AUTOZONE, INC.",net_income,327515000,2016-05-07,2016-10-24,10-K
126,AZO,"AUTOZONE, INC.",net_income,327515000,2016-05-07,2017-10-25,10-K
127,AZO,"AUTOZONE, INC.",net_income,1241007000,2016-08-27,2016-10-24,10-K
128,AZO,"AUTOZONE, INC.",net_income,1241007000,2016-08-27,2017-10-25,10-K
129,AZO,"AUTOZONE, INC.",net_income,1241007000,2016-08-27,2018-10-24,10-K
130,AZO,"AUTOZONE, INC.",net_income,426768000,2016-08-27,2016-10-24,10-K
131,AZO,"AUTOZONE, INC.",net_income,426768000,2016-08-27,2017-10-25,10-K
132,AZO,"AUTOZONE, INC.",net_income,278125000,2016-11-19,2017-10-25,10-K
