,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
138,BAX,Baxter International Inc.,2025-12-31,10-K,2026-02-12,1966000000.0,9438000000.0,-957000000.0,-308000000.0,11244000000.0,6129000000.0,20055000000.0,13953000000.0
136,BAX,Baxter International Inc.,2024-12-31,10-K,2025-02-21,1764000000.0,13180000000.0,-512000000.0,14000000.0,2753000000.0,6964000000.0,25782000000.0,18758000000.0
137,BAX,Baxter International Inc.,2024-12-31,10-K,2026-02-12,1764000000.0,,-649000000.0,14000000.0,10636000000.0,6964000000.0,25782000000.0,18758000000.0
135,BAX,Baxter International Inc.,2024-09-30,10-K,2025-02-21,,,140000000.0,,2699000000.0,,,
134,BAX,Baxter International Inc.,2024-06-30,10-K,2025-02-21,,,-314000000.0,,2694000000.0,,,
133,BAX,Baxter International Inc.,2024-03-31,10-K,2025-02-21,,,37000000.0,,2490000000.0,,,
130,BAX,Baxter International Inc.,2023-12-31,10-K,2024-02-08,3194000000.0,13855000000.0,245000000.0,390000000.0,3885000000.0,8402000000.0,28276000000.0,19808000000.0
131,BAX,Baxter International Inc.,2023-12-31,10-K,2025-02-21,3078000000.0,,245000000.0,707000000.0,2729000000.0,8402000000.0,28276000000.0,19808000000.0
132,BAX,Baxter International Inc.,2023-12-31,10-K,2026-02-12,3078000000.0,,2656000000.0,707000000.0,10360000000.0,,,
128,BAX,Baxter International Inc.,2023-09-30,10-K,2024-02-08,,,2508000000.0,,3708000000.0,,,
129,BAX,Baxter International Inc.,2023-09-30,10-K,2025-02-21,,,2508000000.0,,2599000000.0,,,
126,BAX,Baxter International Inc.,2023-06-30,10-K,2024-02-08,,,-141000000.0,,3707000000.0,,,
127,BAX,Baxter International Inc.,2023-06-30,10-K,2025-02-21,,,-141000000.0,,2591000000.0,,,
124,BAX,Baxter International Inc.,2023-03-31,10-K,2024-02-08,,,44000000.0,,3513000000.0,,,
125,BAX,Baxter International Inc.,2023-03-31,10-K,2025-02-21,,,44000000.0,,2441000000.0,,,
