,ticker,company,concept,value,end_date,filed,form
0,BA,BOEING CO,revenue,66387000000,2007-12-31,2010-02-08,10-K
1,BA,BOEING CO,revenue,60909000000,2008-12-31,2010-02-08,10-K
2,BA,BOEING CO,revenue,60909000000,2008-12-31,2011-02-09,10-K
3,BA,BOEING CO,revenue,16502000000,2009-03-31,2011-02-09,10-K
4,BA,BOEING CO,revenue,17154000000,2009-06-30,2011-02-09,10-K
5,BA,BOEING CO,revenue,16688000000,2009-09-30,2011-02-09,10-K
6,BA,BOEING CO,revenue,68281000000,2009-12-31,2010-02-08,10-K
7,BA,BOEING CO,revenue,68281000000,2009-12-31,2011-02-09,10-K
8,BA,BOEING CO,revenue,68281000000,2009-12-31,2012-02-09,10-K
9,BA,BOEING CO,revenue,17937000000,2009-12-31,2011-02-09,10-K
10,BA,BOEING CO,revenue,15216000000,2010-03-31,2011-02-09,10-K
11,BA,BOEING CO,revenue,15216000000,2010-03-31,2012-02-09,10-K
12,BA,BOEING CO,revenue,15573000000,2010-06-30,2011-02-09,10-K
13,BA,BOEING CO,revenue,15573000000,2010-06-30,2012-02-09,10-K
14,BA,BOEING CO,revenue,16967000000,2010-09-30,2011-02-09,10-K
15,BA,BOEING CO,revenue,16967000000,2010-09-30,2012-02-09,10-K
16,BA,BOEING CO,revenue,64306000000,2010-12-31,2011-02-09,10-K
17,BA,BOEING CO,revenue,64306000000,2010-12-31,2012-02-09,10-K
18,BA,BOEING CO,revenue,64306000000,2010-12-31,2013-02-11,10-K
19,BA,BOEING CO,revenue,16550000000,2010-12-31,2011-02-09,10-K
20,BA,BOEING CO,revenue,16550000000,2010-12-31,2012-02-09,10-K
21,BA,BOEING CO,revenue,14910000000,2011-03-31,2012-02-09,10-K
22,BA,BOEING CO,revenue,14910000000,2011-03-31,2013-02-11,10-K
23,BA,BOEING CO,revenue,16543000000,2011-06-30,2012-02-09,10-K
24,BA,BOEING CO,revenue,16543000000,2011-06-30,2013-02-11,10-K
25,BA,BOEING CO,revenue,17727000000,2011-09-30,2012-02-09,10-K
26,BA,BOEING CO,revenue,17727000000,2011-09-30,2013-02-11,10-K
27,BA,BOEING CO,revenue,68735000000,2011-12-31,2012-02-09,10-K
28,BA,BOEING CO,revenue,68735000000,2011-12-31,2013-02-11,10-K
29,BA,BOEING CO,revenue,68735000000,2011-12-31,2014-02-14,10-K
30,BA,BOEING CO,revenue,19555000000,2011-12-31,2012-02-09,10-K
31,BA,BOEING CO,revenue,19555000000,2011-12-31,2013-02-11,10-K
32,BA,BOEING CO,revenue,19383000000,2012-03-31,2013-02-11,10-K
33,BA,BOEING CO,revenue,19383000000,2012-03-31,2014-02-14,10-K
34,BA,BOEING CO,revenue,20005000000,2012-06-30,2013-02-11,10-K
35,BA,BOEING CO,revenue,20005000000,2012-06-30,2014-02-14,10-K
36,BA,BOEING CO,revenue,20008000000,2012-09-30,2013-02-11,10-K
37,BA,BOEING CO,revenue,20008000000,2012-09-30,2014-02-14,10-K
38,BA,BOEING CO,revenue,81698000000,2012-12-31,2013-02-11,10-K
39,BA,BOEING CO,revenue,81698000000,2012-12-31,2014-02-14,10-K
40,BA,BOEING CO,revenue,81698000000,2012-12-31,2015-02-12,10-K
41,BA,BOEING CO,revenue,22302000000,2012-12-31,2013-02-11,10-K
42,BA,BOEING CO,revenue,22302000000,2012-12-31,2014-02-14,10-K
43,BA,BOEING CO,revenue,18893000000,2013-03-31,2014-02-14,10-K
44,BA,BOEING CO,revenue,18893000000,2013-03-31,2015-02-12,10-K
45,BA,BOEING CO,revenue,21815000000,2013-06-30,2014-02-14,10-K
46,BA,BOEING CO,revenue,21815000000,2013-06-30,2015-02-12,10-K
47,BA,BOEING CO,revenue,22130000000,2013-09-30,2014-02-14,10-K
48,BA,BOEING CO,revenue,22130000000,2013-09-30,2015-02-12,10-K
49,BA,BOEING CO,revenue,86623000000,2013-12-31,2014-02-14,10-K
50,BA,BOEING CO,revenue,86623000000,2013-12-31,2015-02-12,10-K
51,BA,BOEING CO,revenue,86623000000,2013-12-31,2016-02-10,10-K
52,BA,BOEING CO,revenue,23785000000,2013-12-31,2014-02-14,10-K
53,BA,BOEING CO,revenue,23785000000,2013-12-31,2015-02-12,10-K
54,BA,BOEING CO,revenue,20465000000,2014-03-31,2015-02-12,10-K
55,BA,BOEING CO,revenue,20465000000,2014-03-31,2016-02-10,10-K
56,BA,BOEING CO,revenue,22045000000,2014-06-30,2015-02-12,10-K
57,BA,BOEING CO,revenue,22045000000,2014-06-30,2016-02-10,10-K
58,BA,BOEING CO,revenue,23784000000,2014-09-30,2015-02-12,10-K
59,BA,BOEING CO,revenue,23784000000,2014-09-30,2016-02-10,10-K
60,BA,BOEING CO,revenue,90762000000,2014-12-31,2015-02-12,10-K
61,BA,BOEING CO,revenue,90762000000,2014-12-31,2016-02-10,10-K
62,BA,BOEING CO,revenue,90762000000,2014-12-31,2017-02-08,10-K
63,BA,BOEING CO,revenue,24468000000,2014-12-31,2015-02-12,10-K
64,BA,BOEING CO,revenue,24468000000,2014-12-31,2016-02-10,10-K
65,BA,BOEING CO,revenue,22149000000,2015-03-31,2016-02-10,10-K
66,BA,BOEING CO,revenue,22149000000,2015-03-31,2017-02-08,10-K
67,BA,BOEING CO,revenue,24543000000,2015-06-30,2016-02-10,10-K
68,BA,BOEING CO,revenue,24543000000,2015-06-30,2017-02-08,10-K
69,BA,BOEING CO,revenue,25849000000,2015-09-30,2016-02-10,10-K
70,BA,BOEING CO,revenue,25849000000,2015-09-30,2017-02-08,10-K
71,BA,BOEING CO,revenue,96114000000,2015-12-31,2016-02-10,10-K
72,BA,BOEING CO,revenue,96114000000,2015-12-31,2017-02-08,10-K
73,BA,BOEING CO,revenue,96114000000,2015-12-31,2018-02-12,10-K
74,BA,BOEING CO,revenue,23573000000,2015-12-31,2016-02-10,10-K
75,BA,BOEING CO,revenue,23573000000,2015-12-31,2017-02-08,10-K
76,BA,BOEING CO,revenue,22632000000,2016-03-31,2017-02-08,10-K
77,BA,BOEING CO,revenue,22632000000,2016-03-31,2018-02-12,10-K
78,BA,BOEING CO,revenue,24755000000,2016-06-30,2017-02-08,10-K
79,BA,BOEING CO,revenue,24755000000,2016-06-30,2018-02-12,10-K
80,BA,BOEING CO,revenue,23898000000,2016-09-30,2017-02-08,10-K
81,BA,BOEING CO,revenue,23898000000,2016-09-30,2018-02-12,10-K
82,BA,BOEING CO,revenue,94571000000,2016-12-31,2017-02-08,10-K
83,BA,BOEING CO,revenue,94571000000,2016-12-31,2018-02-12,10-K
84,BA,BOEING CO,revenue,93496000000,2016-12-31,2019-02-08,10-K
85,BA,BOEING CO,revenue,23286000000,2016-12-31,2017-02-08,10-K
