,ticker,company,concept,value,end_date,filed,form
0,BBY,"BEST BUY CO., INC.",revenue,249000000,2011-01-31,2014-03-28,10-K
1,BBY,"BEST BUY CO., INC.",revenue,189000000,2012-01-31,2014-03-28,10-K
2,BBY,"BEST BUY CO., INC.",revenue,39403000000,2017-01-28,2019-03-28,10-K
3,BBY,"BEST BUY CO., INC.",revenue,42151000000,2018-02-03,2019-03-28,10-K
4,BBY,"BEST BUY CO., INC.",revenue,42151000000,2018-02-03,2020-03-23,10-K
5,BBY,"BEST BUY CO., INC.",revenue,42879000000,2019-02-02,2019-03-28,10-K
6,BBY,"BEST BUY CO., INC.",revenue,42879000000,2019-02-02,2020-03-23,10-K
7,BBY,"BEST BUY CO., INC.",revenue,42879000000,2019-02-02,2021-03-19,10-K
8,BBY,"BEST BUY CO., INC.",revenue,43638000000,2020-02-01,2020-03-23,10-K
9,BBY,"BEST BUY CO., INC.",revenue,43638000000,2020-02-01,2021-03-19,10-K
10,BBY,"BEST BUY CO., INC.",revenue,43638000000,2020-02-01,2022-03-18,10-K
11,BBY,"BEST BUY CO., INC.",revenue,47262000000,2021-01-30,2021-03-19,10-K
12,BBY,"BEST BUY CO., INC.",revenue,47262000000,2021-01-30,2022-03-18,10-K
13,BBY,"BEST BUY CO., INC.",revenue,47262000000,2021-01-30,2023-03-17,10-K
14,BBY,"BEST BUY CO., INC.",revenue,51761000000,2022-01-29,2022-03-18,10-K
15,BBY,"BEST BUY CO., INC.",revenue,51761000000,2022-01-29,2023-03-17,10-K
16,BBY,"BEST BUY CO., INC.",revenue,51761000000,2022-01-29,2024-03-15,10-K
17,BBY,"BEST BUY CO., INC.",revenue,46298000000,2023-01-28,2023-03-17,10-K
18,BBY,"BEST BUY CO., INC.",revenue,46298000000,2023-01-28,2024-03-15,10-K
19,BBY,"BEST BUY CO., INC.",revenue,46298000000,2023-01-28,2025-03-19,10-K
20,BBY,"BEST BUY CO., INC.",revenue,43452000000,2024-02-03,2024-03-15,10-K
21,BBY,"BEST BUY CO., INC.",revenue,43452000000,2024-02-03,2025-03-19,10-K
22,BBY,"BEST BUY CO., INC.",revenue,41528000000,2025-02-01,2025-03-19,10-K
23,BBY,"BEST BUY CO., INC.",net_income,1407000000,2008-03-01,2010-04-28,10-K
24,BBY,"BEST BUY CO., INC.",net_income,1003000000,2009-02-28,2010-04-28,10-K
25,BBY,"BEST BUY CO., INC.",net_income,1003000000,2009-02-28,2011-04-25,10-K
26,BBY,"BEST BUY CO., INC.",net_income,153000000,2009-05-30,2011-04-25,10-K
27,BBY,"BEST BUY CO., INC.",net_income,158000000,2009-08-29,2011-04-25,10-K
28,BBY,"BEST BUY CO., INC.",net_income,227000000,2009-11-28,2011-04-25,10-K
29,BBY,"BEST BUY CO., INC.",net_income,1317000000,2010-02-27,2010-04-28,10-K
30,BBY,"BEST BUY CO., INC.",net_income,1317000000,2010-02-27,2011-04-25,10-K
31,BBY,"BEST BUY CO., INC.",net_income,1317000000,2010-02-27,2012-05-01,10-K
32,BBY,"BEST BUY CO., INC.",net_income,779000000,2010-02-27,2011-04-25,10-K
33,BBY,"BEST BUY CO., INC.",net_income,155000000,2010-05-29,2011-04-25,10-K
34,BBY,"BEST BUY CO., INC.",net_income,155000000,2010-05-29,2012-05-01,10-K
35,BBY,"BEST BUY CO., INC.",net_income,254000000,2010-08-28,2011-04-25,10-K
36,BBY,"BEST BUY CO., INC.",net_income,254000000,2010-08-28,2012-05-01,10-K
37,BBY,"BEST BUY CO., INC.",net_income,217000000,2010-11-27,2011-04-25,10-K
38,BBY,"BEST BUY CO., INC.",net_income,217000000,2010-11-27,2012-05-01,10-K
39,BBY,"BEST BUY CO., INC.",net_income,-33000000,2011-01-31,2014-03-28,10-K
40,BBY,"BEST BUY CO., INC.",net_income,1277000000,2011-02-26,2011-04-25,10-K
41,BBY,"BEST BUY CO., INC.",net_income,1277000000,2011-02-26,2012-05-01,10-K
42,BBY,"BEST BUY CO., INC.",net_income,651000000,2011-02-26,2011-04-25,10-K
43,BBY,"BEST BUY CO., INC.",net_income,651000000,2011-02-26,2012-05-01,10-K
44,BBY,"BEST BUY CO., INC.",net_income,136000000,2011-05-28,2012-05-01,10-K
45,BBY,"BEST BUY CO., INC.",net_income,177000000,2011-08-27,2012-05-01,10-K
46,BBY,"BEST BUY CO., INC.",net_income,154000000,2011-11-26,2012-05-01,10-K
47,BBY,"BEST BUY CO., INC.",net_income,-1425000000,2012-01-28,2014-03-28,10-K
48,BBY,"BEST BUY CO., INC.",net_income,-14000000,2012-01-31,2014-03-28,10-K
49,BBY,"BEST BUY CO., INC.",net_income,-1231000000,2012-03-03,2012-05-01,10-K
50,BBY,"BEST BUY CO., INC.",net_income,-1231000000,2012-03-03,2014-03-28,10-K
51,BBY,"BEST BUY CO., INC.",net_income,-1698000000,2012-03-03,2012-05-01,10-K
52,BBY,"BEST BUY CO., INC.",net_income,158000000,2012-05-05,2014-03-28,10-K
53,BBY,"BEST BUY CO., INC.",net_income,12000000,2012-08-04,2014-03-28,10-K
54,BBY,"BEST BUY CO., INC.",net_income,-10000000,2012-11-03,2014-03-28,10-K
55,BBY,"BEST BUY CO., INC.",net_income,-441000000,2013-02-02,2014-03-28,10-K
56,BBY,"BEST BUY CO., INC.",net_income,-441000000,2013-02-02,2015-03-31,10-K
57,BBY,"BEST BUY CO., INC.",net_income,-409000000,2013-02-02,2014-03-28,10-K
58,BBY,"BEST BUY CO., INC.",net_income,-81000000,2013-05-04,2014-03-28,10-K
59,BBY,"BEST BUY CO., INC.",net_income,-81000000,2013-05-04,2015-03-31,10-K
60,BBY,"BEST BUY CO., INC.",net_income,266000000,2013-08-03,2014-03-28,10-K
61,BBY,"BEST BUY CO., INC.",net_income,266000000,2013-08-03,2015-03-31,10-K
62,BBY,"BEST BUY CO., INC.",net_income,54000000,2013-11-02,2014-03-28,10-K
63,BBY,"BEST BUY CO., INC.",net_income,54000000,2013-11-02,2015-03-31,10-K
64,BBY,"BEST BUY CO., INC.",net_income,532000000,2014-02-01,2014-03-28,10-K
65,BBY,"BEST BUY CO., INC.",net_income,532000000,2014-02-01,2015-03-31,10-K
66,BBY,"BEST BUY CO., INC.",net_income,532000000,2014-02-01,2016-03-23,10-K
67,BBY,"BEST BUY CO., INC.",net_income,293000000,2014-02-01,2014-03-28,10-K
68,BBY,"BEST BUY CO., INC.",net_income,293000000,2014-02-01,2015-03-31,10-K
69,BBY,"BEST BUY CO., INC.",net_income,461000000,2014-05-03,2015-03-31,10-K
70,BBY,"BEST BUY CO., INC.",net_income,461000000,2014-05-03,2016-03-23,10-K
71,BBY,"BEST BUY CO., INC.",net_income,146000000,2014-08-02,2015-03-31,10-K
72,BBY,"BEST BUY CO., INC.",net_income,146000000,2014-08-02,2016-03-23,10-K
73,BBY,"BEST BUY CO., INC.",net_income,107000000,2014-11-01,2015-03-31,10-K
74,BBY,"BEST BUY CO., INC.",net_income,107000000,2014-11-01,2016-03-23,10-K
75,BBY,"BEST BUY CO., INC.",net_income,1233000000,2015-01-31,2015-03-31,10-K
76,BBY,"BEST BUY CO., INC.",net_income,1233000000,2015-01-31,2016-03-23,10-K
77,BBY,"BEST BUY CO., INC.",net_income,1233000000,2015-01-31,2017-03-24,10-K
78,BBY,"BEST BUY CO., INC.",net_income,519000000,2015-01-31,2015-03-31,10-K
79,BBY,"BEST BUY CO., INC.",net_income,519000000,2015-01-31,2016-03-23,10-K
80,BBY,"BEST BUY CO., INC.",net_income,129000000,2015-05-02,2016-03-23,10-K
81,BBY,"BEST BUY CO., INC.",net_income,129000000,2015-05-02,2017-03-24,10-K
82,BBY,"BEST BUY CO., INC.",net_income,164000000,2015-08-01,2016-03-23,10-K
83,BBY,"BEST BUY CO., INC.",net_income,164000000,2015-08-01,2017-03-24,10-K
84,BBY,"BEST BUY CO., INC.",net_income,125000000,2015-10-31,2016-03-23,10-K
85,BBY,"BEST BUY CO., INC.",net_income,125000000,2015-10-31,2017-03-24,10-K
86,BBY,"BEST BUY CO., INC.",net_income,897000000,2016-01-30,2016-03-23,10-K
87,BBY,"BEST BUY CO., INC.",net_income,897000000,2016-01-30,2017-03-24,10-K
88,BBY,"BEST BUY CO., INC.",net_income,897000000,2016-01-30,2018-04-02,10-K
89,BBY,"BEST BUY CO., INC.",net_income,479000000,2016-01-30,2016-03-23,10-K
90,BBY,"BEST BUY CO., INC.",net_income,479000000,2016-01-30,2017-03-24,10-K
91,BBY,"BEST BUY CO., INC.",net_income,229000000,2016-04-30,2017-03-24,10-K
92,BBY,"BEST BUY CO., INC.",net_income,229000000,2016-04-30,2018-04-02,10-K
93,BBY,"BEST BUY CO., INC.",net_income,198000000,2016-07-30,2017-03-24,10-K
94,BBY,"BEST BUY CO., INC.",net_income,198000000,2016-07-30,2018-04-02,10-K
95,BBY,"BEST BUY CO., INC.",net_income,194000000,2016-10-29,2017-03-24,10-K
96,BBY,"BEST BUY CO., INC.",net_income,194000000,2016-10-29,2018-04-02,10-K
97,BBY,"BEST BUY CO., INC.",net_income,1228000000,2017-01-28,2017-03-24,10-K
98,BBY,"BEST BUY CO., INC.",net_income,1228000000,2017-01-28,2018-04-02,10-K
99,BBY,"BEST BUY CO., INC.",net_income,1228000000,2017-01-28,2019-03-28,10-K
100,BBY,"BEST BUY CO., INC.",net_income,607000000,2017-01-28,2017-03-24,10-K
101,BBY,"BEST BUY CO., INC.",net_income,607000000,2017-01-28,2018-04-02,10-K
102,BBY,"BEST BUY CO., INC.",net_income,188000000,2017-04-29,2018-04-02,10-K
103,BBY,"BEST BUY CO., INC.",net_income,188000000,2017-04-29,2019-03-28,10-K
104,BBY,"BEST BUY CO., INC.",net_income,209000000,2017-07-29,2018-04-02,10-K
105,BBY,"BEST BUY CO., INC.",net_income,209000000,2017-07-29,2019-03-28,10-K
106,BBY,"BEST BUY CO., INC.",net_income,239000000,2017-10-28,2018-04-02,10-K
107,BBY,"BEST BUY CO., INC.",net_income,239000000,2017-10-28,2019-03-28,10-K
108,BBY,"BEST BUY CO., INC.",net_income,1000000000,2018-02-03,2018-04-02,10-K
109,BBY,"BEST BUY CO., INC.",net_income,1000000000,2018-02-03,2019-03-28,10-K
110,BBY,"BEST BUY CO., INC.",net_income,1000000000,2018-02-03,2020-03-23,10-K
111,BBY,"BEST BUY CO., INC.",net_income,364000000,2018-02-03,2018-04-02,10-K
112,BBY,"BEST BUY CO., INC.",net_income,364000000,2018-02-03,2019-03-28,10-K
113,BBY,"BEST BUY CO., INC.",net_income,208000000,2018-05-05,2019-03-28,10-K
114,BBY,"BEST BUY CO., INC.",net_income,208000000,2018-05-05,2020-03-23,10-K
115,BBY,"BEST BUY CO., INC.",net_income,244000000,2018-08-04,2019-03-28,10-K
116,BBY,"BEST BUY CO., INC.",net_income,244000000,2018-08-04,2020-03-23,10-K
117,BBY,"BEST BUY CO., INC.",net_income,277000000,2018-11-03,2019-03-28,10-K
118,BBY,"BEST BUY CO., INC.",net_income,277000000,2018-11-03,2020-03-23,10-K
119,BBY,"BEST BUY CO., INC.",net_income,1464000000,2019-02-02,2019-03-28,10-K
120,BBY,"BEST BUY CO., INC.",net_income,1464000000,2019-02-02,2020-03-23,10-K
121,BBY,"BEST BUY CO., INC.",net_income,1464000000,2019-02-02,2021-03-19,10-K
122,BBY,"BEST BUY CO., INC.",net_income,735000000,2019-02-02,2019-03-28,10-K
123,BBY,"BEST BUY CO., INC.",net_income,735000000,2019-02-02,2020-03-23,10-K
124,BBY,"BEST BUY CO., INC.",net_income,265000000,2019-05-04,2020-03-23,10-K
125,BBY,"BEST BUY CO., INC.",net_income,238000000,2019-08-03,2020-03-23,10-K
126,BBY,"BEST BUY CO., INC.",net_income,293000000,2019-11-02,2020-03-23,10-K
127,BBY,"BEST BUY CO., INC.",net_income,1541000000,2020-02-01,2020-03-23,10-K
128,BBY,"BEST BUY CO., INC.",net_income,1541000000,2020-02-01,2021-03-19,10-K
129,BBY,"BEST BUY CO., INC.",net_income,1541000000,2020-02-01,2022-03-18,10-K
130,BBY,"BEST BUY CO., INC.",net_income,745000000,2020-02-01,2020-03-23,10-K
131,BBY,"BEST BUY CO., INC.",net_income,1798000000,2021-01-30,2021-03-19,10-K
132,BBY,"BEST BUY CO., INC.",net_income,1798000000,2021-01-30,2022-03-18,10-K
133,BBY,"BEST BUY CO., INC.",net_income,1798000000,2021-01-30,2023-03-17,10-K
134,BBY,"BEST BUY CO., INC.",net_income,2454000000,2022-01-29,2022-03-18,10-K
135,BBY,"BEST BUY CO., INC.",net_income,2454000000,2022-01-29,2023-03-17,10-K
136,BBY,"BEST BUY CO., INC.",net_income,2454000000,2022-01-29,2024-03-15,10-K
137,BBY,"BEST BUY CO., INC.",net_income,1419000000,2023-01-28,2023-03-17,10-K
138,BBY,"BEST BUY CO., INC.",net_income,1419000000,2023-01-28,2024-03-15,10-K
139,BBY,"BEST BUY CO., INC.",net_income,1419000000,2023-01-28,2025-03-19,10-K
140,BBY,"BEST BUY CO., INC.",net_income,1241000000,2024-02-03,2024-03-15,10-K
141,BBY,"BEST BUY CO., INC.",net_income,1241000000,2024-02-03,2025-03-19,10-K
142,BBY,"BEST BUY CO., INC.",net_income,927000000,2025-02-01,2025-03-19,10-K
143,BBY,"BEST BUY CO., INC.",total_assets,15826000000,2009-02-28,2010-04-28,10-K
144,BBY,"BEST BUY CO., INC.",total_assets,15826000000,2009-02-28,2011-04-25,10-K
145,BBY,"BEST BUY CO., INC.",total_assets,18302000000,2010-02-27,2010-04-28,10-K
146,BBY,"BEST BUY CO., INC.",total_assets,18302000000,2010-02-27,2011-04-25,10-K
147,BBY,"BEST BUY CO., INC.",total_assets,18302000000,2010-02-27,2012-05-01,10-K
148,BBY,"BEST BUY CO., INC.",total_assets,17849000000,2011-02-26,2011-04-25,10-K
149,BBY,"BEST BUY CO., INC.",total_assets,17849000000,2011-02-26,2012-05-01,10-K
150,BBY,"BEST BUY CO., INC.",total_assets,16005000000,2012-03-03,2012-05-01,10-K
