,ticker,company,concept,value,end_date,filed,form
0,BDX,"BECTON, DICKINSON AND COMPANY",revenue,12483000000,2016-09-30,2018-11-21,10-K
1,BDX,"BECTON, DICKINSON AND COMPANY",revenue,2922000000,2016-12-31,2018-11-21,10-K
2,BDX,"BECTON, DICKINSON AND COMPANY",revenue,2969000000,2017-03-31,2018-11-21,10-K
3,BDX,"BECTON, DICKINSON AND COMPANY",revenue,3035000000,2017-06-30,2018-11-21,10-K
4,BDX,"BECTON, DICKINSON AND COMPANY",revenue,12093000000,2017-09-30,2018-11-21,10-K
5,BDX,"BECTON, DICKINSON AND COMPANY",revenue,12093000000,2017-09-30,2019-11-27,10-K
6,BDX,"BECTON, DICKINSON AND COMPANY",revenue,3166000000,2017-09-30,2018-11-21,10-K
7,BDX,"BECTON, DICKINSON AND COMPANY",revenue,3080000000,2017-12-31,2018-11-21,10-K
8,BDX,"BECTON, DICKINSON AND COMPANY",revenue,3080000000,2017-12-31,2019-11-27,10-K
9,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4222000000,2018-03-31,2018-11-21,10-K
10,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4222000000,2018-03-31,2019-11-27,10-K
11,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4278000000,2018-06-30,2018-11-21,10-K
12,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4278000000,2018-06-30,2019-11-27,10-K
13,BDX,"BECTON, DICKINSON AND COMPANY",revenue,15983000000,2018-09-30,2018-11-21,10-K
14,BDX,"BECTON, DICKINSON AND COMPANY",revenue,15983000000,2018-09-30,2019-11-27,10-K
15,BDX,"BECTON, DICKINSON AND COMPANY",revenue,15983000000,2018-09-30,2020-11-25,10-K
16,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4402000000,2018-09-30,2018-11-21,10-K
17,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4402000000,2018-09-30,2019-11-27,10-K
18,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4160000000,2018-12-31,2019-11-27,10-K
19,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4160000000,2018-12-31,2020-11-25,10-K
20,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4195000000,2019-03-31,2019-11-27,10-K
21,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4195000000,2019-03-31,2020-11-25,10-K
22,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4350000000,2019-06-30,2019-11-27,10-K
23,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4350000000,2019-06-30,2020-11-25,10-K
24,BDX,"BECTON, DICKINSON AND COMPANY",revenue,17290000000,2019-09-30,2019-11-27,10-K
25,BDX,"BECTON, DICKINSON AND COMPANY",revenue,17290000000,2019-09-30,2020-11-25,10-K
26,BDX,"BECTON, DICKINSON AND COMPANY",revenue,17290000000,2019-09-30,2021-11-24,10-K
27,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4584000000,2019-09-30,2019-11-27,10-K
28,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4584000000,2019-09-30,2020-11-25,10-K
29,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4225000000,2019-12-31,2020-11-25,10-K
30,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4253000000,2020-03-31,2020-11-25,10-K
31,BDX,"BECTON, DICKINSON AND COMPANY",revenue,3855000000,2020-06-30,2020-11-25,10-K
32,BDX,"BECTON, DICKINSON AND COMPANY",revenue,17117000000,2020-09-30,2020-11-25,10-K
33,BDX,"BECTON, DICKINSON AND COMPANY",revenue,17117000000,2020-09-30,2021-11-24,10-K
34,BDX,"BECTON, DICKINSON AND COMPANY",revenue,16074000000,2020-09-30,2022-11-22,10-K
35,BDX,"BECTON, DICKINSON AND COMPANY",revenue,4784000000,2020-09-30,2020-11-25,10-K
36,BDX,"BECTON, DICKINSON AND COMPANY",revenue,20248000000,2021-09-30,2021-11-24,10-K
37,BDX,"BECTON, DICKINSON AND COMPANY",revenue,19131000000,2021-09-30,2022-11-22,10-K
38,BDX,"BECTON, DICKINSON AND COMPANY",revenue,19131000000,2021-09-30,2023-11-21,10-K
39,BDX,"BECTON, DICKINSON AND COMPANY",revenue,18870000000,2022-09-30,2022-11-22,10-K
40,BDX,"BECTON, DICKINSON AND COMPANY",revenue,18870000000,2022-09-30,2023-11-21,10-K
41,BDX,"BECTON, DICKINSON AND COMPANY",revenue,18870000000,2022-09-30,2024-11-27,10-K
42,BDX,"BECTON, DICKINSON AND COMPANY",revenue,19372000000,2023-09-30,2023-11-21,10-K
43,BDX,"BECTON, DICKINSON AND COMPANY",revenue,19372000000,2023-09-30,2024-11-27,10-K
44,BDX,"BECTON, DICKINSON AND COMPANY",revenue,19372000000,2023-09-30,2025-11-25,10-K
45,BDX,"BECTON, DICKINSON AND COMPANY",revenue,20178000000,2024-09-30,2024-11-27,10-K
46,BDX,"BECTON, DICKINSON AND COMPANY",revenue,20178000000,2024-09-30,2025-11-25,10-K
47,BDX,"BECTON, DICKINSON AND COMPANY",revenue,21840000000,2025-09-30,2025-11-25,10-K
48,BDX,"BECTON, DICKINSON AND COMPANY",net_income,890033000,2007-09-30,2009-11-25,10-K
49,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1126996000,2008-09-30,2009-11-25,10-K
50,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1231603000,2009-09-30,2009-11-25,10-K
51,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1170000000,2012-09-30,2014-11-26,10-K
52,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1293000000,2013-09-30,2014-11-26,10-K
53,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1293000000,2013-09-30,2015-11-25,10-K
54,BDX,"BECTON, DICKINSON AND COMPANY",net_income,271000000,2013-12-31,2015-11-25,10-K
55,BDX,"BECTON, DICKINSON AND COMPANY",net_income,287000000,2014-03-31,2015-11-25,10-K
56,BDX,"BECTON, DICKINSON AND COMPANY",net_income,326000000,2014-06-30,2015-11-25,10-K
57,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1185000000,2014-09-30,2014-11-26,10-K
58,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1185000000,2014-09-30,2015-11-25,10-K
59,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1185000000,2014-09-30,2016-11-23,10-K
60,BDX,"BECTON, DICKINSON AND COMPANY",net_income,301000000,2014-09-30,2015-11-25,10-K
61,BDX,"BECTON, DICKINSON AND COMPANY",net_income,236000000,2014-12-31,2015-11-25,10-K
62,BDX,"BECTON, DICKINSON AND COMPANY",net_income,236000000,2014-12-31,2016-11-23,10-K
63,BDX,"BECTON, DICKINSON AND COMPANY",net_income,216000000,2015-03-31,2015-11-25,10-K
64,BDX,"BECTON, DICKINSON AND COMPANY",net_income,216000000,2015-03-31,2016-11-23,10-K
65,BDX,"BECTON, DICKINSON AND COMPANY",net_income,62000000,2015-06-30,2015-11-25,10-K
66,BDX,"BECTON, DICKINSON AND COMPANY",net_income,62000000,2015-06-30,2016-11-23,10-K
67,BDX,"BECTON, DICKINSON AND COMPANY",net_income,695000000,2015-09-30,2015-11-25,10-K
68,BDX,"BECTON, DICKINSON AND COMPANY",net_income,695000000,2015-09-30,2016-11-23,10-K
69,BDX,"BECTON, DICKINSON AND COMPANY",net_income,695000000,2015-09-30,2017-11-22,10-K
70,BDX,"BECTON, DICKINSON AND COMPANY",net_income,181000000,2015-09-30,2015-11-25,10-K
71,BDX,"BECTON, DICKINSON AND COMPANY",net_income,181000000,2015-09-30,2016-11-23,10-K
72,BDX,"BECTON, DICKINSON AND COMPANY",net_income,229000000,2015-12-31,2016-11-23,10-K
73,BDX,"BECTON, DICKINSON AND COMPANY",net_income,229000000,2015-12-31,2017-11-22,10-K
74,BDX,"BECTON, DICKINSON AND COMPANY",net_income,338000000,2016-03-31,2016-11-23,10-K
75,BDX,"BECTON, DICKINSON AND COMPANY",net_income,338000000,2016-03-31,2017-11-22,10-K
76,BDX,"BECTON, DICKINSON AND COMPANY",net_income,390000000,2016-06-30,2016-11-23,10-K
77,BDX,"BECTON, DICKINSON AND COMPANY",net_income,390000000,2016-06-30,2017-11-22,10-K
78,BDX,"BECTON, DICKINSON AND COMPANY",net_income,976000000,2016-09-30,2016-11-23,10-K
79,BDX,"BECTON, DICKINSON AND COMPANY",net_income,976000000,2016-09-30,2017-11-22,10-K
80,BDX,"BECTON, DICKINSON AND COMPANY",net_income,976000000,2016-09-30,2018-11-21,10-K
81,BDX,"BECTON, DICKINSON AND COMPANY",net_income,19000000,2016-09-30,2016-11-23,10-K
82,BDX,"BECTON, DICKINSON AND COMPANY",net_income,19000000,2016-09-30,2017-11-22,10-K
83,BDX,"BECTON, DICKINSON AND COMPANY",net_income,562000000,2016-12-31,2017-11-22,10-K
84,BDX,"BECTON, DICKINSON AND COMPANY",net_income,562000000,2016-12-31,2018-11-21,10-K
85,BDX,"BECTON, DICKINSON AND COMPANY",net_income,344000000,2017-03-31,2017-11-22,10-K
86,BDX,"BECTON, DICKINSON AND COMPANY",net_income,344000000,2017-03-31,2018-11-21,10-K
87,BDX,"BECTON, DICKINSON AND COMPANY",net_income,-132000000,2017-06-30,2017-11-22,10-K
88,BDX,"BECTON, DICKINSON AND COMPANY",net_income,-132000000,2017-06-30,2018-11-21,10-K
89,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1100000000,2017-09-30,2017-11-22,10-K
90,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1100000000,2017-09-30,2018-11-21,10-K
91,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1100000000,2017-09-30,2019-11-27,10-K
92,BDX,"BECTON, DICKINSON AND COMPANY",net_income,327000000,2017-09-30,2017-11-22,10-K
93,BDX,"BECTON, DICKINSON AND COMPANY",net_income,327000000,2017-09-30,2018-11-21,10-K
94,BDX,"BECTON, DICKINSON AND COMPANY",net_income,-136000000,2017-12-31,2018-11-21,10-K
95,BDX,"BECTON, DICKINSON AND COMPANY",net_income,-136000000,2017-12-31,2019-11-27,10-K
96,BDX,"BECTON, DICKINSON AND COMPANY",net_income,-12000000,2018-03-31,2018-11-21,10-K
97,BDX,"BECTON, DICKINSON AND COMPANY",net_income,-12000000,2018-03-31,2019-11-27,10-K
98,BDX,"BECTON, DICKINSON AND COMPANY",net_income,594000000,2018-06-30,2018-11-21,10-K
99,BDX,"BECTON, DICKINSON AND COMPANY",net_income,594000000,2018-06-30,2019-11-27,10-K
100,BDX,"BECTON, DICKINSON AND COMPANY",net_income,311000000,2018-09-30,2018-11-21,10-K
101,BDX,"BECTON, DICKINSON AND COMPANY",net_income,311000000,2018-09-30,2019-11-27,10-K
102,BDX,"BECTON, DICKINSON AND COMPANY",net_income,311000000,2018-09-30,2020-11-25,10-K
103,BDX,"BECTON, DICKINSON AND COMPANY",net_income,-135000000,2018-09-30,2018-11-21,10-K
104,BDX,"BECTON, DICKINSON AND COMPANY",net_income,-135000000,2018-09-30,2019-11-27,10-K
105,BDX,"BECTON, DICKINSON AND COMPANY",net_income,599000000,2018-12-31,2019-11-27,10-K
106,BDX,"BECTON, DICKINSON AND COMPANY",net_income,599000000,2018-12-31,2020-11-25,10-K
107,BDX,"BECTON, DICKINSON AND COMPANY",net_income,20000000,2019-03-31,2019-11-27,10-K
108,BDX,"BECTON, DICKINSON AND COMPANY",net_income,20000000,2019-03-31,2020-11-25,10-K
109,BDX,"BECTON, DICKINSON AND COMPANY",net_income,451000000,2019-06-30,2019-11-27,10-K
110,BDX,"BECTON, DICKINSON AND COMPANY",net_income,451000000,2019-06-30,2020-11-25,10-K
111,BDX,"BECTON, DICKINSON AND COMPANY",net_income,1233000000,2019-09-30,2019-11-27,10-K
