,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
59,BF-B,Brown-Forman Corporation,2025-04-30,10-K,2025-06-13,444000000.0,2421000000.0,869000000.0,1107000000.0,3975000000.0,472669000.0,3993000000.0,8086000000.0,4093000000.0
57,BF-B,Brown-Forman Corporation,2024-04-30,10-K,2024-06-14,446000000.0,2672000000.0,1024000000.0,1414000000.0,4178000000.0,472600000.0,3517000000.0,8166000000.0,4649000000.0
58,BF-B,Brown-Forman Corporation,2024-04-30,10-K,2025-06-13,446000000.0,2672000000.0,1024000000.0,1414000000.0,4178000000.0,472600000.0,3517000000.0,8166000000.0,4649000000.0
54,BF-B,Brown-Forman Corporation,2023-04-30,10-K,2023-06-16,374000000.0,2678000000.0,783000000.0,1127000000.0,4228000000.0,479316000.0,3268000000.0,7777000000.0,4509000000.0
55,BF-B,Brown-Forman Corporation,2023-04-30,10-K,2024-06-14,374000000.0,2678000000.0,783000000.0,1127000000.0,4228000000.0,479316000.0,3268000000.0,7777000000.0,4509000000.0
56,BF-B,Brown-Forman Corporation,2023-04-30,10-K,2025-06-13,374000000.0,,783000000.0,1127000000.0,4228000000.0,479316000.0,3268000000.0,,
50,BF-B,Brown-Forman Corporation,2022-04-30,10-K,2022-06-17,868000000.0,2269000000.0,838000000.0,1204000000.0,3933000000.0,479020000.0,2737000000.0,6373000000.0,3636000000.0
51,BF-B,Brown-Forman Corporation,2022-04-30,10-K,2023-06-16,868000000.0,2269000000.0,838000000.0,1204000000.0,3933000000.0,479020000.0,2737000000.0,6373000000.0,3636000000.0
52,BF-B,Brown-Forman Corporation,2022-04-30,10-K,2024-06-14,868000000.0,,838000000.0,1204000000.0,3933000000.0,479020000.0,2737000000.0,,
53,BF-B,Brown-Forman Corporation,2022-04-30,10-K,2025-06-13,,,,,,479020000.0,2737000000.0,,
46,BF-B,Brown-Forman Corporation,2021-04-30,10-K,2021-06-21,1150000000.0,2354000000.0,903000000.0,1166000000.0,3461000000.0,478729000.0,2656000000.0,6522000000.0,3866000000.0
47,BF-B,Brown-Forman Corporation,2021-04-30,10-K,2022-06-17,1150000000.0,2354000000.0,903000000.0,1166000000.0,3461000000.0,478729000.0,2656000000.0,6522000000.0,3866000000.0
48,BF-B,Brown-Forman Corporation,2021-04-30,10-K,2023-06-16,1150000000.0,,903000000.0,1166000000.0,3461000000.0,478729000.0,2656000000.0,,
49,BF-B,Brown-Forman Corporation,2021-04-30,10-K,2024-06-14,,,,,,478729000.0,2656000000.0,,
42,BF-B,Brown-Forman Corporation,2020-04-30,10-K,2020-06-19,675000000.0,2269000000.0,827000000.0,1091000000.0,3363000000.0,478209000.0,1975000000.0,5766000000.0,3791000000.0
43,BF-B,Brown-Forman Corporation,2020-04-30,10-K,2021-06-21,675000000.0,2269000000.0,827000000.0,1091000000.0,3363000000.0,478209000.0,1975000000.0,5766000000.0,3791000000.0
44,BF-B,Brown-Forman Corporation,2020-04-30,10-K,2022-06-17,675000000.0,,827000000.0,1091000000.0,3363000000.0,478209000.0,1975000000.0,,
45,BF-B,Brown-Forman Corporation,2020-04-30,10-K,2023-06-16,,,,,,478209000.0,1975000000.0,,
38,BF-B,Brown-Forman Corporation,2019-04-30,10-K,2019-06-13,307000000.0,2290000000.0,835000000.0,1144000000.0,3324000000.0,477172000.0,1647000000.0,5139000000.0,3492000000.0
39,BF-B,Brown-Forman Corporation,2019-04-30,10-K,2020-06-19,307000000.0,2290000000.0,835000000.0,1144000000.0,3324000000.0,477172000.0,1647000000.0,5139000000.0,3492000000.0
40,BF-B,Brown-Forman Corporation,2019-04-30,10-K,2021-06-21,307000000.0,,835000000.0,1144000000.0,3324000000.0,477172000.0,1647000000.0,,
41,BF-B,Brown-Forman Corporation,2019-04-30,10-K,2022-06-17,,,,,,477172000.0,1647000000.0,,
34,BF-B,Brown-Forman Corporation,2018-04-30,10-K,2018-06-13,239000000.0,2341000000.0,717000000.0,1039000000.0,,481001000.0,1316000000.0,4976000000.0,3660000000.0
35,BF-B,Brown-Forman Corporation,2018-04-30,10-K,2019-06-13,239000000.0,2341000000.0,717000000.0,1048000000.0,3248000000.0,481001000.0,1316000000.0,4976000000.0,3660000000.0
36,BF-B,Brown-Forman Corporation,2018-04-30,10-K,2020-06-19,239000000.0,,717000000.0,1048000000.0,3248000000.0,481001000.0,1316000000.0,,
