,ticker,company,concept,value,end_date,filed,form
0,BG,BUNGE GLOBAL SA,revenue,59152000000,2021-12-31,2024-02-22,10-K
1,BG,BUNGE GLOBAL SA,revenue,15880000000,2022-03-31,2024-02-22,10-K
2,BG,BUNGE GLOBAL SA,revenue,17933000000,2022-06-30,2024-02-22,10-K
3,BG,BUNGE GLOBAL SA,revenue,16759000000,2022-09-30,2024-02-22,10-K
4,BG,BUNGE GLOBAL SA,revenue,67232000000,2022-12-31,2024-02-22,10-K
5,BG,BUNGE GLOBAL SA,revenue,67232000000,2022-12-31,2025-02-20,10-K
6,BG,BUNGE GLOBAL SA,revenue,16660000000,2022-12-31,2024-02-22,10-K
7,BG,BUNGE GLOBAL SA,revenue,15328000000,2023-03-31,2024-02-22,10-K
8,BG,BUNGE GLOBAL SA,revenue,15328000000,2023-03-31,2025-02-20,10-K
9,BG,BUNGE GLOBAL SA,revenue,15049000000,2023-06-30,2024-02-22,10-K
10,BG,BUNGE GLOBAL SA,revenue,15049000000,2023-06-30,2025-02-20,10-K
11,BG,BUNGE GLOBAL SA,revenue,14227000000,2023-09-30,2024-02-22,10-K
12,BG,BUNGE GLOBAL SA,revenue,14227000000,2023-09-30,2025-02-20,10-K
13,BG,BUNGE GLOBAL SA,revenue,59540000000,2023-12-31,2024-02-22,10-K
14,BG,BUNGE GLOBAL SA,revenue,59540000000,2023-12-31,2025-02-20,10-K
15,BG,BUNGE GLOBAL SA,revenue,59540000000,2023-12-31,2026-02-19,10-K
16,BG,BUNGE GLOBAL SA,revenue,14936000000,2023-12-31,2024-02-22,10-K
17,BG,BUNGE GLOBAL SA,revenue,14936000000,2023-12-31,2025-02-20,10-K
18,BG,BUNGE GLOBAL SA,revenue,13417000000,2024-03-31,2025-02-20,10-K
19,BG,BUNGE GLOBAL SA,revenue,13417000000,2024-03-31,2026-02-19,10-K
20,BG,BUNGE GLOBAL SA,revenue,13241000000,2024-06-30,2025-02-20,10-K
21,BG,BUNGE GLOBAL SA,revenue,13241000000,2024-06-30,2026-02-19,10-K
22,BG,BUNGE GLOBAL SA,revenue,12908000000,2024-09-30,2025-02-20,10-K
23,BG,BUNGE GLOBAL SA,revenue,12908000000,2024-09-30,2026-02-19,10-K
24,BG,BUNGE GLOBAL SA,revenue,53108000000,2024-12-31,2025-02-20,10-K
25,BG,BUNGE GLOBAL SA,revenue,53108000000,2024-12-31,2026-02-19,10-K
26,BG,BUNGE GLOBAL SA,revenue,13542000000,2024-12-31,2025-02-20,10-K
27,BG,BUNGE GLOBAL SA,revenue,13542000000,2024-12-31,2026-02-19,10-K
28,BG,BUNGE GLOBAL SA,revenue,11643000000,2025-03-31,2026-02-19,10-K
29,BG,BUNGE GLOBAL SA,revenue,12769000000,2025-06-30,2026-02-19,10-K
30,BG,BUNGE GLOBAL SA,revenue,22155000000,2025-09-30,2026-02-19,10-K
31,BG,BUNGE GLOBAL SA,revenue,70329000000,2025-12-31,2026-02-19,10-K
32,BG,BUNGE GLOBAL SA,revenue,23762000000,2025-12-31,2026-02-19,10-K
33,BG,BUNGE GLOBAL SA,revenue_alt,16811000000,2021-12-31,2024-02-22,10-K
34,BG,BUNGE GLOBAL SA,revenue_alt,21074000000,2022-12-31,2024-02-22,10-K
35,BG,BUNGE GLOBAL SA,revenue_alt,21074000000,2022-12-31,2025-02-20,10-K
36,BG,BUNGE GLOBAL SA,revenue_alt,17831000000,2023-12-31,2024-02-22,10-K
37,BG,BUNGE GLOBAL SA,revenue_alt,17831000000,2023-12-31,2025-02-20,10-K
38,BG,BUNGE GLOBAL SA,revenue_alt,17831000000,2023-12-31,2026-02-19,10-K
39,BG,BUNGE GLOBAL SA,revenue_alt,15550000000,2024-12-31,2025-02-20,10-K
40,BG,BUNGE GLOBAL SA,revenue_alt,15550000000,2024-12-31,2026-02-19,10-K
41,BG,BUNGE GLOBAL SA,revenue_alt,16944000000,2025-12-31,2026-02-19,10-K
42,BG,BUNGE GLOBAL SA,net_income,2078000000,2021-12-31,2024-02-22,10-K
43,BG,BUNGE GLOBAL SA,net_income,688000000,2022-03-31,2024-02-22,10-K
44,BG,BUNGE GLOBAL SA,net_income,206000000,2022-06-30,2024-02-22,10-K
45,BG,BUNGE GLOBAL SA,net_income,380000000,2022-09-30,2024-02-22,10-K
46,BG,BUNGE GLOBAL SA,net_income,1610000000,2022-12-31,2024-02-22,10-K
47,BG,BUNGE GLOBAL SA,net_income,1610000000,2022-12-31,2025-02-20,10-K
48,BG,BUNGE GLOBAL SA,net_income,336000000,2022-12-31,2024-02-22,10-K
49,BG,BUNGE GLOBAL SA,net_income,632000000,2023-03-31,2024-02-22,10-K
50,BG,BUNGE GLOBAL SA,net_income,632000000,2023-03-31,2025-02-20,10-K
51,BG,BUNGE GLOBAL SA,net_income,622000000,2023-06-30,2024-02-22,10-K
52,BG,BUNGE GLOBAL SA,net_income,622000000,2023-06-30,2025-02-20,10-K
53,BG,BUNGE GLOBAL SA,net_income,373000000,2023-09-30,2024-02-22,10-K
54,BG,BUNGE GLOBAL SA,net_income,373000000,2023-09-30,2025-02-20,10-K
55,BG,BUNGE GLOBAL SA,net_income,2243000000,2023-12-31,2024-02-22,10-K
56,BG,BUNGE GLOBAL SA,net_income,2243000000,2023-12-31,2025-02-20,10-K
57,BG,BUNGE GLOBAL SA,net_income,2243000000,2023-12-31,2026-02-19,10-K
58,BG,BUNGE GLOBAL SA,net_income,616000000,2023-12-31,2024-02-22,10-K
59,BG,BUNGE GLOBAL SA,net_income,616000000,2023-12-31,2025-02-20,10-K
60,BG,BUNGE GLOBAL SA,net_income,244000000,2024-03-31,2025-02-20,10-K
61,BG,BUNGE GLOBAL SA,net_income,244000000,2024-03-31,2026-02-19,10-K
62,BG,BUNGE GLOBAL SA,net_income,70000000,2024-06-30,2025-02-20,10-K
63,BG,BUNGE GLOBAL SA,net_income,70000000,2024-06-30,2026-02-19,10-K
64,BG,BUNGE GLOBAL SA,net_income,221000000,2024-09-30,2025-02-20,10-K
65,BG,BUNGE GLOBAL SA,net_income,221000000,2024-09-30,2026-02-19,10-K
66,BG,BUNGE GLOBAL SA,net_income,1137000000,2024-12-31,2025-02-20,10-K
67,BG,BUNGE GLOBAL SA,net_income,1137000000,2024-12-31,2026-02-19,10-K
68,BG,BUNGE GLOBAL SA,net_income,602000000,2024-12-31,2025-02-20,10-K
69,BG,BUNGE GLOBAL SA,net_income,602000000,2024-12-31,2026-02-19,10-K
70,BG,BUNGE GLOBAL SA,net_income,201000000,2025-03-31,2026-02-19,10-K
71,BG,BUNGE GLOBAL SA,net_income,354000000,2025-06-30,2026-02-19,10-K
72,BG,BUNGE GLOBAL SA,net_income,166000000,2025-09-30,2026-02-19,10-K
73,BG,BUNGE GLOBAL SA,net_income,816000000,2025-12-31,2026-02-19,10-K
74,BG,BUNGE GLOBAL SA,net_income,95000000,2025-12-31,2026-02-19,10-K
75,BG,BUNGE GLOBAL SA,total_assets,23819000000,2021-12-31,2024-02-22,10-K
76,BG,BUNGE GLOBAL SA,total_assets,24580000000,2022-12-31,2024-02-22,10-K
77,BG,BUNGE GLOBAL SA,total_assets,24580000000,2022-12-31,2025-02-20,10-K
78,BG,BUNGE GLOBAL SA,total_assets,25372000000,2023-12-31,2024-02-22,10-K
79,BG,BUNGE GLOBAL SA,total_assets,25372000000,2023-12-31,2025-02-20,10-K
80,BG,BUNGE GLOBAL SA,total_assets,25372000000,2023-12-31,2026-02-19,10-K
81,BG,BUNGE GLOBAL SA,total_assets,24899000000,2024-12-31,2025-02-20,10-K
82,BG,BUNGE GLOBAL SA,total_assets,24899000000,2024-12-31,2026-02-19,10-K
83,BG,BUNGE GLOBAL SA,total_assets,44528000000,2025-12-31,2026-02-19,10-K
84,BG,BUNGE GLOBAL SA,stockholders_equity,9224000000,2022-12-31,2024-02-22,10-K
85,BG,BUNGE GLOBAL SA,stockholders_equity,10851000000,2023-12-31,2024-02-22,10-K
86,BG,BUNGE GLOBAL SA,stockholders_equity,10851000000,2023-12-31,2025-02-20,10-K
87,BG,BUNGE GLOBAL SA,stockholders_equity,9913000000,2024-12-31,2025-02-20,10-K
88,BG,BUNGE GLOBAL SA,stockholders_equity,9913000000,2024-12-31,2026-02-19,10-K
89,BG,BUNGE GLOBAL SA,stockholders_equity,15904000000,2025-12-31,2026-02-19,10-K
90,BG,BUNGE GLOBAL SA,cash,902000000,2021-12-31,2024-02-22,10-K
91,BG,BUNGE GLOBAL SA,cash,1104000000,2022-12-31,2024-02-22,10-K
92,BG,BUNGE GLOBAL SA,cash,1104000000,2022-12-31,2025-02-20,10-K
93,BG,BUNGE GLOBAL SA,cash,2602000000,2023-12-31,2024-02-22,10-K
94,BG,BUNGE GLOBAL SA,cash,2602000000,2023-12-31,2025-02-20,10-K
95,BG,BUNGE GLOBAL SA,cash,2602000000,2023-12-31,2026-02-19,10-K
96,BG,BUNGE GLOBAL SA,cash,3311000000,2024-12-31,2025-02-20,10-K
97,BG,BUNGE GLOBAL SA,cash,3311000000,2024-12-31,2026-02-19,10-K
98,BG,BUNGE GLOBAL SA,cash,1135000000,2025-12-31,2026-02-19,10-K
99,BG,BUNGE GLOBAL SA,long_term_debt,4105000000,2022-12-31,2024-02-22,10-K
100,BG,BUNGE GLOBAL SA,long_term_debt,4085000000,2023-12-31,2024-02-22,10-K
101,BG,BUNGE GLOBAL SA,long_term_debt,4085000000,2023-12-31,2025-02-20,10-K
102,BG,BUNGE GLOBAL SA,long_term_debt,5363000000,2024-12-31,2025-02-20,10-K
103,BG,BUNGE GLOBAL SA,long_term_debt,5363000000,2024-12-31,2026-02-19,10-K
104,BG,BUNGE GLOBAL SA,long_term_debt,10168000000,2025-12-31,2026-02-19,10-K
