,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
127,BIIB,Biogen Inc.,2025-12-31,10-K,2026-02-06,,6286800000.0,1292900000.0,,9890600000.0,146800000.0,,29439500000.0,11182700000.0
125,BIIB,Biogen Inc.,2024-12-31,10-K,2025-02-12,,6295800000.0,1632200000.0,,9675900000.0,145800000.0,,28049300000.0,11333300000.0
126,BIIB,Biogen Inc.,2024-12-31,10-K,2026-02-06,,,1632200000.0,,9675900000.0,145800000.0,,28049300000.0,11333300000.0
122,BIIB,Biogen Inc.,2023-12-31,10-K,2024-02-14,,6938200000.0,1161100000.0,,9835600000.0,144900000.0,14799400000.0,26844800000.0,12045400000.0
123,BIIB,Biogen Inc.,2023-12-31,10-K,2025-02-12,,,1161100000.0,,9835600000.0,144900000.0,,26844800000.0,12045400000.0
124,BIIB,Biogen Inc.,2023-12-31,10-K,2026-02-06,,,1161100000.0,,9835600000.0,144900000.0,,,
119,BIIB,Biogen Inc.,2022-12-31,10-K,2023-02-15,,6281000000.0,3046900000.0,,10173400000.0,144000000.0,13397900000.0,24554100000.0,11165700000.0
120,BIIB,Biogen Inc.,2022-12-31,10-K,2024-02-14,,,3046900000.0,,10173400000.0,144000000.0,13397900000.0,24554100000.0,11165700000.0
121,BIIB,Biogen Inc.,2022-12-31,10-K,2025-02-12,,,3046900000.0,,10173400000.0,144000000.0,,,
116,BIIB,Biogen Inc.,2021-12-31,10-K,2022-02-03,,6274000000.0,1556100000.0,2840700000.0,10981700000.0,147000000.0,10896200000.0,23877300000.0,12917600000.0
117,BIIB,Biogen Inc.,2021-12-31,10-K,2023-02-15,,6274000000.0,1556100000.0,,10981700000.0,147000000.0,10896200000.0,23877300000.0,12917600000.0
118,BIIB,Biogen Inc.,2021-12-31,10-K,2024-02-14,,,1556100000.0,,10981700000.0,147000000.0,,,
113,BIIB,Biogen Inc.,2020-12-31,10-K,2021-02-03,,7426200000.0,357900000.0,4550100000.0,2852600000.0,152400000.0,10700300000.0,24618900000.0,13932800000.0
114,BIIB,Biogen Inc.,2020-12-31,10-K,2022-02-03,,7426200000.0,4000600000.0,4550100000.0,13444600000.0,152400000.0,10700300000.0,24618900000.0,13932800000.0
115,BIIB,Biogen Inc.,2020-12-31,10-K,2023-02-15,,,4000600000.0,,13444600000.0,152400000.0,,,
112,BIIB,Biogen Inc.,2020-09-30,10-K,2021-02-03,,,701500000.0,,3376100000.0,,,,
111,BIIB,Biogen Inc.,2020-06-30,10-K,2021-02-03,,,1542100000.0,,3681600000.0,,,,
110,BIIB,Biogen Inc.,2020-03-31,10-K,2021-02-03,,,1399100000.0,,3534300000.0,,,,
107,BIIB,Biogen Inc.,2019-12-31,10-K,2020-02-06,2913700000.0,4459000000.0,1439700000.0,7042600000.0,3671300000.0,174200000.0,13343200000.0,27234300000.0,13895200000.0
108,BIIB,Biogen Inc.,2019-12-31,10-K,2021-02-03,,4459000000.0,1439700000.0,7042600000.0,3671300000.0,174200000.0,13343200000.0,27234300000.0,13895200000.0
109,BIIB,Biogen Inc.,2019-12-31,10-K,2022-02-03,,,5888500000.0,7042600000.0,14377900000.0,174200000.0,,,
105,BIIB,Biogen Inc.,2019-09-30,10-K,2020-02-06,,,1545900000.0,,3600100000.0,,,,
106,BIIB,Biogen Inc.,2019-09-30,10-K,2021-02-03,,,1545900000.0,,3600100000.0,,,,
103,BIIB,Biogen Inc.,2019-06-30,10-K,2020-02-06,,,1494100000.0,,3616700000.0,,,,
104,BIIB,Biogen Inc.,2019-06-30,10-K,2021-02-03,,,1494100000.0,,3616700000.0,,,,
101,BIIB,Biogen Inc.,2019-03-31,10-K,2020-02-06,,,1408800000.0,,3489800000.0,,,,
102,BIIB,Biogen Inc.,2019-03-31,10-K,2021-02-03,,,1408800000.0,,3489800000.0,,,,
98,BIIB,Biogen Inc.,2018-12-31,10-K,2019-02-06,1224600000.0,5936500000.0,946800000.0,5888600000.0,3526300000.0,197200000.0,13039600000.0,25288900000.0,12257300000.0
99,BIIB,Biogen Inc.,2018-12-31,10-K,2020-02-06,1224600000.0,5936500000.0,946800000.0,5888600000.0,3526300000.0,197200000.0,13039600000.0,25288900000.0,12257300000.0
100,BIIB,Biogen Inc.,2018-12-31,10-K,2021-02-03,,,4430700000.0,5888600000.0,13452900000.0,197200000.0,,,
96,BIIB,Biogen Inc.,2018-09-30,10-K,2019-02-06,,,1444400000.0,,3439000000.0,,,,
97,BIIB,Biogen Inc.,2018-09-30,10-K,2020-02-06,,,1444400000.0,,3439000000.0,,,,
94,BIIB,Biogen Inc.,2018-06-30,10-K,2019-02-06,,,866600000.0,,3356500000.0,,,,
95,BIIB,Biogen Inc.,2018-06-30,10-K,2020-02-06,,,866600000.0,,3356500000.0,,,,
92,BIIB,Biogen Inc.,2018-03-31,10-K,2019-02-06,,,1172900000.0,,3131100000.0,,,,
93,BIIB,Biogen Inc.,2018-03-31,10-K,2020-02-06,,,1172900000.0,,3131100000.0,,,,
89,BIIB,Biogen Inc.,2017-12-31,10-K,2018-02-01,1573800000.0,5935000000.0,-297400000.0,5344200000.0,3307000000.0,211500000.0,12612800000.0,23652600000.0,11054500000.0
90,BIIB,Biogen Inc.,2017-12-31,10-K,2019-02-06,1573800000.0,5935000000.0,-297400000.0,5345800000.0,3307000000.0,211500000.0,12612800000.0,23652600000.0,11054500000.0
91,BIIB,Biogen Inc.,2017-12-31,10-K,2020-02-06,1573800000.0,,2539100000.0,5345800000.0,12273900000.0,211500000.0,12612800000.0,,
87,BIIB,Biogen Inc.,2017-09-30,10-K,2018-02-01,,,1226100000.0,,3077800000.0,,,,
88,BIIB,Biogen Inc.,2017-09-30,10-K,2019-02-06,,,1226100000.0,,3077800000.0,,,,
85,BIIB,Biogen Inc.,2017-06-30,10-K,2018-02-01,,,862800000.0,,3078400000.0,,,,
86,BIIB,Biogen Inc.,2017-06-30,10-K,2019-02-06,,,862800000.0,,3078400000.0,,,,
83,BIIB,Biogen Inc.,2017-03-31,10-K,2018-02-01,,,747600000.0,,2810700000.0,,,,
84,BIIB,Biogen Inc.,2017-03-31,10-K,2019-02-06,,,747600000.0,,2810700000.0,,,,
79,BIIB,Biogen Inc.,2016-12-31,10-K,2017-02-02,2326500000.0,6512700000.0,649200000.0,5150400000.0,2872000000.0,215900000.0,12140100000.0,22876800000.0,10748200000.0
80,BIIB,Biogen Inc.,2016-12-31,10-K,2018-02-01,2326500000.0,6512700000.0,649200000.0,5150400000.0,2872000000.0,215900000.0,12140100000.0,22876800000.0,10748200000.0
81,BIIB,Biogen Inc.,2016-12-31,10-K,2019-02-06,2326500000.0,,3702800000.0,5151700000.0,11448800000.0,215900000.0,12140100000.0,,
82,BIIB,Biogen Inc.,2016-12-31,10-K,2020-02-06,2326500000.0,,,,,,12140100000.0,,
77,BIIB,Biogen Inc.,2016-09-30,10-K,2017-02-02,,,1032900000.0,,2955800000.0,,,,
78,BIIB,Biogen Inc.,2016-09-30,10-K,2018-02-01,,,1032900000.0,,2955800000.0,,,,
75,BIIB,Biogen Inc.,2016-06-30,10-K,2017-02-02,,,1049800000.0,,2894200000.0,,,,
76,BIIB,Biogen Inc.,2016-06-30,10-K,2018-02-01,,,1049800000.0,,2894200000.0,,,,
73,BIIB,Biogen Inc.,2016-03-31,10-K,2017-02-02,,,970900000.0,,2726800000.0,,,,
74,BIIB,Biogen Inc.,2016-03-31,10-K,2018-02-01,,,970900000.0,,2726800000.0,,,,
69,BIIB,Biogen Inc.,2015-12-31,10-K,2016-02-03,1308000000.0,6521500000.0,831600000.0,4891000000.0,2839300000.0,218600000.0,9372800000.0,19504800000.0,10129900000.0
70,BIIB,Biogen Inc.,2015-12-31,10-K,2017-02-02,1308000000.0,6521500000.0,831600000.0,4891000000.0,2839300000.0,218600000.0,9372800000.0,19504800000.0,10129900000.0
71,BIIB,Biogen Inc.,2015-12-31,10-K,2018-02-01,1308000000.0,,3547000000.0,4891000000.0,10763800000.0,,9372800000.0,,
