,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,stockholders_equity,total_assets,total_liabilities
93,BKNG,Booking Holdings Inc.,2025-12-31,10-K,2026-02-18,17203000000.0,18736000000.0,,8825000000.0,26917000000.0,-5578000000.0,29264000000.0,34842000000.0
91,BKNG,Booking Holdings Inc.,2024-12-31,10-K,2025-02-20,16164000000.0,16598000000.0,,7555000000.0,23739000000.0,-4020000000.0,27708000000.0,31728000000.0
92,BKNG,Booking Holdings Inc.,2024-12-31,10-K,2026-02-18,16164000000.0,16598000000.0,,7555000000.0,23739000000.0,-4020000000.0,27708000000.0,31728000000.0
88,BKNG,Booking Holdings Inc.,2023-12-31,10-K,2024-02-22,12107000000.0,14184000000.0,,5835000000.0,21365000000.0,-2744000000.0,24342000000.0,27086000000.0
89,BKNG,Booking Holdings Inc.,2023-12-31,10-K,2025-02-20,12107000000.0,14184000000.0,,5835000000.0,21365000000.0,-2744000000.0,24342000000.0,27086000000.0
90,BKNG,Booking Holdings Inc.,2023-12-31,10-K,2026-02-18,,,,5835000000.0,21365000000.0,-2744000000.0,,
84,BKNG,Booking Holdings Inc.,2022-12-31,10-K,2023-02-23,12221000000.0,,,5102000000.0,17090000000.0,2782000000.0,25361000000.0,22579000000.0
85,BKNG,Booking Holdings Inc.,2022-12-31,10-K,2024-02-22,12221000000.0,12485000000.0,,5102000000.0,17090000000.0,2782000000.0,25361000000.0,22579000000.0
86,BKNG,Booking Holdings Inc.,2022-12-31,10-K,2025-02-20,,,,5102000000.0,17090000000.0,2782000000.0,,
87,BKNG,Booking Holdings Inc.,2022-12-31,10-K,2026-02-18,,,,,,2782000000.0,,
80,BKNG,Booking Holdings Inc.,2021-12-31,10-K,2022-02-23,11127000000.0,,,2496000000.0,10958000000.0,6178000000.0,23641000000.0,17463000000.0
81,BKNG,Booking Holdings Inc.,2021-12-31,10-K,2023-02-23,11127000000.0,,,2496000000.0,10958000000.0,6178000000.0,23641000000.0,17463000000.0
82,BKNG,Booking Holdings Inc.,2021-12-31,10-K,2024-02-22,,,,2496000000.0,10958000000.0,6178000000.0,,
83,BKNG,Booking Holdings Inc.,2021-12-31,10-K,2025-02-20,,,,,,6178000000.0,,
76,BKNG,Booking Holdings Inc.,2020-12-31,10-K,2021-02-24,10562000000.0,,,-631000000.0,6796000000.0,4893000000.0,21874000000.0,16981000000.0
77,BKNG,Booking Holdings Inc.,2020-12-31,10-K,2022-02-23,10562000000.0,,,-631000000.0,6796000000.0,4893000000.0,21874000000.0,16981000000.0
78,BKNG,Booking Holdings Inc.,2020-12-31,10-K,2023-02-23,,,,-631000000.0,6796000000.0,4893000000.0,,
79,BKNG,Booking Holdings Inc.,2020-12-31,10-K,2024-02-22,,,,,,4893000000.0,,
72,BKNG,Booking Holdings Inc.,2019-12-31,10-K,2020-02-26,6312000000.0,7640000000.0,,5345000000.0,3339000000.0,5933000000.0,21402000000.0,15469000000.0
73,BKNG,Booking Holdings Inc.,2019-12-31,10-K,2021-02-24,6312000000.0,,,5345000000.0,15066000000.0,5933000000.0,21402000000.0,15469000000.0
74,BKNG,Booking Holdings Inc.,2019-12-31,10-K,2022-02-23,6312000000.0,,,5345000000.0,15066000000.0,5933000000.0,,
75,BKNG,Booking Holdings Inc.,2019-12-31,10-K,2023-02-23,,,,,,5933000000.0,,
71,BKNG,Booking Holdings Inc.,2019-09-30,10-K,2020-02-26,,,,,5040000000.0,,,
70,BKNG,Booking Holdings Inc.,2019-06-30,10-K,2020-02-26,,,,,3850000000.0,,,
