,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
119,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2025-06-30,10-K,2025-08-05,561500000.0,3252300000.0,839500000.0,1188600000.0,,6889100000.0,117100000.0,2655100000.0,8545000000.0,5889900000.0
117,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2024-06-30,10-K,2024-08-06,304400000.0,3355100000.0,698100000.0,1017100000.0,,6506800000.0,116700000.0,2168200000.0,8242400000.0,6074200000.0
118,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2024-06-30,10-K,2025-08-05,304400000.0,3355100000.0,698100000.0,1017100000.0,,6506800000.0,116700000.0,2168200000.0,8242400000.0,6074200000.0
114,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2023-06-30,10-K,2023-08-08,252300000.0,3413300000.0,630600000.0,936400000.0,,6060900000.0,118100000.0,2240600000.0,8233200000.0,5992600000.0
115,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2023-06-30,10-K,2024-08-06,252300000.0,3413300000.0,630600000.0,936400000.0,,6060900000.0,118100000.0,2240600000.0,8233200000.0,5992600000.0
116,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2023-06-30,10-K,2025-08-05,,,630600000.0,936400000.0,,6060900000.0,,2240600000.0,8233200000.0,
110,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2022-06-30,10-K,2022-08-12,224700000.0,3793000000.0,539100000.0,759900000.0,,5709100000.0,117300000.0,1919100000.0,8168800000.0,6249800000.0
111,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2022-06-30,10-K,2023-08-08,224700000.0,3793000000.0,539100000.0,759900000.0,,5709100000.0,117300000.0,1919100000.0,8168800000.0,6249800000.0
112,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2022-06-30,10-K,2024-08-06,,,539100000.0,759900000.0,,5709100000.0,,1919100000.0,8168800000.0,
113,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2022-06-30,10-K,2025-08-05,,,,,,,,1919100000.0,,
106,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2021-06-30,10-K,2021-08-12,274500000.0,3887600000.0,260400000.0,281400000.0,,1531600000.0,116100000.0,1809100000.0,8119800000.0,6310600000.0
107,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2021-06-30,10-K,2022-08-12,274500000.0,3887600000.0,547500000.0,678700000.0,,4993700000.0,116100000.0,1809100000.0,8119800000.0,6310600000.0
108,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2021-06-30,10-K,2023-08-08,,,547500000.0,678700000.0,,4993700000.0,,1809100000.0,8119800000.0,
109,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2021-06-30,10-K,2024-08-06,,,,,,,,1809100000.0,,
105,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2021-03-31,10-K,2021-08-12,,,165000000.0,239200000.0,,1389800000.0,,,,
104,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-12-31,10-K,2021-08-12,,,56300000.0,79500000.0,,1054900000.0,,,,
103,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-09-30,10-K,2021-08-12,,,65800000.0,78600000.0,,1017400000.0,,,,
99,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-06-30,10-K,2020-08-11,476600000.0,1787500000.0,229700000.0,298800000.0,,1361900000.0,115100000.0,1346500000.0,4889800000.0,3543200000.0
100,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-06-30,10-K,2021-08-12,476600000.0,1787500000.0,229700000.0,298800000.0,,1361900000.0,115100000.0,1346500000.0,4889800000.0,3543200000.0
101,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-06-30,10-K,2022-08-12,,,462500000.0,624900000.0,,4529000000.0,,1346500000.0,4889800000.0,
102,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-06-30,10-K,2023-08-08,,,,,,,,1346500000.0,,
97,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-03-31,10-K,2020-08-11,,,166800000.0,226300000.0,,1249900000.0,,,,
98,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-03-31,10-K,2021-08-12,,,166800000.0,226300000.0,,1249900000.0,,,,
95,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-12-31,10-K,2020-08-11,,,10100000.0,26800000.0,,968700000.0,,,,
96,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-12-31,10-K,2021-08-12,,,10100000.0,26800000.0,,968700000.0,,,,
93,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-09-30,10-K,2020-08-11,,,55900000.0,73100000.0,,948600000.0,,,,
94,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-09-30,10-K,2021-08-12,,,55900000.0,73100000.0,,948600000.0,,,,
89,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-06-30,10-K,2019-08-06,273200000.0,,,240800000.0,,1211200000.0,114300000.0,1127500000.0,3880700000.0,2753200000.0
90,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-06-30,10-K,2020-08-11,273200000.0,,183200000.0,240800000.0,,1211200000.0,114300000.0,1127500000.0,3880700000.0,2753200000.0
91,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-06-30,10-K,2021-08-12,,,482100000.0,652700000.0,,4362200000.0,,1127500000.0,3880700000.0,
92,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-06-30,10-K,2022-08-12,,,,,,,,1127500000.0,,
87,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-03-31,10-K,2019-08-06,,,,233600000.0,,1224800000.0,,,,
88,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-03-31,10-K,2020-08-11,,,172200000.0,233600000.0,,1224800000.0,,,,
85,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-12-31,10-K,2019-08-06,,,,78200000.0,,953400000.0,,,,
86,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-12-31,10-K,2020-08-11,,,49900000.0,78200000.0,,953400000.0,,,,
83,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-09-30,10-K,2019-08-06,,,,100100000.0,,972800000.0,,,,
84,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-09-30,10-K,2020-08-11,,,76700000.0,100100000.0,,972800000.0,,,,
79,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-06-30,10-K,2018-08-07,263900000.0,,,265400000.0,,1320400000.0,116300000.0,1094300000.0,3304700000.0,2210400000.0
80,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-06-30,10-K,2019-08-06,263900000.0,,,266200000.0,,1320400000.0,116300000.0,1094300000.0,3304700000.0,2210400000.0
81,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-06-30,10-K,2020-08-11,,,427900000.0,598100000.0,,4329900000.0,,1094300000.0,3304700000.0,
82,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-06-30,10-K,2021-08-12,,,,,,,,1094300000.0,,
77,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-03-31,10-K,2018-08-07,,,,130000000.0,,1071900000.0,,,,
78,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-03-31,10-K,2019-08-06,,,,130800000.0,,1071900000.0,,,,
75,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-12-31,10-K,2018-08-07,,,,115100000.0,,1012800000.0,,,,
76,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-12-31,10-K,2019-08-06,,,,115900000.0,,1012800000.0,,,,
73,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-09-30,10-K,2018-08-07,,,,84400000.0,,924800000.0,,,,
74,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-09-30,10-K,2019-08-06,,,,85200000.0,,924800000.0,,,,
69,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-06-30,10-K,2017-08-10,271100000.0,1102100000.0,,297000000.0,1345700000.0,,116500000.0,1003800000.0,3149800000.0,2146000000.0
70,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-06-30,10-K,2018-08-07,271100000.0,,,297000000.0,,1345700000.0,116500000.0,1003800000.0,3149800000.0,2146000000.0
71,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-06-30,10-K,2019-08-06,271100000.0,,,,,4142600000.0,,1003800000.0,3149800000.0,
72,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-06-30,10-K,2020-08-11,,,,,,,,1003800000.0,,
67,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-03-31,10-K,2017-08-10,,,,109700000.0,1008900000.0,,,,,
68,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-03-31,10-K,2018-08-07,,,,109700000.0,,1008900000.0,,,,
65,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-12-31,10-K,2017-08-10,,,,58800000.0,892600000.0,,,,,
66,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-12-31,10-K,2018-08-07,,,,58800000.0,,892600000.0,,,,
63,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-09-30,10-K,2017-08-10,,,,66000000.0,895300000.0,,,,,
64,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-09-30,10-K,2018-08-07,,,,66000000.0,,895300000.0,,,,
