,ticker,company,concept,value,end_date,filed,form
0,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2073000000,2009-06-30,2011-08-12,10-K
1,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2209200000,2010-06-30,2011-08-12,10-K
2,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2209200000,2010-06-30,2012-08-09,10-K
3,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,421400000,2010-09-30,2012-08-09,10-K
4,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,442300000,2010-12-31,2012-08-09,10-K
5,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,527100000,2011-03-31,2012-08-09,10-K
6,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2166900000,2011-06-30,2011-08-12,10-K
7,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2166900000,2011-06-30,2012-08-09,10-K
8,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2166900000,2011-06-30,2013-08-08,10-K
9,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,776100000,2011-06-30,2012-08-09,10-K
10,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,476400000,2011-09-30,2012-08-09,10-K
11,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,476400000,2011-09-30,2013-08-08,10-K
12,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,479800000,2011-12-31,2012-08-09,10-K
13,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,479800000,2011-12-31,2013-08-08,10-K
14,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,547000000,2012-03-31,2012-08-09,10-K
15,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,547000000,2012-03-31,2013-08-08,10-K
16,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2303500000,2012-06-30,2012-08-09,10-K
17,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2303500000,2012-06-30,2013-08-08,10-K
18,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2303500000,2012-06-30,2014-08-07,10-K
19,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,800300000,2012-06-30,2012-08-09,10-K
20,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,800300000,2012-06-30,2013-08-08,10-K
21,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,495800000,2012-09-30,2013-08-08,10-K
22,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,495800000,2012-09-30,2014-08-07,10-K
23,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,493200000,2012-12-31,2013-08-08,10-K
24,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,493200000,2012-12-31,2014-08-07,10-K
25,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,576700000,2013-03-31,2013-08-08,10-K
26,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,576700000,2013-03-31,2014-08-07,10-K
27,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2430800000,2013-06-30,2013-08-08,10-K
28,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2430800000,2013-06-30,2014-08-07,10-K
29,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,2430800000,2013-06-30,2015-08-07,10-K
30,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,865100000,2013-06-30,2013-08-08,10-K
31,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",revenue,865100000,2013-06-30,2014-08-07,10-K
