,ticker,company,end_date,form,filed,cash,long_term_debt,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
64,BSX,BOSTON SCIENTIFIC CORPORATION,2025-12-31,10-K,2026-02-17,1965000000.0,,3613000000.0,,20074000000.0,,24233000000.0,43673000000.0
62,BSX,BOSTON SCIENTIFIC CORPORATION,2024-12-31,10-K,2025-02-18,414000000.0,,2603000000.0,,16747000000.0,,21770000000.0,39395000000.0
63,BSX,BOSTON SCIENTIFIC CORPORATION,2024-12-31,10-K,2026-02-17,414000000.0,,2603000000.0,,16747000000.0,,21770000000.0,39395000000.0
59,BSX,BOSTON SCIENTIFIC CORPORATION,2023-12-31,10-K,2024-02-20,865000000.0,,2343000000.0,,14240000000.0,,19282000000.0,35136000000.0
60,BSX,BOSTON SCIENTIFIC CORPORATION,2023-12-31,10-K,2025-02-18,865000000.0,,2343000000.0,,14240000000.0,,19282000000.0,35136000000.0
61,BSX,BOSTON SCIENTIFIC CORPORATION,2023-12-31,10-K,2026-02-17,865000000.0,,2343000000.0,,14240000000.0,,,
56,BSX,BOSTON SCIENTIFIC CORPORATION,2022-12-31,10-K,2023-02-23,928000000.0,,1649000000.0,,12682000000.0,,,32469000000.0
57,BSX,BOSTON SCIENTIFIC CORPORATION,2022-12-31,10-K,2024-02-20,928000000.0,,1649000000.0,,12682000000.0,,17573000000.0,32469000000.0
58,BSX,BOSTON SCIENTIFIC CORPORATION,2022-12-31,10-K,2025-02-18,928000000.0,,1649000000.0,,12682000000.0,,17573000000.0,
53,BSX,BOSTON SCIENTIFIC CORPORATION,2021-12-31,10-K,2022-02-23,1925000000.0,,1199000000.0,,11888000000.0,,,32229000000.0
54,BSX,BOSTON SCIENTIFIC CORPORATION,2021-12-31,10-K,2023-02-23,1925000000.0,,1199000000.0,,11888000000.0,,,32229000000.0
55,BSX,BOSTON SCIENTIFIC CORPORATION,2021-12-31,10-K,2024-02-20,1925000000.0,,1199000000.0,,11888000000.0,,16622000000.0,
50,BSX,BOSTON SCIENTIFIC CORPORATION,2020-12-31,10-K,2021-02-23,1734000000.0,,-80000000.0,,9913000000.0,,,30777000000.0
51,BSX,BOSTON SCIENTIFIC CORPORATION,2020-12-31,10-K,2022-02-23,1734000000.0,,-80000000.0,,9913000000.0,,,30777000000.0
52,BSX,BOSTON SCIENTIFIC CORPORATION,2020-12-31,10-K,2023-02-23,1734000000.0,,-80000000.0,,9913000000.0,,,
47,BSX,BOSTON SCIENTIFIC CORPORATION,2019-12-31,10-K,2020-02-25,217000000.0,,1518000000.0,,10735000000.0,1394922641.0,,30565000000.0
48,BSX,BOSTON SCIENTIFIC CORPORATION,2019-12-31,10-K,2021-02-23,217000000.0,,1518000000.0,,10735000000.0,,,30565000000.0
49,BSX,BOSTON SCIENTIFIC CORPORATION,2019-12-31,10-K,2022-02-23,217000000.0,,1518000000.0,,10735000000.0,,,
44,BSX,BOSTON SCIENTIFIC CORPORATION,2018-12-31,10-K,2019-02-19,146000000.0,,1506000000.0,,9823000000.0,1384581760.0,,20999000000.0
45,BSX,BOSTON SCIENTIFIC CORPORATION,2018-12-31,10-K,2020-02-25,146000000.0,,1506000000.0,,9823000000.0,1384581760.0,,20999000000.0
46,BSX,BOSTON SCIENTIFIC CORPORATION,2018-12-31,10-K,2021-02-23,146000000.0,,1506000000.0,,9823000000.0,,,
41,BSX,BOSTON SCIENTIFIC CORPORATION,2017-12-31,10-K,2018-02-20,188000000.0,3815000000.0,1285000000.0,,,1373496628.0,,19042000000.0
42,BSX,BOSTON SCIENTIFIC CORPORATION,2017-12-31,10-K,2019-02-19,188000000.0,,1285000000.0,,9048000000.0,1373496628.0,,19042000000.0
