,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
113,CAG,"Conagra Brands, Inc.",2025-05-25,10-K,2025-07-10,68000000.0,7260000000.0,1152400000.0,1364600000.0,,11612800000.0,8932700000.0,20933900000.0,12001200000.0
111,CAG,"Conagra Brands, Inc.",2024-05-26,10-K,2024-07-11,77700000.0,7510000000.0,347200000.0,1175000000.0,,12050900000.0,8440400000.0,20862300000.0,12351000000.0
112,CAG,"Conagra Brands, Inc.",2024-05-26,10-K,2025-07-10,77700000.0,7510000000.0,347200000.0,852800000.0,,12050900000.0,8440400000.0,20862300000.0,12351000000.0
108,CAG,"Conagra Brands, Inc.",2023-05-28,10-K,2023-07-13,93900000.0,8600000000.0,683600000.0,1464200000.0,,12277000000.0,8736800000.0,22052600000.0,13245300000.0
109,CAG,"Conagra Brands, Inc.",2023-05-28,10-K,2024-07-11,93300000.0,8600000000.0,683600000.0,1464200000.0,,12277000000.0,8736800000.0,22052600000.0,13245300000.0
110,CAG,"Conagra Brands, Inc.",2023-05-28,10-K,2025-07-10,,,683600000.0,1075300000.0,,12277000000.0,,,
105,CAG,"Conagra Brands, Inc.",2022-05-29,10-K,2022-07-21,83300000.0,8800000000.0,888200000.0,1587600000.0,,11535900000.0,8787700000.0,22435100000.0,13572900000.0
106,CAG,"Conagra Brands, Inc.",2022-05-29,10-K,2023-07-13,83300000.0,8800000000.0,888200000.0,1587600000.0,,11535900000.0,8787700000.0,22435100000.0,13572900000.0
107,CAG,"Conagra Brands, Inc.",2022-05-29,10-K,2024-07-11,,,888200000.0,1587600000.0,,11535900000.0,,,
102,CAG,"Conagra Brands, Inc.",2021-05-30,10-K,2021-07-23,79200000.0,8300000000.0,1298800000.0,2141000000.0,,11184700000.0,8551800000.0,22195600000.0,13564200000.0
103,CAG,"Conagra Brands, Inc.",2021-05-30,10-K,2022-07-21,79200000.0,8300000000.0,1298800000.0,2141000000.0,,11184700000.0,8551800000.0,22195600000.0,13564200000.0
104,CAG,"Conagra Brands, Inc.",2021-05-30,10-K,2023-07-13,,,1298800000.0,2141000000.0,,11184700000.0,,,
99,CAG,"Conagra Brands, Inc.",2020-05-31,10-K,2020-07-24,553300000.0,9750000000.0,201400000.0,1815600000.0,,3287900000.0,7876100000.0,22304000000.0,14353300000.0
100,CAG,"Conagra Brands, Inc.",2020-05-31,10-K,2021-07-23,553300000.0,9750000000.0,840100000.0,1815600000.0,,11054400000.0,7876100000.0,22304000000.0,14353300000.0
