,ticker,company,concept,value,end_date,filed,form
0,CAG,"Conagra Brands, Inc.",revenue,1600000000,2012-05-27,2014-07-16,10-K
1,CAG,"Conagra Brands, Inc.",revenue,1700000000,2013-05-26,2015-07-17,10-K
2,CAG,"Conagra Brands, Inc.",revenue,1900000000,2013-05-26,2014-07-16,10-K
3,CAG,"Conagra Brands, Inc.",revenue,1700000000,2014-05-25,2016-07-15,10-K
4,CAG,"Conagra Brands, Inc.",revenue,2000000000,2014-05-25,2015-07-17,10-K
5,CAG,"Conagra Brands, Inc.",revenue,2200000000,2014-05-25,2014-07-16,10-K
6,CAG,"Conagra Brands, Inc.",revenue,1600000000,2015-05-31,2016-07-15,10-K
7,CAG,"Conagra Brands, Inc.",revenue,1900000000,2015-05-31,2015-07-17,10-K
8,CAG,"Conagra Brands, Inc.",revenue,1500000000,2016-05-29,2016-07-15,10-K
9,CAG,"Conagra Brands, Inc.",revenue_alt,7826900000,2017-05-28,2019-07-19,10-K
10,CAG,"Conagra Brands, Inc.",revenue_alt,1804200000,2017-08-27,2019-07-19,10-K
11,CAG,"Conagra Brands, Inc.",revenue_alt,2173400000,2017-11-26,2019-07-19,10-K
12,CAG,"Conagra Brands, Inc.",revenue_alt,1994500000,2018-02-25,2019-07-19,10-K
13,CAG,"Conagra Brands, Inc.",revenue_alt,7938300000,2018-05-27,2019-07-19,10-K
14,CAG,"Conagra Brands, Inc.",revenue_alt,7938300000,2018-05-27,2020-07-24,10-K
15,CAG,"Conagra Brands, Inc.",revenue_alt,1966200000,2018-05-27,2019-07-19,10-K
16,CAG,"Conagra Brands, Inc.",revenue_alt,1834400000,2018-08-26,2019-07-19,10-K
17,CAG,"Conagra Brands, Inc.",revenue_alt,1834400000,2018-08-26,2020-07-24,10-K
18,CAG,"Conagra Brands, Inc.",revenue_alt,2383700000,2018-11-25,2019-07-19,10-K
19,CAG,"Conagra Brands, Inc.",revenue_alt,2383700000,2018-11-25,2020-07-24,10-K
20,CAG,"Conagra Brands, Inc.",revenue_alt,2707100000,2019-02-24,2019-07-19,10-K
21,CAG,"Conagra Brands, Inc.",revenue_alt,2707100000,2019-02-24,2020-07-24,10-K
22,CAG,"Conagra Brands, Inc.",revenue_alt,9538400000,2019-05-26,2019-07-19,10-K
23,CAG,"Conagra Brands, Inc.",revenue_alt,9538400000,2019-05-26,2020-07-24,10-K
24,CAG,"Conagra Brands, Inc.",revenue_alt,9538400000,2019-05-26,2021-07-23,10-K
25,CAG,"Conagra Brands, Inc.",revenue_alt,2613200000,2019-05-26,2019-07-19,10-K
26,CAG,"Conagra Brands, Inc.",revenue_alt,2613200000,2019-05-26,2020-07-24,10-K
27,CAG,"Conagra Brands, Inc.",revenue_alt,2390700000,2019-08-25,2020-07-24,10-K
28,CAG,"Conagra Brands, Inc.",revenue_alt,2820800000,2019-11-24,2020-07-24,10-K
29,CAG,"Conagra Brands, Inc.",revenue_alt,2555000000,2020-02-23,2020-07-24,10-K
30,CAG,"Conagra Brands, Inc.",revenue_alt,11054400000,2020-05-31,2020-07-24,10-K
31,CAG,"Conagra Brands, Inc.",revenue_alt,11054400000,2020-05-31,2021-07-23,10-K
32,CAG,"Conagra Brands, Inc.",revenue_alt,11054400000,2020-05-31,2022-07-21,10-K
33,CAG,"Conagra Brands, Inc.",revenue_alt,3287900000,2020-05-31,2020-07-24,10-K
34,CAG,"Conagra Brands, Inc.",revenue_alt,11184700000,2021-05-30,2021-07-23,10-K
35,CAG,"Conagra Brands, Inc.",revenue_alt,11184700000,2021-05-30,2022-07-21,10-K
36,CAG,"Conagra Brands, Inc.",revenue_alt,11184700000,2021-05-30,2023-07-13,10-K
37,CAG,"Conagra Brands, Inc.",revenue_alt,11535900000,2022-05-29,2022-07-21,10-K
38,CAG,"Conagra Brands, Inc.",revenue_alt,11535900000,2022-05-29,2023-07-13,10-K
39,CAG,"Conagra Brands, Inc.",revenue_alt,11535900000,2022-05-29,2024-07-11,10-K
40,CAG,"Conagra Brands, Inc.",revenue_alt,12277000000,2023-05-28,2023-07-13,10-K
41,CAG,"Conagra Brands, Inc.",revenue_alt,12277000000,2023-05-28,2024-07-11,10-K
42,CAG,"Conagra Brands, Inc.",revenue_alt,12277000000,2023-05-28,2025-07-10,10-K
43,CAG,"Conagra Brands, Inc.",revenue_alt,12050900000,2024-05-26,2024-07-11,10-K
44,CAG,"Conagra Brands, Inc.",revenue_alt,12050900000,2024-05-26,2025-07-10,10-K
45,CAG,"Conagra Brands, Inc.",revenue_alt,11612800000,2025-05-25,2025-07-10,10-K
46,CAG,"Conagra Brands, Inc.",net_income,930600000,2008-05-25,2010-07-22,10-K
47,CAG,"Conagra Brands, Inc.",net_income,978400000,2009-05-31,2010-07-22,10-K
48,CAG,"Conagra Brands, Inc.",net_income,978400000,2009-05-31,2011-07-19,10-K
49,CAG,"Conagra Brands, Inc.",net_income,165900000,2009-08-30,2011-07-19,10-K
50,CAG,"Conagra Brands, Inc.",net_income,239700000,2009-11-29,2011-07-19,10-K
51,CAG,"Conagra Brands, Inc.",net_income,229600000,2010-02-27,2011-07-19,10-K
52,CAG,"Conagra Brands, Inc.",net_income,725800000,2010-05-30,2010-07-22,10-K
53,CAG,"Conagra Brands, Inc.",net_income,725800000,2010-05-30,2011-07-19,10-K
54,CAG,"Conagra Brands, Inc.",net_income,613500000,2010-05-30,2012-07-20,10-K
55,CAG,"Conagra Brands, Inc.",net_income,90600000,2010-05-30,2011-07-19,10-K
56,CAG,"Conagra Brands, Inc.",net_income,146400000,2010-08-29,2011-07-19,10-K
57,CAG,"Conagra Brands, Inc.",net_income,148200000,2010-08-29,2012-07-20,10-K
58,CAG,"Conagra Brands, Inc.",net_income,200900000,2010-11-28,2011-07-19,10-K
59,CAG,"Conagra Brands, Inc.",net_income,202700000,2010-11-28,2012-07-20,10-K
60,CAG,"Conagra Brands, Inc.",net_income,214800000,2011-02-27,2011-07-19,10-K
61,CAG,"Conagra Brands, Inc.",net_income,216600000,2011-02-27,2012-07-20,10-K
62,CAG,"Conagra Brands, Inc.",net_income,817000000,2011-05-29,2011-07-19,10-K
63,CAG,"Conagra Brands, Inc.",net_income,817600000,2011-05-29,2012-07-20,10-K
64,CAG,"Conagra Brands, Inc.",net_income,817600000,2011-05-29,2013-07-19,10-K
65,CAG,"Conagra Brands, Inc.",net_income,254900000,2011-05-29,2011-07-19,10-K
66,CAG,"Conagra Brands, Inc.",net_income,250100000,2011-05-29,2012-07-20,10-K
67,CAG,"Conagra Brands, Inc.",net_income,93800000,2011-08-28,2013-07-19,10-K
68,CAG,"Conagra Brands, Inc.",net_income,93800000,2011-08-28,2012-07-20,10-K
69,CAG,"Conagra Brands, Inc.",net_income,180200000,2011-11-27,2012-07-20,10-K
70,CAG,"Conagra Brands, Inc.",net_income,180200000,2011-11-27,2013-07-19,10-K
71,CAG,"Conagra Brands, Inc.",net_income,280100000,2012-02-26,2012-07-20,10-K
72,CAG,"Conagra Brands, Inc.",net_income,280100000,2012-02-26,2013-07-19,10-K
73,CAG,"Conagra Brands, Inc.",net_income,467900000,2012-05-27,2012-07-20,10-K
74,CAG,"Conagra Brands, Inc.",net_income,467900000,2012-05-27,2013-07-19,10-K
75,CAG,"Conagra Brands, Inc.",net_income,467900000,2012-05-27,2014-07-16,10-K
76,CAG,"Conagra Brands, Inc.",net_income,-86200000,2012-05-27,2012-07-20,10-K
77,CAG,"Conagra Brands, Inc.",net_income,-86200000,2012-05-27,2013-07-19,10-K
