,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
98,CBRE,"CBRE GROUP, INC.",2025-12-31,10-K,2026-02-12,1864000000.0,,1157000000.0,1753000000.0,40550000000.0,39900000000.0,295731478.0,8878000000.0,30877000000.0,21251000000.0
96,CBRE,"CBRE GROUP, INC.",2024-12-31,10-K,2025-02-14,1114000000.0,,968000000.0,1413000000.0,35767000000.0,35103000000.0,302052229.0,8411000000.0,24383000000.0,15191000000.0
97,CBRE,"CBRE GROUP, INC.",2024-12-31,10-K,2026-02-12,1114000000.0,,968000000.0,1413000000.0,35767000000.0,35181000000.0,302052229.0,8411000000.0,24383000000.0,15191000000.0
93,CBRE,"CBRE GROUP, INC.",2023-12-31,10-K,2024-02-20,1265000000.0,,986000000.0,1117000000.0,31949000000.0,31404000000.0,304889140.0,8267000000.0,22548000000.0,13481000000.0
94,CBRE,"CBRE GROUP, INC.",2023-12-31,10-K,2025-02-14,1265000000.0,,986000000.0,1117000000.0,31949000000.0,31404000000.0,304889140.0,8267000000.0,22548000000.0,13481000000.0
95,CBRE,"CBRE GROUP, INC.",2023-12-31,10-K,2026-02-12,,,986000000.0,1117000000.0,31949000000.0,31505000000.0,,,,
90,CBRE,"CBRE GROUP, INC.",2022-12-31,10-K,2023-02-27,1318290000.0,,1407370000.0,1511915000.0,30828246000.0,30173752000.0,311014160.0,7853273000.0,20513389000.0,11907657000.0
91,CBRE,"CBRE GROUP, INC.",2022-12-31,10-K,2024-02-20,1318000000.0,,1407000000.0,1512000000.0,30828000000.0,30174000000.0,311014160.0,7853000000.0,20513000000.0,11907000000.0
92,CBRE,"CBRE GROUP, INC.",2022-12-31,10-K,2025-02-14,,,1407000000.0,1512000000.0,30828000000.0,30174000000.0,,,,
87,CBRE,"CBRE GROUP, INC.",2021-12-31,10-K,2022-03-01,2430951000.0,,1836574000.0,1637467000.0,27746036000.0,26950366000.0,332875959.0,8528193000.0,22073491000.0,12714374000.0
88,CBRE,"CBRE GROUP, INC.",2021-12-31,10-K,2023-02-27,2430951000.0,,1836574000.0,1637467000.0,27746036000.0,26950366000.0,332875959.0,8528193000.0,22073491000.0,12714374000.0
89,CBRE,"CBRE GROUP, INC.",2021-12-31,10-K,2024-02-20,,,1837000000.0,1637000000.0,27746000000.0,26950000000.0,,,,
86,CBRE,"CBRE GROUP, INC.",2021-12-10,10-K,2022-03-01,,,,,,,22000000.0,,,
83,CBRE,"CBRE GROUP, INC.",2020-12-31,10-K,2021-02-24,1896188000.0,,313765000.0,443896000.0,6910501000.0,23170119000.0,335561345.0,7078326000.0,18039143000.0,10533483000.0
84,CBRE,"CBRE GROUP, INC.",2020-12-31,10-K,2022-03-01,1896188000.0,,751989000.0,969759000.0,23826195000.0,23170119000.0,335561345.0,7078326000.0,18039143000.0,10533483000.0
85,CBRE,"CBRE GROUP, INC.",2020-12-31,10-K,2023-02-27,,,751989000.0,969759000.0,23826195000.0,23170119000.0,,,,
82,CBRE,"CBRE GROUP, INC.",2020-09-30,10-K,2021-02-24,,,184132000.0,211408000.0,5645142000.0,,,,,
81,CBRE,"CBRE GROUP, INC.",2020-06-30,10-K,2021-02-24,,,81897000.0,94165000.0,5381384000.0,,,,,
80,CBRE,"CBRE GROUP, INC.",2020-03-31,10-K,2021-02-24,,,172195000.0,220290000.0,5889168000.0,,,,,
77,CBRE,"CBRE GROUP, INC.",2019-12-31,10-K,2020-03-02,971781000.0,,1282357000.0,1259875000.0,23894091000.0,23274086000.0,334752283.0,6232693000.0,16197196000.0,9924084000.0
78,CBRE,"CBRE GROUP, INC.",2019-12-31,10-K,2021-02-24,971781000.0,,637618000.0,513841000.0,7119407000.0,23274086000.0,334752283.0,6232693000.0,16197196000.0,9924084000.0
