,ticker,company,concept,value,end_date,filed,form
0,CCI,Crown Castle Inc,revenue,3921000000,2016-12-31,2019-02-25,10-K
1,CCI,Crown Castle Inc,revenue,1016000000,2017-03-31,2019-02-25,10-K
2,CCI,Crown Castle Inc,revenue,1038000000,2017-06-30,2019-02-25,10-K
3,CCI,Crown Castle Inc,revenue,1063000000,2017-09-30,2019-02-25,10-K
4,CCI,Crown Castle Inc,revenue,4356000000,2017-12-31,2019-02-25,10-K
5,CCI,Crown Castle Inc,revenue,4255000000,2017-12-31,2020-03-10,10-K
6,CCI,Crown Castle Inc,revenue,1238000000,2017-12-31,2019-02-25,10-K
7,CCI,Crown Castle Inc,revenue,1299000000,2018-03-31,2019-02-25,10-K
8,CCI,Crown Castle Inc,revenue,1284000000,2018-03-31,2020-03-10,10-K
9,CCI,Crown Castle Inc,revenue,2604000000,2018-06-30,2020-03-10,10-K
10,CCI,Crown Castle Inc,revenue,1330000000,2018-06-30,2019-02-25,10-K
11,CCI,Crown Castle Inc,revenue,1319000000,2018-06-30,2020-03-10,10-K
12,CCI,Crown Castle Inc,revenue,3964000000,2018-09-30,2020-03-10,10-K
13,CCI,Crown Castle Inc,revenue,1375000000,2018-09-30,2019-02-25,10-K
14,CCI,Crown Castle Inc,revenue,1361000000,2018-09-30,2020-03-10,10-K
15,CCI,Crown Castle Inc,revenue,5423000000,2018-12-31,2019-02-25,10-K
16,CCI,Crown Castle Inc,revenue,5370000000,2018-12-31,2020-03-10,10-K
17,CCI,Crown Castle Inc,revenue,5370000000,2018-12-31,2021-02-22,10-K
18,CCI,Crown Castle Inc,revenue,1419000000,2018-12-31,2019-02-25,10-K
19,CCI,Crown Castle Inc,revenue,1406000000,2018-12-31,2020-03-10,10-K
20,CCI,Crown Castle Inc,revenue,1408000000,2019-03-31,2020-03-10,10-K
21,CCI,Crown Castle Inc,revenue,2855000000,2019-06-30,2020-03-10,10-K
22,CCI,Crown Castle Inc,revenue,1447000000,2019-06-30,2020-03-10,10-K
23,CCI,Crown Castle Inc,revenue,4337000000,2019-09-30,2020-03-10,10-K
24,CCI,Crown Castle Inc,revenue,1482000000,2019-09-30,2020-03-10,10-K
25,CCI,Crown Castle Inc,revenue,5763000000,2019-12-31,2020-03-10,10-K
26,CCI,Crown Castle Inc,revenue,5763000000,2019-12-31,2021-02-22,10-K
27,CCI,Crown Castle Inc,revenue,5763000000,2019-12-31,2022-02-22,10-K
28,CCI,Crown Castle Inc,revenue,1426000000,2019-12-31,2020-03-10,10-K
29,CCI,Crown Castle Inc,revenue,5840000000,2020-12-31,2021-02-22,10-K
30,CCI,Crown Castle Inc,revenue,5840000000,2020-12-31,2022-02-22,10-K
31,CCI,Crown Castle Inc,revenue,5840000000,2020-12-31,2023-02-24,10-K
32,CCI,Crown Castle Inc,revenue,6340000000,2021-12-31,2022-02-22,10-K
33,CCI,Crown Castle Inc,revenue,6340000000,2021-12-31,2023-02-24,10-K
34,CCI,Crown Castle Inc,revenue,6340000000,2021-12-31,2024-02-23,10-K
35,CCI,Crown Castle Inc,revenue,6986000000,2022-12-31,2023-02-24,10-K
36,CCI,Crown Castle Inc,revenue,6986000000,2022-12-31,2024-02-23,10-K
37,CCI,Crown Castle Inc,revenue,6986000000,2022-12-31,2025-03-14,10-K
38,CCI,Crown Castle Inc,revenue,6981000000,2023-12-31,2024-02-23,10-K
39,CCI,Crown Castle Inc,revenue,6981000000,2023-12-31,2025-03-14,10-K
40,CCI,Crown Castle Inc,revenue,4734000000,2023-12-31,2026-02-23,10-K
41,CCI,Crown Castle Inc,revenue,6568000000,2024-12-31,2025-03-14,10-K
42,CCI,Crown Castle Inc,revenue,4460000000,2024-12-31,2026-02-23,10-K
43,CCI,Crown Castle Inc,revenue,4264000000,2025-12-31,2026-02-23,10-K
44,CCI,Crown Castle Inc,revenue_alt,688000000,2016-12-31,2019-02-25,10-K
45,CCI,Crown Castle Inc,revenue_alt,687000000,2017-12-31,2019-02-25,10-K
46,CCI,Crown Castle Inc,revenue_alt,521000000,2017-12-31,2020-03-10,10-K
47,CCI,Crown Castle Inc,revenue_alt,113000000,2018-03-31,2020-03-10,10-K
48,CCI,Crown Castle Inc,revenue_alt,244000000,2018-06-30,2020-03-10,10-K
49,CCI,Crown Castle Inc,revenue_alt,131000000,2018-06-30,2020-03-10,10-K
50,CCI,Crown Castle Inc,revenue_alt,399000000,2018-09-30,2020-03-10,10-K
51,CCI,Crown Castle Inc,revenue_alt,156000000,2018-09-30,2020-03-10,10-K
52,CCI,Crown Castle Inc,revenue_alt,707000000,2018-12-31,2019-02-25,10-K
53,CCI,Crown Castle Inc,revenue_alt,574000000,2018-12-31,2020-03-10,10-K
54,CCI,Crown Castle Inc,revenue_alt,574000000,2018-12-31,2021-02-22,10-K
55,CCI,Crown Castle Inc,revenue_alt,175000000,2018-12-31,2020-03-10,10-K
56,CCI,Crown Castle Inc,revenue_alt,166000000,2019-03-31,2020-03-10,10-K
57,CCI,Crown Castle Inc,revenue_alt,350000000,2019-06-30,2020-03-10,10-K
58,CCI,Crown Castle Inc,revenue_alt,184000000,2019-06-30,2020-03-10,10-K
59,CCI,Crown Castle Inc,revenue_alt,544000000,2019-09-30,2020-03-10,10-K
60,CCI,Crown Castle Inc,revenue_alt,195000000,2019-09-30,2020-03-10,10-K
61,CCI,Crown Castle Inc,revenue_alt,670000000,2019-12-31,2020-03-10,10-K
62,CCI,Crown Castle Inc,revenue_alt,670000000,2019-12-31,2021-02-22,10-K
63,CCI,Crown Castle Inc,revenue_alt,670000000,2019-12-31,2022-02-22,10-K
64,CCI,Crown Castle Inc,revenue_alt,520000000,2020-12-31,2021-02-22,10-K
65,CCI,Crown Castle Inc,revenue_alt,520000000,2020-12-31,2022-02-22,10-K
66,CCI,Crown Castle Inc,revenue_alt,520000000,2020-12-31,2023-02-24,10-K
67,CCI,Crown Castle Inc,revenue_alt,621000000,2021-12-31,2022-02-22,10-K
68,CCI,Crown Castle Inc,revenue_alt,621000000,2021-12-31,2023-02-24,10-K
69,CCI,Crown Castle Inc,revenue_alt,621000000,2021-12-31,2024-02-23,10-K
70,CCI,Crown Castle Inc,revenue_alt,697000000,2022-12-31,2023-02-24,10-K
71,CCI,Crown Castle Inc,revenue_alt,697000000,2022-12-31,2024-02-23,10-K
72,CCI,Crown Castle Inc,revenue_alt,697000000,2022-12-31,2025-03-14,10-K
73,CCI,Crown Castle Inc,revenue_alt,449000000,2023-12-31,2024-02-23,10-K
74,CCI,Crown Castle Inc,revenue_alt,449000000,2023-12-31,2025-03-14,10-K
75,CCI,Crown Castle Inc,revenue_alt,421000000,2023-12-31,2026-02-23,10-K
76,CCI,Crown Castle Inc,revenue_alt,210000000,2024-12-31,2025-03-14,10-K
77,CCI,Crown Castle Inc,revenue_alt,192000000,2024-12-31,2026-02-23,10-K
78,CCI,Crown Castle Inc,revenue_alt,215000000,2025-12-31,2026-02-23,10-K
79,CCI,Crown Castle Inc,net_income,-222813000,2007-12-31,2010-02-16,10-K
80,CCI,Crown Castle Inc,net_income,-48858000,2008-12-31,2010-02-16,10-K
81,CCI,Crown Castle Inc,net_income,-114332000,2009-12-31,2010-02-16,10-K
82,CCI,Crown Castle Inc,net_income,-114332000,2009-12-31,2012-02-13,10-K
83,CCI,Crown Castle Inc,net_income,-119275000,2010-03-31,2012-02-13,10-K
84,CCI,Crown Castle Inc,net_income,-97529000,2010-06-30,2012-02-13,10-K
85,CCI,Crown Castle Inc,net_income,-135009000,2010-09-30,2012-02-13,10-K
86,CCI,Crown Castle Inc,net_income,-310940000,2010-12-31,2012-02-13,10-K
87,CCI,Crown Castle Inc,net_income,-310940000,2010-12-31,2013-02-12,10-K
88,CCI,Crown Castle Inc,net_income,40873000,2010-12-31,2012-02-13,10-K
89,CCI,Crown Castle Inc,net_income,40017000,2011-03-31,2012-02-13,10-K
90,CCI,Crown Castle Inc,net_income,40017000,2011-03-31,2013-02-12,10-K
91,CCI,Crown Castle Inc,net_income,30871000,2011-06-30,2012-02-13,10-K
92,CCI,Crown Castle Inc,net_income,30871000,2011-06-30,2013-02-12,10-K
93,CCI,Crown Castle Inc,net_income,51278000,2011-09-30,2012-02-13,10-K
94,CCI,Crown Castle Inc,net_income,51278000,2011-09-30,2013-02-12,10-K
95,CCI,Crown Castle Inc,net_income,171077000,2011-12-31,2012-02-13,10-K
96,CCI,Crown Castle Inc,net_income,171077000,2011-12-31,2013-02-12,10-K
97,CCI,Crown Castle Inc,net_income,171077000,2011-12-31,2014-02-24,10-K
98,CCI,Crown Castle Inc,net_income,48911000,2011-12-31,2012-02-13,10-K
99,CCI,Crown Castle Inc,net_income,48911000,2011-12-31,2013-02-12,10-K
100,CCI,Crown Castle Inc,net_income,50031000,2012-03-31,2013-02-12,10-K
101,CCI,Crown Castle Inc,net_income,50031000,2012-03-31,2014-02-24,10-K
102,CCI,Crown Castle Inc,net_income,116013000,2012-06-30,2013-02-12,10-K
103,CCI,Crown Castle Inc,net_income,116013000,2012-06-30,2014-02-24,10-K
104,CCI,Crown Castle Inc,net_income,42045000,2012-09-30,2013-02-12,10-K
105,CCI,Crown Castle Inc,net_income,42045000,2012-09-30,2014-02-24,10-K
