,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
67,CCL,Carnival Corporation,2025-11-30,10-K,2026-01-27,1928000000.0,27383000000.0,2760000000.0,4483000000.0,,26622000000.0,12284000000.0,51687000000.0
65,CCL,Carnival Corporation,2024-11-30,10-K,2025-01-27,1210000000.0,28213000000.0,1916000000.0,3574000000.0,,25021000000.0,9251000000.0,49057000000.0
66,CCL,Carnival Corporation,2024-11-30,10-K,2026-01-27,1210000000.0,,1916000000.0,3574000000.0,,25021000000.0,9251000000.0,49057000000.0
62,CCL,Carnival Corporation,2023-11-30,10-K,2024-01-26,2415000000.0,31339000000.0,-74000000.0,1956000000.0,,21593000000.0,6882000000.0,49120000000.0
63,CCL,Carnival Corporation,2023-11-30,10-K,2025-01-27,2415000000.0,,-74000000.0,1956000000.0,,21593000000.0,6882000000.0,49120000000.0
64,CCL,Carnival Corporation,2023-11-30,10-K,2026-01-27,2415000000.0,,-74000000.0,1956000000.0,,21593000000.0,6882000000.0,49120000000.0
58,CCL,Carnival Corporation,2022-11-30,10-K,2023-01-27,4029000000.0,35615000000.0,-6093000000.0,-4379000000.0,,12168000000.0,7065000000.0,51703000000.0
59,CCL,Carnival Corporation,2022-11-30,10-K,2024-01-26,4029000000.0,,-6093000000.0,-4379000000.0,,12168000000.0,7065000000.0,51703000000.0
60,CCL,Carnival Corporation,2022-11-30,10-K,2025-01-27,4029000000.0,,-6093000000.0,-4379000000.0,,12168000000.0,7065000000.0,51703000000.0
61,CCL,Carnival Corporation,2022-11-30,10-K,2026-01-27,,,,,,,7065000000.0,
54,CCL,Carnival Corporation,2021-11-30,10-K,2022-01-27,8939000000.0,,-9501000000.0,-7089000000.0,,1908000000.0,12144000000.0,53344000000.0
55,CCL,Carnival Corporation,2021-11-30,10-K,2023-01-27,8939000000.0,,-9501000000.0,-7089000000.0,,1908000000.0,12144000000.0,53344000000.0
56,CCL,Carnival Corporation,2021-11-30,10-K,2024-01-26,8939000000.0,,-9501000000.0,-7089000000.0,,1908000000.0,12144000000.0,53344000000.0
57,CCL,Carnival Corporation,2021-11-30,10-K,2025-01-27,,,,,,,12144000000.0,
50,CCL,Carnival Corporation,2020-11-30,10-K,2021-01-26,9513000000.0,,-10236000000.0,-8865000000.0,,5595000000.0,20555000000.0,53593000000.0
51,CCL,Carnival Corporation,2020-11-30,10-K,2022-01-27,9513000000.0,,-10236000000.0,-8865000000.0,,5595000000.0,20555000000.0,53593000000.0
52,CCL,Carnival Corporation,2020-11-30,10-K,2023-01-27,,,-10236000000.0,-8865000000.0,,5595000000.0,20555000000.0,53593000000.0
53,CCL,Carnival Corporation,2020-11-30,10-K,2024-01-26,,,,,,,20555000000.0,
46,CCL,Carnival Corporation,2019-11-30,10-K,2020-01-28,518000000.0,,2990000000.0,3276000000.0,,20825000000.0,25365000000.0,45058000000.0
47,CCL,Carnival Corporation,2019-11-30,10-K,2021-01-26,518000000.0,,2990000000.0,3276000000.0,,20825000000.0,25365000000.0,45058000000.0
48,CCL,Carnival Corporation,2019-11-30,10-K,2022-01-27,,,2990000000.0,3276000000.0,,20825000000.0,25365000000.0,45058000000.0
49,CCL,Carnival Corporation,2019-11-30,10-K,2023-01-27,,,,,,,25365000000.0,
42,CCL,Carnival Corporation,2018-11-30,10-K,2019-01-28,982000000.0,,3152000000.0,3325000000.0,18881000000.0,,24443000000.0,42401000000.0
43,CCL,Carnival Corporation,2018-11-30,10-K,2020-01-28,982000000.0,,3152000000.0,3325000000.0,,18881000000.0,24443000000.0,42401000000.0
44,CCL,Carnival Corporation,2018-11-30,10-K,2021-01-26,,,3152000000.0,3325000000.0,,18881000000.0,24443000000.0,42401000000.0
45,CCL,Carnival Corporation,2018-11-30,10-K,2022-01-27,,,,,,,24443000000.0,
38,CCL,Carnival Corporation,2017-11-30,10-K,2018-01-29,395000000.0,,2606000000.0,2809000000.0,17510000000.0,,24216000000.0,40778000000.0
39,CCL,Carnival Corporation,2017-11-30,10-K,2019-01-28,395000000.0,,2606000000.0,2809000000.0,17510000000.0,,24216000000.0,40778000000.0
40,CCL,Carnival Corporation,2017-11-30,10-K,2020-01-28,,,2606000000.0,2809000000.0,,17510000000.0,24216000000.0,40778000000.0
