,ticker,company,concept,value,end_date,filed,form
0,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,3685000000,2016-12-31,2019-02-22,10-K
1,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1037000000,2017-03-31,2019-02-22,10-K
2,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1124000000,2017-06-30,2019-02-22,10-K
3,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,870000000,2017-09-30,2019-02-22,10-K
4,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4130000000,2017-12-31,2019-02-22,10-K
5,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4130000000,2017-12-31,2020-02-24,10-K
6,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1099000000,2017-12-31,2019-02-22,10-K
7,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,957000000,2018-03-31,2019-02-22,10-K
8,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,957000000,2018-03-31,2020-02-24,10-K
9,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1300000000,2018-06-30,2019-02-22,10-K
10,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1300000000,2018-06-30,2020-02-24,10-K
11,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1040000000,2018-09-30,2019-02-22,10-K
12,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1040000000,2018-09-30,2020-02-24,10-K
13,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4429000000,2018-12-31,2019-02-22,10-K
14,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4429000000,2018-12-31,2020-02-24,10-K
15,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4429000000,2018-12-31,2021-02-24,10-K
16,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1132000000,2018-12-31,2019-02-22,10-K
17,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1132000000,2018-12-31,2020-02-24,10-K
18,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1001000000,2019-03-31,2020-02-24,10-K
19,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1502000000,2019-06-30,2020-02-24,10-K
20,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1038000000,2019-09-30,2020-02-24,10-K
21,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4590000000,2019-12-31,2020-02-24,10-K
22,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4590000000,2019-12-31,2021-02-24,10-K
23,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4590000000,2019-12-31,2022-02-24,10-K
24,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,1049000000,2019-12-31,2020-02-24,10-K
25,CF,"CF INDUSTRIES HOLDINGS, INC.",revenue,4124000000,2020-12-31,2021-02-24,10-K
