,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
132,CHD,"CHURCH & DWIGHT CO., INC.",2025-12-31,10-K,2026-02-12,409000000.0,2205100000.0,736800000.0,1077600000.0,6203200000.0,4002200000.0,8912400000.0,4910200000.0
130,CHD,"CHURCH & DWIGHT CO., INC.",2024-12-31,10-K,2025-02-13,964100000.0,2204600000.0,585300000.0,807100000.0,6107100000.0,4360800000.0,8883100000.0,4522300000.0
131,CHD,"CHURCH & DWIGHT CO., INC.",2024-12-31,10-K,2026-02-12,964100000.0,2204600000.0,585300000.0,807100000.0,6107100000.0,4360800000.0,8883100000.0,4522300000.0
127,CHD,"CHURCH & DWIGHT CO., INC.",2023-12-31,10-K,2024-02-15,344500000.0,2402100000.0,755600000.0,1057400000.0,5867900000.0,3855400000.0,8569200000.0,4713800000.0
128,CHD,"CHURCH & DWIGHT CO., INC.",2023-12-31,10-K,2025-02-13,344500000.0,2402100000.0,755600000.0,1057400000.0,5867900000.0,3855400000.0,8569200000.0,4713800000.0
129,CHD,"CHURCH & DWIGHT CO., INC.",2023-12-31,10-K,2026-02-12,,,755600000.0,1057400000.0,5867900000.0,3855400000.0,,
123,CHD,"CHURCH & DWIGHT CO., INC.",2022-12-31,10-K,2023-02-16,270300000.0,2599500000.0,413900000.0,597800000.0,5375600000.0,3489900000.0,8345600000.0,4855700000.0
124,CHD,"CHURCH & DWIGHT CO., INC.",2022-12-31,10-K,2024-02-15,270300000.0,2599500000.0,413900000.0,597800000.0,5375600000.0,3489900000.0,8345600000.0,4855700000.0
125,CHD,"CHURCH & DWIGHT CO., INC.",2022-12-31,10-K,2025-02-13,,,413900000.0,597800000.0,5375600000.0,3489900000.0,,
126,CHD,"CHURCH & DWIGHT CO., INC.",2022-12-31,10-K,2026-02-12,,,,,,3489900000.0,,
119,CHD,"CHURCH & DWIGHT CO., INC.",2021-12-31,10-K,2022-02-17,240600000.0,2310100000.0,827500000.0,1079100000.0,5190100000.0,3233200000.0,7996500000.0,4763300000.0
120,CHD,"CHURCH & DWIGHT CO., INC.",2021-12-31,10-K,2023-02-16,240600000.0,2310100000.0,827500000.0,1079100000.0,5190100000.0,3233200000.0,7996500000.0,4763300000.0
121,CHD,"CHURCH & DWIGHT CO., INC.",2021-12-31,10-K,2024-02-15,,,827500000.0,1079100000.0,5190100000.0,3233200000.0,7996500000.0,
122,CHD,"CHURCH & DWIGHT CO., INC.",2021-12-31,10-K,2025-02-13,,,,,,3233200000.0,,
115,CHD,"CHURCH & DWIGHT CO., INC.",2020-12-31,10-K,2021-02-18,183100000.0,,785900000.0,190600000.0,1295300000.0,3020400000.0,7414500000.0,4394100000.0
116,CHD,"CHURCH & DWIGHT CO., INC.",2020-12-31,10-K,2022-02-17,183100000.0,1812500000.0,785900000.0,1029700000.0,4895800000.0,3020400000.0,7414500000.0,4394100000.0
117,CHD,"CHURCH & DWIGHT CO., INC.",2020-12-31,10-K,2023-02-16,,,785900000.0,1029700000.0,4895800000.0,3020400000.0,7414500000.0,
118,CHD,"CHURCH & DWIGHT CO., INC.",2020-12-31,10-K,2024-02-15,,,,,,3020400000.0,,
114,CHD,"CHURCH & DWIGHT CO., INC.",2020-09-30,10-K,2021-02-18,,,,273800000.0,1241000000.0,,,
113,CHD,"CHURCH & DWIGHT CO., INC.",2020-06-30,10-K,2021-02-18,,,,250700000.0,1194300000.0,,,
112,CHD,"CHURCH & DWIGHT CO., INC.",2020-03-31,10-K,2021-02-18,,,,314600000.0,1165200000.0,,,
108,CHD,"CHURCH & DWIGHT CO., INC.",2019-12-31,10-K,2020-02-18,155700000.0,1810200000.0,615900000.0,195200000.0,1144200000.0,2667800000.0,6657400000.0,3989600000.0
109,CHD,"CHURCH & DWIGHT CO., INC.",2019-12-31,10-K,2021-02-18,155700000.0,,615900000.0,195200000.0,1144200000.0,2667800000.0,6657400000.0,3989600000.0
110,CHD,"CHURCH & DWIGHT CO., INC.",2019-12-31,10-K,2022-02-17,,,615900000.0,840200000.0,4357700000.0,2667800000.0,6657400000.0,
