,ticker,company,concept,value,end_date,filed,form
0,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,7316223000,2007-12-31,2010-03-01,10-K
1,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,8578614000,2008-12-31,2010-03-01,10-K
2,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,8578614000,2008-12-31,2011-03-01,10-K
3,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,1688000000,2009-03-31,2011-03-01,10-K
4,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,1926020000,2009-06-30,2011-03-01,10-K
5,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,1954803000,2009-09-30,2011-03-01,10-K
6,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,7577189000,2009-12-31,2010-03-01,10-K
7,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,7577189000,2009-12-31,2011-03-01,10-K
8,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,7577189000,2009-12-31,2012-02-29,10-K
9,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2008366000,2009-12-31,2011-03-01,10-K
10,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2074617000,2010-03-31,2011-03-01,10-K
11,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2074617000,2010-03-31,2012-02-29,10-K
12,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2453982000,2010-06-30,2011-03-01,10-K
13,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2453982000,2010-06-30,2012-02-29,10-K
14,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2420357000,2010-09-30,2011-03-01,10-K
15,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2420357000,2010-09-30,2012-02-29,10-K
16,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,9274305000,2010-12-31,2011-03-01,10-K
17,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,9274305000,2010-12-31,2012-02-29,10-K
18,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,9274305000,2010-12-31,2013-03-01,10-K
19,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2325349000,2010-12-31,2011-03-01,10-K
20,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2325349000,2010-12-31,2012-02-29,10-K
21,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2365472000,2011-03-31,2012-02-29,10-K
22,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2365472000,2011-03-31,2013-03-01,10-K
23,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2707662000,2011-06-30,2012-02-29,10-K
24,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2707662000,2011-06-30,2013-03-01,10-K
25,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2694928000,2011-09-30,2012-02-29,10-K
26,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2694928000,2011-09-30,2013-03-01,10-K
27,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,10336346000,2011-12-31,2012-02-29,10-K
28,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,10336346000,2011-12-31,2013-03-01,10-K
29,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,10336346000,2011-12-31,2014-03-03,10-K
30,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2568284000,2011-12-31,2012-02-29,10-K
31,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2568284000,2011-12-31,2013-03-01,10-K
32,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2552114000,2012-03-31,2013-03-01,10-K
33,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2552114000,2012-03-31,2014-03-03,10-K
34,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",revenue,2955714000,2012-06-30,2013-03-01,10-K
