,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,stockholders_equity,total_assets
101,CHTR,"Charter Communications, Inc.",2025-12-31,10-K,2026-01-30,477000000.0,94756000000.0,4987000000.0,12908000000.0,54774000000.0,16054000000.0,154213000000.0
99,CHTR,"Charter Communications, Inc.",2024-12-31,10-K,2025-01-31,459000000.0,93933000000.0,5083000000.0,13118000000.0,55085000000.0,15587000000.0,150020000000.0
100,CHTR,"Charter Communications, Inc.",2024-12-31,10-K,2026-01-30,459000000.0,93933000000.0,5083000000.0,13118000000.0,55085000000.0,15587000000.0,150020000000.0
96,CHTR,"Charter Communications, Inc.",2023-12-31,10-K,2024-02-02,709000000.0,97777000000.0,4557000000.0,12559000000.0,54607000000.0,11086000000.0,147193000000.0
97,CHTR,"Charter Communications, Inc.",2023-12-31,10-K,2025-01-31,709000000.0,97777000000.0,4557000000.0,12559000000.0,54607000000.0,11086000000.0,147193000000.0
98,CHTR,"Charter Communications, Inc.",2023-12-31,10-K,2026-01-30,,,4557000000.0,12559000000.0,54607000000.0,,
93,CHTR,"Charter Communications, Inc.",2022-12-31,10-K,2023-01-27,645000000.0,97603000000.0,5055000000.0,11962000000.0,54022000000.0,9119000000.0,144523000000.0
94,CHTR,"Charter Communications, Inc.",2022-12-31,10-K,2024-02-02,645000000.0,97603000000.0,5055000000.0,11962000000.0,54022000000.0,9119000000.0,144523000000.0
95,CHTR,"Charter Communications, Inc.",2022-12-31,10-K,2025-01-31,,,5055000000.0,11962000000.0,54022000000.0,,
90,CHTR,"Charter Communications, Inc.",2021-12-31,10-K,2022-01-28,601000000.0,91561000000.0,4654000000.0,10526000000.0,51682000000.0,14050000000.0,142491000000.0
91,CHTR,"Charter Communications, Inc.",2021-12-31,10-K,2023-01-27,601000000.0,91561000000.0,4654000000.0,10526000000.0,51682000000.0,14050000000.0,142491000000.0
92,CHTR,"Charter Communications, Inc.",2021-12-31,10-K,2024-02-02,,,4654000000.0,10526000000.0,51682000000.0,,
87,CHTR,"Charter Communications, Inc.",2020-12-31,10-K,2021-01-29,998000000.0,82752000000.0,1246000000.0,2462000000.0,12624000000.0,23805000000.0,144206000000.0
88,CHTR,"Charter Communications, Inc.",2020-12-31,10-K,2022-01-28,1001000000.0,82752000000.0,3222000000.0,8405000000.0,48097000000.0,23805000000.0,144206000000.0
89,CHTR,"Charter Communications, Inc.",2020-12-31,10-K,2023-01-27,,,3222000000.0,8405000000.0,48097000000.0,,
86,CHTR,"Charter Communications, Inc.",2020-09-30,10-K,2021-01-29,,,814000000.0,2172000000.0,12039000000.0,,
85,CHTR,"Charter Communications, Inc.",2020-06-30,10-K,2021-01-29,,,766000000.0,1969000000.0,11696000000.0,,
84,CHTR,"Charter Communications, Inc.",2020-03-31,10-K,2021-01-29,,,396000000.0,1802000000.0,11738000000.0,,
81,CHTR,"Charter Communications, Inc.",2019-12-31,10-K,2020-01-31,3483000000.0,79078000000.0,714000000.0,1959000000.0,11761000000.0,31445000000.0,148188000000.0
82,CHTR,"Charter Communications, Inc.",2019-12-31,10-K,2021-01-29,3483000000.0,79078000000.0,714000000.0,1959000000.0,11761000000.0,31445000000.0,148188000000.0
83,CHTR,"Charter Communications, Inc.",2019-12-31,10-K,2022-01-28,,,1668000000.0,6511000000.0,45764000000.0,,
79,CHTR,"Charter Communications, Inc.",2019-09-30,10-K,2020-01-31,,,387000000.0,1586000000.0,11450000000.0,,
80,CHTR,"Charter Communications, Inc.",2019-09-30,10-K,2021-01-29,,,387000000.0,1586000000.0,11450000000.0,,
77,CHTR,"Charter Communications, Inc.",2019-06-30,10-K,2020-01-31,,,314000000.0,1541000000.0,11347000000.0,,
78,CHTR,"Charter Communications, Inc.",2019-06-30,10-K,2021-01-29,,,314000000.0,1541000000.0,11347000000.0,,
75,CHTR,"Charter Communications, Inc.",2019-03-31,10-K,2020-01-31,,,253000000.0,1425000000.0,11206000000.0,,
76,CHTR,"Charter Communications, Inc.",2019-03-31,10-K,2021-01-29,,,253000000.0,1425000000.0,11206000000.0,,
72,CHTR,"Charter Communications, Inc.",2018-12-31,10-K,2019-01-31,551000000.0,72827000000.0,296000000.0,1439000000.0,11231000000.0,36285000000.0,146130000000.0
73,CHTR,"Charter Communications, Inc.",2018-12-31,10-K,2020-01-31,551000000.0,72827000000.0,296000000.0,1439000000.0,11231000000.0,36285000000.0,146130000000.0
74,CHTR,"Charter Communications, Inc.",2018-12-31,10-K,2021-01-29,,,1230000000.0,5221000000.0,43634000000.0,,
70,CHTR,"Charter Communications, Inc.",2018-09-30,10-K,2019-01-31,,,493000000.0,1380000000.0,10892000000.0,,
71,CHTR,"Charter Communications, Inc.",2018-09-30,10-K,2020-01-31,,,493000000.0,1380000000.0,10892000000.0,,
68,CHTR,"Charter Communications, Inc.",2018-06-30,10-K,2019-01-31,,,273000000.0,1360000000.0,10854000000.0,,
69,CHTR,"Charter Communications, Inc.",2018-06-30,10-K,2020-01-31,,,273000000.0,1360000000.0,10854000000.0,,
66,CHTR,"Charter Communications, Inc.",2018-03-31,10-K,2019-01-31,,,168000000.0,1042000000.0,10657000000.0,,
67,CHTR,"Charter Communications, Inc.",2018-03-31,10-K,2020-01-31,,,168000000.0,1042000000.0,10657000000.0,,
63,CHTR,"Charter Communications, Inc.",2017-12-31,10-K,2018-02-02,621000000.0,70231000000.0,9553000000.0,1204000000.0,10602000000.0,39084000000.0,146623000000.0
64,CHTR,"Charter Communications, Inc.",2017-12-31,10-K,2019-01-31,621000000.0,70231000000.0,9553000000.0,1204000000.0,10602000000.0,39084000000.0,146623000000.0
65,CHTR,"Charter Communications, Inc.",2017-12-31,10-K,2020-01-31,,,9895000000.0,4106000000.0,41581000000.0,,
61,CHTR,"Charter Communications, Inc.",2017-09-30,10-K,2018-02-02,,,48000000.0,909000000.0,10458000000.0,,
62,CHTR,"Charter Communications, Inc.",2017-09-30,10-K,2019-01-31,,,48000000.0,909000000.0,10458000000.0,,
59,CHTR,"Charter Communications, Inc.",2017-06-30,10-K,2018-02-02,,,139000000.0,1052000000.0,10357000000.0,,
60,CHTR,"Charter Communications, Inc.",2017-06-30,10-K,2019-01-31,,,139000000.0,1052000000.0,10357000000.0,,
57,CHTR,"Charter Communications, Inc.",2017-03-31,10-K,2018-02-02,,,155000000.0,941000000.0,10164000000.0,,
58,CHTR,"Charter Communications, Inc.",2017-03-31,10-K,2019-01-31,,,155000000.0,941000000.0,10164000000.0,,
54,CHTR,"Charter Communications, Inc.",2016-12-31,10-K,2017-02-16,1535000000.0,61747000000.0,454000000.0,1439000000.0,10275000000.0,40139000000.0,149067000000.0
55,CHTR,"Charter Communications, Inc.",2016-12-31,10-K,2018-02-02,1535000000.0,61747000000.0,454000000.0,1073000000.0,10275000000.0,40139000000.0,149067000000.0
56,CHTR,"Charter Communications, Inc.",2016-12-31,10-K,2019-01-31,,,3522000000.0,2456000000.0,29003000000.0,,
52,CHTR,"Charter Communications, Inc.",2016-09-30,10-K,2017-02-16,,,189000000.0,924000000.0,10037000000.0,,
53,CHTR,"Charter Communications, Inc.",2016-09-30,10-K,2018-02-02,,,189000000.0,911000000.0,10037000000.0,,
50,CHTR,"Charter Communications, Inc.",2016-06-30,10-K,2017-02-16,,,3067000000.0,690000000.0,6161000000.0,,
51,CHTR,"Charter Communications, Inc.",2016-06-30,10-K,2018-02-02,,,3067000000.0,170000000.0,6161000000.0,,
48,CHTR,"Charter Communications, Inc.",2016-03-31,10-K,2017-02-16,,,-188000000.0,302000000.0,2530000000.0,,
49,CHTR,"Charter Communications, Inc.",2016-03-31,10-K,2018-02-02,,,-188000000.0,302000000.0,2530000000.0,,
45,CHTR,"Charter Communications, Inc.",2015-12-31,10-K,2016-02-10,5000000.0,35723000000.0,-271000000.0,323000000.0,2512000000.0,,39316000000.0
46,CHTR,"Charter Communications, Inc.",2015-12-31,10-K,2017-02-16,5000000.0,35723000000.0,-122000000.0,323000000.0,2512000000.0,-46000000.0,39316000000.0
47,CHTR,"Charter Communications, Inc.",2015-12-31,10-K,2018-02-02,5000000.0,,-271000000.0,1114000000.0,9754000000.0,,
43,CHTR,"Charter Communications, Inc.",2015-09-30,10-K,2016-02-10,,,,273000000.0,2450000000.0,,
44,CHTR,"Charter Communications, Inc.",2015-09-30,10-K,2017-02-16,,,54000000.0,273000000.0,2450000000.0,,
41,CHTR,"Charter Communications, Inc.",2015-06-30,10-K,2016-02-10,,,,269000000.0,2430000000.0,,
42,CHTR,"Charter Communications, Inc.",2015-06-30,10-K,2017-02-16,,,-122000000.0,269000000.0,2430000000.0,,
39,CHTR,"Charter Communications, Inc.",2015-03-31,10-K,2016-02-10,,,,249000000.0,2362000000.0,,
40,CHTR,"Charter Communications, Inc.",2015-03-31,10-K,2017-02-16,,,-81000000.0,249000000.0,2362000000.0,,
35,CHTR,"Charter Communications, Inc.",2014-12-31,10-K,2015-02-24,3000000.0,,-183000000.0,277000000.0,2360000000.0,146000000.0,24550000000.0
36,CHTR,"Charter Communications, Inc.",2014-12-31,10-K,2016-02-10,3000000.0,20887000000.0,-183000000.0,277000000.0,2360000000.0,146000000.0,24388000000.0
37,CHTR,"Charter Communications, Inc.",2014-12-31,10-K,2017-02-16,3000000.0,,-183000000.0,971000000.0,9108000000.0,,
38,CHTR,"Charter Communications, Inc.",2014-12-31,10-K,2018-02-02,3000000.0,,,,,,
33,CHTR,"Charter Communications, Inc.",2014-09-30,10-K,2015-02-24,,,,218000000.0,2287000000.0,,
34,CHTR,"Charter Communications, Inc.",2014-09-30,10-K,2016-02-10,,,,218000000.0,2287000000.0,,
31,CHTR,"Charter Communications, Inc.",2014-06-30,10-K,2015-02-24,,,,236000000.0,2259000000.0,,
32,CHTR,"Charter Communications, Inc.",2014-06-30,10-K,2016-02-10,,,,236000000.0,2259000000.0,,
29,CHTR,"Charter Communications, Inc.",2014-03-31,10-K,2015-02-24,,,,240000000.0,2202000000.0,,
30,CHTR,"Charter Communications, Inc.",2014-03-31,10-K,2016-02-10,,,,240000000.0,2202000000.0,,
25,CHTR,"Charter Communications, Inc.",2013-12-31,10-K,2014-02-21,21000000.0,,-169000000.0,246000000.0,2148000000.0,151000000.0,17295000000.0
26,CHTR,"Charter Communications, Inc.",2013-12-31,10-K,2015-02-24,21000000.0,,-169000000.0,244000000.0,2148000000.0,151000000.0,17295000000.0
27,CHTR,"Charter Communications, Inc.",2013-12-31,10-K,2016-02-10,21000000.0,,-169000000.0,909000000.0,8155000000.0,,
28,CHTR,"Charter Communications, Inc.",2013-12-31,10-K,2017-02-16,21000000.0,,,,,,
23,CHTR,"Charter Communications, Inc.",2013-09-30,10-K,2014-02-21,,,,220000000.0,2118000000.0,,
24,CHTR,"Charter Communications, Inc.",2013-09-30,10-K,2015-02-24,,,,209000000.0,2118000000.0,,
21,CHTR,"Charter Communications, Inc.",2013-06-30,10-K,2014-02-21,,,,236000000.0,1972000000.0,,
22,CHTR,"Charter Communications, Inc.",2013-06-30,10-K,2015-02-24,,,,234000000.0,1972000000.0,,
19,CHTR,"Charter Communications, Inc.",2013-03-31,10-K,2014-02-21,,,,223000000.0,1917000000.0,,
20,CHTR,"Charter Communications, Inc.",2013-03-31,10-K,2015-02-24,,,,222000000.0,1917000000.0,,
15,CHTR,"Charter Communications, Inc.",2012-12-31,10-K,2013-02-22,7000000.0,,-304000000.0,206000000.0,1913000000.0,149000000.0,15599000000.0
16,CHTR,"Charter Communications, Inc.",2012-12-31,10-K,2014-02-21,7000000.0,,-304000000.0,206000000.0,1913000000.0,149000000.0,15596000000.0
17,CHTR,"Charter Communications, Inc.",2012-12-31,10-K,2015-02-24,7000000.0,,-304000000.0,915000000.0,7504000000.0,,
18,CHTR,"Charter Communications, Inc.",2012-12-31,10-K,2016-02-10,7000000.0,,,,,,
13,CHTR,"Charter Communications, Inc.",2012-09-30,10-K,2013-02-22,,,,211000000.0,1880000000.0,,
14,CHTR,"Charter Communications, Inc.",2012-09-30,10-K,2014-02-21,,,,211000000.0,1880000000.0,,
11,CHTR,"Charter Communications, Inc.",2012-06-30,10-K,2013-02-22,,,,269000000.0,1884000000.0,,
12,CHTR,"Charter Communications, Inc.",2012-06-30,10-K,2014-02-21,,,,269000000.0,1884000000.0,,
9,CHTR,"Charter Communications, Inc.",2012-03-31,10-K,2013-02-22,,,,230000000.0,1827000000.0,,
10,CHTR,"Charter Communications, Inc.",2012-03-31,10-K,2014-02-21,,,,230000000.0,1827000000.0,,
6,CHTR,"Charter Communications, Inc.",2011-12-31,10-K,2013-02-22,2000000.0,,-369000000.0,265000000.0,1834000000.0,409000000.0,15601000000.0
7,CHTR,"Charter Communications, Inc.",2011-12-31,10-K,2014-02-21,2000000.0,,-369000000.0,1041000000.0,7204000000.0,,
8,CHTR,"Charter Communications, Inc.",2011-12-31,10-K,2015-02-24,2000000.0,,,,,,
5,CHTR,"Charter Communications, Inc.",2011-09-30,10-K,2013-02-22,2000000.0,,,237000000.0,1809000000.0,,
4,CHTR,"Charter Communications, Inc.",2011-06-30,10-K,2013-02-22,,,,270000000.0,1791000000.0,,
3,CHTR,"Charter Communications, Inc.",2011-03-31,10-K,2013-02-22,,,,269000000.0,1770000000.0,,
1,CHTR,"Charter Communications, Inc.",2010-12-31,10-K,2013-02-22,4000000.0,,-237000000.0,1024000000.0,7059000000.0,,
2,CHTR,"Charter Communications, Inc.",2010-12-31,10-K,2014-02-21,4000000.0,,,,,,
0,CHTR,"Charter Communications, Inc.",2009-12-31,10-K,2013-02-22,709000000.0,,,,,,
