,ticker,company,concept,value,end_date,filed,form
0,CHTR,"Charter Communications, Inc.",revenue,7059000000,2010-12-31,2013-02-22,10-K
1,CHTR,"Charter Communications, Inc.",revenue,1770000000,2011-03-31,2013-02-22,10-K
2,CHTR,"Charter Communications, Inc.",revenue,1791000000,2011-06-30,2013-02-22,10-K
3,CHTR,"Charter Communications, Inc.",revenue,1809000000,2011-09-30,2013-02-22,10-K
4,CHTR,"Charter Communications, Inc.",revenue,7204000000,2011-12-31,2013-02-22,10-K
5,CHTR,"Charter Communications, Inc.",revenue,7204000000,2011-12-31,2014-02-21,10-K
6,CHTR,"Charter Communications, Inc.",revenue,1834000000,2011-12-31,2013-02-22,10-K
7,CHTR,"Charter Communications, Inc.",revenue,1827000000,2012-03-31,2013-02-22,10-K
8,CHTR,"Charter Communications, Inc.",revenue,1827000000,2012-03-31,2014-02-21,10-K
9,CHTR,"Charter Communications, Inc.",revenue,1884000000,2012-06-30,2013-02-22,10-K
10,CHTR,"Charter Communications, Inc.",revenue,1884000000,2012-06-30,2014-02-21,10-K
11,CHTR,"Charter Communications, Inc.",revenue,1880000000,2012-09-30,2013-02-22,10-K
12,CHTR,"Charter Communications, Inc.",revenue,1880000000,2012-09-30,2014-02-21,10-K
13,CHTR,"Charter Communications, Inc.",revenue,7504000000,2012-12-31,2013-02-22,10-K
14,CHTR,"Charter Communications, Inc.",revenue,7504000000,2012-12-31,2014-02-21,10-K
15,CHTR,"Charter Communications, Inc.",revenue,7504000000,2012-12-31,2015-02-24,10-K
16,CHTR,"Charter Communications, Inc.",revenue,1913000000,2012-12-31,2013-02-22,10-K
17,CHTR,"Charter Communications, Inc.",revenue,1913000000,2012-12-31,2014-02-21,10-K
18,CHTR,"Charter Communications, Inc.",revenue,1917000000,2013-03-31,2014-02-21,10-K
19,CHTR,"Charter Communications, Inc.",revenue,1917000000,2013-03-31,2015-02-24,10-K
20,CHTR,"Charter Communications, Inc.",revenue,1972000000,2013-06-30,2014-02-21,10-K
21,CHTR,"Charter Communications, Inc.",revenue,1972000000,2013-06-30,2015-02-24,10-K
22,CHTR,"Charter Communications, Inc.",revenue,2118000000,2013-09-30,2014-02-21,10-K
23,CHTR,"Charter Communications, Inc.",revenue,2118000000,2013-09-30,2015-02-24,10-K
24,CHTR,"Charter Communications, Inc.",revenue,8155000000,2013-12-31,2014-02-21,10-K
25,CHTR,"Charter Communications, Inc.",revenue,8155000000,2013-12-31,2015-02-24,10-K
26,CHTR,"Charter Communications, Inc.",revenue,8155000000,2013-12-31,2016-02-10,10-K
