,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
133,CL,COLGATE-PALMOLIVE COMPANY,2025-12-31,10-K,2026-02-23,1288000000.0,7839000000.0,2132000000.0,3306000000.0,,20382000000.0,801239524.0,54000000.0,16330000000.0,15965000000.0
131,CL,COLGATE-PALMOLIVE COMPANY,2024-12-31,10-K,2025-02-13,1096000000.0,7005000000.0,2889000000.0,4268000000.0,,20101000000.0,812574698.0,212000000.0,16046000000.0,15502000000.0
132,CL,COLGATE-PALMOLIVE COMPANY,2024-12-31,10-K,2026-02-23,1096000000.0,,2889000000.0,4268000000.0,,20101000000.0,812574698.0,212000000.0,16046000000.0,15502000000.0
128,CL,COLGATE-PALMOLIVE COMPANY,2023-12-31,10-K,2024-02-15,966000000.0,,2300000000.0,3984000000.0,,19457000000.0,821412769.0,609000000.0,16393000000.0,15436000000.0
129,CL,COLGATE-PALMOLIVE COMPANY,2023-12-31,10-K,2025-02-13,966000000.0,,2300000000.0,3984000000.0,,19457000000.0,821412769.0,609000000.0,16393000000.0,15436000000.0
130,CL,COLGATE-PALMOLIVE COMPANY,2023-12-31,10-K,2026-02-23,,,2300000000.0,3984000000.0,,19457000000.0,821412769.0,,,
124,CL,COLGATE-PALMOLIVE COMPANY,2022-12-31,10-K,2023-02-16,775000000.0,,1785000000.0,2893000000.0,,17967000000.0,830212606.0,401000000.0,15731000000.0,14925000000.0
125,CL,COLGATE-PALMOLIVE COMPANY,2022-12-31,10-K,2024-02-15,775000000.0,,1785000000.0,2893000000.0,,17967000000.0,830212606.0,401000000.0,15731000000.0,14925000000.0
126,CL,COLGATE-PALMOLIVE COMPANY,2022-12-31,10-K,2025-02-13,,,1785000000.0,2893000000.0,,17967000000.0,830212606.0,,,
127,CL,COLGATE-PALMOLIVE COMPANY,2022-12-31,10-K,2026-02-23,,,,,,,830212606.0,,,
120,CL,COLGATE-PALMOLIVE COMPANY,2021-12-31,10-K,2022-02-17,832000000.0,,2166000000.0,3332000000.0,,17421000000.0,840480284.0,609000000.0,15040000000.0,14069000000.0
121,CL,COLGATE-PALMOLIVE COMPANY,2021-12-31,10-K,2023-02-16,832000000.0,,2166000000.0,3332000000.0,,17421000000.0,840480284.0,609000000.0,15040000000.0,14069000000.0
122,CL,COLGATE-PALMOLIVE COMPANY,2021-12-31,10-K,2024-02-15,,,2166000000.0,3332000000.0,,17421000000.0,840480284.0,,,
123,CL,COLGATE-PALMOLIVE COMPANY,2021-12-31,10-K,2025-02-13,,,,,,,840480284.0,,,
116,CL,COLGATE-PALMOLIVE COMPANY,2020-12-31,10-K,2021-02-18,888000000.0,,647000000.0,3885000000.0,,4324000000.0,849893601.0,743000000.0,15920000000.0,14819000000.0
117,CL,COLGATE-PALMOLIVE COMPANY,2020-12-31,10-K,2022-02-17,888000000.0,,2695000000.0,3885000000.0,,16471000000.0,849893601.0,743000000.0,15920000000.0,14819000000.0
118,CL,COLGATE-PALMOLIVE COMPANY,2020-12-31,10-K,2023-02-16,,,2695000000.0,3885000000.0,,16471000000.0,849893601.0,,15920000000.0,
119,CL,COLGATE-PALMOLIVE COMPANY,2020-12-31,10-K,2024-02-15,,,,,,,849893601.0,,,
115,CL,COLGATE-PALMOLIVE COMPANY,2020-09-30,10-K,2021-02-18,,,698000000.0,,,4153000000.0,,,,
114,CL,COLGATE-PALMOLIVE COMPANY,2020-06-30,10-K,2021-02-18,,,635000000.0,,,3897000000.0,,,,
113,CL,COLGATE-PALMOLIVE COMPANY,2020-03-31,10-K,2021-02-18,,,715000000.0,,,4097000000.0,,,,
109,CL,COLGATE-PALMOLIVE COMPANY,2019-12-31,10-K,2020-02-21,883000000.0,,643000000.0,3554000000.0,,4015000000.0,854701779.0,117000000.0,15034000000.0,14476000000.0
110,CL,COLGATE-PALMOLIVE COMPANY,2019-12-31,10-K,2021-02-18,883000000.0,,643000000.0,3554000000.0,,4015000000.0,854701779.0,117000000.0,15034000000.0,14476000000.0
111,CL,COLGATE-PALMOLIVE COMPANY,2019-12-31,10-K,2022-02-17,,,2367000000.0,3554000000.0,,15693000000.0,854701779.0,,15034000000.0,
112,CL,COLGATE-PALMOLIVE COMPANY,2019-12-31,10-K,2023-02-16,,,,,,,854701779.0,,,
107,CL,COLGATE-PALMOLIVE COMPANY,2019-09-30,10-K,2020-02-21,,,578000000.0,,,3928000000.0,,,,
108,CL,COLGATE-PALMOLIVE COMPANY,2019-09-30,10-K,2021-02-18,,,578000000.0,,,3928000000.0,,,,
105,CL,COLGATE-PALMOLIVE COMPANY,2019-06-30,10-K,2020-02-21,,,586000000.0,,,3866000000.0,,,,
106,CL,COLGATE-PALMOLIVE COMPANY,2019-06-30,10-K,2021-02-18,,,586000000.0,,,3866000000.0,,,,
103,CL,COLGATE-PALMOLIVE COMPANY,2019-03-31,10-K,2020-02-21,,,560000000.0,,,3884000000.0,,,,
104,CL,COLGATE-PALMOLIVE COMPANY,2019-03-31,10-K,2021-02-18,,,560000000.0,,,3884000000.0,,,,
99,CL,COLGATE-PALMOLIVE COMPANY,2018-12-31,10-K,2019-02-21,726000000.0,6354000000.0,606000000.0,3694000000.0,,3811000000.0,862912792.0,-102000000.0,12161000000.0,11964000000.0
100,CL,COLGATE-PALMOLIVE COMPANY,2018-12-31,10-K,2020-02-21,726000000.0,,606000000.0,3694000000.0,,3811000000.0,862912792.0,-102000000.0,12161000000.0,11964000000.0
101,CL,COLGATE-PALMOLIVE COMPANY,2018-12-31,10-K,2021-02-18,,,2400000000.0,3694000000.0,,15544000000.0,862912792.0,,12161000000.0,
102,CL,COLGATE-PALMOLIVE COMPANY,2018-12-31,10-K,2022-02-17,,,,,,,862912792.0,,,
97,CL,COLGATE-PALMOLIVE COMPANY,2018-09-30,10-K,2019-02-21,,,523000000.0,,,3845000000.0,,,,
98,CL,COLGATE-PALMOLIVE COMPANY,2018-09-30,10-K,2020-02-21,,,523000000.0,,,3845000000.0,,,,
95,CL,COLGATE-PALMOLIVE COMPANY,2018-06-30,10-K,2019-02-21,,,637000000.0,,,3886000000.0,,,,
96,CL,COLGATE-PALMOLIVE COMPANY,2018-06-30,10-K,2020-02-21,,,637000000.0,,,3886000000.0,,,,
93,CL,COLGATE-PALMOLIVE COMPANY,2018-03-31,10-K,2019-02-21,,,634000000.0,,,4002000000.0,,,,
94,CL,COLGATE-PALMOLIVE COMPANY,2018-03-31,10-K,2020-02-21,,,634000000.0,,,4002000000.0,,,,
89,CL,COLGATE-PALMOLIVE COMPANY,2017-12-31,10-K,2018-02-15,1535000000.0,6566000000.0,323000000.0,3589000000.0,15454000000.0,,874701118.0,-60000000.0,12676000000.0,12433000000.0
90,CL,COLGATE-PALMOLIVE COMPANY,2017-12-31,10-K,2019-02-21,1535000000.0,6566000000.0,323000000.0,3707000000.0,,3892000000.0,874701118.0,-60000000.0,12676000000.0,12433000000.0
91,CL,COLGATE-PALMOLIVE COMPANY,2017-12-31,10-K,2020-02-21,,,2024000000.0,3707000000.0,,15454000000.0,874701118.0,,12676000000.0,
92,CL,COLGATE-PALMOLIVE COMPANY,2017-12-31,10-K,2021-02-18,,,,,,,874701118.0,,,
87,CL,COLGATE-PALMOLIVE COMPANY,2017-09-30,10-K,2018-02-15,,,607000000.0,,,,,,,
88,CL,COLGATE-PALMOLIVE COMPANY,2017-09-30,10-K,2019-02-21,,,607000000.0,,,3974000000.0,,,,
85,CL,COLGATE-PALMOLIVE COMPANY,2017-06-30,10-K,2018-02-15,,,524000000.0,,,,,,,
86,CL,COLGATE-PALMOLIVE COMPANY,2017-06-30,10-K,2019-02-21,,,524000000.0,,,3826000000.0,,,,
83,CL,COLGATE-PALMOLIVE COMPANY,2017-03-31,10-K,2018-02-15,,,570000000.0,,,,,,,
84,CL,COLGATE-PALMOLIVE COMPANY,2017-03-31,10-K,2019-02-21,,,570000000.0,,,3762000000.0,,,,
79,CL,COLGATE-PALMOLIVE COMPANY,2016-12-31,10-K,2017-02-23,1315000000.0,6520000000.0,606000000.0,3837000000.0,15195000000.0,,883108963.0,-243000000.0,12123000000.0,12106000000.0
80,CL,COLGATE-PALMOLIVE COMPANY,2016-12-31,10-K,2018-02-15,1315000000.0,6520000000.0,606000000.0,3837000000.0,15195000000.0,,883108963.0,-243000000.0,12123000000.0,12106000000.0
81,CL,COLGATE-PALMOLIVE COMPANY,2016-12-31,10-K,2019-02-21,1315000000.0,,2441000000.0,3955000000.0,,15195000000.0,883108963.0,,12123000000.0,
82,CL,COLGATE-PALMOLIVE COMPANY,2016-12-31,10-K,2020-02-21,,,,,,,883108963.0,,,
77,CL,COLGATE-PALMOLIVE COMPANY,2016-09-30,10-K,2017-02-23,,,702000000.0,,,,,,,
78,CL,COLGATE-PALMOLIVE COMPANY,2016-09-30,10-K,2018-02-15,,,702000000.0,,,,,,,
75,CL,COLGATE-PALMOLIVE COMPANY,2016-06-30,10-K,2017-02-23,,,600000000.0,,,,,,,
