,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
125,CMCSA,Comcast Corporation,2025-12-31,10-K,2026-02-03,9481000000.0,19998000000.0,20672000000.0,,123707000000.0,96903000000.0,272631000000.0
123,CMCSA,Comcast Corporation,2024-12-31,10-K,2025-01-31,7322000000.0,16192000000.0,23297000000.0,,123731000000.0,85560000000.0,266211000000.0
124,CMCSA,Comcast Corporation,2024-12-31,10-K,2026-02-03,7322000000.0,16192000000.0,23297000000.0,,123731000000.0,85560000000.0,266211000000.0
120,CMCSA,Comcast Corporation,2023-12-31,10-K,2024-01-31,6215000000.0,15388000000.0,23314000000.0,121572000000.0,,82703000000.0,264811000000.0
121,CMCSA,Comcast Corporation,2023-12-31,10-K,2025-01-31,6215000000.0,15388000000.0,23314000000.0,,121572000000.0,82703000000.0,264811000000.0
122,CMCSA,Comcast Corporation,2023-12-31,10-K,2026-02-03,,15388000000.0,23314000000.0,,121572000000.0,,
117,CMCSA,Comcast Corporation,2022-12-31,10-K,2023-02-03,4749000000.0,5370000000.0,14041000000.0,121427000000.0,,80943000000.0,257275000000.0
118,CMCSA,Comcast Corporation,2022-12-31,10-K,2024-01-31,4749000000.0,5370000000.0,14041000000.0,121427000000.0,,80943000000.0,257275000000.0
119,CMCSA,Comcast Corporation,2022-12-31,10-K,2025-01-31,,5370000000.0,14041000000.0,,121427000000.0,,
114,CMCSA,Comcast Corporation,2021-12-31,10-K,2022-02-02,8711000000.0,14159000000.0,20817000000.0,116385000000.0,,96092000000.0,275905000000.0
115,CMCSA,Comcast Corporation,2021-12-31,10-K,2023-02-03,8711000000.0,14159000000.0,20817000000.0,116385000000.0,,96092000000.0,275905000000.0
116,CMCSA,Comcast Corporation,2021-12-31,10-K,2024-01-31,,14159000000.0,20817000000.0,116385000000.0,,,
111,CMCSA,Comcast Corporation,2020-12-31,10-K,2021-02-04,11740000000.0,3380000000.0,3918000000.0,27708000000.0,,90323000000.0,273869000000.0
112,CMCSA,Comcast Corporation,2020-12-31,10-K,2022-02-02,11740000000.0,10534000000.0,17493000000.0,103564000000.0,,90323000000.0,273869000000.0
113,CMCSA,Comcast Corporation,2020-12-31,10-K,2023-02-03,,10534000000.0,17493000000.0,103564000000.0,,,
110,CMCSA,Comcast Corporation,2020-09-30,10-K,2021-02-04,,2019000000.0,4076000000.0,25532000000.0,,,
109,CMCSA,Comcast Corporation,2020-06-30,10-K,2021-02-04,,2988000000.0,4647000000.0,23715000000.0,,,
108,CMCSA,Comcast Corporation,2020-03-31,10-K,2021-02-04,,2147000000.0,4852000000.0,26609000000.0,,,
105,CMCSA,Comcast Corporation,2019-12-31,10-K,2020-01-30,5500000000.0,3162000000.0,5247000000.0,28398000000.0,,82726000000.0,263414000000.0
106,CMCSA,Comcast Corporation,2019-12-31,10-K,2021-02-04,5500000000.0,3162000000.0,5247000000.0,28398000000.0,,82726000000.0,263414000000.0
107,CMCSA,Comcast Corporation,2019-12-31,10-K,2022-02-02,,13057000000.0,21125000000.0,108942000000.0,,,
103,CMCSA,Comcast Corporation,2019-09-30,10-K,2020-01-30,,3217000000.0,5340000000.0,26827000000.0,,,
104,CMCSA,Comcast Corporation,2019-09-30,10-K,2021-02-04,,3217000000.0,5340000000.0,26827000000.0,,,
101,CMCSA,Comcast Corporation,2019-06-30,10-K,2020-01-30,,3125000000.0,5356000000.0,26858000000.0,,,
102,CMCSA,Comcast Corporation,2019-06-30,10-K,2021-02-04,,3125000000.0,5356000000.0,26858000000.0,,,
99,CMCSA,Comcast Corporation,2019-03-31,10-K,2020-01-30,,3553000000.0,5182000000.0,26859000000.0,,,
100,CMCSA,Comcast Corporation,2019-03-31,10-K,2021-02-04,,3553000000.0,5182000000.0,26859000000.0,,,
96,CMCSA,Comcast Corporation,2018-12-31,10-K,2019-01-31,3814000000.0,2511000000.0,4514000000.0,27846000000.0,,71613000000.0,251684000000.0
97,CMCSA,Comcast Corporation,2018-12-31,10-K,2020-01-30,3814000000.0,2511000000.0,4514000000.0,27846000000.0,,71613000000.0,251684000000.0
98,CMCSA,Comcast Corporation,2018-12-31,10-K,2021-02-04,,11731000000.0,19009000000.0,94507000000.0,,,
94,CMCSA,Comcast Corporation,2018-09-30,10-K,2019-01-31,,2886000000.0,4836000000.0,22135000000.0,,,
95,CMCSA,Comcast Corporation,2018-09-30,10-K,2020-01-30,,2886000000.0,4836000000.0,22135000000.0,,,
92,CMCSA,Comcast Corporation,2018-06-30,10-K,2019-01-31,,3216000000.0,5014000000.0,21735000000.0,,,
93,CMCSA,Comcast Corporation,2018-06-30,10-K,2020-01-30,,3216000000.0,5014000000.0,21735000000.0,,,
90,CMCSA,Comcast Corporation,2018-03-31,10-K,2019-01-31,,3118000000.0,4645000000.0,22791000000.0,,,
91,CMCSA,Comcast Corporation,2018-03-31,10-K,2020-01-30,,3118000000.0,4645000000.0,22791000000.0,,,
