,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
109,CNP,"CENTERPOINT ENERGY, INC.",2025-12-31,10-K,2026-02-19,38000000.0,20566000000.0,1052000000.0,2110000000.0,9357000000.0,9337000000.0,652869575.0,11153000000.0,46534000000.0
107,CNP,"CENTERPOINT ENERGY, INC.",2024-12-31,10-K,2025-02-20,24000000.0,20397000000.0,1019000000.0,1990000000.0,8643000000.0,8552000000.0,651727276.0,10666000000.0,43768000000.0
108,CNP,"CENTERPOINT ENERGY, INC.",2024-12-31,10-K,2026-02-19,24000000.0,20397000000.0,1019000000.0,1990000000.0,8643000000.0,8552000000.0,651727276.0,10666000000.0,43768000000.0
104,CNP,"CENTERPOINT ENERGY, INC.",2023-12-31,10-K,2024-02-20,90000000.0,17559000000.0,917000000.0,1760000000.0,8696000000.0,8612000000.0,631225829.0,9667000000.0,39715000000.0
105,CNP,"CENTERPOINT ENERGY, INC.",2023-12-31,10-K,2025-02-20,90000000.0,17559000000.0,917000000.0,1760000000.0,8696000000.0,8612000000.0,631225829.0,9667000000.0,39715000000.0
106,CNP,"CENTERPOINT ENERGY, INC.",2023-12-31,10-K,2026-02-19,,,917000000.0,1760000000.0,8696000000.0,8612000000.0,,9667000000.0,
101,CNP,"CENTERPOINT ENERGY, INC.",2022-12-31,10-K,2023-02-17,74000000.0,14836000000.0,1057000000.0,1566000000.0,9321000000.0,9327000000.0,629535631.0,10042000000.0,38546000000.0
102,CNP,"CENTERPOINT ENERGY, INC.",2022-12-31,10-K,2024-02-20,74000000.0,14836000000.0,1057000000.0,1566000000.0,9321000000.0,9327000000.0,629535631.0,10042000000.0,38546000000.0
103,CNP,"CENTERPOINT ENERGY, INC.",2022-12-31,10-K,2025-02-20,,,1057000000.0,1566000000.0,9321000000.0,9327000000.0,,10042000000.0,
98,CNP,"CENTERPOINT ENERGY, INC.",2021-12-31,10-K,2022-02-22,230000000.0,15558000000.0,1486000000.0,1363000000.0,8352000000.0,8256000000.0,628923534.0,9415000000.0,37679000000.0
99,CNP,"CENTERPOINT ENERGY, INC.",2021-12-31,10-K,2023-02-17,230000000.0,15558000000.0,1486000000.0,1363000000.0,8352000000.0,8256000000.0,628923534.0,9415000000.0,37679000000.0
100,CNP,"CENTERPOINT ENERGY, INC.",2021-12-31,10-K,2024-02-20,,,1486000000.0,1363000000.0,8352000000.0,8256000000.0,,9415000000.0,
95,CNP,"CENTERPOINT ENERGY, INC.",2020-12-31,10-K,2021-02-25,147000000.0,11521000000.0,-773000000.0,1039000000.0,7418000000.0,7350000000.0,551355861.0,8348000000.0,33471000000.0
96,CNP,"CENTERPOINT ENERGY, INC.",2020-12-31,10-K,2022-02-22,147000000.0,11521000000.0,-773000000.0,1039000000.0,7418000000.0,7350000000.0,551355861.0,8348000000.0,33471000000.0
97,CNP,"CENTERPOINT ENERGY, INC.",2020-12-31,10-K,2023-02-17,,,-773000000.0,1039000000.0,7418000000.0,7350000000.0,,8348000000.0,
92,CNP,"CENTERPOINT ENERGY, INC.",2019-12-31,10-K,2020-02-27,241000000.0,14244000000.0,791000000.0,302000000.0,3230000000.0,9151000000.0,502242061.0,8359000000.0,35439000000.0
93,CNP,"CENTERPOINT ENERGY, INC.",2019-12-31,10-K,2021-02-25,241000000.0,14244000000.0,791000000.0,1071000000.0,7564000000.0,7511000000.0,502242061.0,8359000000.0,35529000000.0
94,CNP,"CENTERPOINT ENERGY, INC.",2019-12-31,10-K,2022-02-22,,,791000000.0,1071000000.0,7564000000.0,7511000000.0,,8359000000.0,
91,CNP,"CENTERPOINT ENERGY, INC.",2019-09-30,10-K,2020-02-27,,,,392000000.0,2742000000.0,,,,
90,CNP,"CENTERPOINT ENERGY, INC.",2019-06-30,10-K,2020-02-27,,,,287000000.0,2798000000.0,,,,
89,CNP,"CENTERPOINT ENERGY, INC.",2019-03-31,10-K,2020-02-27,,,,245000000.0,3531000000.0,,,,
86,CNP,"CENTERPOINT ENERGY, INC.",2018-12-31,10-K,2019-02-28,4231000000.0,8682000000.0,368000000.0,167000000.0,3036000000.0,6745000000.0,501197784.0,8058000000.0,27009000000.0
87,CNP,"CENTERPOINT ENERGY, INC.",2018-12-31,10-K,2020-02-27,4231000000.0,8682000000.0,368000000.0,167000000.0,3036000000.0,6745000000.0,501197784.0,8058000000.0,27009000000.0
88,CNP,"CENTERPOINT ENERGY, INC.",2018-12-31,10-K,2021-02-25,,,368000000.0,868000000.0,6277000000.0,6282000000.0,,8058000000.0,27093000000.0
84,CNP,"CENTERPOINT ENERGY, INC.",2018-09-30,10-K,2019-02-28,,,,226000000.0,2212000000.0,,,,
85,CNP,"CENTERPOINT ENERGY, INC.",2018-09-30,10-K,2020-02-27,,,,226000000.0,2212000000.0,,,,
82,CNP,"CENTERPOINT ENERGY, INC.",2018-06-30,10-K,2019-02-28,,,,187000000.0,2186000000.0,,,,
83,CNP,"CENTERPOINT ENERGY, INC.",2018-06-30,10-K,2020-02-27,,,,187000000.0,2186000000.0,,,,
80,CNP,"CENTERPOINT ENERGY, INC.",2018-03-31,10-K,2019-02-28,,,,251000000.0,3155000000.0,,,,
81,CNP,"CENTERPOINT ENERGY, INC.",2018-03-31,10-K,2020-02-27,,,,251000000.0,3155000000.0,,,,
77,CNP,"CENTERPOINT ENERGY, INC.",2017-12-31,10-K,2018-02-22,260000000.0,,1296000000.0,296000000.0,2638000000.0,,431044845.0,4688000000.0,22736000000.0
78,CNP,"CENTERPOINT ENERGY, INC.",2017-12-31,10-K,2019-02-28,260000000.0,8195000000.0,1792000000.0,308000000.0,2638000000.0,6124000000.0,431044845.0,4688000000.0,22736000000.0
79,CNP,"CENTERPOINT ENERGY, INC.",2017-12-31,10-K,2020-02-27,,,1792000000.0,1136000000.0,9614000000.0,6124000000.0,,4688000000.0,22736000000.0
75,CNP,"CENTERPOINT ENERGY, INC.",2017-09-30,10-K,2018-02-22,,,169000000.0,279000000.0,2098000000.0,,,,
76,CNP,"CENTERPOINT ENERGY, INC.",2017-09-30,10-K,2019-02-28,,,,297000000.0,2098000000.0,,,,
73,CNP,"CENTERPOINT ENERGY, INC.",2017-06-30,10-K,2018-02-22,,,135000000.0,223000000.0,2143000000.0,,,,
74,CNP,"CENTERPOINT ENERGY, INC.",2017-06-30,10-K,2019-02-28,,,,240000000.0,2143000000.0,,,,
71,CNP,"CENTERPOINT ENERGY, INC.",2017-03-31,10-K,2018-02-22,,,192000000.0,274000000.0,2735000000.0,,,,
72,CNP,"CENTERPOINT ENERGY, INC.",2017-03-31,10-K,2019-02-28,,,,291000000.0,2735000000.0,,,,
