,ticker,company,concept,value,end_date,filed,form
0,CNP,"CENTERPOINT ENERGY, INC.",revenue,9623000000,2007-12-31,2010-02-26,10-K
1,CNP,"CENTERPOINT ENERGY, INC.",revenue,11322000000,2008-12-31,2010-02-26,10-K
2,CNP,"CENTERPOINT ENERGY, INC.",revenue,8281000000,2009-12-31,2010-02-26,10-K
3,CNP,"CENTERPOINT ENERGY, INC.",revenue,8281000000,2009-12-31,2012-02-29,10-K
4,CNP,"CENTERPOINT ENERGY, INC.",revenue,3023000000,2010-03-31,2012-02-29,10-K
5,CNP,"CENTERPOINT ENERGY, INC.",revenue,1756000000,2010-06-30,2012-02-29,10-K
6,CNP,"CENTERPOINT ENERGY, INC.",revenue,1908000000,2010-09-30,2012-02-29,10-K
7,CNP,"CENTERPOINT ENERGY, INC.",revenue,8785000000,2010-12-31,2012-02-29,10-K
8,CNP,"CENTERPOINT ENERGY, INC.",revenue,8785000000,2010-12-31,2013-02-27,10-K
9,CNP,"CENTERPOINT ENERGY, INC.",revenue,2098000000,2010-12-31,2012-02-29,10-K
10,CNP,"CENTERPOINT ENERGY, INC.",revenue,2587000000,2011-03-31,2012-02-29,10-K
11,CNP,"CENTERPOINT ENERGY, INC.",revenue,2587000000,2011-03-31,2013-02-27,10-K
12,CNP,"CENTERPOINT ENERGY, INC.",revenue,1837000000,2011-06-30,2012-02-29,10-K
13,CNP,"CENTERPOINT ENERGY, INC.",revenue,1837000000,2011-06-30,2013-02-27,10-K
14,CNP,"CENTERPOINT ENERGY, INC.",revenue,1881000000,2011-09-30,2012-02-29,10-K
15,CNP,"CENTERPOINT ENERGY, INC.",revenue,1881000000,2011-09-30,2013-02-27,10-K
16,CNP,"CENTERPOINT ENERGY, INC.",revenue,8450000000,2011-12-31,2012-02-29,10-K
17,CNP,"CENTERPOINT ENERGY, INC.",revenue,8450000000,2011-12-31,2013-02-27,10-K
18,CNP,"CENTERPOINT ENERGY, INC.",revenue,8450000000,2011-12-31,2014-02-26,10-K
19,CNP,"CENTERPOINT ENERGY, INC.",revenue,2145000000,2011-12-31,2012-02-29,10-K
20,CNP,"CENTERPOINT ENERGY, INC.",revenue,2145000000,2011-12-31,2013-02-27,10-K
21,CNP,"CENTERPOINT ENERGY, INC.",revenue,2084000000,2012-03-31,2013-02-27,10-K
22,CNP,"CENTERPOINT ENERGY, INC.",revenue,2084000000,2012-03-31,2014-02-26,10-K
23,CNP,"CENTERPOINT ENERGY, INC.",revenue,1525000000,2012-06-30,2013-02-27,10-K
24,CNP,"CENTERPOINT ENERGY, INC.",revenue,1525000000,2012-06-30,2014-02-26,10-K
