,ticker,company,concept,value,end_date,filed,form
0,CTRA,COTERRA ENERGY INC.,revenue,732170000,2007-12-31,2010-02-26,10-K
1,CTRA,COTERRA ENERGY INC.,revenue,945791000,2008-12-31,2010-02-26,10-K
2,CTRA,COTERRA ENERGY INC.,revenue,945791000,2008-12-31,2011-02-28,10-K
3,CTRA,COTERRA ENERGY INC.,revenue,879276000,2009-12-31,2010-02-26,10-K
4,CTRA,COTERRA ENERGY INC.,revenue,879276000,2009-12-31,2011-02-28,10-K
5,CTRA,COTERRA ENERGY INC.,revenue,893085000,2009-12-31,2012-02-28,10-K
6,CTRA,COTERRA ENERGY INC.,revenue,844035000,2010-12-31,2011-02-28,10-K
7,CTRA,COTERRA ENERGY INC.,revenue,863104000,2010-12-31,2012-02-28,10-K
8,CTRA,COTERRA ENERGY INC.,revenue,863104000,2010-12-31,2013-02-28,10-K
9,CTRA,COTERRA ENERGY INC.,revenue,979864000,2011-12-31,2012-02-28,10-K
10,CTRA,COTERRA ENERGY INC.,revenue,979864000,2011-12-31,2013-02-28,10-K
11,CTRA,COTERRA ENERGY INC.,revenue,979864000,2011-12-31,2014-02-28,10-K
12,CTRA,COTERRA ENERGY INC.,revenue,1204546000,2012-12-31,2013-02-28,10-K
13,CTRA,COTERRA ENERGY INC.,revenue,1204546000,2012-12-31,2014-02-28,10-K
14,CTRA,COTERRA ENERGY INC.,revenue,1204546000,2012-12-31,2015-02-27,10-K
15,CTRA,COTERRA ENERGY INC.,revenue,1746278000,2013-12-31,2014-02-28,10-K
16,CTRA,COTERRA ENERGY INC.,revenue,1746278000,2013-12-31,2015-02-27,10-K
17,CTRA,COTERRA ENERGY INC.,revenue,1746278000,2013-12-31,2016-02-22,10-K
18,CTRA,COTERRA ENERGY INC.,revenue,2173011000,2014-12-31,2015-02-27,10-K
19,CTRA,COTERRA ENERGY INC.,revenue,2173011000,2014-12-31,2016-02-22,10-K
20,CTRA,COTERRA ENERGY INC.,revenue,2173011000,2014-12-31,2017-02-27,10-K
21,CTRA,COTERRA ENERGY INC.,revenue,1357150000,2015-12-31,2016-02-22,10-K
22,CTRA,COTERRA ENERGY INC.,revenue,1357150000,2015-12-31,2017-02-27,10-K
23,CTRA,COTERRA ENERGY INC.,revenue,1357150000,2015-12-31,2018-03-01,10-K
