,ticker,company,end_date,form,filed,cash,net_income,revenue,shares_outstanding,stockholders_equity,total_assets
40,CTVA,"Corteva, Inc.",2025-12-31,10-K,2026-02-12,4521000000.0,1094000000.0,17401000000.0,672163000.0,24144000000.0,42845000000.0
38,CTVA,"Corteva, Inc.",2024-12-31,10-K,2025-02-14,3106000000.0,907000000.0,16908000000.0,685595000.0,23789000000.0,40825000000.0
39,CTVA,"Corteva, Inc.",2024-12-31,10-K,2026-02-12,3106000000.0,907000000.0,16908000000.0,685595000.0,23789000000.0,40825000000.0
35,CTVA,"Corteva, Inc.",2023-12-31,10-K,2024-02-08,2644000000.0,735000000.0,17226000000.0,701260000.0,25037000000.0,42996000000.0
36,CTVA,"Corteva, Inc.",2023-12-31,10-K,2025-02-14,2644000000.0,735000000.0,17226000000.0,701260000.0,25037000000.0,42996000000.0
37,CTVA,"Corteva, Inc.",2023-12-31,10-K,2026-02-12,,735000000.0,17226000000.0,701260000.0,,
31,CTVA,"Corteva, Inc.",2022-12-31,10-K,2023-02-09,3191000000.0,1147000000.0,17455000000.0,713419000.0,25302000000.0,42618000000.0
32,CTVA,"Corteva, Inc.",2022-12-31,10-K,2024-02-08,3191000000.0,1147000000.0,17455000000.0,713419000.0,25302000000.0,42618000000.0
33,CTVA,"Corteva, Inc.",2022-12-31,10-K,2025-02-14,,1147000000.0,17455000000.0,713419000.0,,
34,CTVA,"Corteva, Inc.",2022-12-31,10-K,2026-02-12,,,,713419000.0,,
27,CTVA,"Corteva, Inc.",2021-12-31,10-K,2022-02-10,4459000000.0,1759000000.0,15655000000.0,726527000.0,25384000000.0,42344000000.0
28,CTVA,"Corteva, Inc.",2021-12-31,10-K,2023-02-09,4459000000.0,1759000000.0,15655000000.0,726527000.0,25384000000.0,42344000000.0
29,CTVA,"Corteva, Inc.",2021-12-31,10-K,2024-02-08,,1759000000.0,15655000000.0,726527000.0,,
30,CTVA,"Corteva, Inc.",2021-12-31,10-K,2025-02-14,,,,726527000.0,,
23,CTVA,"Corteva, Inc.",2020-12-31,10-K,2021-02-11,3526000000.0,41000000.0,3207000000.0,743458000.0,24824000000.0,42649000000.0
24,CTVA,"Corteva, Inc.",2020-12-31,10-K,2022-02-10,3526000000.0,681000000.0,14217000000.0,743458000.0,24824000000.0,42649000000.0
25,CTVA,"Corteva, Inc.",2020-12-31,10-K,2023-02-09,,681000000.0,14217000000.0,743458000.0,,
26,CTVA,"Corteva, Inc.",2020-12-31,10-K,2024-02-08,,,,743458000.0,,
22,CTVA,"Corteva, Inc.",2020-09-30,10-K,2021-02-11,,-392000000.0,1863000000.0,,,
21,CTVA,"Corteva, Inc.",2020-06-30,10-K,2021-02-11,,760000000.0,5191000000.0,,,
20,CTVA,"Corteva, Inc.",2020-03-31,10-K,2021-02-11,,272000000.0,3956000000.0,,,
16,CTVA,"Corteva, Inc.",2019-12-31,10-K,2020-02-14,1764000000.0,-21000000.0,2983000000.0,748577000.0,24309000000.0,42397000000.0
17,CTVA,"Corteva, Inc.",2019-12-31,10-K,2021-02-11,1764000000.0,-21000000.0,2983000000.0,748577000.0,24309000000.0,42397000000.0
18,CTVA,"Corteva, Inc.",2019-12-31,10-K,2022-02-10,,-959000000.0,13846000000.0,748577000.0,,
19,CTVA,"Corteva, Inc.",2019-12-31,10-K,2023-02-09,,,,748577000.0,,
14,CTVA,"Corteva, Inc.",2019-09-30,10-K,2020-02-14,,-494000000.0,1911000000.0,,,
15,CTVA,"Corteva, Inc.",2019-09-30,10-K,2021-02-11,,-494000000.0,1911000000.0,,,
12,CTVA,"Corteva, Inc.",2019-06-30,10-K,2020-02-14,,-608000000.0,5556000000.0,,,
13,CTVA,"Corteva, Inc.",2019-06-30,10-K,2021-02-11,,-608000000.0,5556000000.0,,,
9,CTVA,"Corteva, Inc.",2019-06-01,10-K,2020-02-14,,,,748815000.0,,
10,CTVA,"Corteva, Inc.",2019-06-01,10-K,2021-02-11,,,,748815000.0,,
11,CTVA,"Corteva, Inc.",2019-06-01,10-K,2022-02-10,,,,748815000.0,,
7,CTVA,"Corteva, Inc.",2019-03-31,10-K,2020-02-14,,164000000.0,3396000000.0,,,
8,CTVA,"Corteva, Inc.",2019-03-31,10-K,2021-02-11,,164000000.0,3396000000.0,,,
5,CTVA,"Corteva, Inc.",2018-12-31,10-K,2020-02-14,2270000000.0,-531000000.0,2815000000.0,,74660000000.0,108683000000.0
6,CTVA,"Corteva, Inc.",2018-12-31,10-K,2021-02-11,,-5065000000.0,14287000000.0,,,108683000000.0
4,CTVA,"Corteva, Inc.",2018-09-30,10-K,2020-02-14,,-5121000000.0,1947000000.0,,,
3,CTVA,"Corteva, Inc.",2018-06-30,10-K,2020-02-14,,694000000.0,5731000000.0,,,
2,CTVA,"Corteva, Inc.",2018-03-31,10-K,2020-02-14,,-107000000.0,3794000000.0,,,
1,CTVA,"Corteva, Inc.",2017-12-31,10-K,2020-02-14,,1182000000.0,3790000000.0,,,
0,CTVA,"Corteva, Inc.",2017-08-31,10-K,2020-02-14,,1734000000.0,6894000000.0,,,
